FIH|LOS,|LOS|IST|FIH|
FIH|LUX,|LUX|IST|FIH|
FIH|LWO,|LWO|IST|FIH|
FIH|LYS,|LYS|IST|FIH|
FIH|MAD,|MAD|IST|FIH|
FIH|MAN,|MAN|BRU|FIH|
FIH|MED,|MED|IST|FIH|
FIH|MHD,|MHD|IST|FIH|
FIH|MLA,|MLA|IST|FIH|
FIH|MRS,|MRS|IST|FIH|
FIH|MSQ,|MSQ|IST|FIH|
FIH|MXP,|MXP|IST|FIH|
FIH|MZH,|MZH|IST|FIH|
FIH|MZR,|MZR|IST|FIH|
FIH|NAJ,|NAJ|IST|FIH|
FIH|NAV,|NAV|IST|FIH|
FIH|NCE,|NCE|IST|FIH|
FIH|NIM,|NIM|IST|FIH|
FIH|NJF,|NJF|IST|FIH|
FIH|NSI,|NSI|DLA|FIH|
FIH|NUE,|NUE|IST|FIH|
FIH|ODS,|ODS|IST|FIH|
FIH|ORN,|ORN|IST|FIH|
FIH|OTP,|OTP|IST|FIH|
FIH|PRG,|PRG|IST|FIH|
FIH|PRN,|PRN|IST|FIH|
FIH|RIX,|RIX|IST|FIH|
FIH|ROV,|ROV|IST|FIH|
FIH|RTM,|RTM|IST|FIH|
FIH|RUH,|RUH|IST|FIH|
FIH|SAH,|SAH|IST|FIH|
FIH|SJJ,|SJJ|IST|FIH|
FIH|SKG,|SKG|IST|FIH|
FIH|SKP,|SKP|IST|FIH|
FIH|SSH,|SSH|IST|FIH|
FIH|STR,|STR|IST|FIH|
FIH|SVX,|SVX|IST|FIH|
FIH|SYZ,|SYZ|IST|FIH|
FIH|SZG,|SZG|IST|FIH|
FIH|TBZ,|TBZ|IST|FIH|
FIH|TGD,|TGD|IST|FIH|
FIH|TIA,|TIA|IST|FIH|
FIH|TIF,|TIF|IST|FIH|
FIH|TIP,|TIP|IST|FIH|
FIH|TLL,|TLL|IST|FIH|
FIH|TLS,|TLS|IST|FIH|
FIH|TRN,|TRN|IST|FIH|
FIH|TUN,|TUN|IST|FIH|
FIH|TXL,|TXL|IST|FIH|
FIH|UFA,|UFA|IST|FIH|
FIH|VAS,|VAS|IST|FIH|
FIH|VCE,|VCE|IST|FIH|
FIH|YNB,|YNB|IST|FIH|
FIH|ZAG,|ZAG|IST|FIH|
FIH|MGQ,|MGQ|JIB|IST|FIH|
FIH|CPT,|CPT|JNB|IST|FIH|
FIH|MBA,|MBA|JRO|IST|FIH|
FIH|NDJ,|NDJ|KAN|IST|FIH|
FIH|CMB,|CMB|MLE|IST|FIH|
FIH|ADE,|ADE|SAH|IST|FIH|
FIH|ASF,|ASF|SAW|ADB|IST|FIH|
FIH|STW,|STW|SAW|ADB|IST|FIH|
FIH|LFW,|LFW|ABJ|OUA|NIM|IST|FIH|
FIH|CEC,|CEC|ACV|SMF|ORD|BRU|FIH|
FIH|SMF,|SMF|ORD|BRU|FIH|
FIH|CDR,|CDR|AIA|DEN|ORD|BRU|FIH|
FIH|FMN,|FMN|DEN|ORD|BRU|FIH|
FIH|JST,|JST|IAD|BRU|FIH|
FIH|JHW,|JHW|CLE|YYZ|BRU|FIH|
FIH|SHD,|SHD|IAD|BRU|FIH|
FIH|PTY,|PTY|JFK|BRU|FIH|
FIH|FNA,|FNA|BRU|FIH|
FIH|SXB,|SXB|BRU|FIH|
FIH|ACV,|ACV|SMF|ORD|BRU|FIH|
FIH|MGW,|MGW|IAD|BRU|FIH|
FIH|ALB,|ALB|EWR|BRU|FIH|
FIH|AUS,|AUS|CLE|YYZ|BRU|FIH|
FIH|BFD,|BFD|CLE|YYZ|BRU|FIH|
FIH|BUF,|BUF|EWR|BRU|FIH|
FIH|CHS,|CHS|EWR|BRU|FIH|
FIH|DAY,|DAY|CLE|YYZ|BRU|FIH|
FIH|DUJ,|DUJ|CLE|YYZ|BRU|FIH|
FIH|ERI,|ERI|CLE|YYZ|BRU|FIH|
FIH|FKL,|FKL|CLE|YYZ|BRU|FIH|
FIH|FNT,|FNT|CLE|YYZ|BRU|FIH|
FIH|GRR,|GRR|CLE|YYZ|BRU|FIH|
FIH|GSP,|GSP|EWR|BRU|FIH|
FIH|PBI,|PBI|EWR|BRU|FIH|
FIH|PKB,|PKB|CLE|YYZ|BRU|FIH|
FIH|RIC,|RIC|EWR|BRU|FIH|
FIH|SDF,|SDF|CLE|YYZ|BRU|FIH|
FIH|GUM,|GUM|FUK|ICN|IST|FIH|
