MIG|NUE,|NUE|IST|URC|CSX|MIG|
MIG|ODS,|ODS|IST|URC|CSX|MIG|
MIG|ORN,|ORN|IST|URC|CSX|MIG|
MIG|OTP,|OTP|IST|URC|CSX|MIG|
MIG|PRG,|PRG|IST|URC|CSX|MIG|
MIG|PRN,|PRN|IST|URC|CSX|MIG|
MIG|RIX,|RIX|IST|URC|CSX|MIG|
MIG|ROV,|ROV|IST|URC|CSX|MIG|
MIG|RTM,|RTM|IST|URC|CSX|MIG|
MIG|RUH,|RUH|IST|URC|CSX|MIG|
MIG|SAH,|SAH|IST|URC|CSX|MIG|
MIG|SJJ,|SJJ|IST|URC|CSX|MIG|
MIG|SKG,|SKG|IST|URC|CSX|MIG|
MIG|SKP,|SKP|IST|URC|CSX|MIG|
MIG|SSH,|SSH|IST|URC|CSX|MIG|
MIG|STR,|STR|IST|URC|CSX|MIG|
