ELM|JHG,|JHG|CKG|PEK|ORD|ELM|
ELM|LJG,|LJG|CKG|PEK|ORD|ELM|
ELM|LXA,|LXA|XIY|PEK|ORD|ELM|
ELM|YCU,|YCU|CSX|PEK|ORD|ELM|
ELM|LZO,|LZO|CSX|PEK|ORD|ELM|
ELM|MDG,|MDG|ICN|YVR|ORD|ELM|
ELM|NGO,|NGO|ICN|YVR|ORD|ELM|
ELM|TOY,|TOY|DLC|PEK|ORD|ELM|
ELM|MFM,|MFM|XMN|PEK|ORD|ELM|
ELM|TGO,|TGO|HET|DLC|PEK|ORD|ELM|
ELM|XIL,|XIL|HET|DLC|PEK|ORD|ELM|
ELM|HEK,|HEK|HRB|PEK|ORD|ELM|
ELM|KIJ,|KIJ|HRB|PEK|ORD|ELM|
ELM|LDS,|LDS|HRB|PEK|ORD|ELM|
ELM|OHE,|OHE|HRB|PEK|ORD|ELM|
ELM|HSN,|HSN|PEK|ORD|ELM|
ELM|DLU,|DLU|KMG|PEK|ORD|ELM|
ELM|SYM,|SYM|KMG|PEK|ORD|ELM|
ELM|ZAT,|ZAT|KMG|PEK|ORD|ELM|
ELM|LUN,|LUN|NBO|ZRH|ORD|ELM|
ELM|AOG,|AOG|PEK|ORD|ELM|
ELM|GMP,|GMP|PEK|ORD|ELM|
ELM|ISB,|ISB|IST|ORD|ELM|
ELM|TAS,|TAS|IST|ORD|ELM|
ELM|WUS,|WUS|PEK|ORD|ELM|
ELM|JMU,|JMU|PVG|ORD|ELM|
ELM|NDG,|NDG|PVG|ORD|ELM|
ELM|JXA,|JXA|SHE|PEK|ORD|ELM|
ELM|PUS,|PUS|SHE|PEK|ORD|ELM|
ELM|BKI,|BKI|SZX|PEK|ORD|ELM|
ELM|AKU,|AKU|URC|TSE|FRA|ORD|ELM|
ELM|ALA,|ALA|TSE|FRA|ORD|ELM|
ELM|ASB,|ASB|GYD|FRA|ORD|ELM|
ELM|DNH,|DNH|XIY|PEK|ORD|ELM|
ELM|DYU,|DYU|IST|ORD|ELM|
ELM|FRU,|FRU|IST|ORD|ELM|
ELM|GYD,|GYD|FRA|ORD|ELM|
ELM|HTN,|HTN|URC|TSE|FRA|ORD|ELM|
ELM|IKA,|IKA|SAW|VIE|ORD|ELM|
ELM|KCA,|KCA|URC|TSE|FRA|ORD|ELM|
ELM|KHG,|KHG|URC|TSE|FRA|ORD|ELM|
ELM|KRL,|KRL|URC|TSE|FRA|ORD|ELM|
ELM|KRY,|KRY|URC|TSE|FRA|ORD|ELM|
ELM|LBD,|LBD|URC|TSE|FRA|ORD|ELM|
ELM|NLT,|NLT|URC|TSE|FRA|ORD|ELM|
ELM|OSS,|OSS|IST|ORD|ELM|
ELM|OVB,|OVB|IST|ORD|ELM|
ELM|TBS,|TBS|SAW|VIE|ORD|ELM|
ELM|TCG,|TCG|URC|TSE|FRA|ORD|ELM|
ELM|TSE,|TSE|FRA|ORD|ELM|
ELM|YIN,|YIN|URC|TSE|FRA|ORD|ELM|
ELM|ENH,|ENH|WUH|PEK|ORD|ELM|
ELM|ENY,|ENY|XIY|PEK|ORD|ELM|
ELM|WXN,|WXN|XIY|PEK|ORD|ELM|
ELM|BLL,|BLL|IST|ORD|ELM|
ELM|ESB,|ESB|VIE|ORD|ELM|
ELM|SAW,|SAW|VIE|ORD|ELM|
ELM|HAM,|HAM|EWR|ORD|ELM|
ELM|HRE,|HRE|ADD|IST|ORD|ELM|
ELM|JUB,|JUB|CAI|IST|ORD|ELM|
ELM|SSG,|SSG|DLA|BRU|ORD|ELM|
ELM|BGW,|BGW|ESB|VIE|ORD|ELM|
ELM|EBL,|EBL|IST|ORD|ELM|
ELM|VKO,|VKO|IST|ORD|ELM|
ELM|MCT,|MCT|IST|ORD|ELM|
ELM|AYT,|AYT|IST|ORD|ELM|
ELM|SCQ,|SCQ|BIO|IST|ORD|ELM|
ELM|AAL,|AAL|IST|ORD|ELM|
ELM|AOE,|AOE|BRU|ORD|ELM|
ELM|JNB,|JNB|DKR|IAD|ORD|ELM|
ELM|LBV,|LBV|DLA|BRU|ORD|ELM|
ELM|ADA,|ADA|IST|ORD|ELM|
ELM|ADB,|ADB|IST|ORD|ELM|
ELM|ADF,|ADF|ESB|VIE|ORD|ELM|
ELM|AJI,|AJI|ESB|VIE|ORD|ELM|
ELM|BAL,|BAL|ESB|VIE|ORD|ELM|
ELM|BJV,|BJV|IST|ORD|ELM|
ELM|CKZ,|CKZ|ESB|VIE|ORD|ELM|
