LIS|LDS,|LDS|HRB|PEK|IST|LIS|
LIS|OHE,|OHE|HRB|PEK|IST|LIS|
LIS|HSN,|HSN|LYG|XUZ|INC|URC|IST|LIS|
LIS|DLU,|DLU|KMG|CTU|URC|IST|LIS|
LIS|SYM,|SYM|KMG|CTU|URC|IST|LIS|
LIS|ZAT,|ZAT|KMG|CTU|URC|IST|LIS|
LIS|LUN,|LUN|NBO|IST|LIS|
LIS|AOG,|AOG|PEK|IST|LIS|
LIS|GMP,|GMP|PEK|IST|LIS|
LIS|ISB,|ISB|IST|LIS|
LIS|TAS,|TAS|IST|LIS|
LIS|WUS,|WUS|PEK|IST|LIS|
LIS|JMU,|JMU|PVG|IST|LIS|
LIS|NDG,|NDG|PVG|IST|LIS|
LIS|JXA,|JXA|SHE|PEK|IST|LIS|
LIS|PUS,|PUS|SHE|PEK|IST|LIS|
LIS|BKI,|BKI|SZX|CKG|URC|IST|LIS|
LIS|AKU,|AKU|URC|IST|LIS|
LIS|ALA,|ALA|IST|LIS|
LIS|ASB,|ASB|IST|LIS|
LIS|DNH,|DNH|URC|IST|LIS|
LIS|DYU,|DYU|IST|LIS|
LIS|FRU,|FRU|IST|LIS|
LIS|GYD,|GYD|IST|LIS|
LIS|HTN,|HTN|URC|IST|LIS|
LIS|IKA,|IKA|IST|LIS|
LIS|KCA,|KCA|URC|IST|LIS|
LIS|KHG,|KHG|URC|IST|LIS|
LIS|KRL,|KRL|URC|IST|LIS|
LIS|KRY,|KRY|URC|IST|LIS|
LIS|LBD,|LBD|URC|IST|LIS|
LIS|NLT,|NLT|URC|IST|LIS|
LIS|OSS,|OSS|IST|LIS|
LIS|OVB,|OVB|IST|LIS|
LIS|TBS,|TBS|IST|LIS|
LIS|TCG,|TCG|URC|IST|LIS|
LIS|TSE,|TSE|IST|LIS|
LIS|YIN,|YIN|URC|IST|LIS|
LIS|ENH,|ENH|WUH|URC|IST|LIS|
LIS|ENY,|ENY|XIY|URC|IST|LIS|
LIS|WXN,|WXN|XIY|URC|IST|LIS|
LIS|BLL,|BLL|IST|LIS|
LIS|ESB,|ESB|IST|LIS|
LIS|SAW,|SAW|ADB|IST|LIS|
LIS|HAM,|HAM|IST|LIS|
LIS|HRE,|HRE|ADD|IST|LIS|
LIS|JUB,|JUB|CAI|IST|LIS|
LIS|SSG,|SSG|DLA|IST|LIS|
LIS|BGW,|BGW|IST|LIS|
LIS|EBL,|EBL|IST|LIS|
LIS|VKO,|VKO|IST|LIS|
LIS|MCT,|MCT|IST|LIS|
LIS|AYT,|AYT|IST|LIS|
LIS|SCQ,|SCQ|BIO|IST|LIS|
LIS|AAL,|AAL|IST|LIS|
LIS|AOE,|AOE|BRU|IST|LIS|
LIS|JNB,|JNB|IST|LIS|
LIS|LBV,|LBV|DLA|IST|LIS|
LIS|ADA,|ADA|IST|LIS|
LIS|ADB,|ADB|IST|LIS|
LIS|ADF,|ADF|IST|LIS|
LIS|AJI,|AJI|IST|LIS|
LIS|BAL,|BAL|IST|LIS|
