BFD|SSG,|SSG|DLA|BRU|YUL|YYZ|CLE|BFD|
BFD|BGW,|BGW|ESB|VIE|YYZ|CLE|BFD|
BFD|EBL,|EBL|IST|YYZ|CLE|BFD|
BFD|VKO,|VKO|IST|YYZ|CLE|BFD|
BFD|MCT,|MCT|AUH|YYZ|CLE|BFD|
BFD|AYT,|AYT|IST|YYZ|CLE|BFD|
BFD|SCQ,|SCQ|BIO|IST|YYZ|CLE|BFD|
BFD|AAL,|AAL|IST|YYZ|CLE|BFD|
BFD|AOE,|AOE|BRU|YUL|YYZ|CLE|BFD|
BFD|JNB,|JNB|DKR|IAD|CLE|BFD|
BFD|LBV,|LBV|DLA|BRU|YUL|YYZ|CLE|BFD|
BFD|ADA,|ADA|SAW|VIE|YYZ|CLE|BFD|
BFD|ADB,|ADB|IST|YYZ|CLE|BFD|
BFD|ADF,|ADF|ESB|VIE|YYZ|CLE|BFD|
BFD|AJI,|AJI|ESB|VIE|YYZ|CLE|BFD|
BFD|BAL,|BAL|ESB|VIE|YYZ|CLE|BFD|
BFD|BJV,|BJV|IST|YYZ|CLE|BFD|
BFD|CKZ,|CKZ|ESB|VIE|YYZ|CLE|BFD|
BFD|DIY,|DIY|ESB|VIE|YYZ|CLE|BFD|
BFD|ECN,|ECN|IST|YYZ|CLE|BFD|
BFD|ERC,|ERC|ESB|VIE|YYZ|CLE|BFD|
BFD|ERZ,|ERZ|ESB|VIE|YYZ|CLE|BFD|
BFD|EZS,|EZS|ESB|VIE|YYZ|CLE|BFD|
BFD|GNY,|GNY|ESB|VIE|YYZ|CLE|BFD|
BFD|GZP,|GZP|ESB|VIE|YYZ|CLE|BFD|
BFD|GZT,|GZT|ESB|VIE|YYZ|CLE|BFD|
BFD|HTY,|HTY|SAW|VIE|YYZ|CLE|BFD|
BFD|KCM,|KCM|ESB|VIE|YYZ|CLE|BFD|
BFD|KSY,|KSY|ESB|VIE|YYZ|CLE|BFD|
BFD|MLX,|MLX|ESB|VIE|YYZ|CLE|BFD|
BFD|MQM,|MQM|ESB|VIE|YYZ|CLE|BFD|
BFD|MSR,|MSR|ESB|VIE|YYZ|CLE|BFD|
BFD|TEQ,|TEQ|ESB|VIE|YYZ|CLE|BFD|
BFD|TZX,|TZX|ESB|VIE|YYZ|CLE|BFD|
BFD|VAN,|VAN|ESB|VIE|YYZ|CLE|BFD|
BFD|ULN,|ULN|FRU|IST|YYZ|CLE|BFD|
BFD|HIJ,|HIJ|ICN|YVR|ORD|CLE|BFD|
BFD|VVO,|VVO|ICN|YVR|ORD|CLE|BFD|
BFD|ACC,|ACC|IST|YYZ|CLE|BFD|
BFD|AER,|AER|IST|YYZ|CLE|BFD|
BFD|AGP,|AGP|IST|YYZ|CLE|BFD|
BFD|ALG,|ALG|IST|YYZ|CLE|BFD|
BFD|AMM,|AMM|IST|YYZ|CLE|BFD|
BFD|AQJ,|AQJ|IST|YYZ|CLE|BFD|
BFD|ARN,|ARN|EWR|CLE|BFD|
BFD|ASR,|ASR|SAW|VIE|YYZ|CLE|BFD|
BFD|ATH,|ATH|IST|YYZ|CLE|BFD|
BFD|BAH,|BAH|IST|YYZ|CLE|BFD|
BFD|BEG,|BEG|IST|YYZ|CLE|BFD|
BFD|BEN,|BEN|IST|YYZ|CLE|BFD|
BFD|BEY,|BEY|IST|YYZ|CLE|BFD|
BFD|BHX,|BHX|EWR|CLE|BFD|
BFD|BIO,|BIO|IST|YYZ|CLE|BFD|
BFD|BLQ,|BLQ|IST|YYZ|CLE|BFD|
BFD|BOM,|BOM|EWR|CLE|BFD|
BFD|BRE,|BRE|IST|YYZ|CLE|BFD|
BFD|BSL,|BSL|IST|YYZ|CLE|BFD|
BFD|BSR,|BSR|IST|YYZ|CLE|BFD|
BFD|BUD,|BUD|IST|YYZ|CLE|BFD|
BFD|BUS,|BUS|IST|YYZ|CLE|BFD|
BFD|CAI,|CAI|IST|YYZ|CLE|BFD|
BFD|CGN,|CGN|IST|YYZ|CLE|BFD|
BFD|CMN,|CMN|IST|YYZ|CLE|BFD|
BFD|CND,|CND|IST|YYZ|CLE|BFD|
