COS|HJJ,|HJJ|CSX|ICN|YVR|DEN|COS|
COS|HKT,|HKT|KWE|PEK|YVR|DEN|COS|
COS|HRB,|HRB|ICN|YVR|DEN|COS|
COS|HZH,|HZH|CAN|YVR|DEN|COS|
COS|JIU,|JIU|CAN|YVR|DEN|COS|
COS|JJN,|JJN|PEK|YVR|DEN|COS|
COS|JNG,|JNG|CAN|YVR|DEN|COS|
COS|KHN,|KHN|DLC|ICN|YVR|DEN|COS|
COS|KIX,|KIX|SFO|COS|
COS|KOW,|KOW|PEK|YVR|DEN|COS|
COS|KTM,|KTM|CAN|YVR|DEN|COS|
COS|KUL,|KUL|PVG|YVR|DEN|COS|
COS|KWE,|KWE|PEK|YVR|DEN|COS|
COS|KWL,|KWL|PEK|YVR|DEN|COS|
COS|LHW,|LHW|CGO|PEK|YVR|DEN|COS|
COS|LYA,|LYA|KHN|DLC|ICN|YVR|DEN|COS|
COS|LYG,|LYG|HSN|PEK|YVR|DEN|COS|
COS|LZH,|LZH|CAN|YVR|DEN|COS|
COS|MEL,|MEL|SYD|LAX|COS|
COS|MIG,|MIG|CSX|ICN|YVR|DEN|COS|
COS|MLE,|MLE|IST|FRA|DEN|COS|
COS|MNL,|MNL|XMN|PEK|YVR|DEN|COS|
COS|MXZ,|MXZ|CAN|YVR|DEN|COS|
COS|NAO,|NAO|PEK|YVR|DEN|COS|
COS|NGB,|NGB|DLC|ICN|YVR|DEN|COS|
COS|NKG,|NKG|DLC|ICN|YVR|DEN|COS|
COS|NNY,|NNY|CGO|PEK|YVR|DEN|COS|
COS|PEN,|PEN|CAN|YVR|DEN|COS|
COS|PER,|PER|CAN|YVR|DEN|COS|
COS|PNH,|PNH|CAN|YVR|DEN|COS|
COS|REP,|REP|ICN|YVR|DEN|COS|
COS|RGN,|RGN|CAN|YVR|DEN|COS|
COS|SGN,|SGN|HKG|YVR|DEN|COS|
COS|SHA,|SHA|PEK|YVR|DEN|COS|
COS|SIN,|SIN|HKG|YVR|DEN|COS|
COS|SVO,|SVO|URC|PEK|YVR|DEN|COS|
COS|SYX,|SYX|CAN|YVR|DEN|COS|
COS|TAO,|TAO|DLC|ICN|YVR|DEN|COS|
COS|TEN,|TEN|PEK|YVR|DEN|COS|
COS|TNA,|TNA|DLC|ICN|YVR|DEN|COS|
COS|TPE,|TPE|PVG|YVR|DEN|COS|
COS|TSN,|TSN|DLC|ICN|YVR|DEN|COS|
COS|TXN,|TXN|DLC|ICN|YVR|DEN|COS|
COS|TYN,|TYN|DLC|ICN|YVR|DEN|COS|
COS|WNZ,|WNZ|CGO|PEK|YVR|DEN|COS|
COS|WUX,|WUX|CAN|YVR|DEN|COS|
COS|XFN,|XFN|CAN|YVR|DEN|COS|
COS|XIY,|XIY|PEK|YVR|DEN|COS|
COS|XUZ,|XUZ|LYG|HSN|PEK|YVR|DEN|COS|
COS|YIH,|YIH|CKG|PEK|YVR|DEN|COS|
COS|YIW,|YIW|PEK|YVR|DEN|COS|
COS|YNT,|YNT|SHE|ICN|YVR|DEN|COS|
COS|YNZ,|YNZ|DLC|ICN|YVR|DEN|COS|
COS|YTY,|YTY|DLC|ICN|YVR|DEN|COS|
COS|ZHA,|ZHA|CAN|YVR|DEN|COS|
COS|ZYI,|ZYI|PEK|YVR|DEN|COS|
COS|BAV,|BAV|SJW|DLC|ICN|YVR|DEN|COS|
COS|CJU,|CJU|DLC|ICN|YVR|DEN|COS|
COS|DSN,|DSN|CGO|PEK|YVR|DEN|COS|
COS|HMI,|HMI|CGO|PEK|YVR|DEN|COS|
COS|INC,|INC|PEK|YVR|DEN|COS|
COS|KHH,|KHH|CGO|PEK|YVR|DEN|COS|
COS|UYN,|UYN|CGO|PEK|YVR|DEN|COS|
COS|XNN,|XNN|PEK|YVR|DEN|COS|
COS|ZUH,|ZUH|PVG|YVR|DEN|COS|
COS|YNJ,|YNJ|ICN|YVR|DEN|COS|
COS|DAT,|DAT|CIH|PEK|YVR|DEN|COS|
COS|JHG,|JHG|CKG|PEK|YVR|DEN|COS|
COS|LJG,|LJG|CKG|PEK|YVR|DEN|COS|
COS|LXA,|LXA|XIY|PEK|YVR|DEN|COS|
COS|YCU,|YCU|CSX|ICN|YVR|DEN|COS|
COS|LZO,|LZO|CSX|ICN|YVR|DEN|COS|
COS|MDG,|MDG|ICN|YVR|DEN|COS|
COS|NGO,|NGO|ICN|YVR|DEN|COS|
COS|TOY,|TOY|DLC|ICN|YVR|DEN|COS|
COS|MFM,|MFM|XMN|PEK|YVR|DEN|COS|
COS|TGO,|TGO|HET|DLC|ICN|YVR|DEN|COS|
COS|XIL,|XIL|HET|DLC|ICN|YVR|DEN|COS|
COS|HEK,|HEK|HRB|ICN|YVR|DEN|COS|
COS|KIJ,|KIJ|HRB|ICN|YVR|DEN|COS|
COS|LDS,|LDS|HRB|ICN|YVR|DEN|COS|
COS|OHE,|OHE|HRB|ICN|YVR|DEN|COS|
COS|HSN,|HSN|PEK|YVR|DEN|COS|
COS|DLU,|DLU|KMG|PEK|YVR|DEN|COS|
COS|SYM,|SYM|KMG|PEK|YVR|DEN|COS|
COS|ZAT,|ZAT|KMG|PEK|YVR|DEN|COS|
COS|LUN,|LUN|NBO|ZRH|ORD|COS|
COS|AOG,|AOG|PEK|YVR|DEN|COS|
COS|GMP,|GMP|PEK|YVR|DEN|COS|
COS|ISB,|ISB|IST|FRA|DEN|COS|
COS|TAS,|TAS|IST|FRA|DEN|COS|
COS|WUS,|WUS|PEK|YVR|DEN|COS|
COS|JMU,|JMU|PVG|YVR|DEN|COS|
COS|NDG,|NDG|PVG|YVR|DEN|COS|
COS|JXA,|JXA|SHE|ICN|YVR|DEN|COS|
COS|PUS,|PUS|SHE|ICN|YVR|DEN|COS|
COS|BKI,|BKI|SZX|PVG|YVR|DEN|COS|
COS|AKU,|AKU|URC|PEK|YVR|DEN|COS|
COS|ALA,|ALA|TSE|FRA|DEN|COS|
COS|ASB,|ASB|GYD|FRA|DEN|COS|
COS|DNH,|DNH|XIY|PEK|YVR|DEN|COS|
COS|DYU,|DYU|IST|FRA|DEN|COS|
COS|FRU,|FRU|IST|FRA|DEN|COS|
COS|GYD,|GYD|FRA|DEN|COS|
COS|HTN,|HTN|URC|PEK|YVR|DEN|COS|
COS|IKA,|IKA|SAW|FRA|DEN|COS|
COS|KCA,|KCA|URC|PEK|YVR|DEN|COS|
COS|KHG,|KHG|URC|PEK|YVR|DEN|COS|
COS|KRL,|KRL|URC|PEK|YVR|DEN|COS|
COS|KRY,|KRY|URC|PEK|YVR|DEN|COS|
COS|LBD,|LBD|URC|PEK|YVR|DEN|COS|
COS|NLT,|NLT|URC|PEK|YVR|DEN|COS|
COS|OSS,|OSS|IST|FRA|DEN|COS|
COS|OVB,|OVB|URC|PEK|YVR|DEN|COS|
COS|TBS,|TBS|SAW|FRA|DEN|COS|
COS|TCG,|TCG|URC|PEK|YVR|DEN|COS|
COS|TSE,|TSE|FRA|DEN|COS|
COS|YIN,|YIN|URC|PEK|YVR|DEN|COS|
COS|ENH,|ENH|WUH|ICN|YVR|DEN|COS|
COS|ENY,|ENY|XIY|PEK|YVR|DEN|COS|
COS|WXN,|WXN|XIY|PEK|YVR|DEN|COS|
COS|BLL,|BLL|IST|FRA|DEN|COS|
COS|ESB,|ESB|FRA|DEN|COS|
COS|SAW,|SAW|FRA|DEN|COS|
COS|HAM,|HAM|EWR|ORD|COS|
COS|HRE,|HRE|ADD|JED|FRA|DEN|COS|
COS|JUB,|JUB|CAI|IST|FRA|DEN|COS|
COS|SSG,|SSG|DLA|BRU|ORD|COS|
COS|BGW,|BGW|ESB|FRA|DEN|COS|
COS|EBL,|EBL|IST|FRA|DEN|COS|
COS|VKO,|VKO|IST|FRA|DEN|COS|
COS|MCT,|MCT|IST|FRA|DEN|COS|
COS|AYT,|AYT|IST|FRA|DEN|COS|
COS|SCQ,|SCQ|BIO|IST|FRA|DEN|COS|
COS|AAL,|AAL|IST|FRA|DEN|COS|
COS|AOE,|AOE|BRU|ORD|COS|
COS|JNB,|JNB|DKR|IAD|COS|
COS|LBV,|LBV|DLA|BRU|ORD|COS|
COS|ADA,|ADA|SAW|FRA|DEN|COS|
COS|ADB,|ADB|IST|FRA|DEN|COS|
COS|ADF,|ADF|ESB|FRA|DEN|COS|
COS|AJI,|AJI|ESB|FRA|DEN|COS|
COS|BAL,|BAL|ESB|FRA|DEN|COS|
COS|BJV,|BJV|IST|FRA|DEN|COS|
COS|CKZ,|CKZ|ESB|FRA|DEN|COS|
COS|DIY,|DIY|ESB|FRA|DEN|COS|
COS|ECN,|ECN|IST|FRA|DEN|COS|
COS|ERC,|ERC|ESB|FRA|DEN|COS|
COS|ERZ,|ERZ|ESB|FRA|DEN|COS|
COS|EZS,|EZS|ESB|FRA|DEN|COS|
COS|GNY,|GNY|ESB|FRA|DEN|COS|
COS|GZP,|GZP|ESB|FRA|DEN|COS|
COS|GZT,|GZT|ESB|FRA|DEN|COS|
COS|HTY,|HTY|SAW|FRA|DEN|COS|
COS|KCM,|KCM|ESB|FRA|DEN|COS|
COS|KSY,|KSY|ESB|FRA|DEN|COS|
COS|MLX,|MLX|ESB|FRA|DEN|COS|
COS|MQM,|MQM|ESB|FRA|DEN|COS|
COS|MSR,|MSR|ESB|FRA|DEN|COS|
COS|TEQ,|TEQ|ESB|FRA|DEN|COS|
COS|TZX,|TZX|ESB|FRA|DEN|COS|
COS|VAN,|VAN|ESB|FRA|DEN|COS|
COS|ULN,|ULN|FRU|IST|FRA|DEN|COS|
COS|HIJ,|HIJ|ICN|YVR|DEN|COS|
COS|VVO,|VVO|ICN|YVR|DEN|COS|
COS|ACC,|ACC|IST|FRA|DEN|COS|
COS|AER,|AER|IST|FRA|DEN|COS|
COS|AGP,|AGP|IST|FRA|DEN|COS|
COS|ALG,|ALG|IST|FRA|DEN|COS|
COS|AMM,|AMM|IST|FRA|DEN|COS|
COS|AQJ,|AQJ|IST|FRA|DEN|COS|
COS|ARN,|ARN|EWR|ORD|COS|
COS|ASR,|ASR|SAW|FRA|DEN|COS|
COS|ATH,|ATH|IST|FRA|DEN|COS|
