TIP|MFM,|MFM|XMN|CSX|URC|IST|TIP|
TIP|TGO,|TGO|HET|URC|IST|TIP|
TIP|XIL,|XIL|HET|URC|IST|TIP|
TIP|HEK,|HEK|HRB|PEK|IST|TIP|
TIP|KIJ,|KIJ|HRB|PEK|IST|TIP|
TIP|LDS,|LDS|HRB|PEK|IST|TIP|
TIP|OHE,|OHE|HRB|PEK|IST|TIP|
TIP|HSN,|HSN|LYG|XUZ|INC|URC|IST|TIP|
TIP|DLU,|DLU|KMG|CTU|URC|IST|TIP|
TIP|SYM,|SYM|KMG|CTU|URC|IST|TIP|
TIP|ZAT,|ZAT|KMG|CTU|URC|IST|TIP|
TIP|LUN,|LUN|NBO|IST|TIP|
TIP|AOG,|AOG|PEK|IST|TIP|
TIP|GMP,|GMP|PEK|IST|TIP|
TIP|ISB,|ISB|IST|TIP|
TIP|TAS,|TAS|IST|TIP|
TIP|WUS,|WUS|PEK|IST|TIP|
TIP|JMU,|JMU|PVG|IST|TIP|
TIP|NDG,|NDG|PVG|IST|TIP|
TIP|JXA,|JXA|SHE|PEK|IST|TIP|
TIP|PUS,|PUS|SHE|PEK|IST|TIP|
TIP|BKI,|BKI|SZX|CKG|URC|IST|TIP|
TIP|AKU,|AKU|URC|IST|TIP|
TIP|ALA,|ALA|IST|TIP|
TIP|ASB,|ASB|IST|TIP|
TIP|DNH,|DNH|URC|IST|TIP|
TIP|DYU,|DYU|IST|TIP|
TIP|FRU,|FRU|IST|TIP|
TIP|GYD,|GYD|IST|TIP|
TIP|HTN,|HTN|URC|IST|TIP|
TIP|IKA,|IKA|IST|TIP|
TIP|KCA,|KCA|URC|IST|TIP|
TIP|KHG,|KHG|URC|IST|TIP|
TIP|KRL,|KRL|URC|IST|TIP|
TIP|KRY,|KRY|URC|IST|TIP|
TIP|LBD,|LBD|URC|IST|TIP|
TIP|NLT,|NLT|URC|IST|TIP|
TIP|OSS,|OSS|IST|TIP|
TIP|OVB,|OVB|IST|TIP|
TIP|TBS,|TBS|IST|TIP|
TIP|TCG,|TCG|URC|IST|TIP|
TIP|TSE,|TSE|IST|TIP|
TIP|YIN,|YIN|URC|IST|TIP|
TIP|ENH,|ENH|WUH|URC|IST|TIP|
TIP|ENY,|ENY|XIY|URC|IST|TIP|
TIP|WXN,|WXN|XIY|URC|IST|TIP|
TIP|BLL,|BLL|IST|TIP|
TIP|ESB,|ESB|IST|TIP|
TIP|SAW,|SAW|ADB|IST|TIP|
TIP|HAM,|HAM|IST|TIP|
TIP|HRE,|HRE|ADD|IST|TIP|
TIP|JUB,|JUB|CAI|IST|TIP|
TIP|SSG,|SSG|DLA|IST|TIP|
TIP|BGW,|BGW|IST|TIP|
TIP|EBL,|EBL|IST|TIP|
TIP|VKO,|VKO|IST|TIP|
TIP|MCT,|MCT|IST|TIP|
TIP|AYT,|AYT|IST|TIP|
TIP|SCQ,|SCQ|BIO|IST|TIP|
TIP|AAL,|AAL|IST|TIP|
