SZG|KUL,|KUL|IST|SZG|
SZG|KWE,|KWE|URC|IST|SZG|
SZG|KWL,|KWL|CKG|URC|IST|SZG|
SZG|LHW,|LHW|URC|IST|SZG|
SZG|LYA,|LYA|KHN|XIY|URC|IST|SZG|
SZG|LYG,|LYG|XUZ|INC|URC|IST|SZG|
SZG|LZH,|LZH|CAN|IST|SZG|
SZG|MEL,|MEL|BKK|IST|SZG|
SZG|MIG,|MIG|CSX|URC|IST|SZG|
SZG|MLE,|MLE|IST|SZG|
SZG|MNL,|MNL|CAN|IST|SZG|
SZG|MXZ,|MXZ|CAN|IST|SZG|
SZG|NAO,|NAO|PEK|IST|SZG|
SZG|NGB,|NGB|WUH|URC|IST|SZG|
SZG|NKG,|NKG|URC|IST|SZG|
SZG|NNY,|NNY|CGO|URC|IST|SZG|
SZG|PEN,|PEN|CAN|IST|SZG|
SZG|PER,|PER|BKK|IST|SZG|
SZG|PNH,|PNH|CAN|IST|SZG|
SZG|REP,|REP|CAN|IST|SZG|
SZG|RGN,|RGN|CAN|IST|SZG|
SZG|SGN,|SGN|BKK|IST|SZG|
SZG|SHA,|SHA|URC|IST|SZG|
SZG|SIN,|SIN|IST|SZG|
SZG|SVO,|SVO|URC|IST|SZG|
SZG|SYX,|SYX|CKG|URC|IST|SZG|
SZG|TAO,|TAO|TYN|URC|IST|SZG|
SZG|TEN,|TEN|CAN|IST|SZG|
SZG|TNA,|TNA|URC|IST|SZG|
SZG|TPE,|TPE|URC|IST|SZG|
SZG|TSN,|TSN|HET|URC|IST|SZG|
SZG|TXN,|TXN|TYN|URC|IST|SZG|
SZG|TYN,|TYN|URC|IST|SZG|
SZG|WNZ,|WNZ|XIY|URC|IST|SZG|
SZG|WUX,|WUX|CAN|IST|SZG|
SZG|XFN,|XFN|CAN|IST|SZG|
SZG|XIY,|XIY|URC|IST|SZG|
SZG|XUZ,|XUZ|INC|URC|IST|SZG|
SZG|YIH,|YIH|CKG|URC|IST|SZG|
SZG|YIW,|YIW|URC|IST|SZG|
SZG|YNT,|YNT|SHE|PEK|IST|SZG|
SZG|YNZ,|YNZ|WUH|URC|IST|SZG|
SZG|YTY,|YTY|CGO|URC|IST|SZG|
SZG|ZHA,|ZHA|CAN|IST|SZG|
SZG|ZYI,|ZYI|CAN|IST|SZG|
SZG|BAV,|BAV|URC|IST|SZG|
SZG|CJU,|CJU|DLC|PEK|IST|SZG|
SZG|DSN,|DSN|CGO|URC|IST|SZG|
SZG|HMI,|HMI|URC|IST|SZG|
SZG|INC,|INC|URC|IST|SZG|
SZG|KHH,|KHH|WUH|URC|IST|SZG|
SZG|UYN,|UYN|XIY|URC|IST|SZG|
SZG|XNN,|XNN|URC|IST|SZG|
SZG|ZUH,|ZUH|KWE|URC|IST|SZG|
SZG|YNJ,|YNJ|PEK|IST|SZG|
SZG|DAT,|DAT|TYN|URC|IST|SZG|
SZG|JHG,|JHG|KMG|CTU|URC|IST|SZG|
SZG|LJG,|LJG|KMG|CTU|URC|IST|SZG|
SZG|LXA,|LXA|CKG|URC|IST|SZG|
SZG|YCU,|YCU|CKG|URC|IST|SZG|
SZG|LZO,|LZO|CSX|URC|IST|SZG|
SZG|MDG,|MDG|DLC|PEK|IST|SZG|
SZG|NGO,|NGO|ICN|IST|SZG|
SZG|TOY,|TOY|DLC|PEK|IST|SZG|
SZG|MFM,|MFM|XMN|CSX|URC|IST|SZG|
SZG|TGO,|TGO|HET|URC|IST|SZG|
SZG|XIL,|XIL|HET|URC|IST|SZG|
SZG|HEK,|HEK|HRB|PEK|IST|SZG|
SZG|KIJ,|KIJ|HRB|PEK|IST|SZG|
SZG|LDS,|LDS|HRB|PEK|IST|SZG|
SZG|OHE,|OHE|HRB|PEK|IST|SZG|
SZG|HSN,|HSN|LYG|XUZ|INC|URC|IST|SZG|
SZG|DLU,|DLU|KMG|CTU|URC|IST|SZG|
SZG|SYM,|SYM|KMG|CTU|URC|IST|SZG|
SZG|ZAT,|ZAT|KMG|CTU|URC|IST|SZG|
SZG|LUN,|LUN|NBO|IST|SZG|
SZG|AOG,|AOG|PEK|IST|SZG|
SZG|GMP,|GMP|PEK|IST|SZG|
SZG|ISB,|ISB|IST|SZG|
SZG|TAS,|TAS|IST|SZG|
SZG|WUS,|WUS|PEK|IST|SZG|
SZG|JMU,|JMU|PVG|IST|SZG|
SZG|NDG,|NDG|PVG|IST|SZG|
SZG|JXA,|JXA|SHE|PEK|IST|SZG|
SZG|PUS,|PUS|SHE|PEK|IST|SZG|
SZG|BKI,|BKI|SZX|CKG|URC|IST|SZG|
SZG|AKU,|AKU|URC|IST|SZG|
SZG|ALA,|ALA|IST|SZG|
SZG|ASB,|ASB|IST|SZG|
SZG|DNH,|DNH|URC|IST|SZG|
SZG|DYU,|DYU|IST|SZG|
SZG|FRU,|FRU|IST|SZG|
SZG|GYD,|GYD|IST|SZG|
SZG|HTN,|HTN|URC|IST|SZG|
SZG|IKA,|IKA|IST|SZG|
SZG|KCA,|KCA|URC|IST|SZG|
SZG|KHG,|KHG|URC|IST|SZG|
SZG|KRL,|KRL|URC|IST|SZG|
SZG|KRY,|KRY|URC|IST|SZG|
SZG|LBD,|LBD|URC|IST|SZG|
SZG|NLT,|NLT|URC|IST|SZG|
SZG|OSS,|OSS|IST|SZG|
SZG|OVB,|OVB|IST|SZG|
SZG|TBS,|TBS|IST|SZG|
SZG|TCG,|TCG|URC|IST|SZG|
SZG|TSE,|TSE|IST|SZG|
SZG|YIN,|YIN|URC|IST|SZG|
SZG|ENH,|ENH|WUH|URC|IST|SZG|
SZG|ENY,|ENY|XIY|URC|IST|SZG|
SZG|WXN,|WXN|XIY|URC|IST|SZG|
SZG|BLL,|BLL|IST|SZG|
SZG|ESB,|ESB|IST|SZG|
SZG|SAW,|SAW|ADB|IST|SZG|
SZG|HAM,|HAM|IST|SZG|
SZG|HRE,|HRE|ADD|IST|SZG|
SZG|JUB,|JUB|CAI|IST|SZG|
SZG|SSG,|SSG|DLA|IST|SZG|
SZG|BGW,|BGW|IST|SZG|
SZG|EBL,|EBL|IST|SZG|
SZG|VKO,|VKO|IST|SZG|
SZG|MCT,|MCT|IST|SZG|
SZG|AYT,|AYT|IST|SZG|
SZG|SCQ,|SCQ|BIO|IST|SZG|
SZG|AAL,|AAL|IST|SZG|
SZG|AOE,|AOE|BRU|IST|SZG|
SZG|JNB,|JNB|IST|SZG|
SZG|LBV,|LBV|DLA|IST|SZG|
SZG|ADA,|ADA|IST|SZG|
SZG|ADB,|ADB|IST|SZG|
SZG|ADF,|ADF|IST|SZG|
SZG|AJI,|AJI|IST|SZG|
SZG|BAL,|BAL|IST|SZG|
SZG|BJV,|BJV|IST|SZG|
SZG|CKZ,|CKZ|ESB|IST|SZG|
SZG|DIY,|DIY|IST|SZG|
SZG|ECN,|ECN|IST|SZG|
SZG|ERC,|ERC|IST|SZG|
SZG|ERZ,|ERZ|IST|SZG|
SZG|EZS,|EZS|IST|SZG|
SZG|GNY,|GNY|IST|SZG|
SZG|GZP,|GZP|ESB|IST|SZG|
SZG|GZT,|GZT|IST|SZG|
SZG|HTY,|HTY|IST|SZG|
SZG|KCM,|KCM|IST|SZG|
SZG|KSY,|KSY|IST|SZG|
SZG|MLX,|MLX|IST|SZG|
SZG|MQM,|MQM|IST|SZG|
SZG|MSR,|MSR|IST|SZG|
SZG|TEQ,|TEQ|ESB|IST|SZG|
SZG|TZX,|TZX|IST|SZG|
SZG|VAN,|VAN|IST|SZG|
SZG|ULN,|ULN|FRU|IST|SZG|
SZG|HIJ,|HIJ|ICN|IST|SZG|
SZG|VVO,|VVO|ICN|IST|SZG|
SZG|ACC,|ACC|IST|SZG|
SZG|AER,|AER|IST|SZG|
SZG|AGP,|AGP|IST|SZG|
SZG|ALG,|ALG|IST|SZG|
SZG|AMM,|AMM|IST|SZG|
SZG|AQJ,|AQJ|IST|SZG|
SZG|ARN,|ARN|IST|SZG|
SZG|ASR,|ASR|IST|SZG|
SZG|ATH,|ATH|IST|SZG|
SZG|BAH,|BAH|IST|SZG|
SZG|BEG,|BEG|IST|SZG|
SZG|BEN,|BEN|IST|SZG|
SZG|BEY,|BEY|IST|SZG|
SZG|BHX,|BHX|IST|SZG|
SZG|BIO,|BIO|IST|SZG|
SZG|BLQ,|BLQ|IST|SZG|
SZG|BOM,|BOM|IST|SZG|
SZG|BRE,|BRE|IST|SZG|
SZG|BSL,|BSL|IST|SZG|
SZG|BSR,|BSR|IST|SZG|
SZG|BUD,|BUD|IST|SZG|
SZG|BUS,|BUS|IST|SZG|
SZG|CAI,|CAI|IST|SZG|
SZG|CGN,|CGN|IST|SZG|
SZG|CMN,|CMN|IST|SZG|
SZG|CND,|CND|IST|SZG|
SZG|DAR,|DAR|IST|SZG|
SZG|DLM,|DLM|IST|SZG|
SZG|DMM,|DMM|IST|SZG|
SZG|DNK,|DNK|IST|SZG|
SZG|DNZ,|DNZ|IST|SZG|
SZG|DOK,|DOK|IST|SZG|
SZG|DUS,|DUS|IST|SZG|
SZG|EDI,|EDI|IST|SZG|
SZG|ELQ,|ELQ|IST|SZG|
SZG|FDH,|FDH|IST|SZG|
SZG|GOA,|GOA|IST|SZG|
SZG|GOT,|GOT|IST|SZG|
SZG|HAJ,|HAJ|IST|SZG|
SZG|HBE,|HBE|IST|SZG|
SZG|HEL,|HEL|IST|SZG|
SZG|HRG,|HRG|IST|SZG|
SZG|IFN,|IFN|IST|SZG|
SZG|ISE,|ISE|IST|SZG|
SZG|ISU,|ISU|IST|SZG|
SZG|JIB,|JIB|IST|SZG|
SZG|JRO,|JRO|IST|SZG|
SZG|KAN,|KAN|IST|SZG|
SZG|KBL,|KBL|IST|SZG|
SZG|KBP,|KBP|IST|SZG|
SZG|KFS,|KFS|IST|SZG|
SZG|KHI,|KHI|IST|SZG|
SZG|KIV,|KIV|IST|SZG|
SZG|KRT,|KRT|IST|SZG|
SZG|KSH,|KSH|IST|SZG|
SZG|KVD,|KVD|IST|SZG|
SZG|KWI,|KWI|IST|SZG|
SZG|KYA,|KYA|IST|SZG|
SZG|KZN,|KZN|IST|SZG|
SZG|KZR,|KZR|IST|SZG|
SZG|LED,|LED|IST|SZG|
SZG|LEJ,|LEJ|IST|SZG|
SZG|LGW,|LGW|IST|SZG|
SZG|LHE,|LHE|IST|SZG|
SZG|LIS,|LIS|IST|SZG|
SZG|LJU,|LJU|IST|SZG|
SZG|LOS,|LOS|IST|SZG|
SZG|LUX,|LUX|IST|SZG|
SZG|LWO,|LWO|IST|SZG|
SZG|LYS,|LYS|IST|SZG|
SZG|MAD,|MAD|IST|SZG|
SZG|MAN,|MAN|IST|SZG|
SZG|MED,|MED|IST|SZG|
SZG|MHD,|MHD|IST|SZG|
SZG|MLA,|MLA|IST|SZG|
SZG|MRS,|MRS|IST|SZG|
SZG|MSQ,|MSQ|IST|SZG|
SZG|MXP,|MXP|IST|SZG|
SZG|MZH,|MZH|IST|SZG|
SZG|MZR,|MZR|IST|SZG|
SZG|NAJ,|NAJ|IST|SZG|
SZG|NAV,|NAV|IST|SZG|
SZG|NCE,|NCE|IST|SZG|
SZG|NIM,|NIM|IST|SZG|
SZG|NJF,|NJF|IST|SZG|
SZG|NSI,|NSI|IST|SZG|
SZG|NUE,|NUE|IST|SZG|
SZG|ODS,|ODS|IST|SZG|
SZG|ORN,|ORN|IST|SZG|
SZG|OTP,|OTP|IST|SZG|
SZG|PRG,|PRG|IST|SZG|
SZG|PRN,|PRN|IST|SZG|
SZG|RIX,|RIX|IST|SZG|
SZG|ROV,|ROV|IST|SZG|
SZG|RTM,|RTM|IST|SZG|
SZG|RUH,|RUH|IST|SZG|
SZG|SAH,|SAH|IST|SZG|
SZG|SJJ,|SJJ|IST|SZG|
SZG|SKG,|SKG|IST|SZG|
SZG|SKP,|SKP|IST|SZG|
SZG|SSH,|SSH|IST|SZG|
SZG|STR,|STR|IST|SZG|
SZG|SVX,|SVX|IST|SZG|
SZG|SYZ,|SYZ|IST|SZG|
SZG|TBZ,|TBZ|IST|SZG|
SZG|TGD,|TGD|IST|SZG|
SZG|TIA,|TIA|IST|SZG|
SZG|TIF,|TIF|IST|SZG|
SZG|TIP,|TIP|IST|SZG|
SZG|TLL,|TLL|IST|SZG|
SZG|TLS,|TLS|IST|SZG|
SZG|TRN,|TRN|IST|SZG|
SZG|TUN,|TUN|IST|SZG|
SZG|TXL,|TXL|IST|SZG|
SZG|UFA,|UFA|IST|SZG|
SZG|VAS,|VAS|IST|SZG|
SZG|VCE,|VCE|IST|SZG|
SZG|YNB,|YNB|IST|SZG|
SZG|ZAG,|ZAG|IST|SZG|
SZG|MGQ,|MGQ|JIB|IST|SZG|
SZG|CPT,|CPT|JNB|IST|SZG|
SZG|MBA,|MBA|JRO|IST|SZG|
SZG|NDJ,|NDJ|KAN|IST|SZG|
SZG|CMB,|CMB|MLE|IST|SZG|
SZG|ADE,|ADE|SAH|IST|SZG|
SZG|ASF,|ASF|SAW|ADB|IST|SZG|
SZG|STW,|STW|SAW|ADB|IST|SZG|
SZG|LFW,|LFW|ABJ|OUA|NIM|IST|SZG|
SZG|CEC,|CEC|ACV|SMF|SEA|FRA|IST|SZG|
SZG|SMF,|SMF|SEA|FRA|IST|SZG|
SZG|CDR,|CDR|AIA|DEN|FRA|IST|SZG|
SZG|FMN,|FMN|DEN|FRA|IST|SZG|
SZG|JST,|JST|IAD|IST|SZG|
SZG|JHW,|JHW|CLE|YYZ|IST|SZG|
SZG|SHD,|SHD|IAD|IST|SZG|
SZG|PTY,|PTY|MIA|ZRH|IST|SZG|
SZG|FNA,|FNA|BRU|IST|SZG|
SZG|SXB,|SXB|BRU|IST|SZG|
SZG|ACV,|ACV|SMF|SEA|FRA|IST|SZG|
SZG|MGW,|MGW|IAD|IST|SZG|
SZG|ALB,|ALB|EWR|BHX|IST|SZG|
SZG|AUS,|AUS|ORD|IST|SZG|
SZG|BFD,|BFD|CLE|YYZ|IST|SZG|
