SRQ|YCU,|YCU|CSX|PEK|ORD|SRQ|
SRQ|LZO,|LZO|CSX|PEK|ORD|SRQ|
SRQ|MDG,|MDG|ICN|YVR|ORD|SRQ|
SRQ|NGO,|NGO|ICN|YVR|ORD|SRQ|
SRQ|TOY,|TOY|DLC|PEK|ORD|SRQ|
SRQ|MFM,|MFM|XMN|PEK|ORD|SRQ|
SRQ|TGO,|TGO|HET|DLC|PEK|ORD|SRQ|
SRQ|XIL,|XIL|HET|DLC|PEK|ORD|SRQ|
SRQ|HEK,|HEK|HRB|PEK|ORD|SRQ|
SRQ|KIJ,|KIJ|HRB|PEK|ORD|SRQ|
SRQ|LDS,|LDS|HRB|PEK|ORD|SRQ|
SRQ|OHE,|OHE|HRB|PEK|ORD|SRQ|
SRQ|HSN,|HSN|PEK|ORD|SRQ|
SRQ|DLU,|DLU|KMG|PEK|ORD|SRQ|
SRQ|SYM,|SYM|KMG|PEK|ORD|SRQ|
SRQ|ZAT,|ZAT|KMG|PEK|ORD|SRQ|
SRQ|LUN,|LUN|NBO|ZRH|ORD|SRQ|
SRQ|AOG,|AOG|PEK|ORD|SRQ|
SRQ|GMP,|GMP|PEK|ORD|SRQ|
SRQ|ISB,|ISB|IST|ORD|SRQ|
SRQ|TAS,|TAS|IST|ORD|SRQ|
SRQ|WUS,|WUS|PEK|ORD|SRQ|
SRQ|JMU,|JMU|PVG|ORD|SRQ|
SRQ|NDG,|NDG|PVG|ORD|SRQ|
SRQ|JXA,|JXA|SHE|PEK|ORD|SRQ|
SRQ|PUS,|PUS|SHE|PEK|ORD|SRQ|
SRQ|BKI,|BKI|SZX|PEK|ORD|SRQ|
SRQ|AKU,|AKU|URC|TSE|FRA|ORD|SRQ|
SRQ|ALA,|ALA|TSE|FRA|ORD|SRQ|
SRQ|ASB,|ASB|GYD|FRA|ORD|SRQ|
SRQ|DNH,|DNH|XIY|PEK|ORD|SRQ|
SRQ|DYU,|DYU|IST|ORD|SRQ|
SRQ|FRU,|FRU|IST|ORD|SRQ|
SRQ|GYD,|GYD|FRA|ORD|SRQ|
SRQ|HTN,|HTN|URC|TSE|FRA|ORD|SRQ|
SRQ|IKA,|IKA|SAW|VIE|ORD|SRQ|
SRQ|KCA,|KCA|URC|TSE|FRA|ORD|SRQ|
SRQ|KHG,|KHG|URC|TSE|FRA|ORD|SRQ|
SRQ|KRL,|KRL|URC|TSE|FRA|ORD|SRQ|
SRQ|KRY,|KRY|URC|TSE|FRA|ORD|SRQ|
SRQ|LBD,|LBD|URC|TSE|FRA|ORD|SRQ|
SRQ|NLT,|NLT|URC|TSE|FRA|ORD|SRQ|
SRQ|OSS,|OSS|IST|ORD|SRQ|
SRQ|OVB,|OVB|IST|ORD|SRQ|
SRQ|TBS,|TBS|SAW|VIE|ORD|SRQ|
SRQ|TCG,|TCG|URC|TSE|FRA|ORD|SRQ|
SRQ|TSE,|TSE|FRA|ORD|SRQ|
SRQ|YIN,|YIN|URC|TSE|FRA|ORD|SRQ|
SRQ|ENH,|ENH|WUH|PEK|ORD|SRQ|
SRQ|ENY,|ENY|XIY|PEK|ORD|SRQ|
SRQ|WXN,|WXN|XIY|PEK|ORD|SRQ|
SRQ|BLL,|BLL|IST|ORD|SRQ|
SRQ|ESB,|ESB|VIE|ORD|SRQ|
SRQ|SAW,|SAW|VIE|ORD|SRQ|
SRQ|HAM,|HAM|EWR|ORD|SRQ|
SRQ|HRE,|HRE|ADD|IST|ORD|SRQ|
SRQ|JUB,|JUB|CAI|IST|ORD|SRQ|
SRQ|SSG,|SSG|DLA|BRU|ORD|SRQ|
SRQ|BGW,|BGW|ESB|VIE|ORD|SRQ|
SRQ|EBL,|EBL|IST|ORD|SRQ|
SRQ|VKO,|VKO|IST|ORD|SRQ|
