YUM|LDS,|LDS|HRB|ICN|LAX|YUM|
YUM|OHE,|OHE|HRB|ICN|LAX|YUM|
YUM|HSN,|HSN|PEK|LAX|YUM|
YUM|DLU,|DLU|KMG|PEK|LAX|YUM|
YUM|SYM,|SYM|KMG|PEK|LAX|YUM|
YUM|ZAT,|ZAT|KMG|PEK|LAX|YUM|
YUM|LUN,|LUN|NBO|ZRH|LAX|YUM|
YUM|AOG,|AOG|PEK|LAX|YUM|
YUM|GMP,|GMP|PEK|LAX|YUM|
YUM|ISB,|ISB|PEK|LAX|YUM|
YUM|TAS,|TAS|PEK|LAX|YUM|
YUM|WUS,|WUS|PEK|LAX|YUM|
YUM|JMU,|JMU|PVG|LAX|YUM|
YUM|NDG,|NDG|PVG|LAX|YUM|
YUM|JXA,|JXA|SHE|ICN|LAX|YUM|
YUM|PUS,|PUS|SHE|ICN|LAX|YUM|
YUM|BKI,|BKI|SZX|PVG|LAX|YUM|
YUM|AKU,|AKU|URC|PEK|LAX|YUM|
YUM|ALA,|ALA|URC|PEK|LAX|YUM|
YUM|ASB,|ASB|GYD|FRA|LAX|YUM|
YUM|DNH,|DNH|XIY|PEK|LAX|YUM|
YUM|DYU,|DYU|URC|PEK|LAX|YUM|
YUM|FRU,|FRU|URC|PEK|LAX|YUM|
YUM|GYD,|GYD|FRA|LAX|YUM|
YUM|HTN,|HTN|URC|PEK|LAX|YUM|
YUM|IKA,|IKA|IST|LAX|YUM|
YUM|KCA,|KCA|URC|PEK|LAX|YUM|
YUM|KHG,|KHG|URC|PEK|LAX|YUM|
YUM|KRL,|KRL|URC|PEK|LAX|YUM|
YUM|KRY,|KRY|URC|PEK|LAX|YUM|
YUM|LBD,|LBD|URC|PEK|LAX|YUM|
YUM|NLT,|NLT|URC|PEK|LAX|YUM|
YUM|OSS,|OSS|URC|PEK|LAX|YUM|
YUM|OVB,|OVB|URC|PEK|LAX|YUM|
YUM|TBS,|TBS|IST|LAX|YUM|
YUM|TCG,|TCG|URC|PEK|LAX|YUM|
YUM|TSE,|TSE|FRA|LAX|YUM|
YUM|YIN,|YIN|URC|PEK|LAX|YUM|
YUM|ENH,|ENH|WUH|ICN|LAX|YUM|
YUM|ENY,|ENY|XIY|PEK|LAX|YUM|
YUM|WXN,|WXN|XIY|PEK|LAX|YUM|
YUM|BLL,|BLL|IST|LAX|YUM|
YUM|ESB,|ESB|IST|LAX|YUM|
YUM|SAW,|SAW|FRA|LAX|YUM|
YUM|HAM,|HAM|EWR|LAX|YUM|
YUM|HRE,|HRE|ADD|IST|LAX|YUM|
YUM|JUB,|JUB|CAI|IST|LAX|YUM|
YUM|SSG,|SSG|DLA|BRU|ORD|LAX|YUM|
YUM|BGW,|BGW|IST|LAX|YUM|
YUM|EBL,|EBL|IST|LAX|YUM|
YUM|VKO,|VKO|IST|LAX|YUM|
YUM|MCT,|MCT|IST|LAX|YUM|
YUM|AYT,|AYT|IST|LAX|YUM|
YUM|SCQ,|SCQ|BIO|IST|LAX|YUM|
YUM|AAL,|AAL|IST|LAX|YUM|
YUM|AOE,|AOE|BRU|ORD|LAX|YUM|
YUM|JNB,|JNB|DKR|IAD|LAX|YUM|
YUM|LBV,|LBV|DLA|BRU|ORD|LAX|YUM|
YUM|ADA,|ADA|IST|LAX|YUM|
YUM|ADB,|ADB|IST|LAX|YUM|
YUM|ADF,|ADF|IST|LAX|YUM|
YUM|AJI,|AJI|IST|LAX|YUM|
YUM|BAL,|BAL|IST|LAX|YUM|
YUM|BJV,|BJV|IST|LAX|YUM|
YUM|CKZ,|CKZ|ESB|IST|LAX|YUM|
YUM|DIY,|DIY|IST|LAX|YUM|
YUM|ECN,|ECN|IST|LAX|YUM|
YUM|ERC,|ERC|IST|LAX|YUM|
YUM|ERZ,|ERZ|IST|LAX|YUM|
YUM|EZS,|EZS|IST|LAX|YUM|
YUM|GNY,|GNY|IST|LAX|YUM|
YUM|GZP,|GZP|ESB|IST|LAX|YUM|
YUM|GZT,|GZT|IST|LAX|YUM|
YUM|HTY,|HTY|IST|LAX|YUM|
YUM|KCM,|KCM|IST|LAX|YUM|
YUM|KSY,|KSY|IST|LAX|YUM|
YUM|MLX,|MLX|IST|LAX|YUM|
YUM|MQM,|MQM|IST|LAX|YUM|
YUM|MSR,|MSR|IST|LAX|YUM|
YUM|TEQ,|TEQ|ESB|IST|LAX|YUM|
YUM|TZX,|TZX|IST|LAX|YUM|
YUM|VAN,|VAN|IST|LAX|YUM|
YUM|ULN,|ULN|FRU|URC|PEK|LAX|YUM|
YUM|HIJ,|HIJ|ICN|LAX|YUM|
YUM|VVO,|VVO|ICN|LAX|YUM|
YUM|ACC,|ACC|IST|LAX|YUM|
YUM|AER,|AER|IST|LAX|YUM|
YUM|AGP,|AGP|IST|LAX|YUM|
YUM|ALG,|ALG|IST|LAX|YUM|
YUM|AMM,|AMM|IST|LAX|YUM|
YUM|AQJ,|AQJ|IST|LAX|YUM|
YUM|ARN,|ARN|EWR|LAX|YUM|
YUM|ASR,|ASR|IST|LAX|YUM|
YUM|ATH,|ATH|IST|LAX|YUM|
YUM|BAH,|BAH|IST|LAX|YUM|
YUM|BEG,|BEG|IST|LAX|YUM|
YUM|BEN,|BEN|IST|LAX|YUM|
YUM|BEY,|BEY|IST|LAX|YUM|
YUM|BHX,|BHX|EWR|LAX|YUM|
YUM|BIO,|BIO|IST|LAX|YUM|
YUM|BLQ,|BLQ|IST|LAX|YUM|
YUM|BOM,|BOM|IST|LAX|YUM|
YUM|BRE,|BRE|IST|LAX|YUM|
YUM|BSL,|BSL|IST|LAX|YUM|
YUM|BSR,|BSR|IST|LAX|YUM|
YUM|BUD,|BUD|IST|LAX|YUM|
YUM|BUS,|BUS|IST|LAX|YUM|
YUM|CAI,|CAI|IST|LAX|YUM|
YUM|CGN,|CGN|IST|LAX|YUM|
YUM|CMN,|CMN|IST|LAX|YUM|
YUM|CND,|CND|IST|LAX|YUM|
YUM|DAR,|DAR|NBO|ZRH|LAX|YUM|
YUM|DLM,|DLM|IST|LAX|YUM|
YUM|DMM,|DMM|IST|LAX|YUM|
YUM|DNK,|DNK|IST|LAX|YUM|
YUM|DNZ,|DNZ|IST|LAX|YUM|
YUM|DOK,|DOK|IST|LAX|YUM|
YUM|DUS,|DUS|ORD|LAX|YUM|
YUM|EDI,|EDI|EWR|LAX|YUM|
YUM|ELQ,|ELQ|IST|LAX|YUM|
YUM|FDH,|FDH|IST|LAX|YUM|
YUM|GOA,|GOA|IST|LAX|YUM|
YUM|GOT,|GOT|BRU|ORD|LAX|YUM|
YUM|HAJ,|HAJ|BRU|ORD|LAX|YUM|
YUM|HBE,|HBE|IST|LAX|YUM|
YUM|HEL,|HEL|IST|LAX|YUM|
YUM|HRG,|HRG|IST|LAX|YUM|
YUM|IFN,|IFN|IST|LAX|YUM|
YUM|ISE,|ISE|IST|LAX|YUM|
YUM|ISU,|ISU|IST|LAX|YUM|
YUM|JIB,|JIB|IST|LAX|YUM|
YUM|JRO,|JRO|IST|LAX|YUM|
YUM|KAN,|KAN|IST|LAX|YUM|
YUM|KBL,|KBL|IST|LAX|YUM|
YUM|KBP,|KBP|IST|LAX|YUM|
YUM|KFS,|KFS|IST|LAX|YUM|
YUM|KHI,|KHI|IST|LAX|YUM|
YUM|KIV,|KIV|IST|LAX|YUM|
YUM|KRT,|KRT|IST|LAX|YUM|
YUM|KSH,|KSH|IST|LAX|YUM|
YUM|KVD,|KVD|IST|LAX|YUM|
YUM|KWI,|KWI|IST|LAX|YUM|
YUM|KYA,|KYA|IST|LAX|YUM|
YUM|KZN,|KZN|IST|LAX|YUM|
YUM|KZR,|KZR|IST|LAX|YUM|
YUM|LED,|LED|VIE|ORD|LAX|YUM|
YUM|LEJ,|LEJ|IST|LAX|YUM|
YUM|LGW,|LGW|IST|LAX|YUM|
YUM|LHE,|LHE|IST|LAX|YUM|
YUM|LIS,|LIS|EWR|LAX|YUM|
YUM|LJU,|LJU|IST|LAX|YUM|
YUM|LOS,|LOS|IAH|LAX|YUM|
YUM|LUX,|LUX|IST|LAX|YUM|
YUM|LWO,|LWO|IST|LAX|YUM|
YUM|LYS,|LYS|IST|LAX|YUM|
YUM|MAD,|MAD|EWR|LAX|YUM|
YUM|MAN,|MAN|EWR|LAX|YUM|
YUM|MED,|MED|IST|LAX|YUM|
YUM|MHD,|MHD|IST|LAX|YUM|
YUM|MLA,|MLA|IST|LAX|YUM|
YUM|MRS,|MRS|IST|LAX|YUM|
YUM|MSQ,|MSQ|IST|LAX|YUM|
YUM|MXP,|MXP|EWR|LAX|YUM|
YUM|MZH,|MZH|IST|LAX|YUM|
YUM|MZR,|MZR|IST|LAX|YUM|
YUM|NAJ,|NAJ|IST|LAX|YUM|
YUM|NAV,|NAV|IST|LAX|YUM|
YUM|NCE,|NCE|IST|LAX|YUM|
YUM|NIM,|NIM|IST|LAX|YUM|
YUM|NJF,|NJF|IST|LAX|YUM|
YUM|NSI,|NSI|BRU|ORD|LAX|YUM|
YUM|NUE,|NUE|IST|LAX|YUM|
YUM|ODS,|ODS|IST|LAX|YUM|
YUM|ORN,|ORN|IST|LAX|YUM|
YUM|OTP,|OTP|IST|LAX|YUM|
YUM|PRG,|PRG|BRU|ORD|LAX|YUM|
YUM|PRN,|PRN|IST|LAX|YUM|
YUM|RIX,|RIX|IST|LAX|YUM|
YUM|ROV,|ROV|IST|LAX|YUM|
YUM|RTM,|RTM|IST|LAX|YUM|
YUM|RUH,|RUH|IST|LAX|YUM|
YUM|SAH,|SAH|IST|LAX|YUM|
YUM|SJJ,|SJJ|IST|LAX|YUM|
YUM|SKG,|SKG|IST|LAX|YUM|
YUM|SKP,|SKP|IST|LAX|YUM|
YUM|SSH,|SSH|IST|LAX|YUM|
YUM|STR,|STR|EWR|LAX|YUM|
YUM|SVX,|SVX|IST|LAX|YUM|
YUM|SYZ,|SYZ|IST|LAX|YUM|
YUM|SZG,|SZG|IST|LAX|YUM|
YUM|TBZ,|TBZ|IST|LAX|YUM|
YUM|TGD,|TGD|IST|LAX|YUM|
YUM|TIA,|TIA|IST|LAX|YUM|
YUM|TIF,|TIF|IST|LAX|YUM|
YUM|TIP,|TIP|IST|LAX|YUM|
YUM|TLL,|TLL|VNO|FRA|LAX|YUM|
YUM|TLS,|TLS|IST|LAX|YUM|
