ATL|INC,|INC|PEK|ORD|ATL|
ATL|KHH,|KHH|CGO|PEK|ORD|ATL|
ATL|UYN,|UYN|CGO|PEK|ORD|ATL|
ATL|XNN,|XNN|PEK|ORD|ATL|
ATL|ZUH,|ZUH|PEK|ORD|ATL|
ATL|YNJ,|YNJ|ICN|YVR|DEN|ATL|
ATL|DAT,|DAT|CIH|PEK|ORD|ATL|
ATL|JHG,|JHG|CKG|PEK|ORD|ATL|
ATL|LJG,|LJG|CKG|PEK|ORD|ATL|
ATL|LXA,|LXA|XIY|PEK|ORD|ATL|
ATL|YCU,|YCU|CSX|PEK|ORD|ATL|
ATL|LZO,|LZO|CSX|PEK|ORD|ATL|
ATL|MDG,|MDG|ICN|YVR|DEN|ATL|
ATL|NGO,|NGO|ICN|YVR|DEN|ATL|
ATL|TOY,|TOY|DLC|PEK|ORD|ATL|
ATL|MFM,|MFM|XMN|PEK|ORD|ATL|
ATL|TGO,|TGO|HET|DLC|PEK|ORD|ATL|
ATL|XIL,|XIL|HET|DLC|PEK|ORD|ATL|
ATL|HEK,|HEK|HRB|PEK|ORD|ATL|
ATL|KIJ,|KIJ|HRB|PEK|ORD|ATL|
ATL|LDS,|LDS|HRB|PEK|ORD|ATL|
ATL|OHE,|OHE|HRB|PEK|ORD|ATL|
ATL|HSN,|HSN|PEK|ORD|ATL|
ATL|DLU,|DLU|KMG|PEK|ORD|ATL|
ATL|SYM,|SYM|KMG|PEK|ORD|ATL|
ATL|ZAT,|ZAT|KMG|PEK|ORD|ATL|
ATL|LUN,|LUN|NBO|ZRH|BOS|ATL|
ATL|AOG,|AOG|PEK|ORD|ATL|
ATL|GMP,|GMP|PEK|ORD|ATL|
ATL|ISB,|ISB|IST|FRA|ATL|
ATL|TAS,|TAS|IST|FRA|ATL|
ATL|WUS,|WUS|PEK|ORD|ATL|
ATL|JMU,|JMU|PVG|ORD|ATL|
ATL|NDG,|NDG|PVG|ORD|ATL|
ATL|JXA,|JXA|SHE|PEK|ORD|ATL|
ATL|PUS,|PUS|SHE|PEK|ORD|ATL|
ATL|BKI,|BKI|SZX|PEK|ORD|ATL|
ATL|AKU,|AKU|URC|TSE|FRA|ATL|
ATL|ALA,|ALA|TSE|FRA|ATL|
ATL|ASB,|ASB|GYD|FRA|ATL|
ATL|DNH,|DNH|XIY|PEK|ORD|ATL|
ATL|DYU,|DYU|IST|FRA|ATL|
ATL|FRU,|FRU|IST|FRA|ATL|
ATL|GYD,|GYD|FRA|ATL|
ATL|HTN,|HTN|URC|TSE|FRA|ATL|
ATL|IKA,|IKA|SAW|FRA|ATL|
ATL|KCA,|KCA|URC|TSE|FRA|ATL|
ATL|KHG,|KHG|URC|TSE|FRA|ATL|
ATL|KRL,|KRL|URC|TSE|FRA|ATL|
ATL|KRY,|KRY|URC|TSE|FRA|ATL|
ATL|LBD,|LBD|URC|TSE|FRA|ATL|
ATL|NLT,|NLT|URC|TSE|FRA|ATL|
ATL|OSS,|OSS|IST|FRA|ATL|
ATL|OVB,|OVB|IST|FRA|ATL|
ATL|TBS,|TBS|SAW|FRA|ATL|
ATL|TCG,|TCG|URC|TSE|FRA|ATL|
ATL|TSE,|TSE|FRA|ATL|
ATL|YIN,|YIN|URC|TSE|FRA|ATL|
ATL|ENH,|ENH|WUH|PEK|ORD|ATL|
ATL|ENY,|ENY|XIY|PEK|ORD|ATL|
ATL|WXN,|WXN|XIY|PEK|ORD|ATL|
ATL|BLL,|BLL|IST|FRA|ATL|
ATL|ESB,|ESB|VIE|IAD|ATL|
ATL|SAW,|SAW|FRA|ATL|
ATL|HAM,|HAM|EWR|ATL|
ATL|HRE,|HRE|ADD|JED|FRA|ATL|
ATL|JUB,|JUB|CAI|JFK|ATL|
ATL|SSG,|SSG|DLA|BRU|IAD|ATL|
ATL|BGW,|BGW|ESB|VIE|IAD|ATL|
ATL|EBL,|EBL|IST|FRA|ATL|
ATL|VKO,|VKO|IST|FRA|ATL|
ATL|MCT,|MCT|IST|FRA|ATL|
ATL|AYT,|AYT|IST|FRA|ATL|
ATL|SCQ,|SCQ|BIO|IST|FRA|ATL|
ATL|AAL,|AAL|IST|FRA|ATL|
ATL|AOE,|AOE|BRU|IAD|ATL|
ATL|JNB,|JNB|DKR|IAD|ATL|
ATL|LBV,|LBV|DLA|BRU|IAD|ATL|
ATL|ADA,|ADA|SAW|FRA|ATL|
ATL|ADB,|ADB|HAM|EWR|ATL|
ATL|ADF,|ADF|ESB|VIE|IAD|ATL|
ATL|AJI,|AJI|ESB|VIE|IAD|ATL|
ATL|BAL,|BAL|ESB|VIE|IAD|ATL|
ATL|BJV,|BJV|IST|FRA|ATL|
ATL|CKZ,|CKZ|ESB|VIE|IAD|ATL|
ATL|DIY,|DIY|ESB|VIE|IAD|ATL|
ATL|ECN,|ECN|IST|FRA|ATL|
ATL|ERC,|ERC|ESB|VIE|IAD|ATL|
ATL|ERZ,|ERZ|ESB|VIE|IAD|ATL|
ATL|EZS,|EZS|ESB|VIE|IAD|ATL|
ATL|GNY,|GNY|ESB|VIE|IAD|ATL|
ATL|GZP,|GZP|ESB|VIE|IAD|ATL|
ATL|GZT,|GZT|ESB|VIE|IAD|ATL|
ATL|HTY,|HTY|SAW|FRA|ATL|
ATL|KCM,|KCM|ESB|VIE|IAD|ATL|
ATL|KSY,|KSY|ESB|VIE|IAD|ATL|
ATL|MLX,|MLX|ESB|VIE|IAD|ATL|
ATL|MQM,|MQM|ESB|VIE|IAD|ATL|
ATL|MSR,|MSR|ESB|VIE|IAD|ATL|
ATL|TEQ,|TEQ|ESB|VIE|IAD|ATL|
ATL|TZX,|TZX|ESB|VIE|IAD|ATL|
ATL|VAN,|VAN|ESB|VIE|IAD|ATL|
ATL|ULN,|ULN|FRU|IST|FRA|ATL|
ATL|HIJ,|HIJ|ICN|YVR|DEN|ATL|
ATL|VVO,|VVO|ICN|YVR|DEN|ATL|
ATL|ACC,|ACC|IST|FRA|ATL|
ATL|AER,|AER|IST|FRA|ATL|
ATL|AGP,|AGP|IST|FRA|ATL|
ATL|ALG,|ALG|IST|FRA|ATL|
ATL|AMM,|AMM|IST|FRA|ATL|
ATL|AQJ,|AQJ|IST|FRA|ATL|
ATL|ARN,|ARN|EWR|ATL|
ATL|ASR,|ASR|SAW|FRA|ATL|
ATL|ATH,|ATH|IST|FRA|ATL|
ATL|BAH,|BAH|KWI|IAD|ATL|
ATL|BEG,|BEG|IST|FRA|ATL|
ATL|BEN,|BEN|IST|FRA|ATL|
ATL|BEY,|BEY|IST|FRA|ATL|
ATL|BHX,|BHX|EWR|ATL|
ATL|BIO,|BIO|IST|FRA|ATL|
ATL|BLQ,|BLQ|IST|FRA|ATL|
ATL|BOM,|BOM|EWR|ATL|
ATL|BRE,|BRE|IST|FRA|ATL|
ATL|BSL,|BSL|IST|FRA|ATL|
ATL|BSR,|BSR|IST|FRA|ATL|
ATL|BUD,|BUD|IST|FRA|ATL|
ATL|BUS,|BUS|IST|FRA|ATL|
ATL|CAI,|CAI|JFK|ATL|
ATL|CGN,|CGN|IST|FRA|ATL|
ATL|CMN,|CMN|IST|FRA|ATL|
ATL|CND,|CND|IST|FRA|ATL|
ATL|DAR,|DAR|NBO|ZRH|BOS|ATL|
ATL|DLM,|DLM|IST|FRA|ATL|
ATL|DMM,|DMM|IST|FRA|ATL|
ATL|DNK,|DNK|IST|FRA|ATL|
ATL|DNZ,|DNZ|IST|FRA|ATL|
ATL|DOK,|DOK|IST|FRA|ATL|
ATL|DUS,|DUS|EWR|ATL|
ATL|EDI,|EDI|EWR|ATL|
ATL|ELQ,|ELQ|IST|FRA|ATL|
ATL|FDH,|FDH|IST|FRA|ATL|
ATL|GOA,|GOA|IST|FRA|ATL|
ATL|GOT,|GOT|BRU|IAD|ATL|
ATL|HAJ,|HAJ|BRU|IAD|ATL|
ATL|HBE,|HBE|IST|FRA|ATL|
ATL|HEL,|HEL|IST|FRA|ATL|
ATL|HRG,|HRG|IST|FRA|ATL|
ATL|IFN,|IFN|IST|FRA|ATL|
ATL|ISE,|ISE|IST|FRA|ATL|
ATL|ISU,|ISU|IST|FRA|ATL|
ATL|JIB,|JIB|IST|FRA|ATL|
ATL|JRO,|JRO|IST|FRA|ATL|
ATL|KAN,|KAN|IST|FRA|ATL|
ATL|KBL,|KBL|IST|FRA|ATL|
ATL|KBP,|KBP|IST|FRA|ATL|
ATL|KFS,|KFS|IST|FRA|ATL|
ATL|KHI,|KHI|IST|FRA|ATL|
ATL|KIV,|KIV|IST|FRA|ATL|
ATL|KRT,|KRT|IST|FRA|ATL|
ATL|KSH,|KSH|IST|FRA|ATL|
ATL|KVD,|KVD|IST|FRA|ATL|
ATL|KWI,|KWI|IAD|ATL|
ATL|KYA,|KYA|IST|FRA|ATL|
ATL|KZN,|KZN|IST|FRA|ATL|
ATL|KZR,|KZR|IST|FRA|ATL|
ATL|LED,|LED|VIE|IAD|ATL|
ATL|LEJ,|LEJ|IST|FRA|ATL|
ATL|LGW,|LGW|IST|FRA|ATL|
ATL|LHE,|LHE|IST|FRA|ATL|
ATL|LIS,|LIS|EWR|ATL|
ATL|LJU,|LJU|IST|FRA|ATL|
ATL|LOS,|LOS|IAH|ATL|
ATL|LUX,|LUX|IST|FRA|ATL|
ATL|LWO,|LWO|IST|FRA|ATL|
ATL|LYS,|LYS|IST|FRA|ATL|
ATL|MAD,|MAD|EWR|ATL|
ATL|MAN,|MAN|IAD|ATL|
ATL|MED,|MED|IST|FRA|ATL|
ATL|MHD,|MHD|IST|FRA|ATL|
ATL|MLA,|MLA|IST|FRA|ATL|
ATL|MRS,|MRS|IST|FRA|ATL|
ATL|MSQ,|MSQ|IST|FRA|ATL|
