MCO|DYU,|DYU|IST|FRA|MCO|
MCO|FRU,|FRU|IST|FRA|MCO|
MCO|GYD,|GYD|FRA|MCO|
MCO|HTN,|HTN|URC|TSE|FRA|MCO|
MCO|IKA,|IKA|SAW|FRA|MCO|
MCO|KCA,|KCA|URC|TSE|FRA|MCO|
MCO|KHG,|KHG|URC|TSE|FRA|MCO|
MCO|KRL,|KRL|URC|TSE|FRA|MCO|
MCO|KRY,|KRY|URC|TSE|FRA|MCO|
MCO|LBD,|LBD|URC|TSE|FRA|MCO|
MCO|NLT,|NLT|URC|TSE|FRA|MCO|
MCO|OSS,|OSS|IST|FRA|MCO|
MCO|OVB,|OVB|IST|FRA|MCO|
MCO|TBS,|TBS|SAW|FRA|MCO|
MCO|TCG,|TCG|URC|TSE|FRA|MCO|
MCO|TSE,|TSE|FRA|MCO|
MCO|YIN,|YIN|URC|TSE|FRA|MCO|
MCO|ENH,|ENH|WUH|PEK|ORD|MCO|
MCO|ENY,|ENY|XIY|PEK|ORD|MCO|
MCO|WXN,|WXN|XIY|PEK|ORD|MCO|
MCO|BLL,|BLL|IST|FRA|MCO|
MCO|ESB,|ESB|FRA|MCO|
MCO|SAW,|SAW|FRA|MCO|
MCO|HAM,|HAM|EWR|MCO|
MCO|HRE,|HRE|ADD|JED|FRA|MCO|
MCO|JUB,|JUB|CAI|JFK|IAD|MCO|
MCO|SSG,|SSG|DLA|BRU|EWR|MCO|
MCO|BGW,|BGW|ESB|FRA|MCO|
MCO|EBL,|EBL|IST|FRA|MCO|
MCO|VKO,|VKO|IST|FRA|MCO|
MCO|MCT,|MCT|IST|FRA|MCO|
MCO|AYT,|AYT|IST|FRA|MCO|
MCO|SCQ,|SCQ|BIO|IST|FRA|MCO|
MCO|AAL,|AAL|IST|FRA|MCO|
MCO|AOE,|AOE|BRU|EWR|MCO|
MCO|JNB,|JNB|DKR|IAD|MCO|
MCO|LBV,|LBV|DLA|BRU|EWR|MCO|
MCO|ADA,|ADA|SAW|FRA|MCO|
MCO|ADB,|ADB|HAM|EWR|MCO|
MCO|ADF,|ADF|ESB|FRA|MCO|
MCO|AJI,|AJI|ESB|FRA|MCO|
MCO|BAL,|BAL|ESB|FRA|MCO|
MCO|BJV,|BJV|IST|FRA|MCO|
MCO|CKZ,|CKZ|ESB|FRA|MCO|
MCO|DIY,|DIY|ESB|FRA|MCO|
MCO|ECN,|ECN|IST|FRA|MCO|
MCO|ERC,|ERC|ESB|FRA|MCO|
MCO|ERZ,|ERZ|ESB|FRA|MCO|
MCO|EZS,|EZS|ESB|FRA|MCO|
MCO|GNY,|GNY|ESB|FRA|MCO|
MCO|GZP,|GZP|ESB|FRA|MCO|
MCO|GZT,|GZT|ESB|FRA|MCO|
MCO|HTY,|HTY|SAW|FRA|MCO|
MCO|KCM,|KCM|ESB|FRA|MCO|
