OSL|JIU,|JIU|CAN|IST|OSL|
OSL|JJN,|JJN|CSX|URC|IST|OSL|
OSL|JNG,|JNG|CAN|IST|OSL|
OSL|KHN,|KHN|XIY|URC|IST|OSL|
OSL|KIX,|KIX|IST|OSL|
OSL|KOW,|KOW|CAN|IST|OSL|
OSL|KTM,|KTM|IST|OSL|
OSL|KUL,|KUL|IST|OSL|
OSL|KWE,|KWE|URC|IST|OSL|
OSL|KWL,|KWL|CKG|URC|IST|OSL|
OSL|LHW,|LHW|URC|IST|OSL|
OSL|LYA,|LYA|KHN|XIY|URC|IST|OSL|
OSL|LYG,|LYG|XUZ|INC|URC|IST|OSL|
OSL|LZH,|LZH|CAN|IST|OSL|
OSL|MEL,|MEL|BKK|IST|OSL|
OSL|MIG,|MIG|CSX|URC|IST|OSL|
OSL|MLE,|MLE|IST|OSL|
OSL|MNL,|MNL|CAN|IST|OSL|
OSL|MXZ,|MXZ|CAN|IST|OSL|
OSL|NAO,|NAO|PEK|IST|OSL|
OSL|NGB,|NGB|WUH|URC|IST|OSL|
OSL|NKG,|NKG|URC|IST|OSL|
OSL|NNY,|NNY|CGO|URC|IST|OSL|
OSL|PEN,|PEN|CAN|IST|OSL|
OSL|PER,|PER|BKK|IST|OSL|
OSL|PNH,|PNH|CAN|IST|OSL|
OSL|REP,|REP|CAN|IST|OSL|
OSL|RGN,|RGN|CAN|IST|OSL|
OSL|SGN,|SGN|BKK|IST|OSL|
OSL|SHA,|SHA|URC|IST|OSL|
OSL|SIN,|SIN|IST|OSL|
OSL|SVO,|SVO|URC|IST|OSL|
OSL|SYX,|SYX|CKG|URC|IST|OSL|
OSL|TAO,|TAO|TYN|URC|IST|OSL|
OSL|TEN,|TEN|CAN|IST|OSL|
OSL|TNA,|TNA|URC|IST|OSL|
OSL|TPE,|TPE|URC|IST|OSL|
OSL|TSN,|TSN|HET|URC|IST|OSL|
OSL|TXN,|TXN|TYN|URC|IST|OSL|
OSL|TYN,|TYN|URC|IST|OSL|
OSL|WNZ,|WNZ|XIY|URC|IST|OSL|
OSL|WUX,|WUX|CAN|IST|OSL|
OSL|XFN,|XFN|CAN|IST|OSL|
OSL|XIY,|XIY|URC|IST|OSL|
OSL|XUZ,|XUZ|INC|URC|IST|OSL|
OSL|YIH,|YIH|CKG|URC|IST|OSL|
OSL|YIW,|YIW|URC|IST|OSL|
OSL|YNT,|YNT|SHE|PEK|IST|OSL|
OSL|YNZ,|YNZ|WUH|URC|IST|OSL|
OSL|YTY,|YTY|CGO|URC|IST|OSL|
OSL|ZHA,|ZHA|CAN|IST|OSL|
OSL|ZYI,|ZYI|CAN|IST|OSL|
OSL|BAV,|BAV|URC|IST|OSL|
OSL|CJU,|CJU|DLC|PEK|IST|OSL|
OSL|DSN,|DSN|CGO|URC|IST|OSL|
OSL|HMI,|HMI|URC|IST|OSL|
OSL|INC,|INC|URC|IST|OSL|
OSL|KHH,|KHH|WUH|URC|IST|OSL|
OSL|UYN,|UYN|XIY|URC|IST|OSL|
OSL|XNN,|XNN|URC|IST|OSL|
OSL|ZUH,|ZUH|KWE|URC|IST|OSL|
OSL|YNJ,|YNJ|PEK|IST|OSL|
OSL|DAT,|DAT|TYN|URC|IST|OSL|
OSL|JHG,|JHG|KMG|CTU|URC|IST|OSL|
OSL|LJG,|LJG|KMG|CTU|URC|IST|OSL|
OSL|LXA,|LXA|CKG|URC|IST|OSL|
OSL|YCU,|YCU|CKG|URC|IST|OSL|
OSL|LZO,|LZO|CSX|URC|IST|OSL|
OSL|MDG,|MDG|DLC|PEK|IST|OSL|
OSL|NGO,|NGO|ICN|IST|OSL|
OSL|TOY,|TOY|DLC|PEK|IST|OSL|
OSL|MFM,|MFM|XMN|CSX|URC|IST|OSL|
OSL|TGO,|TGO|HET|URC|IST|OSL|
OSL|XIL,|XIL|HET|URC|IST|OSL|
OSL|HEK,|HEK|HRB|PEK|IST|OSL|
OSL|KIJ,|KIJ|HRB|PEK|IST|OSL|
OSL|LDS,|LDS|HRB|PEK|IST|OSL|
OSL|OHE,|OHE|HRB|PEK|IST|OSL|
OSL|HSN,|HSN|LYG|XUZ|INC|URC|IST|OSL|
OSL|DLU,|DLU|KMG|CTU|URC|IST|OSL|
OSL|SYM,|SYM|KMG|CTU|URC|IST|OSL|
OSL|ZAT,|ZAT|KMG|CTU|URC|IST|OSL|
OSL|LUN,|LUN|NBO|IST|OSL|
OSL|AOG,|AOG|PEK|IST|OSL|
OSL|GMP,|GMP|PEK|IST|OSL|
OSL|ISB,|ISB|IST|OSL|
OSL|TAS,|TAS|IST|OSL|
OSL|WUS,|WUS|PEK|IST|OSL|
OSL|JMU,|JMU|PVG|IST|OSL|
OSL|NDG,|NDG|PVG|IST|OSL|
OSL|JXA,|JXA|SHE|PEK|IST|OSL|
OSL|PUS,|PUS|SHE|PEK|IST|OSL|
OSL|BKI,|BKI|SZX|CKG|URC|IST|OSL|
OSL|AKU,|AKU|URC|IST|OSL|
OSL|ALA,|ALA|IST|OSL|
OSL|ASB,|ASB|IST|OSL|
OSL|DNH,|DNH|URC|IST|OSL|
OSL|DYU,|DYU|IST|OSL|
OSL|FRU,|FRU|IST|OSL|
OSL|GYD,|GYD|IST|OSL|
OSL|HTN,|HTN|URC|IST|OSL|
OSL|IKA,|IKA|IST|OSL|
OSL|KCA,|KCA|URC|IST|OSL|
OSL|KHG,|KHG|URC|IST|OSL|
OSL|KRL,|KRL|URC|IST|OSL|
OSL|KRY,|KRY|URC|IST|OSL|
OSL|LBD,|LBD|URC|IST|OSL|
OSL|NLT,|NLT|URC|IST|OSL|
OSL|OSS,|OSS|IST|OSL|
OSL|OVB,|OVB|IST|OSL|
OSL|TBS,|TBS|IST|OSL|
OSL|TCG,|TCG|URC|IST|OSL|
OSL|TSE,|TSE|IST|OSL|
OSL|YIN,|YIN|URC|IST|OSL|
OSL|ENH,|ENH|WUH|URC|IST|OSL|
OSL|ENY,|ENY|XIY|URC|IST|OSL|
OSL|WXN,|WXN|XIY|URC|IST|OSL|
OSL|BLL,|BLL|IST|OSL|
OSL|ESB,|ESB|IST|OSL|
OSL|SAW,|SAW|ADB|IST|OSL|
OSL|HAM,|HAM|IST|OSL|
OSL|HRE,|HRE|ADD|IST|OSL|
OSL|JUB,|JUB|CAI|IST|OSL|
OSL|SSG,|SSG|DLA|IST|OSL|
OSL|BGW,|BGW|IST|OSL|
OSL|EBL,|EBL|IST|OSL|
OSL|VKO,|VKO|IST|OSL|
OSL|MCT,|MCT|IST|OSL|
OSL|AYT,|AYT|IST|OSL|
OSL|SCQ,|SCQ|BIO|IST|OSL|
OSL|AAL,|AAL|IST|OSL|
OSL|AOE,|AOE|BRU|IST|OSL|
