YEG|YCU,|YCU|CSX|ICN|YVR|YEG|
YEG|LZO,|LZO|CSX|ICN|YVR|YEG|
YEG|MDG,|MDG|ICN|YVR|YEG|
YEG|NGO,|NGO|ICN|YVR|YEG|
YEG|TOY,|TOY|DLC|ICN|YVR|YEG|
YEG|MFM,|MFM|XMN|PEK|YVR|YEG|
YEG|TGO,|TGO|HET|DLC|ICN|YVR|YEG|
YEG|XIL,|XIL|HET|DLC|ICN|YVR|YEG|
YEG|HEK,|HEK|HRB|ICN|YVR|YEG|
YEG|KIJ,|KIJ|HRB|ICN|YVR|YEG|
YEG|LDS,|LDS|HRB|ICN|YVR|YEG|
YEG|OHE,|OHE|HRB|ICN|YVR|YEG|
YEG|HSN,|HSN|PEK|YVR|YEG|
YEG|DLU,|DLU|KMG|PEK|YVR|YEG|
YEG|SYM,|SYM|KMG|PEK|YVR|YEG|
YEG|ZAT,|ZAT|KMG|PEK|YVR|YEG|
YEG|LUN,|LUN|NBO|IST|LHR|YEG|
YEG|AOG,|AOG|PEK|YVR|YEG|
YEG|GMP,|GMP|PEK|YVR|YEG|
YEG|ISB,|ISB|PEK|YVR|YEG|
YEG|TAS,|TAS|IST|LHR|YEG|
YEG|WUS,|WUS|PEK|YVR|YEG|
YEG|JMU,|JMU|PVG|YVR|YEG|
YEG|NDG,|NDG|PVG|YVR|YEG|
YEG|JXA,|JXA|SHE|ICN|YVR|YEG|
YEG|PUS,|PUS|SHE|ICN|YVR|YEG|
YEG|BKI,|BKI|SZX|PVG|YVR|YEG|
YEG|AKU,|AKU|URC|PEK|YVR|YEG|
YEG|ALA,|ALA|URC|PEK|YVR|YEG|
YEG|ASB,|ASB|IST|LHR|YEG|
YEG|DNH,|DNH|XIY|PEK|YVR|YEG|
YEG|DYU,|DYU|IST|LHR|YEG|
YEG|FRU,|FRU|URC|PEK|YVR|YEG|
YEG|GYD,|GYD|IST|LHR|YEG|
YEG|HTN,|HTN|URC|PEK|YVR|YEG|
YEG|IKA,|IKA|IST|LHR|YEG|
YEG|KCA,|KCA|URC|PEK|YVR|YEG|
YEG|KHG,|KHG|URC|PEK|YVR|YEG|
YEG|KRL,|KRL|URC|PEK|YVR|YEG|
YEG|KRY,|KRY|URC|PEK|YVR|YEG|
YEG|LBD,|LBD|URC|PEK|YVR|YEG|
YEG|NLT,|NLT|URC|PEK|YVR|YEG|
YEG|OSS,|OSS|IST|LHR|YEG|
YEG|OVB,|OVB|URC|PEK|YVR|YEG|
YEG|TBS,|TBS|IST|LHR|YEG|
YEG|TCG,|TCG|URC|PEK|YVR|YEG|
YEG|TSE,|TSE|FRA|YYC|YEG|
YEG|YIN,|YIN|URC|PEK|YVR|YEG|
YEG|ENH,|ENH|WUH|ICN|YVR|YEG|
YEG|ENY,|ENY|XIY|PEK|YVR|YEG|
YEG|WXN,|WXN|XIY|PEK|YVR|YEG|
YEG|BLL,|BLL|IST|LHR|YEG|
YEG|ESB,|ESB|IST|LHR|YEG|
YEG|SAW,|SAW|FRA|YYC|YEG|
YEG|HAM,|HAM|EWR|YEG|
YEG|HRE,|HRE|ADD|IST|LHR|YEG|
YEG|JUB,|JUB|CAI|IST|LHR|YEG|
YEG|SSG,|SSG|DLA|BRU|YUL|YEG|
YEG|BGW,|BGW|IST|LHR|YEG|
YEG|EBL,|EBL|IST|LHR|YEG|
YEG|VKO,|VKO|IST|LHR|YEG|
YEG|MCT,|MCT|IST|LHR|YEG|
YEG|AYT,|AYT|IST|LHR|YEG|
YEG|SCQ,|SCQ|BIO|IST|LHR|YEG|
YEG|AAL,|AAL|IST|LHR|YEG|
YEG|AOE,|AOE|BRU|YUL|YEG|
YEG|JNB,|JNB|JFK|YYZ|YEG|
YEG|LBV,|LBV|DLA|BRU|YUL|YEG|
YEG|ADA,|ADA|IST|LHR|YEG|
YEG|ADB,|ADB|IST|LHR|YEG|
YEG|ADF,|ADF|IST|LHR|YEG|
YEG|AJI,|AJI|IST|LHR|YEG|
YEG|BAL,|BAL|IST|LHR|YEG|
YEG|BJV,|BJV|IST|LHR|YEG|
YEG|CKZ,|CKZ|ESB|IST|LHR|YEG|
YEG|DIY,|DIY|IST|LHR|YEG|
YEG|ECN,|ECN|IST|LHR|YEG|
YEG|ERC,|ERC|IST|LHR|YEG|
YEG|ERZ,|ERZ|IST|LHR|YEG|
YEG|EZS,|EZS|IST|LHR|YEG|
YEG|GNY,|GNY|IST|LHR|YEG|
YEG|GZP,|GZP|ESB|IST|LHR|YEG|
YEG|GZT,|GZT|IST|LHR|YEG|
YEG|HTY,|HTY|IST|LHR|YEG|
YEG|KCM,|KCM|IST|LHR|YEG|
YEG|KSY,|KSY|IST|LHR|YEG|
YEG|MLX,|MLX|IST|LHR|YEG|
YEG|MQM,|MQM|IST|LHR|YEG|
YEG|MSR,|MSR|IST|LHR|YEG|
YEG|TEQ,|TEQ|ESB|IST|LHR|YEG|
YEG|TZX,|TZX|IST|LHR|YEG|
