MSO|CZX,|CZX|SHE|ICN|YVR|DEN|MSO|
MSO|DAC,|DAC|CAN|YVR|DEN|MSO|
MSO|DAD,|DAD|CAN|YVR|DEN|MSO|
MSO|DEL,|DEL|EWR|DEN|MSO|
MSO|DIG,|DIG|KMG|PEK|YVR|DEN|MSO|
MSO|DLC,|DLC|ICN|YVR|DEN|MSO|
MSO|DPS,|DPS|SZX|PVG|YVR|DEN|MSO|
MSO|DXB,|DXB|IST|FRA|DEN|MSO|
MSO|DYG,|DYG|PEK|YVR|DEN|MSO|
MSO|FUG,|FUG|CAN|YVR|DEN|MSO|
MSO|FUK,|FUK|ICN|YVR|DEN|MSO|
MSO|HAK,|HAK|CAN|YVR|DEN|MSO|
MSO|HAN,|HAN|PEK|YVR|DEN|MSO|
MSO|HDG,|HDG|CAN|YVR|DEN|MSO|
MSO|HET,|HET|DLC|ICN|YVR|DEN|MSO|
MSO|HFE,|HFE|TYN|DLC|ICN|YVR|DEN|MSO|
MSO|HJJ,|HJJ|CSX|ICN|YVR|DEN|MSO|
MSO|HKT,|HKT|KWE|PEK|YVR|DEN|MSO|
MSO|HRB,|HRB|ICN|YVR|DEN|MSO|
MSO|HZH,|HZH|CAN|YVR|DEN|MSO|
MSO|JIU,|JIU|CAN|YVR|DEN|MSO|
MSO|JJN,|JJN|PEK|YVR|DEN|MSO|
MSO|JNG,|JNG|CAN|YVR|DEN|MSO|
MSO|KHN,|KHN|DLC|ICN|YVR|DEN|MSO|
MSO|KIX,|KIX|SFO|DEN|MSO|
MSO|KOW,|KOW|PEK|YVR|DEN|MSO|
MSO|KTM,|KTM|CAN|YVR|DEN|MSO|
MSO|KUL,|KUL|PVG|YVR|DEN|MSO|
MSO|KWE,|KWE|PEK|YVR|DEN|MSO|
MSO|KWL,|KWL|PEK|YVR|DEN|MSO|
MSO|LHW,|LHW|CGO|PEK|YVR|DEN|MSO|
MSO|LYA,|LYA|KHN|DLC|ICN|YVR|DEN|MSO|
MSO|LYG,|LYG|HSN|PEK|YVR|DEN|MSO|
MSO|LZH,|LZH|CAN|YVR|DEN|MSO|
MSO|MEL,|MEL|SYD|LAX|DEN|MSO|
MSO|MIG,|MIG|CSX|ICN|YVR|DEN|MSO|
MSO|MLE,|MLE|IST|FRA|DEN|MSO|
MSO|MNL,|MNL|XMN|PEK|YVR|DEN|MSO|
MSO|MXZ,|MXZ|CAN|YVR|DEN|MSO|
MSO|NAO,|NAO|PEK|YVR|DEN|MSO|
MSO|NGB,|NGB|DLC|ICN|YVR|DEN|MSO|
MSO|NKG,|NKG|DLC|ICN|YVR|DEN|MSO|
MSO|NNY,|NNY|CGO|PEK|YVR|DEN|MSO|
MSO|PEN,|PEN|CAN|YVR|DEN|MSO|
MSO|PER,|PER|CAN|YVR|DEN|MSO|
MSO|PNH,|PNH|CAN|YVR|DEN|MSO|
MSO|REP,|REP|ICN|YVR|DEN|MSO|
MSO|RGN,|RGN|CAN|YVR|DEN|MSO|
MSO|SGN,|SGN|HKG|YVR|DEN|MSO|
MSO|SHA,|SHA|PEK|YVR|DEN|MSO|
MSO|SIN,|SIN|HKG|YVR|DEN|MSO|
MSO|SVO,|SVO|URC|PEK|YVR|DEN|MSO|
MSO|SYX,|SYX|CAN|YVR|DEN|MSO|
MSO|TAO,|TAO|DLC|ICN|YVR|DEN|MSO|
MSO|TEN,|TEN|PEK|YVR|DEN|MSO|
MSO|TNA,|TNA|DLC|ICN|YVR|DEN|MSO|
MSO|TPE,|TPE|PVG|YVR|DEN|MSO|
MSO|TSN,|TSN|DLC|ICN|YVR|DEN|MSO|
MSO|TXN,|TXN|DLC|ICN|YVR|DEN|MSO|
MSO|TYN,|TYN|DLC|ICN|YVR|DEN|MSO|
MSO|WNZ,|WNZ|CGO|PEK|YVR|DEN|MSO|
MSO|WUX,|WUX|CAN|YVR|DEN|MSO|
MSO|XFN,|XFN|CAN|YVR|DEN|MSO|
MSO|XIY,|XIY|PEK|YVR|DEN|MSO|
MSO|XUZ,|XUZ|LYG|HSN|PEK|YVR|DEN|MSO|
MSO|YIH,|YIH|CKG|PEK|YVR|DEN|MSO|
MSO|YIW,|YIW|PEK|YVR|DEN|MSO|
MSO|YNT,|YNT|SHE|ICN|YVR|DEN|MSO|
MSO|YNZ,|YNZ|DLC|ICN|YVR|DEN|MSO|
MSO|YTY,|YTY|DLC|ICN|YVR|DEN|MSO|
MSO|ZHA,|ZHA|CAN|YVR|DEN|MSO|
MSO|ZYI,|ZYI|PEK|YVR|DEN|MSO|
MSO|BAV,|BAV|SJW|DLC|ICN|YVR|DEN|MSO|
MSO|CJU,|CJU|DLC|ICN|YVR|DEN|MSO|
MSO|DSN,|DSN|CGO|PEK|YVR|DEN|MSO|
MSO|HMI,|HMI|CGO|PEK|YVR|DEN|MSO|
MSO|INC,|INC|PEK|YVR|DEN|MSO|
MSO|KHH,|KHH|CGO|PEK|YVR|DEN|MSO|
MSO|UYN,|UYN|CGO|PEK|YVR|DEN|MSO|
MSO|XNN,|XNN|PEK|YVR|DEN|MSO|
MSO|ZUH,|ZUH|PVG|YVR|DEN|MSO|
MSO|YNJ,|YNJ|ICN|YVR|DEN|MSO|
MSO|DAT,|DAT|CIH|PEK|YVR|DEN|MSO|
MSO|JHG,|JHG|CKG|PEK|YVR|DEN|MSO|
MSO|LJG,|LJG|CKG|PEK|YVR|DEN|MSO|
MSO|LXA,|LXA|XIY|PEK|YVR|DEN|MSO|
MSO|YCU,|YCU|CSX|ICN|YVR|DEN|MSO|
MSO|LZO,|LZO|CSX|ICN|YVR|DEN|MSO|
MSO|MDG,|MDG|ICN|YVR|DEN|MSO|
MSO|NGO,|NGO|ICN|YVR|DEN|MSO|
MSO|TOY,|TOY|DLC|ICN|YVR|DEN|MSO|
MSO|MFM,|MFM|XMN|PEK|YVR|DEN|MSO|
MSO|TGO,|TGO|HET|DLC|ICN|YVR|DEN|MSO|
MSO|XIL,|XIL|HET|DLC|ICN|YVR|DEN|MSO|
MSO|HEK,|HEK|HRB|ICN|YVR|DEN|MSO|
MSO|KIJ,|KIJ|HRB|ICN|YVR|DEN|MSO|
MSO|LDS,|LDS|HRB|ICN|YVR|DEN|MSO|
MSO|OHE,|OHE|HRB|ICN|YVR|DEN|MSO|
MSO|HSN,|HSN|PEK|YVR|DEN|MSO|
MSO|DLU,|DLU|KMG|PEK|YVR|DEN|MSO|
MSO|SYM,|SYM|KMG|PEK|YVR|DEN|MSO|
MSO|ZAT,|ZAT|KMG|PEK|YVR|DEN|MSO|
MSO|LUN,|LUN|NBO|ZRH|ORD|DEN|MSO|
MSO|AOG,|AOG|PEK|YVR|DEN|MSO|
MSO|GMP,|GMP|PEK|YVR|DEN|MSO|
MSO|ISB,|ISB|IST|FRA|DEN|MSO|
MSO|TAS,|TAS|IST|FRA|DEN|MSO|
MSO|WUS,|WUS|PEK|YVR|DEN|MSO|
MSO|JMU,|JMU|PVG|YVR|DEN|MSO|
MSO|NDG,|NDG|PVG|YVR|DEN|MSO|
