CAK|DPS,|DPS|SZX|PEK|ORD|CAK|
CAK|DXB,|DXB|IST|FRA|BOS|CAK|
CAK|DYG,|DYG|PEK|ORD|CAK|
CAK|FUG,|FUG|CAN|PEK|ORD|CAK|
CAK|FUK,|FUK|ICN|YVR|ORD|CAK|
CAK|HAK,|HAK|PEK|ORD|CAK|
CAK|HAN,|HAN|PEK|ORD|CAK|
CAK|HDG,|HDG|CAN|PEK|ORD|CAK|
CAK|HET,|HET|DLC|PEK|ORD|CAK|
CAK|HFE,|HFE|XIY|PEK|ORD|CAK|
CAK|HJJ,|HJJ|CSX|PEK|ORD|CAK|
CAK|HKT,|HKT|KWE|PEK|ORD|CAK|
CAK|HRB,|HRB|PEK|ORD|CAK|
CAK|HZH,|HZH|CAN|PEK|ORD|CAK|
CAK|JIU,|JIU|CAN|PEK|ORD|CAK|
CAK|JJN,|JJN|PEK|ORD|CAK|
CAK|JNG,|JNG|CAN|PEK|ORD|CAK|
CAK|KHN,|KHN|DLC|PEK|ORD|CAK|
CAK|KIX,|KIX|SFO|ORD|CAK|
CAK|KOW,|KOW|PEK|ORD|CAK|
CAK|KTM,|KTM|IST|FRA|BOS|CAK|
CAK|KUL,|KUL|CAN|PEK|ORD|CAK|
CAK|KWE,|KWE|PEK|ORD|CAK|
CAK|KWL,|KWL|PEK|ORD|CAK|
CAK|LHW,|LHW|CGO|PEK|ORD|CAK|
CAK|LYA,|LYA|KHN|DLC|PEK|ORD|CAK|
CAK|LYG,|LYG|HSN|PEK|ORD|CAK|
CAK|LZH,|LZH|CAN|PEK|ORD|CAK|
CAK|MEL,|MEL|SYD|LAX|DEN|CAK|
CAK|MIG,|MIG|CSX|PEK|ORD|CAK|
CAK|MLE,|MLE|IST|FRA|BOS|CAK|
CAK|MNL,|MNL|XMN|PEK|ORD|CAK|
CAK|MXZ,|MXZ|CAN|PEK|ORD|CAK|
CAK|NAO,|NAO|PEK|ORD|CAK|
CAK|NGB,|NGB|PEK|ORD|CAK|
CAK|NKG,|NKG|DLC|PEK|ORD|CAK|
CAK|NNY,|NNY|CGO|PEK|ORD|CAK|
CAK|PEN,|PEN|CAN|PEK|ORD|CAK|
CAK|PER,|PER|CAN|PEK|ORD|CAK|
CAK|PNH,|PNH|CAN|PEK|ORD|CAK|
CAK|REP,|REP|CAN|PEK|ORD|CAK|
CAK|RGN,|RGN|CAN|PEK|ORD|CAK|
CAK|SGN,|SGN|CAN|PEK|ORD|CAK|
CAK|SHA,|SHA|PEK|ORD|CAK|
CAK|SIN,|SIN|HKG|ORD|CAK|
CAK|SVO,|SVO|URC|TSE|FRA|BOS|CAK|
CAK|SYX,|SYX|PEK|ORD|CAK|
CAK|TAO,|TAO|DLC|PEK|ORD|CAK|
CAK|TEN,|TEN|PEK|ORD|CAK|
CAK|TNA,|TNA|DLC|PEK|ORD|CAK|
CAK|TPE,|TPE|PVG|ORD|CAK|
CAK|TSN,|TSN|DLC|PEK|ORD|CAK|
CAK|TXN,|TXN|DLC|PEK|ORD|CAK|
CAK|TYN,|TYN|DAT|CIH|PEK|ORD|CAK|
CAK|WNZ,|WNZ|CGO|PEK|ORD|CAK|
CAK|WUX,|WUX|CAN|PEK|ORD|CAK|
CAK|XFN,|XFN|XMN|PEK|ORD|CAK|
CAK|XIY,|XIY|PEK|ORD|CAK|
CAK|XUZ,|XUZ|LYG|HSN|PEK|ORD|CAK|
CAK|YIH,|YIH|CKG|PEK|ORD|CAK|
CAK|YIW,|YIW|PEK|ORD|CAK|
CAK|YNT,|YNT|SHE|PEK|ORD|CAK|
CAK|YNZ,|YNZ|DLC|PEK|ORD|CAK|
CAK|YTY,|YTY|DLC|PEK|ORD|CAK|
CAK|ZHA,|ZHA|CAN|PEK|ORD|CAK|
CAK|ZYI,|ZYI|PEK|ORD|CAK|
CAK|BAV,|BAV|CGO|PEK|ORD|CAK|
CAK|CJU,|CJU|DLC|PEK|ORD|CAK|
CAK|DSN,|DSN|CGO|PEK|ORD|CAK|
CAK|HMI,|HMI|URC|TSE|FRA|BOS|CAK|
CAK|INC,|INC|PEK|ORD|CAK|
CAK|KHH,|KHH|CGO|PEK|ORD|CAK|
CAK|UYN,|UYN|CGO|PEK|ORD|CAK|
CAK|XNN,|XNN|PEK|ORD|CAK|
CAK|ZUH,|ZUH|PEK|ORD|CAK|
CAK|YNJ,|YNJ|PEK|ORD|CAK|
CAK|DAT,|DAT|CIH|PEK|ORD|CAK|
CAK|JHG,|JHG|CKG|PEK|ORD|CAK|
CAK|LJG,|LJG|CKG|PEK|ORD|CAK|
CAK|LXA,|LXA|XIY|PEK|ORD|CAK|
CAK|YCU,|YCU|CSX|PEK|ORD|CAK|
CAK|LZO,|LZO|CSX|PEK|ORD|CAK|
CAK|MDG,|MDG|ICN|YVR|ORD|CAK|
CAK|NGO,|NGO|ICN|YVR|ORD|CAK|
CAK|TOY,|TOY|DLC|PEK|ORD|CAK|
CAK|MFM,|MFM|XMN|PEK|ORD|CAK|
CAK|TGO,|TGO|HET|DLC|PEK|ORD|CAK|
CAK|XIL,|XIL|HET|DLC|PEK|ORD|CAK|
CAK|HEK,|HEK|HRB|PEK|ORD|CAK|
CAK|KIJ,|KIJ|HRB|PEK|ORD|CAK|
CAK|LDS,|LDS|HRB|PEK|ORD|CAK|
CAK|OHE,|OHE|HRB|PEK|ORD|CAK|
