AEX|YNJ,|YNJ|ICN|YVR|IAH|AEX|
AEX|DAT,|DAT|CIH|PEK|IAH|AEX|
AEX|JHG,|JHG|CKG|PEK|IAH|AEX|
AEX|LJG,|LJG|CKG|PEK|IAH|AEX|
AEX|LXA,|LXA|XIY|PEK|IAH|AEX|
AEX|YCU,|YCU|CSX|PEK|IAH|AEX|
AEX|LZO,|LZO|CSX|PEK|IAH|AEX|
AEX|MDG,|MDG|ICN|YVR|IAH|AEX|
AEX|NGO,|NGO|ICN|YVR|IAH|AEX|
AEX|TOY,|TOY|DLC|ICN|YVR|IAH|AEX|
AEX|MFM,|MFM|XMN|PEK|IAH|AEX|
AEX|TGO,|TGO|HET|DLC|ICN|YVR|IAH|AEX|
AEX|XIL,|XIL|HET|DLC|ICN|YVR|IAH|AEX|
AEX|HEK,|HEK|HRB|ICN|YVR|IAH|AEX|
AEX|KIJ,|KIJ|HRB|ICN|YVR|IAH|AEX|
AEX|LDS,|LDS|HRB|ICN|YVR|IAH|AEX|
AEX|OHE,|OHE|HRB|ICN|YVR|IAH|AEX|
AEX|HSN,|HSN|PEK|IAH|AEX|
AEX|DLU,|DLU|KMG|PEK|IAH|AEX|
AEX|SYM,|SYM|KMG|PEK|IAH|AEX|
AEX|ZAT,|ZAT|KMG|PEK|IAH|AEX|
AEX|LUN,|LUN|NBO|ZRH|YUL|IAH|AEX|
AEX|AOG,|AOG|PEK|IAH|AEX|
AEX|GMP,|GMP|PEK|IAH|AEX|
AEX|ISB,|ISB|IST|IAH|AEX|
AEX|TAS,|TAS|IST|IAH|AEX|
AEX|WUS,|WUS|PEK|IAH|AEX|
AEX|JMU,|JMU|PVG|YVR|IAH|AEX|
AEX|NDG,|NDG|PVG|YVR|IAH|AEX|
AEX|JXA,|JXA|SHE|ICN|YVR|IAH|AEX|
AEX|PUS,|PUS|SHE|ICN|YVR|IAH|AEX|
AEX|BKI,|BKI|SZX|PVG|YVR|IAH|AEX|
AEX|AKU,|AKU|URC|PEK|IAH|AEX|
AEX|ALA,|ALA|TSE|FRA|IAH|AEX|
AEX|ASB,|ASB|GYD|FRA|IAH|AEX|
AEX|DNH,|DNH|XIY|PEK|IAH|AEX|
AEX|DYU,|DYU|IST|IAH|AEX|
AEX|FRU,|FRU|IST|IAH|AEX|
AEX|GYD,|GYD|FRA|IAH|AEX|
AEX|HTN,|HTN|URC|PEK|IAH|AEX|
AEX|IKA,|IKA|SAW|VIE|YYZ|IAH|AEX|
AEX|KCA,|KCA|URC|PEK|IAH|AEX|
AEX|KHG,|KHG|URC|PEK|IAH|AEX|
AEX|KRL,|KRL|URC|PEK|IAH|AEX|
AEX|KRY,|KRY|URC|PEK|IAH|AEX|
AEX|LBD,|LBD|URC|PEK|IAH|AEX|
AEX|NLT,|NLT|URC|PEK|IAH|AEX|
AEX|OSS,|OSS|IST|IAH|AEX|
AEX|OVB,|OVB|IST|IAH|AEX|
AEX|TBS,|TBS|SAW|VIE|YYZ|IAH|AEX|
AEX|TCG,|TCG|URC|PEK|IAH|AEX|
AEX|TSE,|TSE|FRA|IAH|AEX|
AEX|YIN,|YIN|URC|PEK|IAH|AEX|
AEX|ENH,|ENH|WUH|PEK|IAH|AEX|
AEX|ENY,|ENY|XIY|PEK|IAH|AEX|
AEX|WXN,|WXN|XIY|PEK|IAH|AEX|
AEX|BLL,|BLL|IST|IAH|AEX|
AEX|ESB,|ESB|VIE|YYZ|IAH|AEX|
AEX|SAW,|SAW|VIE|YYZ|IAH|AEX|
AEX|HAM,|HAM|EWR|IAH|AEX|
AEX|HRE,|HRE|ADD|JED|FRA|IAH|AEX|
AEX|JUB,|JUB|CAI|JFK|IAD|IAH|AEX|
AEX|SSG,|SSG|DLA|BRU|YUL|IAH|AEX|
AEX|BGW,|BGW|ESB|VIE|YYZ|IAH|AEX|
AEX|EBL,|EBL|IST|IAH|AEX|
AEX|VKO,|VKO|IST|IAH|AEX|
AEX|MCT,|MCT|AUH|YYZ|IAH|AEX|
AEX|AYT,|AYT|IST|IAH|AEX|
AEX|SCQ,|SCQ|BIO|IST|IAH|AEX|
AEX|AAL,|AAL|IST|IAH|AEX|
AEX|AOE,|AOE|BRU|YUL|IAH|AEX|
AEX|JNB,|JNB|DKR|IAD|IAH|AEX|
AEX|LBV,|LBV|DLA|BRU|YUL|IAH|AEX|
AEX|ADA,|ADA|SAW|VIE|YYZ|IAH|AEX|
