AKL|MAN,|MAN|IST|BKK|AKL|
AKL|MED,|MED|IST|BKK|AKL|
AKL|MHD,|MHD|IST|BKK|AKL|
AKL|MLA,|MLA|IST|BKK|AKL|
AKL|MRS,|MRS|IST|BKK|AKL|
AKL|MSQ,|MSQ|IST|BKK|AKL|
AKL|MXP,|MXP|IST|BKK|AKL|
AKL|MZH,|MZH|IST|BKK|AKL|
AKL|MZR,|MZR|IST|BKK|AKL|
AKL|NAJ,|NAJ|IST|BKK|AKL|
AKL|NAV,|NAV|IST|BKK|AKL|
AKL|NCE,|NCE|IST|BKK|AKL|
AKL|NIM,|NIM|IST|BKK|AKL|
AKL|NJF,|NJF|IST|BKK|AKL|
AKL|NSI,|NSI|IST|BKK|AKL|
AKL|NUE,|NUE|IST|BKK|AKL|
AKL|ODS,|ODS|IST|BKK|AKL|
AKL|ORN,|ORN|IST|BKK|AKL|
AKL|OTP,|OTP|IST|BKK|AKL|
AKL|PRG,|PRG|IST|BKK|AKL|
AKL|PRN,|PRN|IST|BKK|AKL|
AKL|RIX,|RIX|IST|BKK|AKL|
AKL|ROV,|ROV|IST|BKK|AKL|
AKL|RTM,|RTM|IST|BKK|AKL|
AKL|RUH,|RUH|IST|BKK|AKL|
AKL|SAH,|SAH|IST|BKK|AKL|
AKL|SJJ,|SJJ|IST|BKK|AKL|
AKL|SKG,|SKG|IST|BKK|AKL|
AKL|SKP,|SKP|IST|BKK|AKL|
AKL|SSH,|SSH|IST|BKK|AKL|
AKL|STR,|STR|IST|BKK|AKL|
AKL|SVX,|SVX|IST|BKK|AKL|
AKL|SYZ,|SYZ|IST|BKK|AKL|
AKL|SZG,|SZG|IST|BKK|AKL|
AKL|TBZ,|TBZ|IST|BKK|AKL|
AKL|TGD,|TGD|IST|BKK|AKL|
AKL|TIA,|TIA|IST|BKK|AKL|
AKL|TIF,|TIF|IST|BKK|AKL|
AKL|TIP,|TIP|IST|BKK|AKL|
AKL|TLL,|TLL|IST|BKK|AKL|
AKL|TLS,|TLS|IST|BKK|AKL|
AKL|TRN,|TRN|IST|BKK|AKL|
AKL|TUN,|TUN|IST|BKK|AKL|
AKL|TXL,|TXL|IST|BKK|AKL|
AKL|UFA,|UFA|IST|BKK|AKL|
AKL|VAS,|VAS|IST|BKK|AKL|
AKL|VCE,|VCE|IST|BKK|AKL|
AKL|YNB,|YNB|IST|BKK|AKL|
AKL|ZAG,|ZAG|IST|BKK|AKL|
AKL|MGQ,|MGQ|JIB|IST|BKK|AKL|
AKL|CPT,|CPT|JNB|IST|BKK|AKL|
AKL|MBA,|MBA|JRO|IST|BKK|AKL|
AKL|NDJ,|NDJ|KAN|IST|BKK|AKL|
AKL|CMB,|CMB|MLE|CAN|AKL|
AKL|ADE,|ADE|SAH|IST|BKK|AKL|
AKL|ASF,|ASF|SAW|TBS|URC|CAN|AKL|
