KZN|DEL,|DEL|IST|KZN|
KZN|DIG,|DIG|KMG|CTU|URC|IST|KZN|
KZN|DLC,|DLC|PEK|IST|KZN|
KZN|DPS,|DPS|CAN|IST|KZN|
KZN|DXB,|DXB|IST|KZN|
KZN|DYG,|DYG|CSX|URC|IST|KZN|
KZN|FUG,|FUG|CAN|IST|KZN|
KZN|FUK,|FUK|ICN|IST|KZN|
KZN|HAK,|HAK|CTU|URC|IST|KZN|
KZN|HAN,|HAN|CAN|IST|KZN|
KZN|HDG,|HDG|CAN|IST|KZN|
KZN|HET,|HET|URC|IST|KZN|
KZN|HFE,|HFE|XIY|URC|IST|KZN|
KZN|HJJ,|HJJ|CSX|URC|IST|KZN|
KZN|HKT,|HKT|KWE|URC|IST|KZN|
KZN|HRB,|HRB|PEK|IST|KZN|
KZN|HZH,|HZH|CAN|IST|KZN|
KZN|JIU,|JIU|CAN|IST|KZN|
KZN|JJN,|JJN|CSX|URC|IST|KZN|
KZN|JNG,|JNG|CAN|IST|KZN|
KZN|KHN,|KHN|XIY|URC|IST|KZN|
KZN|KIX,|KIX|IST|KZN|
KZN|KOW,|KOW|CAN|IST|KZN|
KZN|KTM,|KTM|IST|KZN|
KZN|KUL,|KUL|IST|KZN|
KZN|KWE,|KWE|URC|IST|KZN|
KZN|KWL,|KWL|CKG|URC|IST|KZN|
KZN|LHW,|LHW|URC|IST|KZN|
KZN|LYA,|LYA|KHN|XIY|URC|IST|KZN|
KZN|LYG,|LYG|XUZ|INC|URC|IST|KZN|
KZN|LZH,|LZH|CAN|IST|KZN|
KZN|MEL,|MEL|BKK|IST|KZN|
KZN|MIG,|MIG|CSX|URC|IST|KZN|
KZN|MLE,|MLE|IST|KZN|
KZN|MNL,|MNL|CAN|IST|KZN|
KZN|MXZ,|MXZ|CAN|IST|KZN|
KZN|NAO,|NAO|PEK|IST|KZN|
KZN|NGB,|NGB|WUH|URC|IST|KZN|
KZN|NKG,|NKG|URC|IST|KZN|
KZN|NNY,|NNY|CGO|URC|IST|KZN|
KZN|PEN,|PEN|CAN|IST|KZN|
KZN|PER,|PER|BKK|IST|KZN|
KZN|PNH,|PNH|CAN|IST|KZN|
KZN|REP,|REP|CAN|IST|KZN|
KZN|RGN,|RGN|CAN|IST|KZN|
KZN|SGN,|SGN|BKK|IST|KZN|
KZN|SHA,|SHA|URC|IST|KZN|
KZN|SIN,|SIN|IST|KZN|
KZN|SVO,|SVO|URC|IST|KZN|
KZN|SYX,|SYX|CKG|URC|IST|KZN|
KZN|TAO,|TAO|TYN|URC|IST|KZN|
KZN|TEN,|TEN|CAN|IST|KZN|
KZN|TNA,|TNA|URC|IST|KZN|
KZN|TPE,|TPE|URC|IST|KZN|
KZN|TSN,|TSN|HET|URC|IST|KZN|
KZN|TXN,|TXN|TYN|URC|IST|KZN|
KZN|TYN,|TYN|URC|IST|KZN|
KZN|WNZ,|WNZ|XIY|URC|IST|KZN|
KZN|WUX,|WUX|CAN|IST|KZN|
KZN|XFN,|XFN|CAN|IST|KZN|
KZN|XIY,|XIY|URC|IST|KZN|
KZN|XUZ,|XUZ|INC|URC|IST|KZN|
KZN|YIH,|YIH|CKG|URC|IST|KZN|
KZN|YIW,|YIW|URC|IST|KZN|
KZN|YNT,|YNT|SHE|PEK|IST|KZN|
KZN|YNZ,|YNZ|WUH|URC|IST|KZN|
KZN|YTY,|YTY|CGO|URC|IST|KZN|
KZN|ZHA,|ZHA|CAN|IST|KZN|
KZN|ZYI,|ZYI|CAN|IST|KZN|
KZN|BAV,|BAV|URC|IST|KZN|
KZN|CJU,|CJU|DLC|PEK|IST|KZN|
KZN|DSN,|DSN|CGO|URC|IST|KZN|
KZN|HMI,|HMI|URC|IST|KZN|
KZN|INC,|INC|URC|IST|KZN|
KZN|KHH,|KHH|WUH|URC|IST|KZN|
KZN|UYN,|UYN|XIY|URC|IST|KZN|
KZN|XNN,|XNN|URC|IST|KZN|
KZN|ZUH,|ZUH|KWE|URC|IST|KZN|
KZN|YNJ,|YNJ|PEK|IST|KZN|
KZN|DAT,|DAT|TYN|URC|IST|KZN|
KZN|JHG,|JHG|KMG|CTU|URC|IST|KZN|
KZN|LJG,|LJG|KMG|CTU|URC|IST|KZN|
KZN|LXA,|LXA|CKG|URC|IST|KZN|
KZN|YCU,|YCU|CKG|URC|IST|KZN|
KZN|LZO,|LZO|CSX|URC|IST|KZN|
KZN|MDG,|MDG|DLC|PEK|IST|KZN|
KZN|NGO,|NGO|ICN|IST|KZN|
KZN|TOY,|TOY|DLC|PEK|IST|KZN|
KZN|MFM,|MFM|XMN|CSX|URC|IST|KZN|
KZN|TGO,|TGO|HET|URC|IST|KZN|
KZN|XIL,|XIL|HET|URC|IST|KZN|
KZN|HEK,|HEK|HRB|PEK|IST|KZN|
KZN|KIJ,|KIJ|HRB|PEK|IST|KZN|
KZN|LDS,|LDS|HRB|PEK|IST|KZN|
KZN|OHE,|OHE|HRB|PEK|IST|KZN|
KZN|HSN,|HSN|LYG|XUZ|INC|URC|IST|KZN|
KZN|DLU,|DLU|KMG|CTU|URC|IST|KZN|
KZN|SYM,|SYM|KMG|CTU|URC|IST|KZN|
KZN|ZAT,|ZAT|KMG|CTU|URC|IST|KZN|
KZN|LUN,|LUN|NBO|IST|KZN|
KZN|AOG,|AOG|PEK|IST|KZN|
KZN|GMP,|GMP|PEK|IST|KZN|
KZN|ISB,|ISB|IST|KZN|
KZN|TAS,|TAS|IST|KZN|
KZN|WUS,|WUS|PEK|IST|KZN|
KZN|JMU,|JMU|PVG|IST|KZN|
KZN|NDG,|NDG|PVG|IST|KZN|
KZN|JXA,|JXA|SHE|PEK|IST|KZN|
KZN|PUS,|PUS|SHE|PEK|IST|KZN|
KZN|BKI,|BKI|SZX|CKG|URC|IST|KZN|
KZN|AKU,|AKU|URC|IST|KZN|
KZN|ALA,|ALA|IST|KZN|
KZN|ASB,|ASB|IST|KZN|
KZN|DNH,|DNH|URC|IST|KZN|
KZN|DYU,|DYU|IST|KZN|
KZN|FRU,|FRU|IST|KZN|
KZN|GYD,|GYD|IST|KZN|
KZN|HTN,|HTN|URC|IST|KZN|
KZN|IKA,|IKA|IST|KZN|
KZN|KCA,|KCA|URC|IST|KZN|
KZN|KHG,|KHG|URC|IST|KZN|
KZN|KRL,|KRL|URC|IST|KZN|
KZN|KRY,|KRY|URC|IST|KZN|
KZN|LBD,|LBD|URC|IST|KZN|
KZN|NLT,|NLT|URC|IST|KZN|
KZN|OSS,|OSS|IST|KZN|
KZN|OVB,|OVB|IST|KZN|
KZN|TBS,|TBS|IST|KZN|
KZN|TCG,|TCG|URC|IST|KZN|
KZN|TSE,|TSE|IST|KZN|
KZN|YIN,|YIN|URC|IST|KZN|
KZN|ENH,|ENH|WUH|URC|IST|KZN|
KZN|ENY,|ENY|XIY|URC|IST|KZN|
KZN|WXN,|WXN|XIY|URC|IST|KZN|
KZN|BLL,|BLL|IST|KZN|
KZN|ESB,|ESB|IST|KZN|
KZN|SAW,|SAW|ADB|IST|KZN|
KZN|HAM,|HAM|IST|KZN|
KZN|HRE,|HRE|ADD|IST|KZN|
KZN|JUB,|JUB|CAI|IST|KZN|
KZN|SSG,|SSG|DLA|IST|KZN|
KZN|BGW,|BGW|IST|KZN|
KZN|EBL,|EBL|IST|KZN|
KZN|VKO,|VKO|IST|KZN|
KZN|MCT,|MCT|IST|KZN|
KZN|AYT,|AYT|IST|KZN|
KZN|SCQ,|SCQ|BIO|IST|KZN|
KZN|AAL,|AAL|IST|KZN|
KZN|AOE,|AOE|BRU|IST|KZN|
KZN|JNB,|JNB|IST|KZN|
KZN|LBV,|LBV|DLA|IST|KZN|
KZN|ADA,|ADA|IST|KZN|
KZN|ADB,|ADB|IST|KZN|
KZN|ADF,|ADF|IST|KZN|
KZN|AJI,|AJI|IST|KZN|
KZN|BAL,|BAL|IST|KZN|
KZN|BJV,|BJV|IST|KZN|
KZN|CKZ,|CKZ|ESB|IST|KZN|
KZN|DIY,|DIY|IST|KZN|
KZN|ECN,|ECN|IST|KZN|
KZN|ERC,|ERC|IST|KZN|
KZN|ERZ,|ERZ|IST|KZN|
KZN|EZS,|EZS|IST|KZN|
KZN|GNY,|GNY|IST|KZN|
KZN|GZP,|GZP|ESB|IST|KZN|
KZN|GZT,|GZT|IST|KZN|
KZN|HTY,|HTY|IST|KZN|
KZN|KCM,|KCM|IST|KZN|
KZN|KSY,|KSY|IST|KZN|
KZN|MLX,|MLX|IST|KZN|
KZN|MQM,|MQM|IST|KZN|
KZN|MSR,|MSR|IST|KZN|
KZN|TEQ,|TEQ|ESB|IST|KZN|
KZN|TZX,|TZX|IST|KZN|
KZN|VAN,|VAN|IST|KZN|
KZN|ULN,|ULN|FRU|IST|KZN|
KZN|HIJ,|HIJ|ICN|IST|KZN|
KZN|VVO,|VVO|ICN|IST|KZN|
KZN|ACC,|ACC|IST|KZN|
KZN|AER,|AER|IST|KZN|
KZN|AGP,|AGP|IST|KZN|
KZN|ALG,|ALG|IST|KZN|
KZN|AMM,|AMM|IST|KZN|
KZN|AQJ,|AQJ|IST|KZN|
KZN|ARN,|ARN|IST|KZN|
KZN|ASR,|ASR|IST|KZN|
KZN|ATH,|ATH|IST|KZN|
KZN|BAH,|BAH|IST|KZN|
KZN|BEG,|BEG|IST|KZN|
KZN|BEN,|BEN|IST|KZN|
KZN|BEY,|BEY|IST|KZN|
KZN|BHX,|BHX|IST|KZN|
KZN|BIO,|BIO|IST|KZN|
KZN|BLQ,|BLQ|IST|KZN|
KZN|BOM,|BOM|IST|KZN|
KZN|BRE,|BRE|IST|KZN|
KZN|BSL,|BSL|IST|KZN|
KZN|BSR,|BSR|IST|KZN|
KZN|BUD,|BUD|IST|KZN|
KZN|BUS,|BUS|IST|KZN|
KZN|CAI,|CAI|IST|KZN|
KZN|CGN,|CGN|IST|KZN|
KZN|CMN,|CMN|IST|KZN|
KZN|CND,|CND|IST|KZN|
KZN|DAR,|DAR|IST|KZN|
KZN|DLM,|DLM|IST|KZN|
KZN|DMM,|DMM|IST|KZN|
KZN|DNK,|DNK|IST|KZN|
KZN|DNZ,|DNZ|IST|KZN|
KZN|DOK,|DOK|IST|KZN|
KZN|DUS,|DUS|IST|KZN|
KZN|EDI,|EDI|IST|KZN|
KZN|ELQ,|ELQ|IST|KZN|
KZN|FDH,|FDH|IST|KZN|
KZN|GOA,|GOA|IST|KZN|
KZN|GOT,|GOT|IST|KZN|
KZN|HAJ,|HAJ|IST|KZN|
