MSN|BJV,|BJV|IST|ORD|MSN|
MSN|CKZ,|CKZ|ESB|VIE|ORD|MSN|
MSN|DIY,|DIY|ESB|VIE|ORD|MSN|
MSN|ECN,|ECN|IST|ORD|MSN|
MSN|ERC,|ERC|ESB|VIE|ORD|MSN|
MSN|ERZ,|ERZ|ESB|VIE|ORD|MSN|
MSN|EZS,|EZS|ESB|VIE|ORD|MSN|
MSN|GNY,|GNY|ESB|VIE|ORD|MSN|
MSN|GZP,|GZP|ESB|VIE|ORD|MSN|
MSN|GZT,|GZT|ESB|VIE|ORD|MSN|
MSN|HTY,|HTY|IST|ORD|MSN|
MSN|KCM,|KCM|ESB|VIE|ORD|MSN|
MSN|KSY,|KSY|ESB|VIE|ORD|MSN|
MSN|MLX,|MLX|ESB|VIE|ORD|MSN|
MSN|MQM,|MQM|ESB|VIE|ORD|MSN|
MSN|MSR,|MSR|ESB|VIE|ORD|MSN|
MSN|TEQ,|TEQ|ESB|VIE|ORD|MSN|
MSN|TZX,|TZX|ESB|VIE|ORD|MSN|
MSN|VAN,|VAN|ESB|VIE|ORD|MSN|
MSN|ULN,|ULN|FRU|IST|ORD|MSN|
MSN|HIJ,|HIJ|ICN|YVR|ORD|MSN|
MSN|VVO,|VVO|ICN|YVR|ORD|MSN|
MSN|ACC,|ACC|IST|ORD|MSN|
MSN|AER,|AER|IST|ORD|MSN|
MSN|AGP,|AGP|IST|ORD|MSN|
MSN|ALG,|ALG|IST|ORD|MSN|
MSN|AMM,|AMM|IST|ORD|MSN|
MSN|AQJ,|AQJ|IST|ORD|MSN|
MSN|ARN,|ARN|EWR|MSN|
MSN|ASR,|ASR|SAW|VIE|ORD|MSN|
MSN|ATH,|ATH|IST|ORD|MSN|
MSN|BAH,|BAH|IST|ORD|MSN|
MSN|BEG,|BEG|IST|ORD|MSN|
MSN|BEN,|BEN|IST|ORD|MSN|
MSN|BEY,|BEY|IST|ORD|MSN|
MSN|BHX,|BHX|EWR|MSN|
MSN|BIO,|BIO|IST|ORD|MSN|
MSN|BLQ,|BLQ|IST|ORD|MSN|
MSN|BOM,|BOM|IST|ORD|MSN|
MSN|BRE,|BRE|IST|ORD|MSN|
MSN|BSL,|BSL|IST|ORD|MSN|
MSN|BSR,|BSR|IST|ORD|MSN|
MSN|BUD,|BUD|IST|ORD|MSN|
MSN|BUS,|BUS|IST|ORD|MSN|
MSN|CAI,|CAI|IST|ORD|MSN|
MSN|CGN,|CGN|IST|ORD|MSN|
MSN|CMN,|CMN|IST|ORD|MSN|
MSN|CND,|CND|IST|ORD|MSN|
MSN|DAR,|DAR|NBO|ZRH|ORD|MSN|
MSN|DLM,|DLM|IST|ORD|MSN|
MSN|DMM,|DMM|IST|ORD|MSN|
MSN|DNK,|DNK|IST|ORD|MSN|
MSN|DNZ,|DNZ|IST|ORD|MSN|
MSN|DOK,|DOK|IST|ORD|MSN|
MSN|DUS,|DUS|ORD|MSN|
MSN|EDI,|EDI|EWR|MSN|
MSN|ELQ,|ELQ|IST|ORD|MSN|
MSN|FDH,|FDH|IST|ORD|MSN|
MSN|GOA,|GOA|IST|ORD|MSN|
MSN|GOT,|GOT|BRU|ORD|MSN|
MSN|HAJ,|HAJ|BRU|ORD|MSN|
MSN|HBE,|HBE|IST|ORD|MSN|
MSN|HEL,|HEL|IST|ORD|MSN|
MSN|HRG,|HRG|IST|ORD|MSN|
MSN|IFN,|IFN|IST|ORD|MSN|
MSN|ISE,|ISE|IST|ORD|MSN|
MSN|ISU,|ISU|IST|ORD|MSN|
MSN|JIB,|JIB|IST|ORD|MSN|
MSN|JRO,|JRO|IST|ORD|MSN|
MSN|KAN,|KAN|IST|ORD|MSN|
MSN|KBL,|KBL|IST|ORD|MSN|
MSN|KBP,|KBP|IST|ORD|MSN|
MSN|KFS,|KFS|IST|ORD|MSN|
MSN|KHI,|KHI|IST|ORD|MSN|
MSN|KIV,|KIV|IST|ORD|MSN|
MSN|KRT,|KRT|IST|ORD|MSN|
MSN|KSH,|KSH|IST|ORD|MSN|
MSN|KVD,|KVD|IST|ORD|MSN|
MSN|KWI,|KWI|SAW|VIE|ORD|MSN|
MSN|KYA,|KYA|IST|ORD|MSN|
MSN|KZN,|KZN|IST|ORD|MSN|
MSN|KZR,|KZR|IST|ORD|MSN|
MSN|LED,|LED|VIE|ORD|MSN|
MSN|LEJ,|LEJ|IST|ORD|MSN|
MSN|LGW,|LGW|IST|ORD|MSN|
MSN|LHE,|LHE|IST|ORD|MSN|
MSN|LIS,|LIS|EWR|MSN|
MSN|LJU,|LJU|IST|ORD|MSN|
MSN|LOS,|LOS|FRA|ORD|MSN|
MSN|LUX,|LUX|IST|ORD|MSN|
MSN|LWO,|LWO|IST|ORD|MSN|
MSN|LYS,|LYS|IST|ORD|MSN|
MSN|MAD,|MAD|EWR|MSN|
MSN|MAN,|MAN|EWR|MSN|
MSN|MED,|MED|IST|ORD|MSN|
MSN|MHD,|MHD|IST|ORD|MSN|
MSN|MLA,|MLA|IST|ORD|MSN|
MSN|MRS,|MRS|IST|ORD|MSN|
MSN|MSQ,|MSQ|IST|ORD|MSN|
MSN|MXP,|MXP|EWR|MSN|
MSN|MZH,|MZH|IST|ORD|MSN|
MSN|MZR,|MZR|IST|ORD|MSN|
MSN|NAJ,|NAJ|IST|ORD|MSN|
MSN|NAV,|NAV|IST|ORD|MSN|
MSN|NCE,|NCE|IST|ORD|MSN|
MSN|NIM,|NIM|IST|ORD|MSN|
MSN|NJF,|NJF|IST|ORD|MSN|
MSN|NSI,|NSI|BRU|ORD|MSN|
MSN|NUE,|NUE|IST|ORD|MSN|
MSN|ODS,|ODS|IST|ORD|MSN|
MSN|ORN,|ORN|IST|ORD|MSN|
MSN|OTP,|OTP|IST|ORD|MSN|
MSN|PRG,|PRG|BRU|ORD|MSN|
MSN|PRN,|PRN|IST|ORD|MSN|
MSN|RIX,|RIX|IST|ORD|MSN|
MSN|ROV,|ROV|IST|ORD|MSN|
MSN|RTM,|RTM|IST|ORD|MSN|
MSN|RUH,|RUH|IST|ORD|MSN|
MSN|SAH,|SAH|IST|ORD|MSN|
MSN|SJJ,|SJJ|IST|ORD|MSN|
MSN|SKG,|SKG|IST|ORD|MSN|
MSN|SKP,|SKP|IST|ORD|MSN|
MSN|SSH,|SSH|IST|ORD|MSN|
MSN|STR,|STR|EWR|MSN|
MSN|SVX,|SVX|IST|ORD|MSN|
MSN|SYZ,|SYZ|IST|ORD|MSN|
MSN|SZG,|SZG|IST|ORD|MSN|
MSN|TBZ,|TBZ|IST|ORD|MSN|
MSN|TGD,|TGD|IST|ORD|MSN|
MSN|TIA,|TIA|IST|ORD|MSN|
MSN|TIF,|TIF|IST|ORD|MSN|
MSN|TIP,|TIP|IST|ORD|MSN|
MSN|TLL,|TLL|VNO|CPH|YYZ|ORD|MSN|
MSN|TLS,|TLS|IST|ORD|MSN|
MSN|TRN,|TRN|IST|ORD|MSN|
MSN|TUN,|TUN|IST|ORD|MSN|
MSN|TXL,|TXL|EWR|MSN|
MSN|UFA,|UFA|IST|ORD|MSN|
MSN|VAS,|VAS|SAW|VIE|ORD|MSN|
MSN|VCE,|VCE|IST|ORD|MSN|
