STC|OTP,|OTP|IST|ORD|STC|
STC|PRG,|PRG|BRU|ORD|STC|
STC|PRN,|PRN|IST|ORD|STC|
STC|RIX,|RIX|IST|ORD|STC|
STC|ROV,|ROV|IST|ORD|STC|
STC|RTM,|RTM|IST|ORD|STC|
STC|RUH,|RUH|IST|ORD|STC|
STC|SAH,|SAH|IST|ORD|STC|
STC|SJJ,|SJJ|IST|ORD|STC|
STC|SKG,|SKG|IST|ORD|STC|
STC|SKP,|SKP|IST|ORD|STC|
STC|SSH,|SSH|IST|ORD|STC|
STC|STR,|STR|EWR|ORD|STC|
STC|SVX,|SVX|IST|ORD|STC|
STC|SYZ,|SYZ|IST|ORD|STC|
STC|SZG,|SZG|IST|ORD|STC|
STC|TBZ,|TBZ|IST|ORD|STC|
STC|TGD,|TGD|IST|ORD|STC|
STC|TIA,|TIA|IST|ORD|STC|
STC|TIF,|TIF|IST|ORD|STC|
STC|TIP,|TIP|IST|ORD|STC|
STC|TLL,|TLL|VNO|CPH|YYZ|ORD|STC|
STC|TLS,|TLS|IST|ORD|STC|
STC|TRN,|TRN|IST|ORD|STC|
STC|TUN,|TUN|IST|ORD|STC|
STC|TXL,|TXL|EWR|ORD|STC|
STC|UFA,|UFA|IST|ORD|STC|
STC|VAS,|VAS|SAW|VIE|ORD|STC|
STC|VCE,|VCE|IST|ORD|STC|
STC|YNB,|YNB|IST|ORD|STC|
STC|ZAG,|ZAG|IST|ORD|STC|
STC|MGQ,|MGQ|JIB|IST|ORD|STC|
STC|CPT,|CPT|JNB|DKR|IAD|ORD|STC|
STC|MBA,|MBA|JRO|IST|ORD|STC|
STC|NDJ,|NDJ|KAN|IST|ORD|STC|
STC|CMB,|CMB|MLE|IST|ORD|STC|
STC|ADE,|ADE|SAH|IST|ORD|STC|
STC|ASF,|ASF|SAW|VIE|ORD|STC|
STC|STW,|STW|SAW|VIE|ORD|STC|
STC|LFW,|LFW|ABJ|BRU|ORD|STC|
STC|CEC,|CEC|ACV|SMF|ORD|STC|
STC|SMF,|SMF|ORD|STC|
STC|CDR,|CDR|AIA|DEN|ORD|STC|
STC|FMN,|FMN|DEN|ORD|STC|
STC|JST,|JST|IAD|ORD|STC|
STC|JHW,|JHW|CLE|ORD|STC|
STC|SHD,|SHD|IAD|ORD|STC|
STC|PTY,|PTY|ORD|STC|
STC|FNA,|FNA|BRU|ORD|STC|
STC|SXB,|SXB|BRU|ORD|STC|
STC|ACV,|ACV|SMF|ORD|STC|
STC|MGW,|MGW|IAD|ORD|STC|
STC|ALB,|ALB|ORD|STC|
STC|AUS,|AUS|ORD|STC|
STC|BFD,|BFD|CLE|ORD|STC|
STC|BUF,|BUF|ORD|STC|
STC|CHS,|CHS|ORD|STC|
STC|DAY,|DAY|ORD|STC|
STC|DUJ,|DUJ|CLE|ORD|STC|
STC|ERI,|ERI|CLE|ORD|STC|
STC|FKL,|FKL|CLE|ORD|STC|
STC|FNT,|FNT|CLE|ORD|STC|
STC|GRR,|GRR|ORD|STC|
STC|GSP,|GSP|ORD|STC|
STC|PBI,|PBI|ATL|ORD|STC|
STC|PKB,|PKB|CLE|ORD|STC|
STC|RIC,|RIC|ORD|STC|
STC|SDF,|SDF|ORD|STC|
STC|GUM,|GUM|NRT|ORD|STC|
STC|WRL,|WRL|CYS|DEN|ORD|STC|
STC|LBL,|STC|
STC|ABQ,|ABQ|ORD|STC|
STC|AIA,|AIA|DEN|ORD|STC|
STC|ALS,|ALS|DEN|ORD|STC|
STC|AMA,|AMA|DAL|STL|ORD|STC|
