BUS|DLU,|DLU|KMG|CTU|URC|IST|BUS|
BUS|SYM,|SYM|KMG|CTU|URC|IST|BUS|
BUS|ZAT,|ZAT|KMG|CTU|URC|IST|BUS|
BUS|LUN,|LUN|NBO|IST|BUS|
BUS|AOG,|AOG|PEK|IST|BUS|
BUS|GMP,|GMP|PEK|IST|BUS|
BUS|ISB,|ISB|IST|BUS|
BUS|TAS,|TAS|IST|BUS|
BUS|WUS,|WUS|PEK|IST|BUS|
BUS|JMU,|JMU|PVG|IST|BUS|
BUS|NDG,|NDG|PVG|IST|BUS|
BUS|JXA,|JXA|SHE|PEK|IST|BUS|
BUS|PUS,|PUS|SHE|PEK|IST|BUS|
BUS|BKI,|BKI|SZX|CKG|URC|IST|BUS|
BUS|AKU,|AKU|URC|IST|BUS|
BUS|ALA,|ALA|IST|BUS|
BUS|ASB,|ASB|IST|BUS|
BUS|DNH,|DNH|URC|IST|BUS|
BUS|DYU,|DYU|IST|BUS|
BUS|FRU,|FRU|IST|BUS|
BUS|GYD,|GYD|IST|BUS|
BUS|HTN,|HTN|URC|IST|BUS|
BUS|IKA,|IKA|IST|BUS|
BUS|KCA,|KCA|URC|IST|BUS|
BUS|KHG,|KHG|URC|IST|BUS|
BUS|KRL,|KRL|URC|IST|BUS|
BUS|KRY,|KRY|URC|IST|BUS|
BUS|LBD,|LBD|URC|IST|BUS|
BUS|NLT,|NLT|URC|IST|BUS|
BUS|OSS,|OSS|IST|BUS|
BUS|OVB,|OVB|IST|BUS|
BUS|TBS,|TBS|IST|BUS|
BUS|TCG,|TCG|URC|IST|BUS|
BUS|TSE,|TSE|IST|BUS|
BUS|YIN,|YIN|URC|IST|BUS|
BUS|ENH,|ENH|WUH|URC|IST|BUS|
BUS|ENY,|ENY|XIY|URC|IST|BUS|
BUS|WXN,|WXN|XIY|URC|IST|BUS|
BUS|BLL,|BLL|IST|BUS|
BUS|ESB,|ESB|IST|BUS|
BUS|SAW,|SAW|ADB|IST|BUS|
BUS|HAM,|HAM|IST|BUS|
BUS|HRE,|HRE|ADD|IST|BUS|
BUS|JUB,|JUB|CAI|IST|BUS|
BUS|SSG,|SSG|DLA|IST|BUS|
BUS|BGW,|BGW|IST|BUS|
BUS|EBL,|EBL|IST|BUS|
BUS|VKO,|VKO|IST|BUS|
BUS|MCT,|MCT|IST|BUS|
BUS|AYT,|AYT|IST|BUS|
BUS|SCQ,|SCQ|BIO|IST|BUS|
BUS|AAL,|AAL|IST|BUS|
BUS|AOE,|AOE|BRU|IST|BUS|
BUS|JNB,|JNB|IST|BUS|
BUS|LBV,|LBV|DLA|IST|BUS|
BUS|ADA,|ADA|IST|BUS|
BUS|ADB,|ADB|IST|BUS|
BUS|ADF,|ADF|IST|BUS|
BUS|AJI,|AJI|IST|BUS|
BUS|BAL,|BAL|IST|BUS|
BUS|BJV,|BJV|IST|BUS|
BUS|CKZ,|CKZ|ESB|IST|BUS|
BUS|DIY,|DIY|IST|BUS|
BUS|ECN,|ECN|IST|BUS|
BUS|ERC,|ERC|IST|BUS|
BUS|ERZ,|ERZ|IST|BUS|
BUS|EZS,|EZS|IST|BUS|
BUS|GNY,|GNY|IST|BUS|
BUS|GZP,|GZP|ESB|IST|BUS|
BUS|GZT,|GZT|IST|BUS|
BUS|HTY,|HTY|IST|BUS|
BUS|KCM,|KCM|IST|BUS|
BUS|KSY,|KSY|IST|BUS|
BUS|MLX,|MLX|IST|BUS|
BUS|MQM,|MQM|IST|BUS|
BUS|MSR,|MSR|IST|BUS|
BUS|TEQ,|TEQ|ESB|IST|BUS|
BUS|TZX,|TZX|IST|BUS|
BUS|VAN,|VAN|IST|BUS|
BUS|ULN,|ULN|FRU|IST|BUS|
BUS|HIJ,|HIJ|ICN|IST|BUS|
BUS|VVO,|VVO|ICN|IST|BUS|
BUS|ACC,|ACC|IST|BUS|
BUS|AER,|AER|IST|BUS|
BUS|AGP,|AGP|IST|BUS|
BUS|ALG,|ALG|IST|BUS|
BUS|AMM,|AMM|IST|BUS|
BUS|AQJ,|AQJ|IST|BUS|
BUS|ARN,|ARN|IST|BUS|
BUS|ASR,|ASR|IST|BUS|
BUS|ATH,|ATH|IST|BUS|
BUS|BAH,|BAH|IST|BUS|
BUS|BEG,|BEG|IST|BUS|
BUS|BEN,|BEN|IST|BUS|
BUS|BEY,|BEY|IST|BUS|
BUS|BHX,|BHX|IST|BUS|
BUS|BIO,|BIO|IST|BUS|
BUS|BLQ,|BLQ|IST|BUS|
BUS|BOM,|BOM|IST|BUS|
BUS|BRE,|BRE|IST|BUS|
BUS|BSL,|BSL|IST|BUS|
BUS|BSR,|BSR|IST|BUS|
BUS|BUD,|BUD|IST|BUS|
BUS|CAI,|CAI|IST|BUS|
BUS|CGN,|CGN|IST|BUS|
BUS|CMN,|CMN|IST|BUS|
BUS|CND,|CND|IST|BUS|
BUS|DAR,|DAR|IST|BUS|
BUS|DLM,|DLM|IST|BUS|
BUS|DMM,|DMM|IST|BUS|
BUS|DNK,|DNK|IST|BUS|
BUS|DNZ,|DNZ|IST|BUS|
BUS|DOK,|DOK|IST|BUS|
BUS|DUS,|DUS|IST|BUS|
BUS|EDI,|EDI|IST|BUS|
BUS|ELQ,|ELQ|IST|BUS|
BUS|FDH,|FDH|IST|BUS|
BUS|GOA,|GOA|IST|BUS|
BUS|GOT,|GOT|IST|BUS|
BUS|HAJ,|HAJ|IST|BUS|
BUS|HBE,|HBE|IST|BUS|
BUS|HEL,|HEL|IST|BUS|
BUS|HRG,|HRG|IST|BUS|
BUS|IFN,|IFN|IST|BUS|
BUS|ISE,|ISE|IST|BUS|
BUS|ISU,|ISU|IST|BUS|
BUS|JIB,|JIB|IST|BUS|
BUS|JRO,|JRO|IST|BUS|
BUS|KAN,|KAN|IST|BUS|
BUS|KBL,|KBL|IST|BUS|
BUS|KBP,|KBP|IST|BUS|
BUS|KFS,|KFS|IST|BUS|
BUS|KHI,|KHI|IST|BUS|
BUS|KIV,|KIV|IST|BUS|
BUS|KRT,|KRT|IST|BUS|
BUS|KSH,|KSH|IST|BUS|
BUS|KVD,|KVD|IST|BUS|
BUS|KWI,|KWI|IST|BUS|
BUS|KYA,|KYA|IST|BUS|
BUS|KZN,|KZN|IST|BUS|
BUS|KZR,|KZR|IST|BUS|
BUS|LED,|LED|IST|BUS|
BUS|LEJ,|LEJ|IST|BUS|
BUS|LGW,|LGW|IST|BUS|
BUS|LHE,|LHE|IST|BUS|
BUS|LIS,|LIS|IST|BUS|
BUS|LJU,|LJU|IST|BUS|
BUS|LOS,|LOS|IST|BUS|
BUS|LUX,|LUX|IST|BUS|
BUS|LWO,|LWO|IST|BUS|
BUS|LYS,|LYS|IST|BUS|
BUS|MAD,|MAD|IST|BUS|
BUS|MAN,|MAN|IST|BUS|
BUS|MED,|MED|IST|BUS|
BUS|MHD,|MHD|IST|BUS|
BUS|MLA,|MLA|IST|BUS|
BUS|MRS,|MRS|IST|BUS|
BUS|MSQ,|MSQ|IST|BUS|
BUS|MXP,|MXP|IST|BUS|
BUS|MZH,|MZH|IST|BUS|
BUS|MZR,|MZR|IST|BUS|
BUS|NAJ,|NAJ|IST|BUS|
BUS|NAV,|NAV|IST|BUS|
BUS|NCE,|NCE|IST|BUS|
BUS|NIM,|NIM|IST|BUS|
BUS|NJF,|NJF|IST|BUS|
BUS|NSI,|NSI|IST|BUS|
BUS|NUE,|NUE|IST|BUS|
BUS|ODS,|ODS|IST|BUS|
BUS|ORN,|ORN|IST|BUS|
BUS|OTP,|OTP|IST|BUS|
BUS|PRG,|PRG|IST|BUS|
BUS|PRN,|PRN|IST|BUS|
BUS|RIX,|RIX|IST|BUS|
BUS|ROV,|ROV|IST|BUS|
BUS|RTM,|RTM|IST|BUS|
BUS|RUH,|RUH|IST|BUS|
BUS|SAH,|SAH|IST|BUS|
BUS|SJJ,|SJJ|IST|BUS|
BUS|SKG,|SKG|IST|BUS|
BUS|SKP,|SKP|IST|BUS|
BUS|SSH,|SSH|IST|BUS|
BUS|STR,|STR|IST|BUS|
BUS|SVX,|SVX|IST|BUS|
