VKO|ADB,|ADB|IST|VKO|
VKO|ADF,|ADF|ESB|VKO|
VKO|AJI,|AJI|ESB|VKO|
VKO|BAL,|BAL|ESB|VKO|
VKO|BJV,|BJV|IST|VKO|
VKO|CKZ,|CKZ|ESB|VKO|
VKO|DIY,|DIY|ESB|VKO|
VKO|ECN,|ECN|ESB|VKO|
VKO|ERC,|ERC|ESB|VKO|
VKO|ERZ,|ERZ|ESB|VKO|
VKO|EZS,|EZS|ESB|VKO|
VKO|GNY,|GNY|ESB|VKO|
VKO|GZP,|GZP|ESB|VKO|
VKO|GZT,|GZT|ESB|VKO|
VKO|HTY,|HTY|ESB|VKO|
VKO|KCM,|KCM|ESB|VKO|
VKO|KSY,|KSY|ESB|VKO|
VKO|MLX,|MLX|ESB|VKO|
VKO|MQM,|MQM|ESB|VKO|
VKO|MSR,|MSR|ESB|VKO|
VKO|TEQ,|TEQ|ESB|VKO|
VKO|TZX,|TZX|ESB|VKO|
VKO|VAN,|VAN|ESB|VKO|
VKO|ULN,|ULN|FRU|IST|VKO|
VKO|HIJ,|HIJ|ICN|IST|VKO|
VKO|VVO,|VVO|ICN|IST|VKO|
VKO|ACC,|ACC|IST|VKO|
VKO|AER,|AER|IST|VKO|
VKO|AGP,|AGP|IST|VKO|
VKO|ALG,|ALG|IST|VKO|
VKO|AMM,|AMM|IST|VKO|
VKO|AQJ,|AQJ|IST|VKO|
VKO|ARN,|ARN|IST|VKO|
VKO|ASR,|ASR|IST|VKO|
VKO|ATH,|ATH|IST|VKO|
VKO|BAH,|BAH|IST|VKO|
VKO|BEG,|BEG|IST|VKO|
VKO|BEN,|BEN|IST|VKO|
VKO|BEY,|BEY|IST|VKO|
VKO|BHX,|BHX|IST|VKO|
VKO|BIO,|BIO|IST|VKO|
VKO|BLQ,|BLQ|IST|VKO|
VKO|BOM,|BOM|IST|VKO|
VKO|BRE,|BRE|IST|VKO|
VKO|BSL,|BSL|IST|VKO|
VKO|BSR,|BSR|IST|VKO|
VKO|BUD,|BUD|IST|VKO|
VKO|BUS,|BUS|IST|VKO|
VKO|CAI,|CAI|IST|VKO|
VKO|CGN,|CGN|IST|VKO|
VKO|CMN,|CMN|IST|VKO|
VKO|CND,|CND|IST|VKO|
VKO|DAR,|DAR|IST|VKO|
VKO|DLM,|DLM|IST|VKO|
VKO|DMM,|DMM|IST|VKO|
VKO|DNK,|DNK|IST|VKO|
VKO|DNZ,|DNZ|IST|VKO|
VKO|DOK,|DOK|IST|VKO|
VKO|DUS,|DUS|IST|VKO|
VKO|EDI,|EDI|IST|VKO|
VKO|ELQ,|ELQ|IST|VKO|
VKO|FDH,|FDH|IST|VKO|
VKO|GOA,|GOA|IST|VKO|
VKO|GOT,|GOT|IST|VKO|
VKO|HAJ,|HAJ|IST|VKO|
VKO|HBE,|HBE|IST|VKO|
VKO|HEL,|HEL|IST|VKO|
VKO|HRG,|HRG|IST|VKO|
VKO|IFN,|IFN|IST|VKO|
VKO|ISE,|ISE|IST|VKO|
VKO|ISU,|ISU|IST|VKO|
VKO|JIB,|JIB|IST|VKO|
VKO|JRO,|JRO|IST|VKO|
VKO|KAN,|KAN|IST|VKO|
VKO|KBL,|KBL|IST|VKO|
VKO|KBP,|KBP|IST|VKO|
VKO|KFS,|KFS|IST|VKO|
VKO|KHI,|KHI|IST|VKO|
VKO|KIV,|KIV|IST|VKO|
VKO|KRT,|KRT|IST|VKO|
VKO|KSH,|KSH|IST|VKO|
VKO|KVD,|KVD|IST|VKO|
VKO|KWI,|KWI|IST|VKO|
VKO|KYA,|KYA|IST|VKO|
VKO|KZN,|KZN|IST|VKO|
VKO|KZR,|KZR|IST|VKO|
VKO|LED,|LED|IST|VKO|
VKO|LEJ,|LEJ|IST|VKO|
VKO|LGW,|LGW|IST|VKO|
VKO|LHE,|LHE|IST|VKO|
VKO|LIS,|LIS|IST|VKO|
VKO|LJU,|LJU|IST|VKO|
VKO|LOS,|LOS|IST|VKO|
VKO|LUX,|LUX|IST|VKO|
VKO|LWO,|LWO|IST|VKO|
VKO|LYS,|LYS|IST|VKO|
VKO|MAD,|MAD|IST|VKO|
VKO|MAN,|MAN|IST|VKO|
VKO|MED,|MED|IST|VKO|
VKO|MHD,|MHD|IST|VKO|
VKO|MLA,|MLA|IST|VKO|
VKO|MRS,|MRS|IST|VKO|
VKO|MSQ,|MSQ|IST|VKO|
