GLA|ADB,|ADB|HAM|EWR|GLA|
GLA|ADF,|ADF|ESB|FRA|EWR|GLA|
GLA|AJI,|AJI|ESB|FRA|EWR|GLA|
GLA|BAL,|BAL|ESB|FRA|EWR|GLA|
GLA|BJV,|BJV|IST|BHX|EWR|GLA|
GLA|CKZ,|CKZ|ESB|FRA|EWR|GLA|
GLA|DIY,|DIY|ESB|FRA|EWR|GLA|
GLA|ECN,|ECN|IST|BHX|EWR|GLA|
GLA|ERC,|ERC|ESB|FRA|EWR|GLA|
GLA|ERZ,|ERZ|ESB|FRA|EWR|GLA|
GLA|EZS,|EZS|ESB|FRA|EWR|GLA|
GLA|GNY,|GNY|ESB|FRA|EWR|GLA|
GLA|GZP,|GZP|ESB|FRA|EWR|GLA|
GLA|GZT,|GZT|ESB|FRA|EWR|GLA|
GLA|HTY,|HTY|SAW|FRA|EWR|GLA|
GLA|KCM,|KCM|ESB|FRA|EWR|GLA|
GLA|KSY,|KSY|ESB|FRA|EWR|GLA|
GLA|MLX,|MLX|ESB|FRA|EWR|GLA|
GLA|MQM,|MQM|ESB|FRA|EWR|GLA|
GLA|MSR,|MSR|ESB|FRA|EWR|GLA|
GLA|TEQ,|TEQ|ESB|FRA|EWR|GLA|
GLA|TZX,|TZX|ESB|FRA|EWR|GLA|
GLA|VAN,|VAN|ESB|FRA|EWR|GLA|
GLA|ULN,|ULN|FRU|IST|BHX|EWR|GLA|
GLA|HIJ,|HIJ|ICN|JFK|IAD|EWR|GLA|
GLA|VVO,|VVO|ICN|JFK|IAD|EWR|GLA|
GLA|ACC,|ACC|IST|BHX|EWR|GLA|
GLA|AER,|AER|IST|BHX|EWR|GLA|
GLA|AGP,|AGP|IST|BHX|EWR|GLA|
GLA|ALG,|ALG|IST|BHX|EWR|GLA|
GLA|AMM,|AMM|IST|BHX|EWR|GLA|
GLA|AQJ,|AQJ|IST|BHX|EWR|GLA|
GLA|ARN,|ARN|EWR|GLA|
GLA|ASR,|ASR|SAW|FRA|EWR|GLA|
GLA|ATH,|ATH|IST|BHX|EWR|GLA|
GLA|BAH,|BAH|IST|BHX|EWR|GLA|
GLA|BEG,|BEG|IST|BHX|EWR|GLA|
GLA|BEN,|BEN|IST|BHX|EWR|GLA|
GLA|BEY,|BEY|IST|BHX|EWR|GLA|
GLA|BHX,|BHX|EWR|GLA|
GLA|BIO,|BIO|IST|BHX|EWR|GLA|
GLA|BLQ,|BLQ|IST|BHX|EWR|GLA|
GLA|BOM,|BOM|EWR|GLA|
GLA|BRE,|BRE|IST|BHX|EWR|GLA|
GLA|BSL,|BSL|IST|BHX|EWR|GLA|
GLA|BSR,|BSR|IST|BHX|EWR|GLA|
GLA|BUD,|BUD|IST|BHX|EWR|GLA|
GLA|BUS,|BUS|IST|BHX|EWR|GLA|
GLA|CAI,|CAI|IST|BHX|EWR|GLA|
GLA|CGN,|CGN|IST|BHX|EWR|GLA|
GLA|CMN,|CMN|IST|BHX|EWR|GLA|
GLA|CND,|CND|IST|BHX|EWR|GLA|
GLA|DAR,|DAR|NBO|ZRH|EWR|GLA|
GLA|DLM,|DLM|IST|BHX|EWR|GLA|
GLA|DMM,|DMM|IST|BHX|EWR|GLA|
GLA|DNK,|DNK|IST|BHX|EWR|GLA|
GLA|DNZ,|DNZ|IST|BHX|EWR|GLA|
GLA|DOK,|DOK|IST|BHX|EWR|GLA|
GLA|DUS,|DUS|EWR|GLA|
GLA|EDI,|EDI|EWR|GLA|
GLA|ELQ,|ELQ|IST|BHX|EWR|GLA|
GLA|FDH,|FDH|IST|BHX|EWR|GLA|
GLA|GOA,|GOA|IST|BHX|EWR|GLA|
GLA|GOT,|GOT|BRU|EWR|GLA|
GLA|HAJ,|HAJ|BRU|EWR|GLA|
GLA|HBE,|HBE|IST|BHX|EWR|GLA|
GLA|HEL,|HEL|IST|BHX|EWR|GLA|
GLA|HRG,|HRG|IST|BHX|EWR|GLA|
