BOM|FRU,|FRU|IST|BOM|
BOM|GYD,|GYD|IST|BOM|
BOM|HTN,|HTN|URC|IST|BOM|
BOM|IKA,|IKA|IST|BOM|
BOM|KCA,|KCA|URC|IST|BOM|
BOM|KHG,|KHG|URC|IST|BOM|
BOM|KRL,|KRL|URC|IST|BOM|
BOM|KRY,|KRY|URC|IST|BOM|
BOM|LBD,|LBD|URC|IST|BOM|
BOM|NLT,|NLT|URC|IST|BOM|
BOM|OSS,|OSS|IST|BOM|
BOM|OVB,|OVB|IST|BOM|
BOM|TBS,|TBS|IST|BOM|
BOM|TCG,|TCG|URC|IST|BOM|
BOM|TSE,|TSE|IST|BOM|
BOM|YIN,|YIN|URC|IST|BOM|
BOM|ENH,|ENH|WUH|URC|IST|BOM|
BOM|ENY,|ENY|XIY|URC|IST|BOM|
BOM|WXN,|WXN|XIY|URC|IST|BOM|
BOM|BLL,|BLL|IST|BOM|
BOM|ESB,|ESB|IST|BOM|
BOM|SAW,|SAW|ADB|IST|BOM|
BOM|HAM,|HAM|IST|BOM|
BOM|HRE,|HRE|ADD|IST|BOM|
BOM|JUB,|JUB|CAI|IST|BOM|
BOM|SSG,|SSG|DLA|IST|BOM|
BOM|BGW,|BGW|IST|BOM|
BOM|EBL,|EBL|IST|BOM|
BOM|VKO,|VKO|IST|BOM|
BOM|MCT,|MCT|IST|BOM|
BOM|AYT,|AYT|IST|BOM|
BOM|SCQ,|SCQ|BIO|IST|BOM|
BOM|AAL,|AAL|IST|BOM|
BOM|AOE,|AOE|BRU|IST|BOM|
BOM|JNB,|JNB|IST|BOM|
BOM|LBV,|LBV|DLA|IST|BOM|
BOM|ADA,|ADA|IST|BOM|
BOM|ADB,|ADB|IST|BOM|
BOM|ADF,|ADF|IST|BOM|
BOM|AJI,|AJI|IST|BOM|
BOM|BAL,|BAL|IST|BOM|
BOM|BJV,|BJV|IST|BOM|
BOM|CKZ,|CKZ|ESB|IST|BOM|
BOM|DIY,|DIY|IST|BOM|
BOM|ECN,|ECN|IST|BOM|
BOM|ERC,|ERC|IST|BOM|
BOM|ERZ,|ERZ|IST|BOM|
BOM|EZS,|EZS|IST|BOM|
BOM|GNY,|GNY|IST|BOM|
BOM|GZP,|GZP|ESB|IST|BOM|
BOM|GZT,|GZT|IST|BOM|
BOM|HTY,|HTY|IST|BOM|
BOM|KCM,|KCM|IST|BOM|
BOM|KSY,|KSY|IST|BOM|
BOM|MLX,|MLX|IST|BOM|
BOM|MQM,|MQM|IST|BOM|
BOM|MSR,|MSR|IST|BOM|
BOM|TEQ,|TEQ|ESB|IST|BOM|
BOM|TZX,|TZX|IST|BOM|
BOM|VAN,|VAN|IST|BOM|
BOM|ULN,|ULN|FRU|IST|BOM|
BOM|HIJ,|HIJ|ICN|IST|BOM|
BOM|VVO,|VVO|ICN|IST|BOM|
BOM|ACC,|ACC|IST|BOM|
BOM|AER,|AER|IST|BOM|
BOM|AGP,|AGP|IST|BOM|
BOM|ALG,|ALG|IST|BOM|
BOM|AMM,|AMM|IST|BOM|
BOM|AQJ,|AQJ|IST|BOM|
BOM|ARN,|ARN|IST|BOM|
BOM|ASR,|ASR|IST|BOM|
BOM|ATH,|ATH|IST|BOM|
BOM|BAH,|BAH|IST|BOM|
BOM|BEG,|BEG|IST|BOM|
BOM|BEN,|BEN|IST|BOM|
BOM|BEY,|BEY|IST|BOM|
BOM|BHX,|BHX|IST|BOM|
BOM|BIO,|BIO|IST|BOM|
BOM|BLQ,|BLQ|IST|BOM|
BOM|BRE,|BRE|IST|BOM|
BOM|BSL,|BSL|IST|BOM|
BOM|BSR,|BSR|IST|BOM|
BOM|BUD,|BUD|IST|BOM|
BOM|BUS,|BUS|IST|BOM|
BOM|CAI,|CAI|IST|BOM|
BOM|CGN,|CGN|IST|BOM|
BOM|CMN,|CMN|IST|BOM|
BOM|CND,|CND|IST|BOM|
BOM|DAR,|DAR|IST|BOM|
BOM|DLM,|DLM|IST|BOM|
BOM|DMM,|DMM|IST|BOM|
BOM|DNK,|DNK|IST|BOM|
BOM|DNZ,|DNZ|IST|BOM|
BOM|DOK,|DOK|IST|BOM|
BOM|DUS,|DUS|IST|BOM|
BOM|EDI,|EDI|IST|BOM|
BOM|ELQ,|ELQ|IST|BOM|
BOM|FDH,|FDH|IST|BOM|
BOM|GOA,|GOA|IST|BOM|
BOM|GOT,|GOT|IST|BOM|
BOM|HAJ,|HAJ|IST|BOM|
BOM|HBE,|HBE|IST|BOM|
BOM|HEL,|HEL|IST|BOM|
BOM|HRG,|HRG|IST|BOM|
BOM|IFN,|IFN|IST|BOM|
BOM|ISE,|ISE|IST|BOM|
BOM|ISU,|ISU|IST|BOM|
BOM|JIB,|JIB|IST|BOM|
BOM|JRO,|JRO|IST|BOM|
BOM|KAN,|KAN|IST|BOM|
BOM|KBL,|KBL|IST|BOM|
BOM|KBP,|KBP|IST|BOM|
BOM|KFS,|KFS|IST|BOM|
BOM|KHI,|KHI|IST|BOM|
BOM|KIV,|KIV|IST|BOM|
BOM|KRT,|KRT|IST|BOM|
BOM|KSH,|KSH|IST|BOM|
BOM|KVD,|KVD|IST|BOM|
BOM|KWI,|KWI|IST|BOM|
BOM|KYA,|KYA|IST|BOM|
BOM|KZN,|KZN|IST|BOM|
BOM|KZR,|KZR|IST|BOM|
BOM|LED,|LED|IST|BOM|
BOM|LEJ,|LEJ|IST|BOM|
BOM|LGW,|LGW|IST|BOM|
BOM|LHE,|LHE|IST|BOM|
BOM|LIS,|LIS|IST|BOM|
BOM|LJU,|LJU|IST|BOM|
BOM|LOS,|LOS|IST|BOM|
BOM|LUX,|LUX|IST|BOM|
BOM|LWO,|LWO|IST|BOM|
BOM|LYS,|LYS|IST|BOM|
BOM|MAD,|MAD|IST|BOM|
BOM|MAN,|MAN|IST|BOM|
BOM|MED,|MED|IST|BOM|
BOM|MHD,|MHD|IST|BOM|
BOM|MLA,|MLA|IST|BOM|
BOM|MRS,|MRS|IST|BOM|
BOM|MSQ,|MSQ|IST|BOM|
BOM|MXP,|MXP|IST|BOM|
BOM|MZH,|MZH|IST|BOM|
BOM|MZR,|MZR|IST|BOM|
BOM|NAJ,|NAJ|IST|BOM|
BOM|NAV,|NAV|IST|BOM|
BOM|NCE,|NCE|IST|BOM|
BOM|NIM,|NIM|IST|BOM|
BOM|NJF,|NJF|IST|BOM|
BOM|NSI,|NSI|IST|BOM|
BOM|NUE,|NUE|IST|BOM|
BOM|ODS,|ODS|IST|BOM|
BOM|ORN,|ORN|IST|BOM|
BOM|OTP,|OTP|IST|BOM|
BOM|PRG,|PRG|IST|BOM|
BOM|PRN,|PRN|IST|BOM|
BOM|RIX,|RIX|IST|BOM|
BOM|ROV,|ROV|IST|BOM|
BOM|RTM,|RTM|IST|BOM|
BOM|RUH,|RUH|IST|BOM|
BOM|SAH,|SAH|IST|BOM|
BOM|SJJ,|SJJ|IST|BOM|
BOM|SKG,|SKG|IST|BOM|
BOM|SKP,|SKP|IST|BOM|
BOM|SSH,|SSH|IST|BOM|
BOM|STR,|STR|IST|BOM|
BOM|SVX,|SVX|IST|BOM|
BOM|SYZ,|SYZ|IST|BOM|
BOM|SZG,|SZG|IST|BOM|
BOM|TBZ,|TBZ|IST|BOM|
BOM|TGD,|TGD|IST|BOM|
BOM|TIA,|TIA|IST|BOM|
BOM|TIF,|TIF|IST|BOM|
BOM|TIP,|TIP|IST|BOM|
BOM|TLL,|TLL|IST|BOM|
BOM|TLS,|TLS|IST|BOM|
BOM|TRN,|TRN|IST|BOM|
BOM|TUN,|TUN|IST|BOM|
BOM|TXL,|TXL|IST|BOM|
BOM|UFA,|UFA|IST|BOM|
BOM|VAS,|VAS|IST|BOM|
BOM|VCE,|VCE|IST|BOM|
BOM|YNB,|YNB|IST|BOM|
BOM|ZAG,|ZAG|IST|BOM|
BOM|MGQ,|MGQ|JIB|IST|BOM|
BOM|CPT,|CPT|JNB|IST|BOM|
BOM|MBA,|MBA|JRO|IST|BOM|
BOM|NDJ,|NDJ|KAN|IST|BOM|
BOM|CMB,|CMB|MLE|IST|BOM|
BOM|ADE,|ADE|SAH|IST|BOM|
BOM|ASF,|ASF|SAW|ADB|IST|BOM|
BOM|STW,|STW|SAW|ADB|IST|BOM|
BOM|LFW,|LFW|ABJ|OUA|NIM|IST|BOM|
BOM|CEC,|CEC|ACV|SMF|SEA|FRA|IST|BOM|
BOM|SMF,|SMF|SEA|FRA|IST|BOM|
BOM|CDR,|CDR|AIA|DEN|FRA|IST|BOM|
BOM|FMN,|FMN|DEN|FRA|IST|BOM|
BOM|JST,|JST|IAD|EWR|BOM|
BOM|JHW,|JHW|CLE|EWR|BOM|
BOM|SHD,|SHD|IAD|EWR|BOM|
BOM|PTY,|PTY|EWR|BOM|
BOM|FNA,|FNA|BRU|IST|BOM|
BOM|SXB,|SXB|BRU|IST|BOM|
BOM|ACV,|ACV|SMF|SEA|FRA|IST|BOM|
BOM|MGW,|MGW|IAD|EWR|BOM|
BOM|ALB,|ALB|EWR|BOM|
BOM|AUS,|AUS|EWR|BOM|
BOM|BFD,|BFD|CLE|EWR|BOM|
BOM|BUF,|BUF|EWR|BOM|
BOM|CHS,|CHS|EWR|BOM|
BOM|DAY,|DAY|EWR|BOM|
BOM|DUJ,|DUJ|CLE|EWR|BOM|
BOM|ERI,|ERI|CLE|EWR|BOM|
BOM|FKL,|FKL|CLE|EWR|BOM|
BOM|FNT,|FNT|CLE|EWR|BOM|
BOM|GRR,|GRR|EWR|BOM|
BOM|GSP,|GSP|EWR|BOM|
BOM|PBI,|PBI|EWR|BOM|
BOM|PKB,|PKB|CLE|EWR|BOM|
BOM|RIC,|RIC|EWR|BOM|
BOM|SDF,|SDF|EWR|BOM|
BOM|GUM,|GUM|FUK|ICN|IST|BOM|
BOM|WRL,|WRL|CYS|DEN|FRA|IST|BOM|
BOM|LBL,|BOM|
BOM|ABQ,|ABQ|DEN|FRA|IST|BOM|
BOM|AIA,|AIA|DEN|FRA|IST|BOM|
BOM|ALS,|ALS|DEN|FRA|IST|BOM|
BOM|AMA,|AMA|DAL|LIT|BWI|EWR|BOM|
BOM|ANC,|ANC|SEA|FRA|IST|BOM|
BOM|ASE,|ASE|DEN|FRA|IST|BOM|
BOM|BFL,|BFL|LAX|IST|BOM|
BOM|BHM,|BHM|BWI|EWR|BOM|
BOM|BIL,|BIL|DEN|FRA|IST|BOM|
BOM|BIS,|BIS|DEN|FRA|IST|BOM|
BOM|BOI,|BOI|DEN|FRA|IST|BOM|
