IST|SSH,|SSH|IST|
IST|STR,|STR|IST|
IST|SVX,|SVX|IST|
IST|SYZ,|SYZ|IST|
IST|SZG,|SZG|IST|
IST|TBZ,|TBZ|IST|
IST|TGD,|TGD|IST|
IST|TIA,|TIA|IST|
IST|TIF,|TIF|IST|
IST|TIP,|TIP|IST|
IST|TLL,|TLL|IST|
IST|TLS,|TLS|IST|
IST|TRN,|TRN|IST|
IST|TUN,|TUN|IST|
IST|TXL,|TXL|IST|
IST|UFA,|UFA|IST|
IST|VAS,|VAS|IST|
IST|VCE,|VCE|IST|
IST|YNB,|YNB|IST|
IST|ZAG,|ZAG|IST|
IST|MGQ,|MGQ|JIB|IST|
IST|CPT,|CPT|JNB|IST|
IST|MBA,|MBA|JRO|IST|
IST|NDJ,|NDJ|KAN|IST|
IST|CMB,|CMB|MLE|IST|
IST|ADE,|ADE|SAH|IST|
IST|ASF,|ASF|SAW|ADB|IST|
IST|STW,|STW|SAW|ADB|IST|
IST|LFW,|LFW|ABJ|OUA|NIM|IST|
IST|CEC,|CEC|ACV|SMF|SEA|FRA|IST|
IST|SMF,|SMF|SEA|FRA|IST|
IST|CDR,|CDR|AIA|DEN|FRA|IST|
IST|FMN,|FMN|DEN|FRA|IST|
IST|JST,|JST|IAD|IST|
IST|JHW,|JHW|CLE|YYZ|IST|
IST|SHD,|SHD|IAD|IST|
IST|PTY,|PTY|MIA|ZRH|IST|
IST|FNA,|FNA|BRU|IST|
IST|SXB,|SXB|BRU|IST|
IST|ACV,|ACV|SMF|SEA|FRA|IST|
IST|MGW,|MGW|IAD|IST|
IST|ALB,|ALB|EWR|BHX|IST|
IST|AUS,|AUS|ORD|IST|
IST|BFD,|BFD|CLE|YYZ|IST|
IST|BUF,|BUF|EWR|BHX|IST|
IST|CHS,|CHS|EWR|BHX|IST|
IST|DAY,|DAY|CLE|YYZ|IST|
IST|DUJ,|DUJ|CLE|YYZ|IST|
IST|ERI,|ERI|CLE|YYZ|IST|
IST|FKL,|FKL|CLE|YYZ|IST|
IST|FNT,|FNT|CLE|YYZ|IST|
IST|GRR,|GRR|CLE|YYZ|IST|
IST|GSP,|GSP|EWR|BHX|IST|
IST|PBI,|PBI|EWR|BHX|IST|
IST|PKB,|PKB|CLE|YYZ|IST|
IST|RIC,|RIC|EWR|BHX|IST|
IST|SDF,|SDF|CLE|YYZ|IST|
IST|GUM,|GUM|FUK|ICN|IST|
IST|WRL,|WRL|CYS|DEN|FRA|IST|
IST|LBL,|IST|
IST|ABQ,|ABQ|DEN|FRA|IST|
IST|AIA,|AIA|DEN|FRA|IST|
IST|ALS,|ALS|DEN|FRA|IST|
IST|AMA,|AMA|DEN|FRA|IST|
IST|ANC,|ANC|SEA|FRA|IST|
IST|ASE,|ASE|DEN|FRA|IST|
IST|BFL,|BFL|LAX|IST|
IST|BHM,|BHM|BWI|EWR|BHX|IST|
IST|BIL,|BIL|DEN|FRA|IST|
IST|BIS,|BIS|DEN|FRA|IST|
IST|BOI,|BOI|DEN|FRA|IST|
IST|BUR,|BUR|DEN|FRA|IST|
IST|BZN,|BZN|ORD|IST|
IST|CID,|CID|ORD|IST|
IST|COD,|COD|DEN|FRA|IST|
IST|COS,|COS|DEN|FRA|IST|
IST|CPR,|CPR|DEN|FRA|IST|
IST|CYS,|CYS|DEN|FRA|IST|
IST|DIK,|DIK|DEN|FRA|IST|
IST|DRO,|DRO|DEN|FRA|IST|
IST|DSM,|DSM|ORD|IST|
IST|EGE,|EGE|DEN|FRA|IST|
IST|ELP,|ELP|DEN|FRA|IST|
IST|EUG,|EUG|PDX|SEA|FRA|IST|
IST|FAR,|FAR|ORD|IST|
IST|FAT,|FAT|SFO|MUC|IST|
IST|FCA,|FCA|DEN|FRA|IST|
IST|FSD,|FSD|ORD|IST|
IST|GCC,|GCC|DEN|FRA|IST|
IST|GEG,|GEG|DEN|FRA|IST|
IST|GJT,|GJT|DEN|FRA|IST|
IST|GTF,|GTF|DEN|FRA|IST|
IST|GUC,|GUC|DEN|FRA|IST|
IST|HDN,|HDN|DEN|FRA|IST|
IST|HLN,|HLN|DEN|FRA|IST|
IST|HSV,|HSV|IAD|IST|
IST|ICT,|ICT|ORD|IST|
IST|IDA,|IDA|DEN|FRA|IST|
IST|ISN,|ISN|DEN|FRA|IST|
IST|JAC,|JAC|DEN|FRA|IST|
IST|KOA,|KOA|YVR|MUC|IST|
IST|LAR,|LAR|DEN|FRA|IST|
IST|LBB,|LBB|DAL|STL|ORD|IST|
IST|LIH,|LIH|YVR|MUC|IST|
IST|LIT,|LIT|ORD|IST|
IST|LNK,|LNK|ORD|IST|
IST|MAF,|MAF|DAL|STL|ORD|IST|
IST|MEM,|MEM|EWR|BHX|IST|
IST|MFR,|MFR|DEN|FRA|IST|
IST|MLI,|MLI|ORD|IST|
IST|MOT,|MOT|DEN|FRA|IST|
IST|MRY,|MRY|SFO|MUC|IST|
IST|MSN,|MSN|ORD|IST|
IST|MSO,|MSO|DEN|FRA|IST|
IST|MTJ,|MTJ|DEN|FRA|IST|
IST|OKC,|OKC|ORD|IST|
IST|OMA,|OMA|ORD|IST|
IST|ONT,|ONT|DEN|FRA|IST|
IST|PIA,|PIA|ORD|IST|
IST|PIR,|PIR|DEN|FRA|IST|
IST|PSC,|PSC|DEN|FRA|IST|
IST|PSP,|PSP|DEN|FRA|IST|
IST|PUB,|PUB|DEN|FRA|IST|
IST|RAP,|RAP|ORD|IST|
IST|RDM,|RDM|PDX|SEA|FRA|IST|
IST|RKS,|RKS|DEN|FRA|IST|
IST|RNO,|RNO|SEA|FRA|IST|
IST|SAF,|SAF|DEN|FRA|IST|
IST|SAT,|SAT|ORD|IST|
IST|SBA,|SBA|LAX|IST|
IST|SGF,|SGF|ORD|IST|
IST|SGU,|SGU|DEN|FRA|IST|
IST|SHV,|SHV|IAH|IST|
IST|SJC,|SJC|SEA|FRA|IST|
IST|SLC,|SLC|DEN|FRA|IST|
IST|SNA,|SNA|DEN|FRA|IST|
IST|TUL,|TUL|ORD|IST|
IST|TUS,|TUS|DEN|FRA|IST|
IST|TYS,|TYS|IAD|IST|
IST|XNA,|XNA|ORD|IST|
IST|SAL,|SAL|MIA|ZRH|IST|
IST|BJL,|BJL|DKR|BRU|IST|
IST|BFS,|BFS|EWR|BHX|IST|
IST|BON,|BON|EWR|BHX|IST|
IST|BQN,|BQN|EWR|BHX|IST|
IST|BTV,|BTV|EWR|BHX|IST|
IST|BZE,|BZE|EWR|BHX|IST|
IST|GLA,|GLA|EWR|BHX|IST|
IST|GSO,|GSO|EWR|BHX|IST|
IST|ITH,|ITH|EWR|BHX|IST|
IST|JAX,|JAX|EWR|BHX|IST|
IST|MHT,|MHT|EWR|BHX|IST|
IST|MYR,|MYR|EWR|BHX|IST|
IST|ORF,|ORF|EWR|BHX|IST|
IST|POS,|POS|EWR|BHX|IST|
IST|PVD,|PVD|EWR|BHX|IST|
IST|PWM,|PWM|EWR|BHX|IST|
IST|SAP,|SAP|MIA|ZRH|IST|
