LYG|BIO,|BIO|IST|URC|INC|XUZ|LYG|
LYG|BLQ,|BLQ|IST|URC|INC|XUZ|LYG|
LYG|BOM,|BOM|IST|URC|INC|XUZ|LYG|
LYG|BRE,|BRE|IST|URC|INC|XUZ|LYG|
LYG|BSL,|BSL|IST|URC|INC|XUZ|LYG|
LYG|BSR,|BSR|IST|URC|INC|XUZ|LYG|
LYG|BUD,|BUD|IST|URC|INC|XUZ|LYG|
LYG|BUS,|BUS|IST|URC|INC|XUZ|LYG|
LYG|CAI,|CAI|IST|URC|INC|XUZ|LYG|
LYG|CGN,|CGN|IST|URC|INC|XUZ|LYG|
LYG|CMN,|CMN|IST|URC|INC|XUZ|LYG|
LYG|CND,|CND|IST|URC|INC|XUZ|LYG|
LYG|DAR,|DAR|NBO|CAN|LYG|
LYG|DLM,|DLM|IST|URC|INC|XUZ|LYG|
LYG|DMM,|DMM|IST|URC|INC|XUZ|LYG|
LYG|DNK,|DNK|IST|URC|INC|XUZ|LYG|
LYG|DNZ,|DNZ|IST|URC|INC|XUZ|LYG|
LYG|DOK,|DOK|IST|URC|INC|XUZ|LYG|
LYG|DUS,|DUS|IST|URC|INC|XUZ|LYG|
LYG|EDI,|EDI|IST|URC|INC|XUZ|LYG|
LYG|ELQ,|ELQ|IST|URC|INC|XUZ|LYG|
LYG|FDH,|FDH|IST|URC|INC|XUZ|LYG|
LYG|GOA,|GOA|IST|URC|INC|XUZ|LYG|
LYG|GOT,|GOT|IST|URC|INC|XUZ|LYG|
LYG|HAJ,|HAJ|IST|URC|INC|XUZ|LYG|
LYG|HBE,|HBE|IST|URC|INC|XUZ|LYG|
LYG|HEL,|HEL|IST|URC|INC|XUZ|LYG|
LYG|HRG,|HRG|IST|URC|INC|XUZ|LYG|
LYG|IFN,|IFN|IST|URC|INC|XUZ|LYG|
LYG|ISE,|ISE|IST|URC|INC|XUZ|LYG|
LYG|ISU,|ISU|IST|URC|INC|XUZ|LYG|
LYG|JIB,|JIB|IST|URC|INC|XUZ|LYG|
LYG|JRO,|JRO|IST|URC|INC|XUZ|LYG|
LYG|KAN,|KAN|IST|URC|INC|XUZ|LYG|
LYG|KBL,|KBL|IST|URC|INC|XUZ|LYG|
LYG|KBP,|KBP|IST|URC|INC|XUZ|LYG|
LYG|KFS,|KFS|IST|URC|INC|XUZ|LYG|
LYG|KHI,|KHI|IST|URC|INC|XUZ|LYG|
LYG|KIV,|KIV|IST|URC|INC|XUZ|LYG|
LYG|KRT,|KRT|IST|URC|INC|XUZ|LYG|
LYG|KSH,|KSH|IST|URC|INC|XUZ|LYG|
LYG|KVD,|KVD|IST|URC|INC|XUZ|LYG|
