MBJ|KIJ,|KIJ|HRB|PEK|ORD|ATL|MBJ|
MBJ|LDS,|LDS|HRB|PEK|ORD|ATL|MBJ|
MBJ|OHE,|OHE|HRB|PEK|ORD|ATL|MBJ|
MBJ|HSN,|HSN|PEK|ORD|ATL|MBJ|
MBJ|DLU,|DLU|KMG|PEK|ORD|ATL|MBJ|
MBJ|SYM,|SYM|KMG|PEK|ORD|ATL|MBJ|
MBJ|ZAT,|ZAT|KMG|PEK|ORD|ATL|MBJ|
MBJ|LUN,|LUN|NBO|ZRH|EWR|MBJ|
MBJ|AOG,|AOG|PEK|ORD|ATL|MBJ|
MBJ|GMP,|GMP|PEK|ORD|ATL|MBJ|
MBJ|ISB,|ISB|IST|LHR|YHZ|MBJ|
MBJ|TAS,|TAS|IST|LHR|YHZ|MBJ|
MBJ|WUS,|WUS|PEK|ORD|ATL|MBJ|
MBJ|JMU,|JMU|PVG|ORD|ATL|MBJ|
MBJ|NDG,|NDG|PVG|ORD|ATL|MBJ|
MBJ|JXA,|JXA|SHE|PEK|ORD|ATL|MBJ|
MBJ|PUS,|PUS|SHE|PEK|ORD|ATL|MBJ|
MBJ|BKI,|BKI|SZX|PEK|ORD|ATL|MBJ|
MBJ|AKU,|AKU|URC|TSE|FRA|EWR|MBJ|
MBJ|ALA,|ALA|TSE|FRA|EWR|MBJ|
MBJ|ASB,|ASB|GYD|FRA|EWR|MBJ|
MBJ|DNH,|DNH|URC|TSE|FRA|EWR|MBJ|
MBJ|DYU,|DYU|IST|LHR|YHZ|MBJ|
MBJ|FRU,|FRU|IST|LHR|YHZ|MBJ|
MBJ|GYD,|GYD|FRA|EWR|MBJ|
MBJ|HTN,|HTN|URC|TSE|FRA|EWR|MBJ|
MBJ|IKA,|IKA|IST|LHR|YHZ|MBJ|
MBJ|KCA,|KCA|URC|TSE|FRA|EWR|MBJ|
MBJ|KHG,|KHG|URC|TSE|FRA|EWR|MBJ|
MBJ|KRL,|KRL|URC|TSE|FRA|EWR|MBJ|
MBJ|KRY,|KRY|URC|TSE|FRA|EWR|MBJ|
MBJ|LBD,|LBD|URC|TSE|FRA|EWR|MBJ|
MBJ|NLT,|NLT|URC|TSE|FRA|EWR|MBJ|
MBJ|OSS,|OSS|IST|LHR|YHZ|MBJ|
MBJ|OVB,|OVB|IST|LHR|YHZ|MBJ|
MBJ|TBS,|TBS|IST|LHR|YHZ|MBJ|
MBJ|TCG,|TCG|URC|TSE|FRA|EWR|MBJ|
MBJ|TSE,|TSE|FRA|EWR|MBJ|
MBJ|YIN,|YIN|URC|TSE|FRA|EWR|MBJ|
MBJ|ENH,|ENH|WUH|PEK|ORD|ATL|MBJ|
MBJ|ENY,|ENY|XIY|PEK|ORD|ATL|MBJ|
MBJ|WXN,|WXN|XIY|PEK|ORD|ATL|MBJ|
MBJ|BLL,|BLL|IST|LHR|YHZ|MBJ|
