BGI|CGQ,|CGQ|PEK|YYZ|BGI|
BGI|CIH,|CIH|PEK|YYZ|BGI|
BGI|CNX,|CNX|CAN|PEK|YYZ|BGI|
BGI|CZX,|CZX|SHE|PEK|YYZ|BGI|
BGI|DAC,|DAC|IST|YYZ|BGI|
BGI|DAD,|DAD|CAN|PEK|YYZ|BGI|
BGI|DEL,|DEL|EWR|YYZ|BGI|
BGI|DIG,|DIG|KMG|PEK|YYZ|BGI|
BGI|DLC,|DLC|PEK|YYZ|BGI|
BGI|DPS,|DPS|SZX|PEK|YYZ|BGI|
BGI|DXB,|DXB|IST|YYZ|BGI|
BGI|DYG,|DYG|PEK|YYZ|BGI|
BGI|FUG,|FUG|CAN|PEK|YYZ|BGI|
BGI|FUK,|FUK|ICN|PEK|YYZ|BGI|
BGI|HAK,|HAK|PEK|YYZ|BGI|
BGI|HAN,|HAN|PEK|YYZ|BGI|
BGI|HDG,|HDG|CAN|PEK|YYZ|BGI|
BGI|HET,|HET|DLC|PEK|YYZ|BGI|
BGI|HFE,|HFE|XIY|PEK|YYZ|BGI|
BGI|HJJ,|HJJ|CSX|PEK|YYZ|BGI|
BGI|HKT,|HKT|KWE|PEK|YYZ|BGI|
BGI|HRB,|HRB|PEK|YYZ|BGI|
BGI|HZH,|HZH|CAN|PEK|YYZ|BGI|
BGI|JIU,|JIU|CAN|PEK|YYZ|BGI|
BGI|JJN,|JJN|PEK|YYZ|BGI|
BGI|JNG,|JNG|CAN|PEK|YYZ|BGI|
BGI|KHN,|KHN|DLC|PEK|YYZ|BGI|
BGI|KIX,|KIX|SFO|YYZ|BGI|
BGI|KOW,|KOW|PEK|YYZ|BGI|
BGI|KTM,|KTM|IST|YYZ|BGI|
BGI|KUL,|KUL|CAN|PEK|YYZ|BGI|
BGI|KWE,|KWE|PEK|YYZ|BGI|
BGI|KWL,|KWL|PEK|YYZ|BGI|
BGI|LHW,|LHW|CGO|PEK|YYZ|BGI|
BGI|LYA,|LYA|KHN|DLC|PEK|YYZ|BGI|
BGI|LYG,|LYG|HSN|PEK|YYZ|BGI|
BGI|LZH,|LZH|CAN|PEK|YYZ|BGI|
BGI|MEL,|MEL|SYD|LAX|YYZ|BGI|
BGI|MIG,|MIG|CSX|PEK|YYZ|BGI|
BGI|MLE,|MLE|IST|YYZ|BGI|
BGI|MNL,|MNL|XMN|PEK|YYZ|BGI|
BGI|MXZ,|MXZ|CAN|PEK|YYZ|BGI|
BGI|NAO,|NAO|PEK|YYZ|BGI|
BGI|NGB,|NGB|PEK|YYZ|BGI|
BGI|NKG,|NKG|DLC|PEK|YYZ|BGI|
BGI|NNY,|NNY|CGO|PEK|YYZ|BGI|
BGI|PEN,|PEN|CAN|PEK|YYZ|BGI|
BGI|PER,|PER|CAN|PEK|YYZ|BGI|
BGI|PNH,|PNH|CAN|PEK|YYZ|BGI|
BGI|REP,|REP|CAN|PEK|YYZ|BGI|
BGI|RGN,|RGN|CAN|PEK|YYZ|BGI|
BGI|SGN,|SGN|CAN|PEK|YYZ|BGI|
BGI|SHA,|SHA|PEK|YYZ|BGI|
BGI|SIN,|SIN|CAN|PEK|YYZ|BGI|
BGI|SVO,|SVO|URC|TSE|FRA|YYZ|BGI|
BGI|SYX,|SYX|PEK|YYZ|BGI|
BGI|TAO,|TAO|DLC|PEK|YYZ|BGI|
BGI|TEN,|TEN|PEK|YYZ|BGI|
BGI|TNA,|TNA|DLC|PEK|YYZ|BGI|
BGI|TPE,|TPE|PVG|YYZ|BGI|
BGI|TSN,|TSN|DLC|PEK|YYZ|BGI|
BGI|TXN,|TXN|DLC|PEK|YYZ|BGI|
BGI|TYN,|TYN|DAT|CIH|PEK|YYZ|BGI|
BGI|WNZ,|WNZ|CGO|PEK|YYZ|BGI|
BGI|WUX,|WUX|CAN|PEK|YYZ|BGI|
BGI|XFN,|XFN|XMN|PEK|YYZ|BGI|
BGI|XIY,|XIY|PEK|YYZ|BGI|
BGI|XUZ,|XUZ|LYG|HSN|PEK|YYZ|BGI|
BGI|YIH,|YIH|CKG|PEK|YYZ|BGI|
BGI|YIW,|YIW|PEK|YYZ|BGI|
BGI|YNT,|YNT|SHE|PEK|YYZ|BGI|
BGI|YNZ,|YNZ|DLC|PEK|YYZ|BGI|
BGI|YTY,|YTY|DLC|PEK|YYZ|BGI|
BGI|ZHA,|ZHA|CAN|PEK|YYZ|BGI|
BGI|ZYI,|ZYI|PEK|YYZ|BGI|
BGI|BAV,|BAV|CGO|PEK|YYZ|BGI|
BGI|CJU,|CJU|DLC|PEK|YYZ|BGI|
BGI|DSN,|DSN|CGO|PEK|YYZ|BGI|
BGI|HMI,|HMI|URC|TSE|FRA|YYZ|BGI|
BGI|INC,|INC|PEK|YYZ|BGI|
BGI|KHH,|KHH|CGO|PEK|YYZ|BGI|
BGI|UYN,|UYN|CGO|PEK|YYZ|BGI|
BGI|XNN,|XNN|PEK|YYZ|BGI|
BGI|ZUH,|ZUH|PEK|YYZ|BGI|
BGI|YNJ,|YNJ|PEK|YYZ|BGI|
BGI|DAT,|DAT|CIH|PEK|YYZ|BGI|
BGI|JHG,|JHG|CKG|PEK|YYZ|BGI|
BGI|LJG,|LJG|CKG|PEK|YYZ|BGI|
BGI|LXA,|LXA|XIY|PEK|YYZ|BGI|
BGI|YCU,|YCU|CSX|PEK|YYZ|BGI|
BGI|LZO,|LZO|CSX|PEK|YYZ|BGI|
BGI|MDG,|MDG|DLC|PEK|YYZ|BGI|
BGI|NGO,|NGO|DLC|PEK|YYZ|BGI|
BGI|TOY,|TOY|DLC|PEK|YYZ|BGI|
BGI|MFM,|MFM|XMN|PEK|YYZ|BGI|
BGI|TGO,|TGO|HET|DLC|PEK|YYZ|BGI|
BGI|XIL,|XIL|HET|DLC|PEK|YYZ|BGI|
BGI|HEK,|HEK|HRB|PEK|YYZ|BGI|
BGI|KIJ,|KIJ|HRB|PEK|YYZ|BGI|
BGI|LDS,|LDS|HRB|PEK|YYZ|BGI|
BGI|OHE,|OHE|HRB|PEK|YYZ|BGI|
BGI|HSN,|HSN|PEK|YYZ|BGI|
BGI|DLU,|DLU|KMG|PEK|YYZ|BGI|
BGI|SYM,|SYM|KMG|PEK|YYZ|BGI|
BGI|ZAT,|ZAT|KMG|PEK|YYZ|BGI|
BGI|LUN,|LUN|NBO|ZRH|YYZ|BGI|
BGI|AOG,|AOG|PEK|YYZ|BGI|
BGI|GMP,|GMP|PEK|YYZ|BGI|
BGI|ISB,|ISB|IST|YYZ|BGI|
BGI|TAS,|TAS|IST|YYZ|BGI|
BGI|WUS,|WUS|PEK|YYZ|BGI|
BGI|JMU,|JMU|PVG|YYZ|BGI|
BGI|NDG,|NDG|PVG|YYZ|BGI|
BGI|JXA,|JXA|SHE|PEK|YYZ|BGI|
BGI|PUS,|PUS|SHE|PEK|YYZ|BGI|
BGI|BKI,|BKI|SZX|PEK|YYZ|BGI|
BGI|AKU,|AKU|URC|TSE|FRA|YYZ|BGI|
BGI|ALA,|ALA|TSE|FRA|YYZ|BGI|
BGI|ASB,|ASB|GYD|FRA|YYZ|BGI|
BGI|DNH,|DNH|URC|TSE|FRA|YYZ|BGI|
BGI|DYU,|DYU|IST|YYZ|BGI|
BGI|FRU,|FRU|IST|YYZ|BGI|
BGI|GYD,|GYD|FRA|YYZ|BGI|
BGI|HTN,|HTN|URC|TSE|FRA|YYZ|BGI|
BGI|IKA,|IKA|SAW|VIE|YYZ|BGI|
BGI|KCA,|KCA|URC|TSE|FRA|YYZ|BGI|
BGI|KHG,|KHG|URC|TSE|FRA|YYZ|BGI|
BGI|KRL,|KRL|URC|TSE|FRA|YYZ|BGI|
BGI|KRY,|KRY|URC|TSE|FRA|YYZ|BGI|
BGI|LBD,|LBD|URC|TSE|FRA|YYZ|BGI|
BGI|NLT,|NLT|URC|TSE|FRA|YYZ|BGI|
BGI|OSS,|OSS|IST|YYZ|BGI|
BGI|OVB,|OVB|IST|YYZ|BGI|
BGI|TBS,|TBS|SAW|VIE|YYZ|BGI|
BGI|TCG,|TCG|URC|TSE|FRA|YYZ|BGI|
BGI|TSE,|TSE|FRA|YYZ|BGI|
BGI|YIN,|YIN|URC|TSE|FRA|YYZ|BGI|
BGI|ENH,|ENH|WUH|PEK|YYZ|BGI|
BGI|ENY,|ENY|XIY|PEK|YYZ|BGI|
BGI|WXN,|WXN|XIY|PEK|YYZ|BGI|
BGI|BLL,|BLL|IST|YYZ|BGI|
BGI|ESB,|ESB|VIE|YYZ|BGI|
BGI|SAW,|SAW|VIE|YYZ|BGI|
BGI|HAM,|HAM|EWR|YYZ|BGI|
BGI|HRE,|HRE|ADD|JED|FRA|YYZ|BGI|
BGI|JUB,|JUB|CAI|IST|YYZ|BGI|
BGI|SSG,|SSG|DLA|BRU|YUL|YYZ|BGI|
BGI|BGW,|BGW|ESB|VIE|YYZ|BGI|
BGI|EBL,|EBL|IST|YYZ|BGI|
BGI|VKO,|VKO|IST|YYZ|BGI|
BGI|MCT,|MCT|AUH|YYZ|BGI|
BGI|AYT,|AYT|IST|YYZ|BGI|
BGI|SCQ,|SCQ|BIO|IST|YYZ|BGI|
BGI|AAL,|AAL|IST|YYZ|BGI|
BGI|AOE,|AOE|BRU|YUL|YYZ|BGI|
