YXE|AMM,|AMM|IST|LHR|YEG|YXE|
YXE|AQJ,|AQJ|IST|LHR|YEG|YXE|
YXE|ARN,|ARN|EWR|YYZ|YXE|
YXE|ASR,|ASR|IST|LHR|YEG|YXE|
YXE|ATH,|ATH|IST|LHR|YEG|YXE|
YXE|BAH,|BAH|IST|LHR|YEG|YXE|
YXE|BEG,|BEG|IST|LHR|YEG|YXE|
YXE|BEN,|BEN|IST|LHR|YEG|YXE|
YXE|BEY,|BEY|IST|LHR|YEG|YXE|
YXE|BHX,|BHX|EWR|YYZ|YXE|
YXE|BIO,|BIO|IST|LHR|YEG|YXE|
YXE|BLQ,|BLQ|IST|LHR|YEG|YXE|
YXE|BOM,|BOM|IST|LHR|YEG|YXE|
YXE|BRE,|BRE|IST|LHR|YEG|YXE|
YXE|BSL,|BSL|IST|LHR|YEG|YXE|
YXE|BSR,|BSR|IST|LHR|YEG|YXE|
YXE|BUD,|BUD|IST|LHR|YEG|YXE|
YXE|BUS,|BUS|IST|LHR|YEG|YXE|
YXE|CAI,|CAI|IST|LHR|YEG|YXE|
YXE|CGN,|CGN|IST|LHR|YEG|YXE|
YXE|CMN,|CMN|IST|LHR|YEG|YXE|
YXE|CND,|CND|IST|LHR|YEG|YXE|
YXE|DAR,|DAR|IST|LHR|YEG|YXE|
YXE|DLM,|DLM|IST|LHR|YEG|YXE|
YXE|DMM,|DMM|IST|LHR|YEG|YXE|
YXE|DNK,|DNK|IST|LHR|YEG|YXE|
YXE|DNZ,|DNZ|IST|LHR|YEG|YXE|
YXE|DOK,|DOK|IST|LHR|YEG|YXE|
YXE|DUS,|DUS|ORD|YXE|
YXE|EDI,|EDI|EWR|YYZ|YXE|
YXE|ELQ,|ELQ|IST|LHR|YEG|YXE|
YXE|FDH,|FDH|IST|LHR|YEG|YXE|
YXE|GOA,|GOA|IST|LHR|YEG|YXE|
YXE|GOT,|GOT|BRU|YUL|YWG|YXE|
YXE|HAJ,|HAJ|BRU|YUL|YWG|YXE|
YXE|HBE,|HBE|IST|LHR|YEG|YXE|
YXE|HEL,|HEL|IST|LHR|YEG|YXE|
YXE|HRG,|HRG|IST|LHR|YEG|YXE|
YXE|IFN,|IFN|IST|LHR|YEG|YXE|
YXE|ISE,|ISE|IST|LHR|YEG|YXE|
YXE|ISU,|ISU|IST|LHR|YEG|YXE|
YXE|JIB,|JIB|IST|LHR|YEG|YXE|
YXE|JRO,|JRO|IST|LHR|YEG|YXE|
YXE|KAN,|KAN|IST|LHR|YEG|YXE|
YXE|KBL,|KBL|IST|LHR|YEG|YXE|
YXE|KBP,|KBP|IST|LHR|YEG|YXE|
YXE|KFS,|KFS|IST|LHR|YEG|YXE|
YXE|KHI,|KHI|IST|LHR|YEG|YXE|
YXE|KIV,|KIV|IST|LHR|YEG|YXE|
YXE|KRT,|KRT|IST|LHR|YEG|YXE|
YXE|KSH,|KSH|IST|LHR|YEG|YXE|
YXE|KVD,|KVD|IST|LHR|YEG|YXE|
YXE|KWI,|KWI|IST|LHR|YEG|YXE|
YXE|KYA,|KYA|IST|LHR|YEG|YXE|
YXE|KZN,|KZN|IST|LHR|YEG|YXE|
YXE|KZR,|KZR|IST|LHR|YEG|YXE|
YXE|LED,|LED|VIE|YYZ|YXE|
YXE|LEJ,|LEJ|IST|LHR|YEG|YXE|
YXE|LGW,|LGW|IST|LHR|YEG|YXE|
YXE|LHE,|LHE|IST|LHR|YEG|YXE|
YXE|LIS,|LIS|EWR|YYZ|YXE|
YXE|LJU,|LJU|IST|LHR|YEG|YXE|
YXE|LOS,|LOS|FRA|YYC|YXE|
YXE|LUX,|LUX|IST|LHR|YEG|YXE|
YXE|LWO,|LWO|IST|LHR|YEG|YXE|
YXE|LYS,|LYS|IST|LHR|YEG|YXE|
YXE|MAD,|MAD|EWR|YYZ|YXE|
YXE|MAN,|MAN|EWR|YYZ|YXE|
YXE|MED,|MED|IST|LHR|YEG|YXE|
YXE|MHD,|MHD|IST|LHR|YEG|YXE|
YXE|MLA,|MLA|IST|LHR|YEG|YXE|
YXE|MRS,|MRS|IST|LHR|YEG|YXE|
YXE|MSQ,|MSQ|IST|LHR|YEG|YXE|
YXE|MXP,|MXP|EWR|YYZ|YXE|
YXE|MZH,|MZH|IST|LHR|YEG|YXE|
YXE|MZR,|MZR|IST|LHR|YEG|YXE|
YXE|NAJ,|NAJ|IST|LHR|YEG|YXE|
YXE|NAV,|NAV|IST|LHR|YEG|YXE|
YXE|NCE,|NCE|IST|LHR|YEG|YXE|
YXE|NIM,|NIM|IST|LHR|YEG|YXE|
YXE|NJF,|NJF|IST|LHR|YEG|YXE|
YXE|NSI,|NSI|BRU|YUL|YWG|YXE|
YXE|NUE,|NUE|IST|LHR|YEG|YXE|
YXE|ODS,|ODS|IST|LHR|YEG|YXE|
YXE|ORN,|ORN|IST|LHR|YEG|YXE|
YXE|OTP,|OTP|IST|LHR|YEG|YXE|
YXE|PRG,|PRG|BRU|YUL|YWG|YXE|
YXE|PRN,|PRN|IST|LHR|YEG|YXE|
YXE|RIX,|RIX|IST|LHR|YEG|YXE|
YXE|ROV,|ROV|IST|LHR|YEG|YXE|
YXE|RTM,|RTM|IST|LHR|YEG|YXE|
YXE|RUH,|RUH|IST|LHR|YEG|YXE|
YXE|SAH,|SAH|IST|LHR|YEG|YXE|
YXE|SJJ,|SJJ|IST|LHR|YEG|YXE|
YXE|SKG,|SKG|IST|LHR|YEG|YXE|
YXE|SKP,|SKP|IST|LHR|YEG|YXE|
YXE|SSH,|SSH|IST|LHR|YEG|YXE|
YXE|STR,|STR|EWR|YYZ|YXE|
YXE|SVX,|SVX|IST|LHR|YEG|YXE|
YXE|SYZ,|SYZ|IST|LHR|YEG|YXE|
YXE|SZG,|SZG|IST|LHR|YEG|YXE|
YXE|TBZ,|TBZ|IST|LHR|YEG|YXE|
YXE|TGD,|TGD|IST|LHR|YEG|YXE|
YXE|TIA,|TIA|IST|LHR|YEG|YXE|
YXE|TIF,|TIF|IST|LHR|YEG|YXE|
YXE|TIP,|TIP|IST|LHR|YEG|YXE|
YXE|TLL,|TLL|VNO|FRA|YYC|YXE|
YXE|TLS,|TLS|IST|LHR|YEG|YXE|
YXE|TRN,|TRN|IST|LHR|YEG|YXE|
YXE|TUN,|TUN|IST|LHR|YEG|YXE|
YXE|TXL,|TXL|EWR|YYZ|YXE|
YXE|UFA,|UFA|IST|LHR|YEG|YXE|
YXE|VAS,|VAS|IST|LHR|YEG|YXE|
YXE|VCE,|VCE|IST|LHR|YEG|YXE|
YXE|YNB,|YNB|IST|LHR|YEG|YXE|
YXE|ZAG,|ZAG|IST|LHR|YEG|YXE|
