MAD|DNK,|DNK|IST|MAD|
MAD|DNZ,|DNZ|IST|MAD|
MAD|DOK,|DOK|IST|MAD|
MAD|DUS,|DUS|IST|MAD|
MAD|EDI,|EDI|IST|MAD|
MAD|ELQ,|ELQ|IST|MAD|
MAD|FDH,|FDH|IST|MAD|
MAD|GOA,|GOA|IST|MAD|
MAD|GOT,|GOT|IST|MAD|
MAD|HAJ,|HAJ|IST|MAD|
MAD|HBE,|HBE|IST|MAD|
MAD|HEL,|HEL|IST|MAD|
MAD|HRG,|HRG|IST|MAD|
MAD|IFN,|IFN|IST|MAD|
MAD|ISE,|ISE|IST|MAD|
MAD|ISU,|ISU|IST|MAD|
MAD|JIB,|JIB|IST|MAD|
MAD|JRO,|JRO|IST|MAD|
MAD|KAN,|KAN|IST|MAD|
MAD|KBL,|KBL|IST|MAD|
MAD|KBP,|KBP|IST|MAD|
MAD|KFS,|KFS|IST|MAD|
MAD|KHI,|KHI|IST|MAD|
MAD|KIV,|KIV|IST|MAD|
MAD|KRT,|KRT|IST|MAD|
MAD|KSH,|KSH|IST|MAD|
MAD|KVD,|KVD|IST|MAD|
MAD|KWI,|KWI|IST|MAD|
MAD|KYA,|KYA|IST|MAD|
MAD|KZN,|KZN|IST|MAD|
MAD|KZR,|KZR|IST|MAD|
MAD|LED,|LED|IST|MAD|
MAD|LEJ,|LEJ|IST|MAD|
MAD|LGW,|LGW|IST|MAD|
MAD|LHE,|LHE|IST|MAD|
MAD|LIS,|LIS|IST|MAD|
MAD|LJU,|LJU|IST|MAD|
MAD|LOS,|LOS|IST|MAD|
MAD|LUX,|LUX|IST|MAD|
MAD|LWO,|LWO|IST|MAD|
MAD|LYS,|LYS|IST|MAD|
MAD|MAN,|MAN|IST|MAD|
MAD|MED,|MED|IST|MAD|
MAD|MHD,|MHD|IST|MAD|
MAD|MLA,|MLA|IST|MAD|
MAD|MRS,|MRS|IST|MAD|
MAD|MSQ,|MSQ|IST|MAD|
MAD|MXP,|MXP|IST|MAD|
MAD|MZH,|MZH|IST|MAD|
MAD|MZR,|MZR|IST|MAD|
MAD|NAJ,|NAJ|IST|MAD|
MAD|NAV,|NAV|IST|MAD|
MAD|NCE,|NCE|IST|MAD|
MAD|NIM,|NIM|IST|MAD|
MAD|NJF,|NJF|IST|MAD|
MAD|NSI,|NSI|IST|MAD|
MAD|NUE,|NUE|IST|MAD|
MAD|ODS,|ODS|IST|MAD|
MAD|ORN,|ORN|IST|MAD|
MAD|OTP,|OTP|IST|MAD|
MAD|PRG,|PRG|IST|MAD|
MAD|PRN,|PRN|IST|MAD|
MAD|RIX,|RIX|IST|MAD|
MAD|ROV,|ROV|IST|MAD|
MAD|RTM,|RTM|IST|MAD|
MAD|RUH,|RUH|IST|MAD|
MAD|SAH,|SAH|IST|MAD|
MAD|SJJ,|SJJ|IST|MAD|
MAD|SKG,|SKG|IST|MAD|
MAD|SKP,|SKP|IST|MAD|
MAD|SSH,|SSH|IST|MAD|
MAD|STR,|STR|IST|MAD|
MAD|SVX,|SVX|IST|MAD|
MAD|SYZ,|SYZ|IST|MAD|
MAD|SZG,|SZG|IST|MAD|
MAD|TBZ,|TBZ|IST|MAD|
MAD|TGD,|TGD|IST|MAD|
MAD|TIA,|TIA|IST|MAD|
MAD|TIF,|TIF|IST|MAD|
MAD|TIP,|TIP|IST|MAD|
MAD|TLL,|TLL|IST|MAD|
MAD|TLS,|TLS|IST|MAD|
MAD|TRN,|TRN|IST|MAD|
MAD|TUN,|TUN|IST|MAD|
MAD|TXL,|TXL|IST|MAD|
MAD|UFA,|UFA|IST|MAD|
MAD|VAS,|VAS|IST|MAD|
MAD|VCE,|VCE|IST|MAD|
MAD|YNB,|YNB|IST|MAD|
MAD|ZAG,|ZAG|IST|MAD|
MAD|MGQ,|MGQ|JIB|IST|MAD|
MAD|CPT,|CPT|JNB|IST|MAD|
MAD|MBA,|MBA|JRO|IST|MAD|
MAD|NDJ,|NDJ|KAN|IST|MAD|
MAD|CMB,|CMB|MLE|IST|MAD|
MAD|ADE,|ADE|SAH|IST|MAD|
MAD|ASF,|ASF|SAW|ADB|IST|MAD|
MAD|STW,|STW|SAW|ADB|IST|MAD|
MAD|LFW,|LFW|ABJ|OUA|NIM|IST|MAD|
MAD|CEC,|CEC|ACV|SMF|ORD|EWR|MAD|
MAD|SMF,|SMF|ORD|EWR|MAD|
MAD|CDR,|CDR|AIA|DEN|EWR|MAD|
MAD|FMN,|FMN|DEN|EWR|MAD|
MAD|JST,|JST|IAD|EWR|MAD|
MAD|JHW,|JHW|CLE|EWR|MAD|
MAD|SHD,|SHD|IAD|EWR|MAD|
MAD|PTY,|PTY|EWR|MAD|
MAD|FNA,|FNA|BRU|IST|MAD|
MAD|SXB,|SXB|BRU|IST|MAD|
MAD|ACV,|ACV|SMF|ORD|EWR|MAD|
MAD|MGW,|MGW|IAD|EWR|MAD|
MAD|ALB,|ALB|EWR|MAD|
MAD|AUS,|AUS|EWR|MAD|
MAD|BFD,|BFD|CLE|EWR|MAD|
MAD|BUF,|BUF|EWR|MAD|
MAD|CHS,|CHS|EWR|MAD|
MAD|DAY,|DAY|EWR|MAD|
MAD|DUJ,|DUJ|CLE|EWR|MAD|
MAD|ERI,|ERI|CLE|EWR|MAD|
MAD|FKL,|FKL|CLE|EWR|MAD|
MAD|FNT,|FNT|CLE|EWR|MAD|
MAD|GRR,|GRR|EWR|MAD|
MAD|GSP,|GSP|EWR|MAD|
MAD|PBI,|PBI|EWR|MAD|
MAD|PKB,|PKB|CLE|EWR|MAD|
MAD|RIC,|RIC|EWR|MAD|
MAD|SDF,|SDF|EWR|MAD|
MAD|GUM,|GUM|FUK|ICN|IST|MAD|
MAD|WRL,|WRL|CYS|DEN|EWR|MAD|
MAD|LBL,|MAD|
MAD|ABQ,|ABQ|MCI|EWR|MAD|
MAD|AIA,|AIA|DEN|EWR|MAD|
MAD|ALS,|ALS|DEN|EWR|MAD|
MAD|AMA,|AMA|DAL|LIT|BWI|EWR|MAD|
MAD|ANC,|ANC|ORD|EWR|MAD|
MAD|ASE,|ASE|DEN|EWR|MAD|
MAD|BFL,|BFL|DEN|EWR|MAD|
MAD|BHM,|BHM|BWI|EWR|MAD|
MAD|BIL,|BIL|DEN|EWR|MAD|
MAD|BIS,|BIS|DEN|EWR|MAD|
MAD|BOI,|BOI|ORD|EWR|MAD|
MAD|BUR,|BUR|LAS|EWR|MAD|
MAD|BZN,|BZN|ORD|EWR|MAD|
MAD|CID,|CID|ORD|EWR|MAD|
MAD|COD,|COD|DEN|EWR|MAD|
MAD|COS,|COS|ORD|EWR|MAD|
MAD|CPR,|CPR|DEN|EWR|MAD|
MAD|CYS,|CYS|DEN|EWR|MAD|
MAD|DIK,|DIK|DEN|EWR|MAD|
MAD|DRO,|DRO|DEN|EWR|MAD|
MAD|DSM,|DSM|EWR|MAD|
MAD|EGE,|EGE|DEN|EWR|MAD|
MAD|ELP,|ELP|DAL|LIT|BWI|EWR|MAD|
MAD|EUG,|EUG|PDX|EWR|MAD|
MAD|FAR,|FAR|ORD|EWR|MAD|
