DCA|HRE,|HRE|ADD|JED|FRA|EWR|DCA|
DCA|JUB,|JUB|CAI|IST|BHX|EWR|DCA|
DCA|SSG,|SSG|DLA|BRU|EWR|DCA|
DCA|BGW,|BGW|ESB|FRA|EWR|DCA|
DCA|EBL,|EBL|IST|BHX|EWR|DCA|
DCA|VKO,|VKO|IST|BHX|EWR|DCA|
DCA|MCT,|MCT|IST|BHX|EWR|DCA|
DCA|AYT,|AYT|IST|BHX|EWR|DCA|
DCA|SCQ,|SCQ|BIO|IST|BHX|EWR|DCA|
DCA|AAL,|AAL|IST|BHX|EWR|DCA|
DCA|AOE,|AOE|BRU|EWR|DCA|
DCA|JNB,|JNB|DKR|IAD|EWR|DCA|
DCA|LBV,|LBV|DLA|BRU|EWR|DCA|
DCA|ADA,|ADA|SAW|FRA|EWR|DCA|
DCA|ADB,|ADB|HAM|EWR|DCA|
DCA|ADF,|ADF|ESB|FRA|EWR|DCA|
DCA|AJI,|AJI|ESB|FRA|EWR|DCA|
DCA|BAL,|BAL|ESB|FRA|EWR|DCA|
DCA|BJV,|BJV|IST|BHX|EWR|DCA|
DCA|CKZ,|CKZ|ESB|FRA|EWR|DCA|
DCA|DIY,|DIY|ESB|FRA|EWR|DCA|
DCA|ECN,|ECN|IST|BHX|EWR|DCA|
DCA|ERC,|ERC|ESB|FRA|EWR|DCA|
DCA|ERZ,|ERZ|ESB|FRA|EWR|DCA|
DCA|EZS,|EZS|ESB|FRA|EWR|DCA|
DCA|GNY,|GNY|ESB|FRA|EWR|DCA|
DCA|GZP,|GZP|ESB|FRA|EWR|DCA|
DCA|GZT,|GZT|ESB|FRA|EWR|DCA|
DCA|HTY,|HTY|SAW|FRA|EWR|DCA|
DCA|KCM,|KCM|ESB|FRA|EWR|DCA|
DCA|KSY,|KSY|ESB|FRA|EWR|DCA|
DCA|MLX,|MLX|ESB|FRA|EWR|DCA|
DCA|MQM,|MQM|ESB|FRA|EWR|DCA|
DCA|MSR,|MSR|ESB|FRA|EWR|DCA|
DCA|TEQ,|TEQ|ESB|FRA|EWR|DCA|
DCA|TZX,|TZX|ESB|FRA|EWR|DCA|
DCA|VAN,|VAN|ESB|FRA|EWR|DCA|
DCA|ULN,|ULN|FRU|IST|BHX|EWR|DCA|
DCA|HIJ,|HIJ|ICN|YVR|ORD|DCA|
DCA|VVO,|VVO|ICN|YVR|ORD|DCA|
DCA|ACC,|ACC|IST|BHX|EWR|DCA|
DCA|AER,|AER|IST|BHX|EWR|DCA|
DCA|AGP,|AGP|IST|BHX|EWR|DCA|
DCA|ALG,|ALG|IST|BHX|EWR|DCA|
DCA|AMM,|AMM|IST|BHX|EWR|DCA|
