YTS|DNK,|DNK|IST|YYZ|YTS|
YTS|DNZ,|DNZ|IST|YYZ|YTS|
YTS|DOK,|DOK|IST|YYZ|YTS|
YTS|DUS,|DUS|EWR|YYZ|YTS|
YTS|EDI,|EDI|EWR|YYZ|YTS|
YTS|ELQ,|ELQ|IST|YYZ|YTS|
YTS|FDH,|FDH|IST|YYZ|YTS|
YTS|GOA,|GOA|IST|YYZ|YTS|
YTS|GOT,|GOT|BRU|YUL|YYZ|YTS|
YTS|HAJ,|HAJ|BRU|YUL|YYZ|YTS|
YTS|HBE,|HBE|IST|YYZ|YTS|
YTS|HEL,|HEL|IST|YYZ|YTS|
YTS|HRG,|HRG|IST|YYZ|YTS|
YTS|IFN,|IFN|IST|YYZ|YTS|
YTS|ISE,|ISE|IST|YYZ|YTS|
YTS|ISU,|ISU|IST|YYZ|YTS|
YTS|JIB,|JIB|IST|YYZ|YTS|
YTS|JRO,|JRO|IST|YYZ|YTS|
YTS|KAN,|KAN|IST|YYZ|YTS|
YTS|KBL,|KBL|IST|YYZ|YTS|
YTS|KBP,|KBP|IST|YYZ|YTS|
YTS|KFS,|KFS|IST|YYZ|YTS|
YTS|KHI,|KHI|IST|YYZ|YTS|
YTS|KIV,|KIV|IST|YYZ|YTS|
YTS|KRT,|KRT|IST|YYZ|YTS|
YTS|KSH,|KSH|IST|YYZ|YTS|
YTS|KVD,|KVD|IST|YYZ|YTS|
YTS|KWI,|KWI|SAW|VIE|YYZ|YTS|
YTS|KYA,|KYA|IST|YYZ|YTS|
YTS|KZN,|KZN|IST|YYZ|YTS|
YTS|KZR,|KZR|IST|YYZ|YTS|
YTS|LED,|LED|VIE|YYZ|YTS|
YTS|LEJ,|LEJ|IST|YYZ|YTS|
YTS|LGW,|LGW|IST|YYZ|YTS|
YTS|LHE,|LHE|IST|YYZ|YTS|
YTS|LIS,|LIS|EWR|YYZ|YTS|
YTS|LJU,|LJU|IST|YYZ|YTS|
YTS|LOS,|LOS|FRA|YYZ|YTS|
YTS|LUX,|LUX|IST|YYZ|YTS|
YTS|LWO,|LWO|IST|YYZ|YTS|
YTS|LYS,|LYS|IST|YYZ|YTS|
YTS|MAD,|MAD|EWR|YYZ|YTS|
YTS|MAN,|MAN|EWR|YYZ|YTS|
YTS|MED,|MED|IST|YYZ|YTS|
YTS|MHD,|MHD|IST|YYZ|YTS|
YTS|MLA,|MLA|IST|YYZ|YTS|
YTS|MRS,|MRS|IST|YYZ|YTS|
YTS|MSQ,|MSQ|IST|YYZ|YTS|
YTS|MXP,|MXP|EWR|YYZ|YTS|
YTS|MZH,|MZH|IST|YYZ|YTS|
YTS|MZR,|MZR|IST|YYZ|YTS|
YTS|NAJ,|NAJ|IST|YYZ|YTS|
YTS|NAV,|NAV|IST|YYZ|YTS|
YTS|NCE,|NCE|IST|YYZ|YTS|
YTS|NIM,|NIM|IST|YYZ|YTS|
YTS|NJF,|NJF|IST|YYZ|YTS|
YTS|NSI,|NSI|BRU|YUL|YYZ|YTS|
YTS|NUE,|NUE|IST|YYZ|YTS|
YTS|ODS,|ODS|IST|YYZ|YTS|
YTS|ORN,|ORN|IST|YYZ|YTS|
YTS|OTP,|OTP|IST|YYZ|YTS|
YTS|PRG,|PRG|BRU|YUL|YYZ|YTS|
YTS|PRN,|PRN|IST|YYZ|YTS|
YTS|RIX,|RIX|IST|YYZ|YTS|
YTS|ROV,|ROV|IST|YYZ|YTS|
YTS|RTM,|RTM|IST|YYZ|YTS|
YTS|RUH,|RUH|IST|YYZ|YTS|
YTS|SAH,|SAH|IST|YYZ|YTS|
YTS|SJJ,|SJJ|IST|YYZ|YTS|
YTS|SKG,|SKG|IST|YYZ|YTS|
YTS|SKP,|SKP|IST|YYZ|YTS|
YTS|SSH,|SSH|IST|YYZ|YTS|
YTS|STR,|STR|EWR|YYZ|YTS|
YTS|SVX,|SVX|IST|YYZ|YTS|
YTS|SYZ,|SYZ|IST|YYZ|YTS|
YTS|SZG,|SZG|IST|YYZ|YTS|
YTS|TBZ,|TBZ|IST|YYZ|YTS|
YTS|TGD,|TGD|IST|YYZ|YTS|
YTS|TIA,|TIA|IST|YYZ|YTS|
YTS|TIF,|TIF|IST|YYZ|YTS|
YTS|TIP,|TIP|IST|YYZ|YTS|
YTS|TLL,|TLL|VNO|CPH|YYZ|YTS|
YTS|TLS,|TLS|IST|YYZ|YTS|
