ELP|SSG,|SSG|DLA|BRU|ORD|STL|DAL|ELP|
ELP|BGW,|BGW|ESB|FRA|DEN|ELP|
ELP|EBL,|EBL|IST|FRA|DEN|ELP|
ELP|VKO,|VKO|IST|FRA|DEN|ELP|
ELP|MCT,|MCT|IST|FRA|DEN|ELP|
ELP|AYT,|AYT|IST|FRA|DEN|ELP|
ELP|SCQ,|SCQ|BIO|IST|FRA|DEN|ELP|
ELP|AAL,|AAL|IST|FRA|DEN|ELP|
ELP|AOE,|AOE|BRU|ORD|STL|DAL|ELP|
ELP|JNB,|JNB|DKR|IAD|STL|DAL|ELP|
ELP|LBV,|LBV|DLA|BRU|ORD|STL|DAL|ELP|
ELP|ADA,|ADA|SAW|FRA|DEN|ELP|
ELP|ADB,|ADB|IST|FRA|DEN|ELP|
ELP|ADF,|ADF|ESB|FRA|DEN|ELP|
ELP|AJI,|AJI|ESB|FRA|DEN|ELP|
ELP|BAL,|BAL|ESB|FRA|DEN|ELP|
ELP|BJV,|BJV|IST|FRA|DEN|ELP|
ELP|CKZ,|CKZ|ESB|FRA|DEN|ELP|
ELP|DIY,|DIY|ESB|FRA|DEN|ELP|
ELP|ECN,|ECN|IST|FRA|DEN|ELP|
ELP|ERC,|ERC|ESB|FRA|DEN|ELP|
ELP|ERZ,|ERZ|ESB|FRA|DEN|ELP|
ELP|EZS,|EZS|ESB|FRA|DEN|ELP|
ELP|GNY,|GNY|ESB|FRA|DEN|ELP|
ELP|GZP,|GZP|ESB|FRA|DEN|ELP|
ELP|GZT,|GZT|ESB|FRA|DEN|ELP|
ELP|HTY,|HTY|SAW|FRA|DEN|ELP|
ELP|KCM,|KCM|ESB|FRA|DEN|ELP|
ELP|KSY,|KSY|ESB|FRA|DEN|ELP|
ELP|MLX,|MLX|ESB|FRA|DEN|ELP|
ELP|MQM,|MQM|ESB|FRA|DEN|ELP|
ELP|MSR,|MSR|ESB|FRA|DEN|ELP|
