YWG|BRE,|BRE|IST|FRA|YUL|YWG|
YWG|BSL,|BSL|IST|FRA|YUL|YWG|
YWG|BSR,|BSR|IST|FRA|YUL|YWG|
YWG|BUD,|BUD|IST|FRA|YUL|YWG|
YWG|BUS,|BUS|IST|FRA|YUL|YWG|
YWG|CAI,|CAI|IST|FRA|YUL|YWG|
YWG|CGN,|CGN|IST|FRA|YUL|YWG|
YWG|CMN,|CMN|IST|FRA|YUL|YWG|
YWG|CND,|CND|IST|FRA|YUL|YWG|
YWG|DAR,|DAR|NBO|ZRH|YUL|YWG|
YWG|DLM,|DLM|IST|FRA|YUL|YWG|
YWG|DMM,|DMM|IST|FRA|YUL|YWG|
YWG|DNK,|DNK|IST|FRA|YUL|YWG|
YWG|DNZ,|DNZ|IST|FRA|YUL|YWG|
YWG|DOK,|DOK|IST|FRA|YUL|YWG|
YWG|DUS,|DUS|ORD|YWG|
YWG|EDI,|EDI|EWR|YYZ|YWG|
YWG|ELQ,|ELQ|IST|FRA|YUL|YWG|
YWG|FDH,|FDH|IST|FRA|YUL|YWG|
YWG|GOA,|GOA|IST|FRA|YUL|YWG|
YWG|GOT,|GOT|BRU|YUL|YWG|
YWG|HAJ,|HAJ|BRU|YUL|YWG|
YWG|HBE,|HBE|IST|FRA|YUL|YWG|
YWG|HEL,|HEL|IST|FRA|YUL|YWG|
YWG|HRG,|HRG|IST|FRA|YUL|YWG|
YWG|IFN,|IFN|IST|FRA|YUL|YWG|
YWG|ISE,|ISE|IST|FRA|YUL|YWG|
YWG|ISU,|ISU|IST|FRA|YUL|YWG|
YWG|JIB,|JIB|IST|FRA|YUL|YWG|
YWG|JRO,|JRO|IST|FRA|YUL|YWG|
YWG|KAN,|KAN|IST|FRA|YUL|YWG|
YWG|KBL,|KBL|IST|FRA|YUL|YWG|
YWG|KBP,|KBP|IST|FRA|YUL|YWG|
YWG|KFS,|KFS|IST|FRA|YUL|YWG|
YWG|KHI,|KHI|IST|FRA|YUL|YWG|
