DOK|IKA,|IKA|IST|DOK|
DOK|KCA,|KCA|URC|IST|DOK|
DOK|KHG,|KHG|URC|IST|DOK|
DOK|KRL,|KRL|URC|IST|DOK|
DOK|KRY,|KRY|URC|IST|DOK|
DOK|LBD,|LBD|URC|IST|DOK|
DOK|NLT,|NLT|URC|IST|DOK|
DOK|OSS,|OSS|IST|DOK|
DOK|OVB,|OVB|IST|DOK|
DOK|TBS,|TBS|IST|DOK|
DOK|TCG,|TCG|URC|IST|DOK|
DOK|TSE,|TSE|IST|DOK|
DOK|YIN,|YIN|URC|IST|DOK|
DOK|ENH,|ENH|WUH|URC|IST|DOK|
DOK|ENY,|ENY|XIY|URC|IST|DOK|
DOK|WXN,|WXN|XIY|URC|IST|DOK|
DOK|BLL,|BLL|IST|DOK|
DOK|ESB,|ESB|IST|DOK|
DOK|SAW,|SAW|ADB|IST|DOK|
DOK|HAM,|HAM|IST|DOK|
DOK|HRE,|HRE|ADD|IST|DOK|
DOK|JUB,|JUB|CAI|IST|DOK|
DOK|SSG,|SSG|DLA|IST|DOK|
DOK|BGW,|BGW|IST|DOK|
DOK|EBL,|EBL|IST|DOK|
DOK|VKO,|VKO|IST|DOK|
DOK|MCT,|MCT|IST|DOK|
DOK|AYT,|AYT|IST|DOK|
DOK|SCQ,|SCQ|BIO|IST|DOK|
DOK|AAL,|AAL|IST|DOK|
DOK|AOE,|AOE|BRU|IST|DOK|
DOK|JNB,|JNB|IST|DOK|
DOK|LBV,|LBV|DLA|IST|DOK|
DOK|ADA,|ADA|IST|DOK|
DOK|ADB,|ADB|IST|DOK|
DOK|ADF,|ADF|IST|DOK|
DOK|AJI,|AJI|IST|DOK|
DOK|BAL,|BAL|IST|DOK|
DOK|BJV,|BJV|IST|DOK|
DOK|CKZ,|CKZ|ESB|IST|DOK|
DOK|DIY,|DIY|IST|DOK|
DOK|ECN,|ECN|IST|DOK|
DOK|ERC,|ERC|IST|DOK|
DOK|ERZ,|ERZ|IST|DOK|
DOK|EZS,|EZS|IST|DOK|
DOK|GNY,|GNY|IST|DOK|
DOK|GZP,|GZP|ESB|IST|DOK|
DOK|GZT,|GZT|IST|DOK|
DOK|HTY,|HTY|IST|DOK|
DOK|KCM,|KCM|IST|DOK|
DOK|KSY,|KSY|IST|DOK|
DOK|MLX,|MLX|IST|DOK|
DOK|MQM,|MQM|IST|DOK|
DOK|MSR,|MSR|IST|DOK|
DOK|TEQ,|TEQ|ESB|IST|DOK|
DOK|TZX,|TZX|IST|DOK|
DOK|VAN,|VAN|IST|DOK|
DOK|ULN,|ULN|FRU|IST|DOK|
DOK|HIJ,|HIJ|ICN|IST|DOK|
DOK|VVO,|VVO|ICN|IST|DOK|
DOK|ACC,|ACC|IST|DOK|
DOK|AER,|AER|IST|DOK|
DOK|AGP,|AGP|IST|DOK|
DOK|ALG,|ALG|IST|DOK|
DOK|AMM,|AMM|IST|DOK|
DOK|AQJ,|AQJ|IST|DOK|
DOK|ARN,|ARN|IST|DOK|
DOK|ASR,|ASR|IST|DOK|
DOK|ATH,|ATH|IST|DOK|
DOK|BAH,|BAH|IST|DOK|
DOK|BEG,|BEG|IST|DOK|
DOK|BEN,|BEN|IST|DOK|
DOK|BEY,|BEY|IST|DOK|
DOK|BHX,|BHX|IST|DOK|
DOK|BIO,|BIO|IST|DOK|
DOK|BLQ,|BLQ|IST|DOK|
DOK|BOM,|BOM|IST|DOK|
DOK|BRE,|BRE|IST|DOK|
DOK|BSL,|BSL|IST|DOK|
DOK|BSR,|BSR|IST|DOK|
DOK|BUD,|BUD|IST|DOK|
DOK|BUS,|BUS|IST|DOK|
DOK|CAI,|CAI|IST|DOK|
DOK|CGN,|CGN|IST|DOK|
DOK|CMN,|CMN|IST|DOK|
DOK|CND,|CND|IST|DOK|
DOK|DAR,|DAR|IST|DOK|
DOK|DLM,|DLM|IST|DOK|
DOK|DMM,|DMM|IST|DOK|
DOK|DNK,|DNK|IST|DOK|
DOK|DNZ,|DNZ|IST|DOK|
DOK|DUS,|DUS|IST|DOK|
DOK|EDI,|EDI|IST|DOK|
DOK|ELQ,|ELQ|IST|DOK|
DOK|FDH,|FDH|IST|DOK|
DOK|GOA,|GOA|IST|DOK|
DOK|GOT,|GOT|IST|DOK|
DOK|HAJ,|HAJ|IST|DOK|
DOK|HBE,|HBE|IST|DOK|
DOK|HEL,|HEL|IST|DOK|
DOK|HRG,|HRG|IST|DOK|
DOK|IFN,|IFN|IST|DOK|
DOK|ISE,|ISE|IST|DOK|
DOK|ISU,|ISU|IST|DOK|
DOK|JIB,|JIB|IST|DOK|
DOK|JRO,|JRO|IST|DOK|
DOK|KAN,|KAN|IST|DOK|
DOK|KBL,|KBL|IST|DOK|
DOK|KBP,|KBP|IST|DOK|
DOK|KFS,|KFS|IST|DOK|
DOK|KHI,|KHI|IST|DOK|
DOK|KIV,|KIV|IST|DOK|
DOK|KRT,|KRT|IST|DOK|
DOK|KSH,|KSH|IST|DOK|
DOK|KVD,|KVD|IST|DOK|
DOK|KWI,|KWI|IST|DOK|
DOK|KYA,|KYA|IST|DOK|
DOK|KZN,|KZN|IST|DOK|
DOK|KZR,|KZR|IST|DOK|
DOK|LED,|LED|IST|DOK|
DOK|LEJ,|LEJ|IST|DOK|
DOK|LGW,|LGW|IST|DOK|
DOK|LHE,|LHE|IST|DOK|
DOK|LIS,|LIS|IST|DOK|
DOK|LJU,|LJU|IST|DOK|
DOK|LOS,|LOS|IST|DOK|
DOK|LUX,|LUX|IST|DOK|
DOK|LWO,|LWO|IST|DOK|
DOK|LYS,|LYS|IST|DOK|
DOK|MAD,|MAD|IST|DOK|
DOK|MAN,|MAN|IST|DOK|
DOK|MED,|MED|IST|DOK|
DOK|MHD,|MHD|IST|DOK|
DOK|MLA,|MLA|IST|DOK|
DOK|MRS,|MRS|IST|DOK|
DOK|MSQ,|MSQ|IST|DOK|
DOK|MXP,|MXP|IST|DOK|
DOK|MZH,|MZH|IST|DOK|
DOK|MZR,|MZR|IST|DOK|
DOK|NAJ,|NAJ|IST|DOK|
DOK|NAV,|NAV|IST|DOK|
DOK|NCE,|NCE|IST|DOK|
DOK|NIM,|NIM|IST|DOK|
DOK|NJF,|NJF|IST|DOK|
DOK|NSI,|NSI|IST|DOK|
DOK|NUE,|NUE|IST|DOK|
DOK|ODS,|ODS|IST|DOK|
DOK|ORN,|ORN|IST|DOK|
DOK|OTP,|OTP|IST|DOK|
DOK|PRG,|PRG|IST|DOK|
DOK|PRN,|PRN|IST|DOK|
DOK|RIX,|RIX|IST|DOK|
DOK|ROV,|ROV|IST|DOK|
DOK|RTM,|RTM|IST|DOK|
DOK|RUH,|RUH|IST|DOK|
DOK|SAH,|SAH|IST|DOK|
DOK|SJJ,|SJJ|IST|DOK|
DOK|SKG,|SKG|IST|DOK|
DOK|SKP,|SKP|IST|DOK|
DOK|SSH,|SSH|IST|DOK|
DOK|STR,|STR|IST|DOK|
DOK|SVX,|SVX|IST|DOK|
DOK|SYZ,|SYZ|IST|DOK|
DOK|SZG,|SZG|IST|DOK|
DOK|TBZ,|TBZ|IST|DOK|
DOK|TGD,|TGD|IST|DOK|
DOK|TIA,|TIA|IST|DOK|
DOK|TIF,|TIF|IST|DOK|
DOK|TIP,|TIP|IST|DOK|
DOK|TLL,|TLL|IST|DOK|
DOK|TLS,|TLS|IST|DOK|
DOK|TRN,|TRN|IST|DOK|
DOK|TUN,|TUN|IST|DOK|
DOK|TXL,|TXL|IST|DOK|
DOK|UFA,|UFA|IST|DOK|
DOK|VAS,|VAS|IST|DOK|
DOK|VCE,|VCE|IST|DOK|
DOK|YNB,|YNB|IST|DOK|
DOK|ZAG,|ZAG|IST|DOK|
DOK|MGQ,|MGQ|JIB|IST|DOK|
DOK|CPT,|CPT|JNB|IST|DOK|
DOK|MBA,|MBA|JRO|IST|DOK|
DOK|NDJ,|NDJ|KAN|IST|DOK|
DOK|CMB,|CMB|MLE|IST|DOK|
DOK|ADE,|ADE|SAH|IST|DOK|
DOK|ASF,|ASF|SAW|ADB|IST|DOK|
DOK|STW,|STW|SAW|ADB|IST|DOK|
DOK|LFW,|LFW|ABJ|OUA|NIM|IST|DOK|
DOK|CEC,|CEC|ACV|SMF|SEA|FRA|IST|DOK|
DOK|SMF,|SMF|SEA|FRA|IST|DOK|
DOK|CDR,|CDR|AIA|DEN|FRA|IST|DOK|
DOK|FMN,|FMN|DEN|FRA|IST|DOK|
DOK|JST,|JST|IAD|IST|DOK|
DOK|JHW,|JHW|CLE|YYZ|IST|DOK|
DOK|SHD,|SHD|IAD|IST|DOK|
DOK|PTY,|PTY|MIA|ZRH|IST|DOK|
DOK|FNA,|FNA|BRU|IST|DOK|
DOK|SXB,|SXB|BRU|IST|DOK|
DOK|ACV,|ACV|SMF|SEA|FRA|IST|DOK|
DOK|MGW,|MGW|IAD|IST|DOK|
DOK|ALB,|ALB|EWR|BHX|IST|DOK|
DOK|AUS,|AUS|ORD|IST|DOK|
DOK|BFD,|BFD|CLE|YYZ|IST|DOK|
DOK|BUF,|BUF|EWR|BHX|IST|DOK|
DOK|CHS,|CHS|EWR|BHX|IST|DOK|
DOK|DAY,|DAY|CLE|YYZ|IST|DOK|
DOK|DUJ,|DUJ|CLE|YYZ|IST|DOK|
DOK|ERI,|ERI|CLE|YYZ|IST|DOK|
DOK|FKL,|FKL|CLE|YYZ|IST|DOK|
DOK|FNT,|FNT|CLE|YYZ|IST|DOK|
DOK|GRR,|GRR|CLE|YYZ|IST|DOK|
DOK|GSP,|GSP|EWR|BHX|IST|DOK|
DOK|PBI,|PBI|EWR|BHX|IST|DOK|
DOK|PKB,|PKB|CLE|YYZ|IST|DOK|
DOK|RIC,|RIC|EWR|BHX|IST|DOK|
DOK|SDF,|SDF|CLE|YYZ|IST|DOK|
DOK|GUM,|GUM|FUK|ICN|IST|DOK|
DOK|WRL,|WRL|CYS|DEN|FRA|IST|DOK|
DOK|LBL,|DOK|
DOK|ABQ,|ABQ|DEN|FRA|IST|DOK|
