JED|BAH,|BAH|IST|JED|
JED|BEG,|BEG|IST|JED|
JED|BEN,|BEN|IST|JED|
JED|BEY,|BEY|IST|JED|
JED|BHX,|BHX|IST|JED|
JED|BIO,|BIO|IST|JED|
JED|BLQ,|BLQ|IST|JED|
JED|BOM,|BOM|IST|JED|
JED|BRE,|BRE|IST|JED|
JED|BSL,|BSL|IST|JED|
JED|BSR,|BSR|IST|JED|
JED|BUD,|BUD|IST|JED|
JED|BUS,|BUS|IST|JED|
JED|CAI,|CAI|IST|JED|
JED|CGN,|CGN|IST|JED|
JED|CMN,|CMN|IST|JED|
JED|CND,|CND|IST|JED|
JED|DAR,|DAR|NBO|LUN|HRE|ADD|JED|
JED|DLM,|DLM|IST|JED|
JED|DMM,|DMM|IST|JED|
JED|DNK,|DNK|IST|JED|
JED|DNZ,|DNZ|IST|JED|
JED|DOK,|DOK|IST|JED|
JED|DUS,|DUS|IST|JED|
JED|EDI,|EDI|IST|JED|
JED|ELQ,|ELQ|IST|JED|
JED|FDH,|FDH|IST|JED|
JED|GOA,|GOA|IST|JED|
JED|GOT,|GOT|IST|JED|
JED|HAJ,|HAJ|IST|JED|
JED|HBE,|HBE|IST|JED|
JED|HEL,|HEL|IST|JED|
JED|HRG,|HRG|IST|JED|
JED|IFN,|IFN|IST|JED|
JED|ISE,|ISE|IST|JED|
JED|ISU,|ISU|IST|JED|
JED|JIB,|JIB|IST|JED|
JED|JRO,|JRO|IST|JED|
JED|KAN,|KAN|IST|JED|
JED|KBL,|KBL|IST|JED|
JED|KBP,|KBP|IST|JED|
JED|KFS,|KFS|IST|JED|
JED|KHI,|KHI|IST|JED|
JED|KIV,|KIV|IST|JED|
JED|KRT,|KRT|IST|JED|
JED|KSH,|KSH|IST|JED|
JED|KVD,|KVD|IST|JED|
JED|KWI,|KWI|IST|JED|
JED|KYA,|KYA|IST|JED|
JED|KZN,|KZN|IST|JED|
JED|KZR,|KZR|IST|JED|
JED|LED,|LED|IST|JED|
JED|LEJ,|LEJ|IST|JED|
JED|LGW,|LGW|IST|JED|
JED|LHE,|LHE|IST|JED|
JED|LIS,|LIS|IST|JED|
JED|LJU,|LJU|IST|JED|
JED|LOS,|LOS|IST|JED|
JED|LUX,|LUX|IST|JED|
JED|LWO,|LWO|IST|JED|
JED|LYS,|LYS|IST|JED|
JED|MAD,|MAD|IST|JED|
JED|MAN,|MAN|IST|JED|
JED|MED,|MED|IST|JED|
JED|MHD,|MHD|IST|JED|
JED|MLA,|MLA|IST|JED|
JED|MRS,|MRS|IST|JED|
JED|MSQ,|MSQ|IST|JED|
