BOS|RGN,|RGN|CAN|PEK|YYZ|BOS|
BOS|SGN,|SGN|CAN|PEK|YYZ|BOS|
BOS|SHA,|SHA|PEK|YYZ|BOS|
BOS|SIN,|SIN|CAN|PEK|YYZ|BOS|
BOS|SVO,|SVO|URC|TSE|FRA|BOS|
BOS|SYX,|SYX|PEK|YYZ|BOS|
BOS|TAO,|TAO|DLC|PEK|YYZ|BOS|
BOS|TEN,|TEN|PEK|YYZ|BOS|
BOS|TNA,|TNA|DLC|PEK|YYZ|BOS|
BOS|TPE,|TPE|PVG|YYZ|BOS|
BOS|TSN,|TSN|DLC|PEK|YYZ|BOS|
BOS|TXN,|TXN|DLC|PEK|YYZ|BOS|
BOS|TYN,|TYN|DAT|CIH|PEK|YYZ|BOS|
BOS|WNZ,|WNZ|CGO|PEK|YYZ|BOS|
BOS|WUX,|WUX|CAN|PEK|YYZ|BOS|
BOS|XFN,|XFN|XMN|PEK|YYZ|BOS|
BOS|XIY,|XIY|PEK|YYZ|BOS|
BOS|XUZ,|XUZ|LYG|HSN|PEK|YYZ|BOS|
BOS|YIH,|YIH|CKG|PEK|YYZ|BOS|
BOS|YIW,|YIW|PEK|YYZ|BOS|
BOS|YNT,|YNT|SHE|PEK|YYZ|BOS|
BOS|YNZ,|YNZ|DLC|PEK|YYZ|BOS|
BOS|YTY,|YTY|DLC|PEK|YYZ|BOS|
BOS|ZHA,|ZHA|CAN|PEK|YYZ|BOS|
BOS|ZYI,|ZYI|PEK|YYZ|BOS|
BOS|BAV,|BAV|CGO|PEK|YYZ|BOS|
BOS|CJU,|CJU|DLC|PEK|YYZ|BOS|
BOS|DSN,|DSN|CGO|PEK|YYZ|BOS|
BOS|HMI,|HMI|URC|TSE|FRA|BOS|
BOS|INC,|INC|PEK|YYZ|BOS|
BOS|KHH,|KHH|CGO|PEK|YYZ|BOS|
BOS|UYN,|UYN|CGO|PEK|YYZ|BOS|
BOS|XNN,|XNN|PEK|YYZ|BOS|
BOS|ZUH,|ZUH|PEK|YYZ|BOS|
BOS|YNJ,|YNJ|PEK|YYZ|BOS|
BOS|DAT,|DAT|CIH|PEK|YYZ|BOS|
BOS|JHG,|JHG|CKG|PEK|YYZ|BOS|
BOS|LJG,|LJG|CKG|PEK|YYZ|BOS|
BOS|LXA,|LXA|XIY|PEK|YYZ|BOS|
BOS|YCU,|YCU|CSX|PEK|YYZ|BOS|
BOS|LZO,|LZO|CSX|PEK|YYZ|BOS|
BOS|MDG,|MDG|DLC|PEK|YYZ|BOS|
BOS|NGO,|NGO|ICN|JFK|YUL|BOS|
BOS|TOY,|TOY|DLC|PEK|YYZ|BOS|
BOS|MFM,|MFM|XMN|PEK|YYZ|BOS|
BOS|TGO,|TGO|HET|DLC|PEK|YYZ|BOS|
BOS|XIL,|XIL|HET|DLC|PEK|YYZ|BOS|
BOS|HEK,|HEK|HRB|PEK|YYZ|BOS|
BOS|KIJ,|KIJ|HRB|PEK|YYZ|BOS|
BOS|LDS,|LDS|HRB|PEK|YYZ|BOS|
BOS|OHE,|OHE|HRB|PEK|YYZ|BOS|
BOS|HSN,|HSN|PEK|YYZ|BOS|
BOS|DLU,|DLU|KMG|PEK|YYZ|BOS|
BOS|SYM,|SYM|KMG|PEK|YYZ|BOS|
BOS|ZAT,|ZAT|KMG|PEK|YYZ|BOS|
BOS|LUN,|LUN|NBO|ZRH|BOS|
BOS|AOG,|AOG|PEK|YYZ|BOS|
BOS|GMP,|GMP|PEK|YYZ|BOS|
BOS|ISB,|ISB|IST|FRA|BOS|
BOS|TAS,|TAS|IST|FRA|BOS|
BOS|WUS,|WUS|PEK|YYZ|BOS|
BOS|JMU,|JMU|PVG|YYZ|BOS|
BOS|NDG,|NDG|PVG|YYZ|BOS|
BOS|JXA,|JXA|SHE|PEK|YYZ|BOS|
BOS|PUS,|PUS|SHE|PEK|YYZ|BOS|
BOS|BKI,|BKI|SZX|PEK|YYZ|BOS|
BOS|AKU,|AKU|URC|TSE|FRA|BOS|
BOS|ALA,|ALA|TSE|FRA|BOS|
BOS|ASB,|ASB|GYD|FRA|BOS|
BOS|DNH,|DNH|URC|TSE|FRA|BOS|
BOS|DYU,|DYU|IST|FRA|BOS|
BOS|FRU,|FRU|IST|FRA|BOS|
BOS|GYD,|GYD|FRA|BOS|
