BFL|TOY,|TOY|DLC|ICN|SFO|BFL|
BFL|MFM,|MFM|HGH|DLC|ICN|SFO|BFL|
BFL|TGO,|TGO|HET|DLC|ICN|SFO|BFL|
BFL|XIL,|XIL|HET|DLC|ICN|SFO|BFL|
BFL|HEK,|HEK|HRB|ICN|SFO|BFL|
BFL|KIJ,|KIJ|HRB|ICN|SFO|BFL|
BFL|LDS,|LDS|HRB|ICN|SFO|BFL|
BFL|OHE,|OHE|HRB|ICN|SFO|BFL|
BFL|HSN,|HSN|PEK|SFO|BFL|
BFL|DLU,|DLU|KMG|PEK|SFO|BFL|
BFL|SYM,|SYM|KMG|PEK|SFO|BFL|
BFL|ZAT,|ZAT|KMG|PEK|SFO|BFL|
BFL|LUN,|LUN|NBO|ZRH|LAX|BFL|
BFL|AOG,|AOG|PEK|SFO|BFL|
BFL|GMP,|GMP|PEK|SFO|BFL|
BFL|ISB,|ISB|PEK|SFO|BFL|
BFL|TAS,|TAS|PEK|SFO|BFL|
BFL|WUS,|WUS|PEK|SFO|BFL|
BFL|JMU,|JMU|PVG|SFO|BFL|
BFL|NDG,|NDG|PVG|SFO|BFL|
BFL|JXA,|JXA|SHE|ICN|SFO|BFL|
BFL|PUS,|PUS|SHE|ICN|SFO|BFL|
BFL|BKI,|BKI|SZX|PVG|SFO|BFL|
BFL|AKU,|AKU|URC|PEK|SFO|BFL|
BFL|ALA,|ALA|URC|PEK|SFO|BFL|
BFL|ASB,|ASB|GYD|FRA|DEN|BFL|
BFL|DNH,|DNH|XIY|PEK|SFO|BFL|
BFL|DYU,|DYU|URC|PEK|SFO|BFL|
BFL|FRU,|FRU|URC|PEK|SFO|BFL|
BFL|GYD,|GYD|FRA|DEN|BFL|
BFL|HTN,|HTN|URC|PEK|SFO|BFL|
BFL|IKA,|IKA|IST|LAX|BFL|
BFL|KCA,|KCA|URC|PEK|SFO|BFL|
BFL|KHG,|KHG|URC|PEK|SFO|BFL|
BFL|KRL,|KRL|URC|PEK|SFO|BFL|
BFL|KRY,|KRY|URC|PEK|SFO|BFL|
BFL|LBD,|LBD|URC|PEK|SFO|BFL|
BFL|NLT,|NLT|URC|PEK|SFO|BFL|
BFL|OSS,|OSS|URC|PEK|SFO|BFL|
BFL|OVB,|OVB|URC|PEK|SFO|BFL|
BFL|TBS,|TBS|IST|LAX|BFL|
BFL|TCG,|TCG|URC|PEK|SFO|BFL|
BFL|TSE,|TSE|URC|PEK|SFO|BFL|
BFL|YIN,|YIN|URC|PEK|SFO|BFL|
BFL|ENH,|ENH|WUH|ICN|SFO|BFL|
BFL|ENY,|ENY|XIY|PEK|SFO|BFL|
BFL|WXN,|WXN|XIY|PEK|SFO|BFL|
BFL|BLL,|BLL|IST|LAX|BFL|
BFL|ESB,|ESB|IST|LAX|BFL|
BFL|SAW,|SAW|FRA|DEN|BFL|
BFL|HAM,|HAM|EWR|DEN|BFL|
BFL|HRE,|HRE|ADD|IST|LAX|BFL|
BFL|JUB,|JUB|CAI|IST|LAX|BFL|
BFL|SSG,|SSG|DLA|BRU|ORD|DEN|BFL|
BFL|BGW,|BGW|IST|LAX|BFL|
BFL|EBL,|EBL|IST|LAX|BFL|
BFL|VKO,|VKO|IST|LAX|BFL|
BFL|MCT,|MCT|IST|LAX|BFL|
BFL|AYT,|AYT|IST|LAX|BFL|
BFL|SCQ,|SCQ|BIO|IST|LAX|BFL|
BFL|AAL,|AAL|IST|LAX|BFL|
BFL|AOE,|AOE|BRU|ORD|DEN|BFL|
BFL|JNB,|JNB|DKR|IAD|DEN|BFL|
BFL|LBV,|LBV|DLA|BRU|ORD|DEN|BFL|
