KRL|DPS,|DPS|CAN|URC|KRL|
KRL|DXB,|DXB|IST|URC|KRL|
KRL|DYG,|DYG|CSX|URC|KRL|
KRL|FUG,|FUG|CAN|URC|KRL|
KRL|FUK,|FUK|ICN|PEK|URC|KRL|
KRL|HAK,|HAK|CTU|URC|KRL|
KRL|HAN,|HAN|CAN|URC|KRL|
KRL|HDG,|HDG|CAN|URC|KRL|
KRL|HET,|HET|URC|KRL|
KRL|HFE,|HFE|XIY|URC|KRL|
KRL|HJJ,|HJJ|CSX|URC|KRL|
KRL|HKT,|HKT|KWE|URC|KRL|
KRL|HRB,|HRB|PEK|URC|KRL|
KRL|HZH,|HZH|CAN|URC|KRL|
KRL|JIU,|JIU|CAN|URC|KRL|
KRL|JJN,|JJN|CSX|URC|KRL|
KRL|JNG,|JNG|CAN|URC|KRL|
KRL|KHN,|KHN|XIY|URC|KRL|
KRL|KIX,|KIX|DLC|PEK|URC|KRL|
KRL|KOW,|KOW|CAN|URC|KRL|
KRL|KTM,|KTM|CAN|URC|KRL|
KRL|KUL,|KUL|BKK|NNG|KWE|URC|KRL|
KRL|KWE,|KWE|URC|KRL|
KRL|KWL,|KWL|CKG|URC|KRL|
KRL|LHW,|LHW|URC|KRL|
KRL|LYA,|LYA|KHN|XIY|URC|KRL|
KRL|LYG,|LYG|XUZ|INC|URC|KRL|
KRL|LZH,|LZH|CAN|URC|KRL|
KRL|MEL,|MEL|CAN|URC|KRL|
KRL|MIG,|MIG|CSX|URC|KRL|
KRL|MLE,|MLE|CAN|URC|KRL|
KRL|MNL,|MNL|CAN|URC|KRL|
KRL|MXZ,|MXZ|CAN|URC|KRL|
KRL|NAO,|NAO|PEK|URC|KRL|
KRL|NGB,|NGB|WUH|URC|KRL|
KRL|NKG,|NKG|URC|KRL|
KRL|NNY,|NNY|CGO|URC|KRL|
KRL|PEN,|PEN|CAN|URC|KRL|
KRL|PER,|PER|CAN|URC|KRL|
KRL|PNH,|PNH|CAN|URC|KRL|
KRL|REP,|REP|CAN|URC|KRL|
KRL|RGN,|RGN|CAN|URC|KRL|
KRL|SGN,|SGN|CAN|URC|KRL|
KRL|SHA,|SHA|URC|KRL|
KRL|SIN,|SIN|CAN|URC|KRL|
KRL|SVO,|SVO|URC|KRL|
KRL|SYX,|SYX|CKG|URC|KRL|
KRL|TAO,|TAO|TYN|URC|KRL|
KRL|TEN,|TEN|CAN|URC|KRL|
KRL|TNA,|TNA|URC|KRL|
KRL|TPE,|TPE|URC|KRL|
KRL|TSN,|TSN|HET|URC|KRL|
KRL|TXN,|TXN|TYN|URC|KRL|
KRL|TYN,|TYN|URC|KRL|
KRL|WNZ,|WNZ|XIY|URC|KRL|
KRL|WUX,|WUX|CAN|URC|KRL|
KRL|XFN,|XFN|CAN|URC|KRL|
KRL|XIY,|XIY|URC|KRL|
KRL|XUZ,|XUZ|INC|URC|KRL|
KRL|YIH,|YIH|CKG|URC|KRL|
KRL|YIW,|YIW|URC|KRL|
KRL|YNT,|YNT|SHE|HET|URC|KRL|
KRL|YNZ,|YNZ|WUH|URC|KRL|
KRL|YTY,|YTY|CGO|URC|KRL|
KRL|ZHA,|ZHA|CAN|URC|KRL|
KRL|ZYI,|ZYI|CAN|URC|KRL|
KRL|BAV,|BAV|URC|KRL|
KRL|CJU,|CJU|DLC|PEK|URC|KRL|
KRL|DSN,|DSN|CGO|URC|KRL|
KRL|HMI,|HMI|URC|KRL|
KRL|INC,|INC|URC|KRL|
KRL|KHH,|KHH|WUH|URC|KRL|
KRL|UYN,|UYN|XIY|URC|KRL|
KRL|XNN,|XNN|URC|KRL|
KRL|ZUH,|ZUH|KWE|URC|KRL|
