FAT|HFE,|HFE|TYN|DLC|ICN|SFO|FAT|
FAT|HJJ,|HJJ|CSX|ICN|SFO|FAT|
FAT|HKT,|HKT|CAN|PVG|SFO|FAT|
FAT|HRB,|HRB|ICN|SFO|FAT|
FAT|HZH,|HZH|CAN|PVG|SFO|FAT|
FAT|JIU,|JIU|CAN|PVG|SFO|FAT|
FAT|JJN,|JJN|HGH|DLC|ICN|SFO|FAT|
FAT|JNG,|JNG|CAN|PVG|SFO|FAT|
FAT|KHN,|KHN|DLC|ICN|SFO|FAT|
FAT|KIX,|KIX|SFO|FAT|
FAT|KOW,|KOW|PEK|SFO|FAT|
FAT|KTM,|KTM|CAN|PVG|SFO|FAT|
FAT|KUL,|KUL|PVG|SFO|FAT|
FAT|KWE,|KWE|PEK|SFO|FAT|
FAT|KWL,|KWL|WUH|ICN|SFO|FAT|
FAT|LHW,|LHW|CGO|PEK|SFO|FAT|
FAT|LYA,|LYA|KHN|DLC|ICN|SFO|FAT|
FAT|LYG,|LYG|HSN|PEK|SFO|FAT|
FAT|LZH,|LZH|CAN|PVG|SFO|FAT|
FAT|MEL,|MEL|SYD|SFO|FAT|
FAT|MIG,|MIG|CSX|ICN|SFO|FAT|
FAT|MLE,|MLE|CAN|PVG|SFO|FAT|
FAT|MNL,|MNL|XMN|YNZ|DLC|ICN|SFO|FAT|
FAT|MXZ,|MXZ|CAN|PVG|SFO|FAT|
FAT|NAO,|NAO|PEK|SFO|FAT|
FAT|NGB,|NGB|DLC|ICN|SFO|FAT|
FAT|NKG,|NKG|DLC|ICN|SFO|FAT|
FAT|NNY,|NNY|CGO|PEK|SFO|FAT|
FAT|PEN,|PEN|CAN|PVG|SFO|FAT|
FAT|PER,|PER|CAN|PVG|SFO|FAT|
FAT|PNH,|PNH|CAN|PVG|SFO|FAT|
FAT|REP,|REP|CAN|PVG|SFO|FAT|
FAT|RGN,|RGN|CAN|PVG|SFO|FAT|
FAT|SGN,|SGN|HKG|SFO|FAT|
FAT|SHA,|SHA|PEK|SFO|FAT|
FAT|SIN,|SIN|NRT|SFO|FAT|
FAT|SVO,|SVO|URC|PEK|SFO|FAT|
FAT|SYX,|SYX|PVG|SFO|FAT|
FAT|TAO,|TAO|DLC|ICN|SFO|FAT|
FAT|TEN,|TEN|PEK|SFO|FAT|
FAT|TNA,|TNA|DLC|ICN|SFO|FAT|
FAT|TPE,|TPE|SFO|FAT|
FAT|TSN,|TSN|DLC|ICN|SFO|FAT|
FAT|TXN,|TXN|DLC|ICN|SFO|FAT|
FAT|TYN,|TYN|DLC|ICN|SFO|FAT|
FAT|WNZ,|WNZ|CGO|PEK|SFO|FAT|
FAT|WUX,|WUX|CAN|PVG|SFO|FAT|
FAT|XFN,|XFN|CAN|PVG|SFO|FAT|
FAT|XIY,|XIY|PEK|SFO|FAT|
FAT|XUZ,|XUZ|LYG|HSN|PEK|SFO|FAT|
FAT|YIH,|YIH|CKG|PEK|SFO|FAT|
FAT|YIW,|YIW|PEK|SFO|FAT|
FAT|YNT,|YNT|SHE|ICN|SFO|FAT|
FAT|YNZ,|YNZ|DLC|ICN|SFO|FAT|
FAT|YTY,|YTY|DLC|ICN|SFO|FAT|
FAT|ZHA,|ZHA|CAN|PVG|SFO|FAT|
FAT|ZYI,|ZYI|PEK|SFO|FAT|
FAT|BAV,|BAV|SJW|DLC|ICN|SFO|FAT|
FAT|CJU,|CJU|DLC|ICN|SFO|FAT|
FAT|DSN,|DSN|CGO|PEK|SFO|FAT|
FAT|HMI,|HMI|CGO|PEK|SFO|FAT|
FAT|INC,|INC|PEK|SFO|FAT|
