SPN|MLX,|MLX|IST|ICN|FUK|GUM|SPN|
SPN|MQM,|MQM|IST|ICN|FUK|GUM|SPN|
SPN|MSR,|MSR|IST|ICN|FUK|GUM|SPN|
SPN|TEQ,|TEQ|ESB|IST|ICN|FUK|GUM|SPN|
SPN|TZX,|TZX|IST|ICN|FUK|GUM|SPN|
SPN|VAN,|VAN|IST|ICN|FUK|GUM|SPN|
SPN|ULN,|ULN|FRU|URC|PEK|ICN|FUK|GUM|SPN|
SPN|HIJ,|HIJ|ICN|FUK|GUM|SPN|
SPN|VVO,|VVO|ICN|FUK|GUM|SPN|
SPN|ACC,|ACC|IST|ICN|FUK|GUM|SPN|
SPN|AER,|AER|IST|ICN|FUK|GUM|SPN|
SPN|AGP,|AGP|IST|ICN|FUK|GUM|SPN|
SPN|ALG,|ALG|IST|ICN|FUK|GUM|SPN|
SPN|AMM,|AMM|IST|ICN|FUK|GUM|SPN|
SPN|AQJ,|AQJ|IST|ICN|FUK|GUM|SPN|
SPN|ARN,|ARN|IST|ICN|FUK|GUM|SPN|
SPN|ASR,|ASR|IST|ICN|FUK|GUM|SPN|
SPN|ATH,|ATH|IST|ICN|FUK|GUM|SPN|
SPN|BAH,|BAH|IST|ICN|FUK|GUM|SPN|
SPN|BEG,|BEG|IST|ICN|FUK|GUM|SPN|
SPN|BEN,|BEN|IST|ICN|FUK|GUM|SPN|
SPN|BEY,|BEY|IST|ICN|FUK|GUM|SPN|
SPN|BHX,|BHX|IST|ICN|FUK|GUM|SPN|
SPN|BIO,|BIO|IST|ICN|FUK|GUM|SPN|
SPN|BLQ,|BLQ|IST|ICN|FUK|GUM|SPN|
SPN|BOM,|BOM|IST|ICN|FUK|GUM|SPN|
SPN|BRE,|BRE|IST|ICN|FUK|GUM|SPN|
SPN|BSL,|BSL|IST|ICN|FUK|GUM|SPN|
SPN|BSR,|BSR|IST|ICN|FUK|GUM|SPN|
SPN|BUD,|BUD|IST|ICN|FUK|GUM|SPN|
SPN|BUS,|BUS|IST|ICN|FUK|GUM|SPN|
SPN|CAI,|CAI|IST|ICN|FUK|GUM|SPN|
SPN|CGN,|CGN|IST|ICN|FUK|GUM|SPN|
SPN|CMN,|CMN|IST|ICN|FUK|GUM|SPN|
SPN|CND,|CND|IST|ICN|FUK|GUM|SPN|
SPN|DAR,|DAR|NBO|CAN|HKG|GUM|SPN|
SPN|DLM,|DLM|IST|ICN|FUK|GUM|SPN|
SPN|DMM,|DMM|IST|ICN|FUK|GUM|SPN|
SPN|DNK,|DNK|IST|ICN|FUK|GUM|SPN|
SPN|DNZ,|DNZ|IST|ICN|FUK|GUM|SPN|
SPN|DOK,|DOK|IST|ICN|FUK|GUM|SPN|
SPN|DUS,|DUS|IST|ICN|FUK|GUM|SPN|
SPN|EDI,|EDI|IST|ICN|FUK|GUM|SPN|
SPN|ELQ,|ELQ|IST|ICN|FUK|GUM|SPN|
SPN|FDH,|FDH|IST|ICN|FUK|GUM|SPN|
SPN|GOA,|GOA|IST|ICN|FUK|GUM|SPN|
SPN|GOT,|GOT|IST|ICN|FUK|GUM|SPN|
