PKB|SYX,|SYX|PEK|YYZ|CLE|PKB|
PKB|TAO,|TAO|DLC|PEK|YYZ|CLE|PKB|
PKB|TEN,|TEN|PEK|YYZ|CLE|PKB|
PKB|TNA,|TNA|DLC|PEK|YYZ|CLE|PKB|
PKB|TPE,|TPE|PVG|YYZ|CLE|PKB|
PKB|TSN,|TSN|DLC|PEK|YYZ|CLE|PKB|
PKB|TXN,|TXN|DLC|PEK|YYZ|CLE|PKB|
PKB|TYN,|TYN|DAT|CIH|PEK|YYZ|CLE|PKB|
PKB|WNZ,|WNZ|CGO|PEK|YYZ|CLE|PKB|
PKB|WUX,|WUX|CAN|PEK|YYZ|CLE|PKB|
PKB|XFN,|XFN|XMN|PEK|YYZ|CLE|PKB|
PKB|XIY,|XIY|PEK|YYZ|CLE|PKB|
PKB|XUZ,|XUZ|LYG|HSN|PEK|YYZ|CLE|PKB|
PKB|YIH,|YIH|CKG|PEK|YYZ|CLE|PKB|
PKB|YIW,|YIW|PEK|YYZ|CLE|PKB|
PKB|YNT,|YNT|SHE|PEK|YYZ|CLE|PKB|
PKB|YNZ,|YNZ|DLC|PEK|YYZ|CLE|PKB|
PKB|YTY,|YTY|DLC|PEK|YYZ|CLE|PKB|
PKB|ZHA,|ZHA|CAN|PEK|YYZ|CLE|PKB|
PKB|ZYI,|ZYI|PEK|YYZ|CLE|PKB|
PKB|BAV,|BAV|CGO|PEK|YYZ|CLE|PKB|
PKB|CJU,|CJU|DLC|PEK|YYZ|CLE|PKB|
PKB|DSN,|DSN|CGO|PEK|YYZ|CLE|PKB|
PKB|HMI,|HMI|URC|TSE|FRA|YYZ|CLE|PKB|
PKB|INC,|INC|PEK|YYZ|CLE|PKB|
PKB|KHH,|KHH|CGO|PEK|YYZ|CLE|PKB|
PKB|UYN,|UYN|CGO|PEK|YYZ|CLE|PKB|
PKB|XNN,|XNN|PEK|YYZ|CLE|PKB|
PKB|ZUH,|ZUH|PEK|YYZ|CLE|PKB|
PKB|YNJ,|YNJ|PEK|YYZ|CLE|PKB|
PKB|DAT,|DAT|CIH|PEK|YYZ|CLE|PKB|
PKB|JHG,|JHG|CKG|PEK|YYZ|CLE|PKB|
PKB|LJG,|LJG|CKG|PEK|YYZ|CLE|PKB|
PKB|LXA,|LXA|XIY|PEK|YYZ|CLE|PKB|
PKB|YCU,|YCU|CSX|PEK|YYZ|CLE|PKB|
PKB|LZO,|LZO|CSX|PEK|YYZ|CLE|PKB|
PKB|MDG,|MDG|DLC|PEK|YYZ|CLE|PKB|
PKB|NGO,|NGO|ICN|YVR|ORD|CLE|PKB|
PKB|TOY,|TOY|DLC|PEK|YYZ|CLE|PKB|
PKB|MFM,|MFM|XMN|PEK|YYZ|CLE|PKB|
PKB|TGO,|TGO|HET|DLC|PEK|YYZ|CLE|PKB|
PKB|XIL,|XIL|HET|DLC|PEK|YYZ|CLE|PKB|
PKB|HEK,|HEK|HRB|PEK|YYZ|CLE|PKB|
PKB|KIJ,|KIJ|HRB|PEK|YYZ|CLE|PKB|
PKB|LDS,|LDS|HRB|PEK|YYZ|CLE|PKB|
PKB|OHE,|OHE|HRB|PEK|YYZ|CLE|PKB|
PKB|HSN,|HSN|PEK|YYZ|CLE|PKB|
PKB|DLU,|DLU|KMG|PEK|YYZ|CLE|PKB|
PKB|SYM,|SYM|KMG|PEK|YYZ|CLE|PKB|
PKB|ZAT,|ZAT|KMG|PEK|YYZ|CLE|PKB|
PKB|LUN,|LUN|NBO|ZRH|YYZ|CLE|PKB|
PKB|AOG,|AOG|PEK|YYZ|CLE|PKB|
PKB|GMP,|GMP|PEK|YYZ|CLE|PKB|
PKB|ISB,|ISB|IST|YYZ|CLE|PKB|
PKB|TAS,|TAS|IST|YYZ|CLE|PKB|
PKB|WUS,|WUS|PEK|YYZ|CLE|PKB|
PKB|JMU,|JMU|PVG|YYZ|CLE|PKB|
PKB|NDG,|NDG|PVG|YYZ|CLE|PKB|
PKB|JXA,|JXA|SHE|PEK|YYZ|CLE|PKB|
PKB|PUS,|PUS|SHE|PEK|YYZ|CLE|PKB|
PKB|BKI,|BKI|SZX|PEK|YYZ|CLE|PKB|
PKB|AKU,|AKU|URC|TSE|FRA|YYZ|CLE|PKB|
PKB|ALA,|ALA|TSE|FRA|YYZ|CLE|PKB|
PKB|ASB,|ASB|GYD|FRA|YYZ|CLE|PKB|
PKB|DNH,|DNH|URC|TSE|FRA|YYZ|CLE|PKB|
PKB|DYU,|DYU|IST|YYZ|CLE|PKB|
PKB|FRU,|FRU|IST|YYZ|CLE|PKB|
PKB|GYD,|GYD|FRA|YYZ|CLE|PKB|
PKB|HTN,|HTN|URC|TSE|FRA|YYZ|CLE|PKB|
PKB|IKA,|IKA|SAW|VIE|YYZ|CLE|PKB|
PKB|KCA,|KCA|URC|TSE|FRA|YYZ|CLE|PKB|
PKB|KHG,|KHG|URC|TSE|FRA|YYZ|CLE|PKB|
PKB|KRL,|KRL|URC|TSE|FRA|YYZ|CLE|PKB|
PKB|KRY,|KRY|URC|TSE|FRA|YYZ|CLE|PKB|
PKB|LBD,|LBD|URC|TSE|FRA|YYZ|CLE|PKB|
PKB|NLT,|NLT|URC|TSE|FRA|YYZ|CLE|PKB|
PKB|OSS,|OSS|IST|YYZ|CLE|PKB|
PKB|OVB,|OVB|IST|YYZ|CLE|PKB|
PKB|TBS,|TBS|SAW|VIE|YYZ|CLE|PKB|
PKB|TCG,|TCG|URC|TSE|FRA|YYZ|CLE|PKB|
PKB|TSE,|TSE|FRA|YYZ|CLE|PKB|
PKB|YIN,|YIN|URC|TSE|FRA|YYZ|CLE|PKB|
PKB|ENH,|ENH|WUH|PEK|YYZ|CLE|PKB|
PKB|ENY,|ENY|XIY|PEK|YYZ|CLE|PKB|
PKB|WXN,|WXN|XIY|PEK|YYZ|CLE|PKB|
PKB|BLL,|BLL|IST|YYZ|CLE|PKB|
PKB|ESB,|ESB|VIE|YYZ|CLE|PKB|
PKB|SAW,|SAW|VIE|YYZ|CLE|PKB|
PKB|HAM,|HAM|EWR|CLE|PKB|
PKB|HRE,|HRE|ADD|JED|FRA|YYZ|CLE|PKB|
PKB|JUB,|JUB|CAI|IST|YYZ|CLE|PKB|
PKB|SSG,|SSG|DLA|BRU|YUL|YYZ|CLE|PKB|
PKB|BGW,|BGW|ESB|VIE|YYZ|CLE|PKB|
PKB|EBL,|EBL|IST|YYZ|CLE|PKB|
PKB|VKO,|VKO|IST|YYZ|CLE|PKB|
PKB|MCT,|MCT|AUH|YYZ|CLE|PKB|
PKB|AYT,|AYT|IST|YYZ|CLE|PKB|
PKB|SCQ,|SCQ|BIO|IST|YYZ|CLE|PKB|
PKB|AAL,|AAL|IST|YYZ|CLE|PKB|
PKB|AOE,|AOE|BRU|YUL|YYZ|CLE|PKB|
PKB|JNB,|JNB|DKR|IAD|CLE|PKB|
PKB|LBV,|LBV|DLA|BRU|YUL|YYZ|CLE|PKB|
PKB|ADA,|ADA|SAW|VIE|YYZ|CLE|PKB|
PKB|ADB,|ADB|IST|YYZ|CLE|PKB|
PKB|ADF,|ADF|ESB|VIE|YYZ|CLE|PKB|
PKB|AJI,|AJI|ESB|VIE|YYZ|CLE|PKB|
PKB|BAL,|BAL|ESB|VIE|YYZ|CLE|PKB|
PKB|BJV,|BJV|IST|YYZ|CLE|PKB|
PKB|CKZ,|CKZ|ESB|VIE|YYZ|CLE|PKB|
PKB|DIY,|DIY|ESB|VIE|YYZ|CLE|PKB|
PKB|ECN,|ECN|IST|YYZ|CLE|PKB|
PKB|ERC,|ERC|ESB|VIE|YYZ|CLE|PKB|
PKB|ERZ,|ERZ|ESB|VIE|YYZ|CLE|PKB|
PKB|EZS,|EZS|ESB|VIE|YYZ|CLE|PKB|
PKB|GNY,|GNY|ESB|VIE|YYZ|CLE|PKB|
PKB|GZP,|GZP|ESB|VIE|YYZ|CLE|PKB|
PKB|GZT,|GZT|ESB|VIE|YYZ|CLE|PKB|
PKB|HTY,|HTY|SAW|VIE|YYZ|CLE|PKB|
PKB|KCM,|KCM|ESB|VIE|YYZ|CLE|PKB|
PKB|KSY,|KSY|ESB|VIE|YYZ|CLE|PKB|
PKB|MLX,|MLX|ESB|VIE|YYZ|CLE|PKB|
PKB|MQM,|MQM|ESB|VIE|YYZ|CLE|PKB|
PKB|MSR,|MSR|ESB|VIE|YYZ|CLE|PKB|
PKB|TEQ,|TEQ|ESB|VIE|YYZ|CLE|PKB|
PKB|TZX,|TZX|ESB|VIE|YYZ|CLE|PKB|
PKB|VAN,|VAN|ESB|VIE|YYZ|CLE|PKB|
PKB|ULN,|ULN|FRU|IST|YYZ|CLE|PKB|
PKB|HIJ,|HIJ|ICN|YVR|ORD|CLE|PKB|
PKB|VVO,|VVO|ICN|YVR|ORD|CLE|PKB|
PKB|ACC,|ACC|IST|YYZ|CLE|PKB|
PKB|AER,|AER|IST|YYZ|CLE|PKB|
PKB|AGP,|AGP|IST|YYZ|CLE|PKB|
PKB|ALG,|ALG|IST|YYZ|CLE|PKB|
PKB|AMM,|AMM|IST|YYZ|CLE|PKB|
PKB|AQJ,|AQJ|IST|YYZ|CLE|PKB|
PKB|ARN,|ARN|EWR|CLE|PKB|
PKB|ASR,|ASR|SAW|VIE|YYZ|CLE|PKB|
PKB|ATH,|ATH|IST|YYZ|CLE|PKB|
PKB|BAH,|BAH|IST|YYZ|CLE|PKB|
PKB|BEG,|BEG|IST|YYZ|CLE|PKB|
PKB|BEN,|BEN|IST|YYZ|CLE|PKB|
PKB|BEY,|BEY|IST|YYZ|CLE|PKB|
PKB|BHX,|BHX|EWR|CLE|PKB|
PKB|BIO,|BIO|IST|YYZ|CLE|PKB|
PKB|BLQ,|BLQ|IST|YYZ|CLE|PKB|
