MLE|MAD,|MAD|IST|MLE|
MLE|MAN,|MAN|IST|MLE|
MLE|MED,|MED|IST|MLE|
MLE|MHD,|MHD|IST|MLE|
MLE|MLA,|MLA|IST|MLE|
MLE|MRS,|MRS|IST|MLE|
MLE|MSQ,|MSQ|IST|MLE|
MLE|MXP,|MXP|IST|MLE|
MLE|MZH,|MZH|IST|MLE|
MLE|MZR,|MZR|IST|MLE|
MLE|NAJ,|NAJ|IST|MLE|
MLE|NAV,|NAV|IST|MLE|
MLE|NCE,|NCE|IST|MLE|
MLE|NIM,|NIM|IST|MLE|
MLE|NJF,|NJF|IST|MLE|
MLE|NSI,|NSI|IST|MLE|
MLE|NUE,|NUE|IST|MLE|
MLE|ODS,|ODS|IST|MLE|
MLE|ORN,|ORN|IST|MLE|
MLE|OTP,|OTP|IST|MLE|
MLE|PRG,|PRG|IST|MLE|
MLE|PRN,|PRN|IST|MLE|
MLE|RIX,|RIX|IST|MLE|
MLE|ROV,|ROV|IST|MLE|
MLE|RTM,|RTM|IST|MLE|
MLE|RUH,|RUH|IST|MLE|
MLE|SAH,|SAH|IST|MLE|
MLE|SJJ,|SJJ|IST|MLE|
MLE|SKG,|SKG|IST|MLE|
MLE|SKP,|SKP|IST|MLE|
MLE|SSH,|SSH|IST|MLE|
MLE|STR,|STR|IST|MLE|
MLE|SVX,|SVX|IST|MLE|
MLE|SYZ,|SYZ|IST|MLE|
MLE|SZG,|SZG|IST|MLE|
MLE|TBZ,|TBZ|IST|MLE|
MLE|TGD,|TGD|IST|MLE|
MLE|TIA,|TIA|IST|MLE|
MLE|TIF,|TIF|IST|MLE|
MLE|TIP,|TIP|IST|MLE|
MLE|TLL,|TLL|IST|MLE|
MLE|TLS,|TLS|IST|MLE|
MLE|TRN,|TRN|IST|MLE|
MLE|TUN,|TUN|IST|MLE|
MLE|TXL,|TXL|IST|MLE|
MLE|UFA,|UFA|IST|MLE|
MLE|VAS,|VAS|IST|MLE|
MLE|VCE,|VCE|IST|MLE|
MLE|YNB,|YNB|IST|MLE|
MLE|ZAG,|ZAG|IST|MLE|
MLE|MGQ,|MGQ|JIB|IST|MLE|
MLE|CPT,|CPT|JNB|IST|MLE|
MLE|MBA,|MBA|JRO|IST|MLE|
MLE|NDJ,|NDJ|KAN|IST|MLE|
MLE|CMB,|CMB|MLE|
MLE|ADE,|ADE|SAH|IST|MLE|
MLE|ASF,|ASF|SAW|ADB|IST|MLE|
MLE|STW,|STW|SAW|ADB|IST|MLE|
MLE|LFW,|LFW|ABJ|OUA|NIM|IST|MLE|
MLE|CEC,|CEC|SFO|PVG|CAN|MLE|
MLE|SMF,|SMF|SFO|PVG|CAN|MLE|
MLE|CDR,|CDR|AIA|DEN|FRA|IST|MLE|
MLE|FMN,|FMN|DEN|FRA|IST|MLE|
MLE|JST,|JST|IAD|IST|MLE|
MLE|JHW,|JHW|CLE|YYZ|IST|MLE|
MLE|SHD,|SHD|IAD|IST|MLE|
MLE|PTY,|PTY|MIA|ZRH|IST|MLE|
MLE|FNA,|FNA|BRU|IST|MLE|
MLE|SXB,|SXB|BRU|IST|MLE|
MLE|ACV,|ACV|SFO|PVG|CAN|MLE|
MLE|MGW,|MGW|IAD|IST|MLE|
MLE|ALB,|ALB|EWR|BHX|IST|MLE|
MLE|AUS,|AUS|ORD|IST|MLE|
MLE|BFD,|BFD|CLE|YYZ|IST|MLE|
MLE|BUF,|BUF|EWR|BHX|IST|MLE|
MLE|CHS,|CHS|EWR|BHX|IST|MLE|
MLE|DAY,|DAY|CLE|YYZ|IST|MLE|
MLE|DUJ,|DUJ|CLE|YYZ|IST|MLE|
MLE|ERI,|ERI|CLE|YYZ|IST|MLE|
MLE|FKL,|FKL|CLE|YYZ|IST|MLE|
MLE|FNT,|FNT|CLE|YYZ|IST|MLE|
MLE|GRR,|GRR|CLE|YYZ|IST|MLE|
MLE|GSP,|GSP|EWR|BHX|IST|MLE|
MLE|PBI,|PBI|EWR|BHX|IST|MLE|
MLE|PKB,|PKB|CLE|YYZ|IST|MLE|
MLE|RIC,|RIC|EWR|BHX|IST|MLE|
MLE|SDF,|SDF|CLE|YYZ|IST|MLE|
MLE|GUM,|GUM|HKG|CAN|MLE|
MLE|WRL,|WRL|CYS|DEN|FRA|IST|MLE|
MLE|LBL,|MLE|
MLE|ABQ,|ABQ|DEN|FRA|IST|MLE|
MLE|AIA,|AIA|DEN|FRA|IST|MLE|
MLE|ALS,|ALS|DEN|FRA|IST|MLE|
MLE|AMA,|AMA|DEN|FRA|IST|MLE|
MLE|ANC,|ANC|SEA|ICN|CAN|MLE|
MLE|ASE,|ASE|DEN|FRA|IST|MLE|
MLE|BFL,|BFL|SFO|PVG|CAN|MLE|
MLE|BHM,|BHM|BWI|EWR|BHX|IST|MLE|
MLE|BIL,|BIL|DEN|FRA|IST|MLE|
MLE|BIS,|BIS|DEN|FRA|IST|MLE|
