INC|CAI,|CAI|IST|URC|INC|
INC|CGN,|CGN|IST|URC|INC|
INC|CMN,|CMN|IST|URC|INC|
INC|CND,|CND|IST|URC|INC|
INC|DAR,|DAR|NBO|BKK|NNG|KWE|XIY|INC|
INC|DLM,|DLM|IST|URC|INC|
INC|DMM,|DMM|IST|URC|INC|
INC|DNK,|DNK|IST|URC|INC|
INC|DNZ,|DNZ|IST|URC|INC|
INC|DOK,|DOK|IST|URC|INC|
INC|DUS,|DUS|IST|URC|INC|
INC|EDI,|EDI|IST|URC|INC|
INC|ELQ,|ELQ|IST|URC|INC|
INC|FDH,|FDH|IST|URC|INC|
INC|GOA,|GOA|IST|URC|INC|
INC|GOT,|GOT|IST|URC|INC|
INC|HAJ,|HAJ|IST|URC|INC|
INC|HBE,|HBE|IST|URC|INC|
INC|HEL,|HEL|IST|URC|INC|
INC|HRG,|HRG|IST|URC|INC|
INC|IFN,|IFN|IST|URC|INC|
INC|ISE,|ISE|IST|URC|INC|
INC|ISU,|ISU|IST|URC|INC|
INC|JIB,|JIB|IST|URC|INC|
INC|JRO,|JRO|IST|URC|INC|
INC|KAN,|KAN|IST|URC|INC|
INC|KBL,|KBL|IST|URC|INC|
INC|KBP,|KBP|IST|URC|INC|
INC|KFS,|KFS|IST|URC|INC|
INC|KHI,|KHI|IST|URC|INC|
INC|KIV,|KIV|IST|URC|INC|
INC|KRT,|KRT|IST|URC|INC|
INC|KSH,|KSH|IST|URC|INC|
INC|KVD,|KVD|IST|URC|INC|
INC|KWI,|KWI|SAW|TBS|URC|INC|
INC|KYA,|KYA|SAW|TBS|URC|INC|
INC|KZN,|KZN|IST|URC|INC|
INC|KZR,|KZR|IST|URC|INC|
INC|LED,|LED|IST|URC|INC|
INC|LEJ,|LEJ|IST|URC|INC|
INC|LGW,|LGW|IST|URC|INC|
INC|LHE,|LHE|IST|URC|INC|
INC|LIS,|LIS|IST|URC|INC|
INC|LJU,|LJU|IST|URC|INC|
INC|LOS,|LOS|IST|URC|INC|
INC|LUX,|LUX|IST|URC|INC|
INC|LWO,|LWO|IST|URC|INC|
INC|LYS,|LYS|IST|URC|INC|
INC|MAD,|MAD|IST|URC|INC|
INC|MAN,|MAN|IST|URC|INC|
INC|MED,|MED|IST|URC|INC|
INC|MHD,|MHD|IST|URC|INC|
INC|MLA,|MLA|IST|URC|INC|
INC|MRS,|MRS|IST|URC|INC|
INC|MSQ,|MSQ|IST|URC|INC|
INC|MXP,|MXP|IST|URC|INC|
INC|MZH,|MZH|IST|URC|INC|
INC|MZR,|MZR|IST|URC|INC|
INC|NAJ,|NAJ|IST|URC|INC|
INC|NAV,|NAV|IST|URC|INC|
INC|NCE,|NCE|IST|URC|INC|
INC|NIM,|NIM|IST|URC|INC|
INC|NJF,|NJF|IST|URC|INC|
INC|NSI,|NSI|IST|URC|INC|
INC|NUE,|NUE|IST|URC|INC|
INC|ODS,|ODS|IST|URC|INC|
INC|ORN,|ORN|IST|URC|INC|
INC|OTP,|OTP|IST|URC|INC|
INC|PRG,|PRG|IST|URC|INC|
INC|PRN,|PRN|IST|URC|INC|
INC|RIX,|RIX|IST|URC|INC|
INC|ROV,|ROV|IST|URC|INC|
INC|RTM,|RTM|IST|URC|INC|
INC|RUH,|RUH|IST|URC|INC|
INC|SAH,|SAH|IST|URC|INC|
INC|SJJ,|SJJ|IST|URC|INC|
INC|SKG,|SKG|IST|URC|INC|
INC|SKP,|SKP|IST|URC|INC|
INC|SSH,|SSH|IST|URC|INC|
INC|STR,|STR|IST|URC|INC|
INC|SVX,|SVX|IST|URC|INC|
INC|SYZ,|SYZ|IST|URC|INC|
INC|SZG,|SZG|IST|URC|INC|
INC|TBZ,|TBZ|IST|URC|INC|
INC|TGD,|TGD|IST|URC|INC|
INC|TIA,|TIA|IST|URC|INC|
INC|TIF,|TIF|IST|URC|INC|
INC|TIP,|TIP|IST|URC|INC|
INC|TLL,|TLL|IST|URC|INC|
INC|TLS,|TLS|IST|URC|INC|
INC|TRN,|TRN|IST|URC|INC|
INC|TUN,|TUN|IST|URC|INC|
INC|TXL,|TXL|IST|URC|INC|
INC|UFA,|UFA|IST|URC|INC|
INC|VAS,|VAS|SAW|TBS|URC|INC|
INC|VCE,|VCE|IST|URC|INC|
INC|YNB,|YNB|IST|URC|INC|
INC|ZAG,|ZAG|IST|URC|INC|
INC|MGQ,|MGQ|JIB|IST|URC|INC|
INC|CPT,|CPT|JNB|IST|URC|INC|
INC|MBA,|MBA|JRO|IST|URC|INC|
INC|NDJ,|NDJ|KAN|IST|URC|INC|
INC|CMB,|CMB|MLE|CAN|XIY|INC|
INC|ADE,|ADE|SAH|IST|URC|INC|
INC|ASF,|ASF|SAW|TBS|URC|INC|
INC|STW,|STW|SAW|TBS|URC|INC|
INC|LFW,|LFW|ABJ|OUA|NIM|IST|URC|INC|
INC|CEC,|CEC|SFO|PEK|INC|
INC|SMF,|SMF|SFO|PEK|INC|
INC|CDR,|CDR|AIA|DEN|YVR|PEK|INC|
INC|FMN,|FMN|DEN|YVR|PEK|INC|
INC|JST,|JST|IAD|PEK|INC|
INC|JHW,|JHW|CLE|YYZ|PEK|INC|
INC|SHD,|SHD|IAD|PEK|INC|
INC|PTY,|PTY|ORD|PEK|INC|
INC|FNA,|FNA|BRU|IST|URC|INC|
