RDD|ASB,|ASB|GYD|FRA|SFO|RDD|
RDD|DNH,|DNH|XIY|PEK|SFO|RDD|
RDD|DYU,|DYU|URC|PEK|SFO|RDD|
RDD|FRU,|FRU|URC|PEK|SFO|RDD|
RDD|GYD,|GYD|FRA|SFO|RDD|
RDD|HTN,|HTN|URC|PEK|SFO|RDD|
RDD|IKA,|IKA|SAW|MUC|SFO|RDD|
RDD|KCA,|KCA|URC|PEK|SFO|RDD|
RDD|KHG,|KHG|URC|PEK|SFO|RDD|
RDD|KRL,|KRL|URC|PEK|SFO|RDD|
RDD|KRY,|KRY|URC|PEK|SFO|RDD|
RDD|LBD,|LBD|URC|PEK|SFO|RDD|
RDD|NLT,|NLT|URC|PEK|SFO|RDD|
RDD|OSS,|OSS|URC|PEK|SFO|RDD|
RDD|OVB,|OVB|URC|PEK|SFO|RDD|
RDD|TBS,|TBS|SAW|MUC|SFO|RDD|
RDD|TCG,|TCG|URC|PEK|SFO|RDD|
RDD|TSE,|TSE|URC|PEK|SFO|RDD|
RDD|YIN,|YIN|URC|PEK|SFO|RDD|
RDD|ENH,|ENH|WUH|ICN|SFO|RDD|
RDD|ENY,|ENY|XIY|PEK|SFO|RDD|
RDD|WXN,|WXN|XIY|PEK|SFO|RDD|
RDD|BLL,|BLL|IST|MUC|SFO|RDD|
RDD|ESB,|ESB|FRA|SFO|RDD|
RDD|SAW,|SAW|MUC|SFO|RDD|
RDD|HAM,|HAM|EWR|SFO|RDD|
RDD|HRE,|HRE|ADD|JED|FRA|SFO|RDD|
RDD|JUB,|JUB|CAI|IST|MUC|SFO|RDD|
RDD|SSG,|SSG|DLA|BRU|YUL|SFO|RDD|
RDD|BGW,|BGW|ESB|FRA|SFO|RDD|
RDD|EBL,|EBL|IST|MUC|SFO|RDD|
RDD|VKO,|VKO|IST|MUC|SFO|RDD|
RDD|MCT,|MCT|IST|MUC|SFO|RDD|
RDD|AYT,|AYT|IST|MUC|SFO|RDD|
RDD|SCQ,|SCQ|BIO|IST|MUC|SFO|RDD|
RDD|AAL,|AAL|IST|MUC|SFO|RDD|
RDD|AOE,|AOE|BRU|YUL|SFO|RDD|
RDD|JNB,|JNB|JFK|SFO|RDD|
RDD|LBV,|LBV|DLA|BRU|YUL|SFO|RDD|
RDD|ADA,|ADA|IST|MUC|SFO|RDD|
RDD|ADB,|ADB|IST|MUC|SFO|RDD|
RDD|ADF,|ADF|ESB|FRA|SFO|RDD|
RDD|AJI,|AJI|ESB|FRA|SFO|RDD|
RDD|BAL,|BAL|ESB|FRA|SFO|RDD|
RDD|BJV,|BJV|IST|MUC|SFO|RDD|
RDD|CKZ,|CKZ|ESB|FRA|SFO|RDD|
RDD|DIY,|DIY|ESB|FRA|SFO|RDD|
RDD|ECN,|ECN|IST|MUC|SFO|RDD|
RDD|ERC,|ERC|ESB|FRA|SFO|RDD|
RDD|ERZ,|ERZ|ESB|FRA|SFO|RDD|
RDD|EZS,|EZS|ESB|FRA|SFO|RDD|
RDD|GNY,|GNY|ESB|FRA|SFO|RDD|
RDD|GZP,|GZP|ESB|FRA|SFO|RDD|
RDD|GZT,|GZT|ESB|FRA|SFO|RDD|
RDD|HTY,|HTY|SAW|MUC|SFO|RDD|
RDD|KCM,|KCM|ESB|FRA|SFO|RDD|
RDD|KSY,|KSY|ESB|FRA|SFO|RDD|
RDD|MLX,|MLX|ESB|FRA|SFO|RDD|
RDD|MQM,|MQM|ESB|FRA|SFO|RDD|
RDD|MSR,|MSR|ESB|FRA|SFO|RDD|
RDD|TEQ,|TEQ|ESB|FRA|SFO|RDD|
RDD|TZX,|TZX|SAW|MUC|SFO|RDD|
RDD|VAN,|VAN|ESB|FRA|SFO|RDD|
RDD|ULN,|ULN|FRU|URC|PEK|SFO|RDD|
RDD|HIJ,|HIJ|ICN|SFO|RDD|
RDD|VVO,|VVO|ICN|SFO|RDD|
RDD|ACC,|ACC|IST|MUC|SFO|RDD|
RDD|AER,|AER|IST|MUC|SFO|RDD|
RDD|AGP,|AGP|IST|MUC|SFO|RDD|
RDD|ALG,|ALG|IST|MUC|SFO|RDD|
RDD|AMM,|AMM|IST|MUC|SFO|RDD|
RDD|AQJ,|AQJ|IST|MUC|SFO|RDD|
RDD|ARN,|ARN|EWR|SFO|RDD|
RDD|ASR,|ASR|SAW|MUC|SFO|RDD|
RDD|ATH,|ATH|IST|MUC|SFO|RDD|
RDD|BAH,|BAH|IST|MUC|SFO|RDD|
RDD|BEG,|BEG|IST|MUC|SFO|RDD|
RDD|BEN,|BEN|IST|MUC|SFO|RDD|
RDD|BEY,|BEY|IST|MUC|SFO|RDD|
RDD|BHX,|BHX|EWR|SFO|RDD|
RDD|BIO,|BIO|IST|MUC|SFO|RDD|
RDD|BLQ,|BLQ|IST|MUC|SFO|RDD|
RDD|BOM,|BOM|IST|MUC|SFO|RDD|
RDD|BRE,|BRE|IST|MUC|SFO|RDD|
RDD|BSL,|BSL|IST|MUC|SFO|RDD|
RDD|BSR,|BSR|IST|MUC|SFO|RDD|
RDD|BUD,|BUD|IST|MUC|SFO|RDD|
