KSY|BAH,|BAH|KWI|SAW|KSY|
KSY|BEG,|BEG|IST|KSY|
KSY|BEN,|BEN|IST|KSY|
KSY|BEY,|BEY|IST|KSY|
KSY|BHX,|BHX|BRU|SAW|KSY|
KSY|BIO,|BIO|IST|KSY|
KSY|BLQ,|BLQ|IST|KSY|
KSY|BOM,|BOM|IST|KSY|
KSY|BRE,|BRE|IST|KSY|
KSY|BSL,|BSL|IST|KSY|
KSY|BSR,|BSR|IST|KSY|
KSY|BUD,|BUD|IST|KSY|
KSY|BUS,|BUS|IST|KSY|
KSY|CAI,|CAI|IST|KSY|
KSY|CGN,|CGN|IST|KSY|
KSY|CMN,|CMN|IST|KSY|
KSY|CND,|CND|IST|KSY|
KSY|DAR,|DAR|IST|KSY|
KSY|DLM,|DLM|IST|KSY|
KSY|DMM,|DMM|IST|KSY|
KSY|DNK,|DNK|IST|KSY|
KSY|DNZ,|DNZ|IST|KSY|
KSY|DOK,|DOK|IST|KSY|
KSY|DUS,|DUS|SAW|KSY|
KSY|EDI,|EDI|IST|KSY|
KSY|ELQ,|ELQ|IST|KSY|
KSY|FDH,|FDH|IST|KSY|
KSY|GOA,|GOA|IST|KSY|
KSY|GOT,|GOT|IST|KSY|
KSY|HAJ,|HAJ|IST|KSY|
KSY|HBE,|HBE|IST|KSY|
KSY|HEL,|HEL|IST|KSY|
KSY|HRG,|HRG|IST|KSY|
KSY|IFN,|IFN|IST|KSY|
KSY|ISE,|ISE|IST|KSY|
KSY|ISU,|ISU|IST|KSY|
KSY|JIB,|JIB|IST|KSY|
KSY|JRO,|JRO|IST|KSY|
KSY|KAN,|KAN|IST|KSY|
KSY|KBL,|KBL|IST|KSY|
KSY|KBP,|KBP|SAW|KSY|
KSY|KFS,|KFS|IST|KSY|
KSY|KHI,|KHI|IST|KSY|
KSY|KIV,|KIV|IST|KSY|
KSY|KRT,|KRT|IST|KSY|
KSY|KSH,|KSH|IST|KSY|
KSY|KVD,|KVD|IST|KSY|
KSY|KWI,|KWI|SAW|KSY|
KSY|KYA,|KYA|SAW|KSY|
KSY|KZN,|KZN|IST|KSY|
KSY|KZR,|KZR|IST|KSY|
KSY|LED,|LED|IST|KSY|
KSY|LEJ,|LEJ|IST|KSY|
KSY|LGW,|LGW|SAW|KSY|
KSY|LHE,|LHE|IST|KSY|
KSY|LIS,|LIS|IST|KSY|
KSY|LJU,|LJU|IST|KSY|
KSY|LOS,|LOS|IST|KSY|
KSY|LUX,|LUX|IST|KSY|
KSY|LWO,|LWO|IST|KSY|
KSY|LYS,|LYS|IST|KSY|
KSY|MAD,|MAD|IST|KSY|
KSY|MAN,|MAN|IST|KSY|
KSY|MED,|MED|IST|KSY|
KSY|MHD,|MHD|IST|KSY|
KSY|MLA,|MLA|SAW|KSY|
KSY|MRS,|MRS|IST|KSY|
KSY|MSQ,|MSQ|IST|KSY|
KSY|MXP,|MXP|IST|KSY|
KSY|MZH,|MZH|IST|KSY|
KSY|MZR,|MZR|IST|KSY|
KSY|NAJ,|NAJ|IST|KSY|
KSY|NAV,|NAV|IST|KSY|
KSY|NCE,|NCE|IST|KSY|
KSY|NIM,|NIM|IST|KSY|
KSY|NJF,|NJF|IST|KSY|
KSY|NSI,|NSI|IST|KSY|
KSY|NUE,|NUE|IST|KSY|
KSY|ODS,|ODS|IST|KSY|
KSY|ORN,|ORN|IST|KSY|
KSY|OTP,|OTP|IST|KSY|
KSY|PRG,|PRG|IST|KSY|
KSY|PRN,|PRN|IST|KSY|
KSY|RIX,|RIX|IST|KSY|
KSY|ROV,|ROV|IST|KSY|
KSY|RTM,|RTM|IST|KSY|
KSY|RUH,|RUH|IST|KSY|
KSY|SAH,|SAH|IST|KSY|
KSY|SJJ,|SJJ|IST|KSY|
KSY|SKG,|SKG|IST|KSY|
KSY|SKP,|SKP|IST|KSY|
KSY|SSH,|SSH|IST|KSY|
KSY|STR,|STR|IST|KSY|
KSY|SVX,|SVX|IST|KSY|
KSY|SYZ,|SYZ|IST|KSY|
KSY|SZG,|SZG|IST|KSY|
KSY|TBZ,|TBZ|IST|KSY|
KSY|TGD,|TGD|IST|KSY|
KSY|TIA,|TIA|IST|KSY|
KSY|TIF,|TIF|IST|KSY|
KSY|TIP,|TIP|IST|KSY|
KSY|TLL,|TLL|IST|KSY|
KSY|TLS,|TLS|IST|KSY|
KSY|TRN,|TRN|IST|KSY|
KSY|TUN,|TUN|IST|KSY|
KSY|TXL,|TXL|IST|KSY|
KSY|UFA,|UFA|IST|KSY|
KSY|VAS,|VAS|SAW|KSY|
KSY|VCE,|VCE|IST|KSY|
KSY|YNB,|YNB|IST|KSY|
KSY|ZAG,|ZAG|IST|KSY|
KSY|MGQ,|MGQ|JIB|IST|KSY|
KSY|CPT,|CPT|JNB|IST|KSY|
KSY|MBA,|MBA|JRO|IST|KSY|
KSY|NDJ,|NDJ|KAN|IST|KSY|
KSY|CMB,|CMB|MLE|IST|KSY|
KSY|ADE,|ADE|SAH|IST|KSY|
KSY|ASF,|ASF|SAW|KSY|
KSY|STW,|STW|SAW|KSY|
KSY|LFW,|LFW|ABJ|OUA|NIM|IST|KSY|
KSY|CEC,|CEC|ACV|SMF|SEA|FRA|ESB|KSY|
KSY|SMF,|SMF|SEA|FRA|ESB|KSY|
KSY|CDR,|CDR|AIA|DEN|FRA|ESB|KSY|
KSY|FMN,|FMN|DEN|FRA|ESB|KSY|
KSY|JST,|JST|IAD|VIE|ESB|KSY|
