CSX|KIN,|KIN|YYZ|PEK|CSX|
CSX|LIM,|LIM|IAH|PEK|CSX|
CSX|LIR,|LIR|IAH|PEK|CSX|
CSX|MCI,|MCI|DEN|YVR|ICN|CSX|
CSX|MDT,|MDT|YYZ|PEK|CSX|
CSX|MIA,|MIA|ORD|PEK|CSX|
CSX|MKE,|MKE|ORD|PEK|CSX|
CSX|MSP,|MSP|ORD|PEK|CSX|
CSX|NAS,|NAS|YYZ|PEK|CSX|
CSX|PHL,|PHL|YYZ|PEK|CSX|
CSX|PHX,|PHX|SFO|ICN|CSX|
CSX|PIT,|PIT|YYZ|PEK|CSX|
CSX|PLS,|PLS|EWR|PEK|CSX|
CSX|POP,|POP|EWR|PEK|CSX|
CSX|RDU,|RDU|YYZ|PEK|CSX|
CSX|ROC,|ROC|YYZ|PEK|CSX|
CSX|RSW,|RSW|ORD|PEK|CSX|
CSX|SAN,|SAN|LAX|ICN|CSX|
CSX|SJO,|SJO|IAH|PEK|CSX|
CSX|STL,|STL|ORD|PEK|CSX|
CSX|SYR,|SYR|YYZ|PEK|CSX|
CSX|TLV,|TLV|SAW|TBS|URC|CSX|
CSX|TPA,|TPA|ORD|PEK|CSX|
CSX|UVF,|UVF|EWR|PEK|CSX|
CSX|VIE,|VIE|IST|URC|CSX|
CSX|YAM,|YAM|YYZ|PEK|CSX|
CSX|YGK,|YGK|YYZ|PEK|CSX|
CSX|YQG,|YQG|YYZ|PEK|CSX|
CSX|YSB,|YSB|YYZ|PEK|CSX|
CSX|YTS,|YTS|YYZ|PEK|CSX|
CSX|YYB,|YYB|YYZ|PEK|CSX|
CSX|YZR,|YZR|YYZ|PEK|CSX|
CSX|CAN,|CAN|CSX|
CSX|URC,|URC|CSX|
CSX|CTU,|CTU|CSX|
CSX|HGH,|HGH|CSX|
CSX|XMN,|XMN|CSX|
CSX|CGO,|CGO|YTY|CSX|
CSX|SHE,|SHE|TAO|CSX|
CSX|SJW,|SJW|CSX|
CSX|WUH,|WUH|HGH|CSX|
CSX|SZX,|SZX|CSX|
CSX|CKG,|CKG|CSX|
CSX|KMG,|KMG|CSX|
CSX|FOC,|FOC|CSX|
CSX|NNG,|NNG|CSX|
CSX|SWA,|SWA|CSX|
CSX|ACX,|ACX|CAN|CSX|
CSX|AQG,|AQG|CAN|CSX|
CSX|AVA,|AVA|CAN|CSX|
CSX|BFJ,|BFJ|CAN|CSX|
CSX|BHY,|BHY|CSX|
CSX|BNE,|BNE|CAN|CSX|
CSX|CGD,|CGD|CAN|CSX|
CSX|CGK,|CGK|CAN|CSX|
CSX|CGQ,|CGQ|TAO|CSX|
CSX|CIH,|CIH|DAT|TYN|CSX|
CSX|CNX,|CNX|CAN|CSX|
CSX|CZX,|CZX|CSX|
CSX|DAC,|DAC|CAN|CSX|
CSX|DAD,|DAD|CAN|CSX|
CSX|DEL,|DEL|CAN|CSX|
CSX|DIG,|DIG|KMG|CSX|
CSX|DLC,|DLC|CSX|
CSX|DPS,|DPS|CAN|CSX|
CSX|DXB,|DXB|CAN|CSX|
CSX|DYG,|DYG|CSX|
CSX|FUG,|FUG|CAN|CSX|
CSX|FUK,|FUK|ICN|CSX|
CSX|HAK,|HAK|CSX|
CSX|HAN,|HAN|CAN|CSX|
CSX|HDG,|HDG|CAN|CSX|
CSX|HET,|HET|CSX|
CSX|HFE,|HFE|CSX|
CSX|HJJ,|HJJ|CSX|
CSX|HKT,|HKT|CAN|CSX|
CSX|HRB,|HRB|CSX|
CSX|HZH,|HZH|CAN|CSX|
CSX|JIU,|JIU|CAN|CSX|
CSX|JJN,|JJN|CSX|
CSX|JNG,|JNG|CAN|CSX|
CSX|KHN,|KHN|NKG|CSX|
CSX|KIX,|KIX|DLC|CSX|
CSX|KOW,|KOW|CAN|CSX|
CSX|KTM,|KTM|CAN|CSX|
CSX|KUL,|KUL|CAN|CSX|
CSX|KWE,|KWE|CSX|
CSX|KWL,|KWL|CAN|CSX|
CSX|LHW,|LHW|CSX|
CSX|LYA,|LYA|CAN|CSX|
CSX|LYG,|LYG|CAN|CSX|
CSX|LZH,|LZH|CAN|CSX|
CSX|MEL,|MEL|CAN|CSX|
CSX|MIG,|MIG|CSX|
CSX|MLE,|MLE|CAN|CSX|
CSX|MNL,|MNL|XMN|CSX|
CSX|MXZ,|MXZ|CAN|CSX|
CSX|NAO,|NAO|CAN|CSX|
CSX|NGB,|NGB|CSX|
CSX|NKG,|NKG|CSX|
CSX|NNY,|NNY|HGH|CSX|
CSX|PEN,|PEN|CAN|CSX|
CSX|PER,|PER|CAN|CSX|
CSX|PNH,|PNH|CAN|CSX|
CSX|REP,|REP|CAN|CSX|
CSX|RGN,|RGN|CAN|CSX|
CSX|SGN,|SGN|CAN|CSX|
CSX|SHA,|SHA|CSX|
CSX|SIN,|SIN|CAN|CSX|
CSX|SVO,|SVO|URC|CSX|
CSX|SYX,|SYX|CSX|
CSX|TAO,|TAO|CSX|
CSX|TEN,|TEN|CAN|CSX|
CSX|TNA,|TNA|CSX|
CSX|TPE,|TPE|CSX|
CSX|TSN,|TSN|CSX|
CSX|TXN,|TXN|CSX|
CSX|TYN,|TYN|CSX|
