ACY|AAL,|AAL|IST|ORD|ACY|
ACY|AOE,|AOE|BRU|ORD|ACY|
ACY|JNB,|JNB|DKR|IAD|ORD|ACY|
ACY|LBV,|LBV|DLA|BRU|ORD|ACY|
ACY|ADA,|ADA|IST|ORD|ACY|
ACY|ADB,|ADB|IST|ORD|ACY|
ACY|ADF,|ADF|ESB|VIE|ORD|ACY|
ACY|AJI,|AJI|ESB|VIE|ORD|ACY|
ACY|BAL,|BAL|ESB|VIE|ORD|ACY|
ACY|BJV,|BJV|IST|ORD|ACY|
ACY|CKZ,|CKZ|ESB|VIE|ORD|ACY|
ACY|DIY,|DIY|ESB|VIE|ORD|ACY|
ACY|ECN,|ECN|IST|ORD|ACY|
ACY|ERC,|ERC|ESB|VIE|ORD|ACY|
ACY|ERZ,|ERZ|ESB|VIE|ORD|ACY|
ACY|EZS,|EZS|ESB|VIE|ORD|ACY|
ACY|GNY,|GNY|ESB|VIE|ORD|ACY|
ACY|GZP,|GZP|ESB|VIE|ORD|ACY|
ACY|GZT,|GZT|ESB|VIE|ORD|ACY|
ACY|HTY,|HTY|IST|ORD|ACY|
ACY|KCM,|KCM|ESB|VIE|ORD|ACY|
ACY|KSY,|KSY|ESB|VIE|ORD|ACY|
ACY|MLX,|MLX|ESB|VIE|ORD|ACY|
ACY|MQM,|MQM|ESB|VIE|ORD|ACY|
ACY|MSR,|MSR|ESB|VIE|ORD|ACY|
ACY|TEQ,|TEQ|ESB|VIE|ORD|ACY|
ACY|TZX,|TZX|ESB|VIE|ORD|ACY|
ACY|VAN,|VAN|ESB|VIE|ORD|ACY|
ACY|ULN,|ULN|FRU|IST|ORD|ACY|
ACY|HIJ,|HIJ|ICN|YVR|ORD|ACY|
ACY|VVO,|VVO|ICN|YVR|ORD|ACY|
ACY|ACC,|ACC|IST|ORD|ACY|
ACY|AER,|AER|IST|ORD|ACY|
ACY|AGP,|AGP|IST|ORD|ACY|
ACY|ALG,|ALG|IST|ORD|ACY|
ACY|AMM,|AMM|IST|ORD|ACY|
ACY|AQJ,|AQJ|IST|ORD|ACY|
ACY|ARN,|ARN|EWR|ORD|ACY|
ACY|ASR,|ASR|SAW|VIE|ORD|ACY|
ACY|ATH,|ATH|IST|ORD|ACY|
ACY|BAH,|BAH|IST|ORD|ACY|
ACY|BEG,|BEG|IST|ORD|ACY|
ACY|BEN,|BEN|IST|ORD|ACY|
ACY|BEY,|BEY|IST|ORD|ACY|
ACY|BHX,|BHX|EWR|ORD|ACY|
ACY|BIO,|BIO|IST|ORD|ACY|
ACY|BLQ,|BLQ|IST|ORD|ACY|
ACY|BOM,|BOM|IST|ORD|ACY|
ACY|BRE,|BRE|IST|ORD|ACY|
ACY|BSL,|BSL|IST|ORD|ACY|
ACY|BSR,|BSR|IST|ORD|ACY|
ACY|BUD,|BUD|IST|ORD|ACY|
ACY|BUS,|BUS|IST|ORD|ACY|
ACY|CAI,|CAI|IST|ORD|ACY|
ACY|CGN,|CGN|IST|ORD|ACY|
ACY|CMN,|CMN|IST|ORD|ACY|
ACY|CND,|CND|IST|ORD|ACY|
ACY|DAR,|DAR|NBO|ZRH|ORD|ACY|
ACY|DLM,|DLM|IST|ORD|ACY|
ACY|DMM,|DMM|IST|ORD|ACY|
ACY|DNK,|DNK|IST|ORD|ACY|
ACY|DNZ,|DNZ|IST|ORD|ACY|
ACY|DOK,|DOK|IST|ORD|ACY|
ACY|DUS,|DUS|ORD|ACY|
ACY|EDI,|EDI|EWR|ORD|ACY|
ACY|ELQ,|ELQ|IST|ORD|ACY|
ACY|FDH,|FDH|IST|ORD|ACY|
ACY|GOA,|GOA|IST|ORD|ACY|
ACY|GOT,|GOT|BRU|ORD|ACY|
ACY|HAJ,|HAJ|BRU|ORD|ACY|
ACY|HBE,|HBE|IST|ORD|ACY|
ACY|HEL,|HEL|IST|ORD|ACY|
ACY|HRG,|HRG|IST|ORD|ACY|
ACY|IFN,|IFN|IST|ORD|ACY|
ACY|ISE,|ISE|IST|ORD|ACY|
ACY|ISU,|ISU|IST|ORD|ACY|
ACY|JIB,|JIB|IST|ORD|ACY|
ACY|JRO,|JRO|IST|ORD|ACY|
ACY|KAN,|KAN|IST|ORD|ACY|
ACY|KBL,|KBL|IST|ORD|ACY|
ACY|KBP,|KBP|IST|ORD|ACY|
ACY|KFS,|KFS|IST|ORD|ACY|
ACY|KHI,|KHI|IST|ORD|ACY|
ACY|KIV,|KIV|IST|ORD|ACY|
ACY|KRT,|KRT|IST|ORD|ACY|
ACY|KSH,|KSH|IST|ORD|ACY|
