UVF|VVO,|VVO|ICN|JFK|IAD|EWR|UVF|
UVF|ACC,|ACC|IST|BHX|EWR|UVF|
UVF|AER,|AER|IST|BHX|EWR|UVF|
UVF|AGP,|AGP|IST|BHX|EWR|UVF|
UVF|ALG,|ALG|IST|BHX|EWR|UVF|
UVF|AMM,|AMM|IST|BHX|EWR|UVF|
UVF|AQJ,|AQJ|IST|BHX|EWR|UVF|
UVF|ARN,|ARN|EWR|UVF|
UVF|ASR,|ASR|SAW|FRA|EWR|UVF|
UVF|ATH,|ATH|IST|BHX|EWR|UVF|
UVF|BAH,|BAH|IST|BHX|EWR|UVF|
UVF|BEG,|BEG|IST|BHX|EWR|UVF|
UVF|BEN,|BEN|IST|BHX|EWR|UVF|
UVF|BEY,|BEY|IST|BHX|EWR|UVF|
UVF|BHX,|BHX|EWR|UVF|
UVF|BIO,|BIO|IST|BHX|EWR|UVF|
UVF|BLQ,|BLQ|IST|BHX|EWR|UVF|
UVF|BOM,|BOM|EWR|UVF|
UVF|BRE,|BRE|IST|BHX|EWR|UVF|
UVF|BSL,|BSL|IST|BHX|EWR|UVF|
UVF|BSR,|BSR|IST|BHX|EWR|UVF|
UVF|BUD,|BUD|IST|BHX|EWR|UVF|
UVF|BUS,|BUS|IST|BHX|EWR|UVF|
UVF|CAI,|CAI|IST|BHX|EWR|UVF|
UVF|CGN,|CGN|IST|BHX|EWR|UVF|
UVF|CMN,|CMN|IST|BHX|EWR|UVF|
UVF|CND,|CND|IST|BHX|EWR|UVF|
UVF|DAR,|DAR|NBO|ZRH|EWR|UVF|
UVF|DLM,|DLM|IST|BHX|EWR|UVF|
UVF|DMM,|DMM|IST|BHX|EWR|UVF|
UVF|DNK,|DNK|IST|BHX|EWR|UVF|
UVF|DNZ,|DNZ|IST|BHX|EWR|UVF|
UVF|DOK,|DOK|IST|BHX|EWR|UVF|
UVF|DUS,|DUS|EWR|UVF|
UVF|EDI,|EDI|EWR|UVF|
UVF|ELQ,|ELQ|IST|BHX|EWR|UVF|
UVF|FDH,|FDH|IST|BHX|EWR|UVF|
UVF|GOA,|GOA|IST|BHX|EWR|UVF|
UVF|GOT,|GOT|BRU|EWR|UVF|
UVF|HAJ,|HAJ|BRU|EWR|UVF|
UVF|HBE,|HBE|IST|BHX|EWR|UVF|
UVF|HEL,|HEL|IST|BHX|EWR|UVF|
UVF|HRG,|HRG|IST|BHX|EWR|UVF|
UVF|IFN,|IFN|IST|BHX|EWR|UVF|
UVF|ISE,|ISE|IST|BHX|EWR|UVF|
UVF|ISU,|ISU|IST|BHX|EWR|UVF|
UVF|JIB,|JIB|IST|BHX|EWR|UVF|
UVF|JRO,|JRO|IST|BHX|EWR|UVF|
UVF|KAN,|KAN|IST|BHX|EWR|UVF|
UVF|KBL,|KBL|IST|BHX|EWR|UVF|
UVF|KBP,|KBP|IST|BHX|EWR|UVF|
UVF|KFS,|KFS|IST|BHX|EWR|UVF|
UVF|KHI,|KHI|IST|BHX|EWR|UVF|
UVF|KIV,|KIV|IST|BHX|EWR|UVF|
UVF|KRT,|KRT|IST|BHX|EWR|UVF|
UVF|KSH,|KSH|IST|BHX|EWR|UVF|
UVF|KVD,|KVD|IST|BHX|EWR|UVF|
UVF|KWI,|KWI|SAW|FRA|EWR|UVF|
UVF|KYA,|KYA|IST|BHX|EWR|UVF|
UVF|KZN,|KZN|IST|BHX|EWR|UVF|
UVF|KZR,|KZR|IST|BHX|EWR|UVF|
UVF|LED,|LED|VIE|YYZ|UVF|
UVF|LEJ,|LEJ|IST|BHX|EWR|UVF|
UVF|LGW,|LGW|IST|BHX|EWR|UVF|
UVF|LHE,|LHE|IST|BHX|EWR|UVF|
UVF|LIS,|LIS|EWR|UVF|
UVF|LJU,|LJU|IST|BHX|EWR|UVF|
UVF|LOS,|LOS|FRA|EWR|UVF|
UVF|LUX,|LUX|IST|BHX|EWR|UVF|
UVF|LWO,|LWO|IST|BHX|EWR|UVF|
UVF|LYS,|LYS|IST|BHX|EWR|UVF|
UVF|MAD,|MAD|EWR|UVF|
UVF|MAN,|MAN|EWR|UVF|
UVF|MED,|MED|IST|BHX|EWR|UVF|
UVF|MHD,|MHD|IST|BHX|EWR|UVF|
UVF|MLA,|MLA|IST|BHX|EWR|UVF|
UVF|MRS,|MRS|IST|BHX|EWR|UVF|
UVF|MSQ,|MSQ|IST|BHX|EWR|UVF|
UVF|MXP,|MXP|EWR|UVF|
UVF|MZH,|MZH|IST|BHX|EWR|UVF|
UVF|MZR,|MZR|IST|BHX|EWR|UVF|
UVF|NAJ,|NAJ|IST|BHX|EWR|UVF|
UVF|NAV,|NAV|IST|BHX|EWR|UVF|
UVF|NCE,|NCE|IST|BHX|EWR|UVF|
UVF|NIM,|NIM|IST|BHX|EWR|UVF|
UVF|NJF,|NJF|IST|BHX|EWR|UVF|
UVF|NSI,|NSI|BRU|EWR|UVF|
UVF|NUE,|NUE|IST|BHX|EWR|UVF|
UVF|ODS,|ODS|IST|BHX|EWR|UVF|
UVF|ORN,|ORN|IST|BHX|EWR|UVF|
UVF|OTP,|OTP|IST|BHX|EWR|UVF|
UVF|PRG,|PRG|BRU|EWR|UVF|
UVF|PRN,|PRN|IST|BHX|EWR|UVF|
UVF|RIX,|RIX|IST|BHX|EWR|UVF|
UVF|ROV,|ROV|IST|BHX|EWR|UVF|
UVF|RTM,|RTM|IST|BHX|EWR|UVF|
UVF|RUH,|RUH|IST|BHX|EWR|UVF|
UVF|SAH,|SAH|IST|BHX|EWR|UVF|
UVF|SJJ,|SJJ|IST|BHX|EWR|UVF|
UVF|SKG,|SKG|IST|BHX|EWR|UVF|
UVF|SKP,|SKP|IST|BHX|EWR|UVF|
UVF|SSH,|SSH|IST|BHX|EWR|UVF|
UVF|STR,|STR|EWR|UVF|
UVF|SVX,|SVX|IST|BHX|EWR|UVF|
UVF|SYZ,|SYZ|IST|BHX|EWR|UVF|
UVF|SZG,|SZG|IST|BHX|EWR|UVF|
UVF|TBZ,|TBZ|IST|BHX|EWR|UVF|
UVF|TGD,|TGD|IST|BHX|EWR|UVF|
UVF|TIA,|TIA|IST|BHX|EWR|UVF|
UVF|TIF,|TIF|IST|BHX|EWR|UVF|
UVF|TIP,|TIP|IST|BHX|EWR|UVF|
UVF|TLL,|TLL|VNO|CPH|AMS|EWR|UVF|
UVF|TLS,|TLS|IST|BHX|EWR|UVF|
UVF|TRN,|TRN|IST|BHX|EWR|UVF|
UVF|TUN,|TUN|IST|BHX|EWR|UVF|
