DSM|YIW,|YIW|PEK|ORD|DSM|
DSM|YNT,|YNT|SHE|ICN|YVR|DEN|DSM|
DSM|YNZ,|YNZ|DLC|ICN|YVR|DEN|DSM|
DSM|YTY,|YTY|DLC|ICN|YVR|DEN|DSM|
DSM|ZHA,|ZHA|CAN|PEK|ORD|DSM|
DSM|ZYI,|ZYI|PEK|ORD|DSM|
DSM|BAV,|BAV|CGO|PEK|ORD|DSM|
DSM|CJU,|CJU|DLC|ICN|YVR|DEN|DSM|
DSM|DSN,|DSN|CGO|PEK|ORD|DSM|
DSM|HMI,|HMI|CGO|PEK|ORD|DSM|
DSM|INC,|INC|PEK|ORD|DSM|
DSM|KHH,|KHH|CGO|PEK|ORD|DSM|
DSM|UYN,|UYN|CGO|PEK|ORD|DSM|
DSM|XNN,|XNN|PEK|ORD|DSM|
DSM|ZUH,|ZUH|PVG|YVR|DEN|DSM|
DSM|YNJ,|YNJ|ICN|YVR|DEN|DSM|
DSM|DAT,|DAT|CIH|PEK|ORD|DSM|
DSM|JHG,|JHG|CKG|PEK|ORD|DSM|
DSM|LJG,|LJG|CKG|PEK|ORD|DSM|
DSM|LXA,|LXA|XIY|PEK|ORD|DSM|
DSM|YCU,|YCU|CSX|PEK|ORD|DSM|
DSM|LZO,|LZO|CSX|PEK|ORD|DSM|
DSM|MDG,|MDG|ICN|YVR|DEN|DSM|
DSM|NGO,|NGO|ICN|YVR|DEN|DSM|
DSM|TOY,|TOY|DLC|ICN|YVR|DEN|DSM|
DSM|MFM,|MFM|XMN|PEK|ORD|DSM|
DSM|TGO,|TGO|HET|DLC|ICN|YVR|DEN|DSM|
DSM|XIL,|XIL|HET|DLC|ICN|YVR|DEN|DSM|
DSM|HEK,|HEK|HRB|ICN|YVR|DEN|DSM|
DSM|KIJ,|KIJ|HRB|ICN|YVR|DEN|DSM|
DSM|LDS,|LDS|HRB|ICN|YVR|DEN|DSM|
DSM|OHE,|OHE|HRB|ICN|YVR|DEN|DSM|
DSM|HSN,|HSN|PEK|ORD|DSM|
DSM|DLU,|DLU|KMG|PEK|ORD|DSM|
DSM|SYM,|SYM|KMG|PEK|ORD|DSM|
DSM|ZAT,|ZAT|KMG|PEK|ORD|DSM|
DSM|LUN,|LUN|NBO|ZRH|ORD|DSM|
DSM|AOG,|AOG|PEK|ORD|DSM|
DSM|GMP,|GMP|PEK|ORD|DSM|
DSM|ISB,|ISB|IST|ORD|DSM|
DSM|TAS,|TAS|IST|ORD|DSM|
DSM|WUS,|WUS|PEK|ORD|DSM|
DSM|JMU,|JMU|PVG|YVR|DEN|DSM|
DSM|NDG,|NDG|PVG|YVR|DEN|DSM|
DSM|JXA,|JXA|SHE|ICN|YVR|DEN|DSM|
DSM|PUS,|PUS|SHE|ICN|YVR|DEN|DSM|
DSM|BKI,|BKI|SZX|PVG|YVR|DEN|DSM|
DSM|AKU,|AKU|URC|TSE|FRA|ORD|DSM|
DSM|ALA,|ALA|TSE|FRA|ORD|DSM|
DSM|ASB,|ASB|GYD|FRA|ORD|DSM|
DSM|DNH,|DNH|XIY|PEK|ORD|DSM|
DSM|DYU,|DYU|IST|ORD|DSM|
DSM|FRU,|FRU|IST|ORD|DSM|
DSM|GYD,|GYD|FRA|ORD|DSM|
DSM|HTN,|HTN|URC|TSE|FRA|ORD|DSM|
DSM|IKA,|IKA|SAW|VIE|ORD|DSM|
DSM|KCA,|KCA|URC|TSE|FRA|ORD|DSM|
DSM|KHG,|KHG|URC|TSE|FRA|ORD|DSM|
DSM|KRL,|KRL|URC|TSE|FRA|ORD|DSM|
DSM|KRY,|KRY|URC|TSE|FRA|ORD|DSM|
DSM|LBD,|LBD|URC|TSE|FRA|ORD|DSM|
DSM|NLT,|NLT|URC|TSE|FRA|ORD|DSM|
DSM|OSS,|OSS|IST|ORD|DSM|
DSM|OVB,|OVB|IST|ORD|DSM|
DSM|TBS,|TBS|SAW|VIE|ORD|DSM|
DSM|TCG,|TCG|URC|TSE|FRA|ORD|DSM|
DSM|TSE,|TSE|FRA|ORD|DSM|
DSM|YIN,|YIN|URC|TSE|FRA|ORD|DSM|
DSM|ENH,|ENH|WUH|PEK|ORD|DSM|
DSM|ENY,|ENY|XIY|PEK|ORD|DSM|
DSM|WXN,|WXN|XIY|PEK|ORD|DSM|
DSM|BLL,|BLL|IST|ORD|DSM|
DSM|ESB,|ESB|VIE|ORD|DSM|
DSM|SAW,|SAW|VIE|ORD|DSM|
DSM|HAM,|HAM|EWR|DSM|
DSM|HRE,|HRE|ADD|IST|ORD|DSM|
DSM|JUB,|JUB|CAI|IST|ORD|DSM|
DSM|SSG,|SSG|DLA|BRU|ORD|DSM|
DSM|BGW,|BGW|ESB|VIE|ORD|DSM|
DSM|EBL,|EBL|IST|ORD|DSM|
DSM|VKO,|VKO|IST|ORD|DSM|
DSM|MCT,|MCT|IST|ORD|DSM|
DSM|AYT,|AYT|IST|ORD|DSM|
DSM|SCQ,|SCQ|BIO|IST|ORD|DSM|
DSM|AAL,|AAL|IST|ORD|DSM|
DSM|AOE,|AOE|BRU|ORD|DSM|
DSM|JNB,|JNB|DKR|IAD|MDW|DSM|
DSM|LBV,|LBV|DLA|BRU|ORD|DSM|
DSM|ADA,|ADA|IST|ORD|DSM|
DSM|ADB,|ADB|IST|ORD|DSM|
DSM|ADF,|ADF|ESB|VIE|ORD|DSM|
DSM|AJI,|AJI|ESB|VIE|ORD|DSM|
DSM|BAL,|BAL|ESB|VIE|ORD|DSM|
DSM|BJV,|BJV|IST|ORD|DSM|
DSM|CKZ,|CKZ|ESB|VIE|ORD|DSM|
DSM|DIY,|DIY|ESB|VIE|ORD|DSM|
