AJI|FRU,|FRU|IST|AJI|
AJI|GYD,|GYD|IST|AJI|
AJI|HTN,|HTN|URC|TBS|SAW|ESB|AJI|
AJI|IKA,|IKA|SAW|ESB|AJI|
AJI|KCA,|KCA|URC|TBS|SAW|ESB|AJI|
AJI|KHG,|KHG|URC|TBS|SAW|ESB|AJI|
AJI|KRL,|KRL|URC|TBS|SAW|ESB|AJI|
AJI|KRY,|KRY|URC|TBS|SAW|ESB|AJI|
AJI|LBD,|LBD|URC|TBS|SAW|ESB|AJI|
AJI|NLT,|NLT|URC|TBS|SAW|ESB|AJI|
AJI|OSS,|OSS|IST|AJI|
AJI|OVB,|OVB|IST|AJI|
AJI|TBS,|TBS|SAW|ESB|AJI|
AJI|TCG,|TCG|URC|TBS|SAW|ESB|AJI|
AJI|TSE,|TSE|IST|AJI|
AJI|YIN,|YIN|URC|TBS|SAW|ESB|AJI|
AJI|ENH,|ENH|WUH|URC|TBS|SAW|ESB|AJI|
AJI|ENY,|ENY|XIY|URC|TBS|SAW|ESB|AJI|
AJI|WXN,|WXN|XIY|URC|TBS|SAW|ESB|AJI|
AJI|BLL,|BLL|IST|AJI|
AJI|ESB,|ESB|AJI|
AJI|SAW,|SAW|ESB|AJI|
AJI|HAM,|HAM|IST|AJI|
AJI|HRE,|HRE|ADD|IST|AJI|
AJI|JUB,|JUB|CAI|IST|AJI|
AJI|SSG,|SSG|DLA|IST|AJI|
AJI|BGW,|BGW|ESB|AJI|
AJI|EBL,|EBL|AYT|ESB|AJI|
AJI|VKO,|VKO|ESB|AJI|
AJI|MCT,|MCT|BAH|KWI|SAW|ESB|AJI|
AJI|AYT,|AYT|ESB|AJI|
AJI|SCQ,|SCQ|BIO|IST|AJI|
AJI|AAL,|AAL|IST|AJI|
AJI|AOE,|AOE|BRU|IST|AJI|
AJI|JNB,|JNB|IST|AJI|
AJI|LBV,|LBV|DLA|IST|AJI|
AJI|ADA,|ADA|ESB|AJI|
AJI|ADB,|ADB|ESB|AJI|
AJI|ADF,|ADF|ESB|AJI|
AJI|BAL,|BAL|ESB|AJI|
AJI|BJV,|BJV|ESB|AJI|
AJI|CKZ,|CKZ|ESB|AJI|
AJI|DIY,|DIY|ESB|AJI|
AJI|ECN,|ECN|ESB|AJI|
AJI|ERC,|ERC|ESB|AJI|
AJI|ERZ,|ERZ|ESB|AJI|
AJI|EZS,|EZS|ESB|AJI|
AJI|GNY,|GNY|ESB|AJI|
AJI|GZP,|GZP|ESB|AJI|
AJI|GZT,|GZT|ESB|AJI|
AJI|HTY,|HTY|ESB|AJI|
AJI|KCM,|KCM|ESB|AJI|
AJI|KSY,|KSY|ESB|AJI|
AJI|MLX,|MLX|ESB|AJI|
AJI|MQM,|MQM|ESB|AJI|
AJI|MSR,|MSR|ESB|AJI|
AJI|TEQ,|TEQ|ESB|AJI|
AJI|TZX,|TZX|ESB|AJI|
AJI|VAN,|VAN|ESB|AJI|
AJI|ULN,|ULN|FRU|IST|AJI|
AJI|HIJ,|HIJ|ICN|IST|AJI|
AJI|VVO,|VVO|ICN|IST|AJI|
AJI|ACC,|ACC|IST|AJI|
AJI|AER,|AER|IST|AJI|
AJI|AGP,|AGP|IST|AJI|
AJI|ALG,|ALG|IST|AJI|
AJI|AMM,|AMM|IST|AJI|
AJI|AQJ,|AQJ|IST|AJI|
AJI|ARN,|ARN|IST|AJI|
AJI|ASR,|ASR|SAW|ESB|AJI|
AJI|ATH,|ATH|IST|AJI|
AJI|BAH,|BAH|KWI|SAW|ESB|AJI|
AJI|BEG,|BEG|IST|AJI|
AJI|BEN,|BEN|IST|AJI|
AJI|BEY,|BEY|IST|AJI|
AJI|BHX,|BHX|IST|AJI|
AJI|BIO,|BIO|IST|AJI|
AJI|BLQ,|BLQ|IST|AJI|
AJI|BOM,|BOM|IST|AJI|
AJI|BRE,|BRE|IST|AJI|
AJI|BSL,|BSL|IST|AJI|
AJI|BSR,|BSR|IST|AJI|
AJI|BUD,|BUD|IST|AJI|
AJI|BUS,|BUS|IST|AJI|
AJI|CAI,|CAI|IST|AJI|
AJI|CGN,|CGN|IST|AJI|
AJI|CMN,|CMN|IST|AJI|
AJI|CND,|CND|IST|AJI|
AJI|DAR,|DAR|IST|AJI|
AJI|DLM,|DLM|IST|AJI|
AJI|DMM,|DMM|IST|AJI|
AJI|DNK,|DNK|IST|AJI|
AJI|DNZ,|DNZ|IST|AJI|
AJI|DOK,|DOK|IST|AJI|
AJI|DUS,|DUS|IST|AJI|
AJI|EDI,|EDI|IST|AJI|
AJI|ELQ,|ELQ|IST|AJI|
AJI|FDH,|FDH|IST|AJI|
AJI|GOA,|GOA|IST|AJI|
AJI|GOT,|GOT|IST|AJI|
AJI|HAJ,|HAJ|IST|AJI|
AJI|HBE,|HBE|IST|AJI|
AJI|HEL,|HEL|IST|AJI|
AJI|HRG,|HRG|IST|AJI|
AJI|IFN,|IFN|IST|AJI|
AJI|ISE,|ISE|IST|AJI|
AJI|ISU,|ISU|IST|AJI|
AJI|JIB,|JIB|IST|AJI|
AJI|JRO,|JRO|IST|AJI|
AJI|KAN,|KAN|IST|AJI|
AJI|KBL,|KBL|IST|AJI|
AJI|KBP,|KBP|SAW|ESB|AJI|
AJI|KFS,|KFS|IST|AJI|
AJI|KHI,|KHI|IST|AJI|
AJI|KIV,|KIV|IST|AJI|
AJI|KRT,|KRT|IST|AJI|
AJI|KSH,|KSH|IST|AJI|
AJI|KVD,|KVD|IST|AJI|
AJI|KWI,|KWI|SAW|ESB|AJI|
AJI|KYA,|KYA|SAW|ESB|AJI|
AJI|KZN,|KZN|IST|AJI|
AJI|KZR,|KZR|IST|AJI|
AJI|LED,|LED|IST|AJI|
AJI|LEJ,|LEJ|IST|AJI|
AJI|LGW,|LGW|IST|AJI|
AJI|LHE,|LHE|IST|AJI|
AJI|LIS,|LIS|IST|AJI|
AJI|LJU,|LJU|IST|AJI|
AJI|LOS,|LOS|IST|AJI|
AJI|LUX,|LUX|IST|AJI|
AJI|LWO,|LWO|IST|AJI|
AJI|LYS,|LYS|IST|AJI|
AJI|MAD,|MAD|IST|AJI|
AJI|MAN,|MAN|IST|AJI|
AJI|MED,|MED|IST|AJI|
AJI|MHD,|MHD|IST|AJI|
AJI|MLA,|MLA|IST|AJI|
AJI|MRS,|MRS|IST|AJI|
AJI|MSQ,|MSQ|IST|AJI|
AJI|MXP,|MXP|IST|AJI|
AJI|MZH,|MZH|IST|AJI|
AJI|MZR,|MZR|IST|AJI|
AJI|NAJ,|NAJ|IST|AJI|
AJI|NAV,|NAV|IST|AJI|
AJI|NCE,|NCE|IST|AJI|
AJI|NIM,|NIM|IST|AJI|
AJI|NJF,|NJF|IST|AJI|
AJI|NSI,|NSI|IST|AJI|
AJI|NUE,|NUE|IST|AJI|
AJI|ODS,|ODS|IST|AJI|
AJI|ORN,|ORN|IST|AJI|
AJI|OTP,|OTP|IST|AJI|
AJI|PRG,|PRG|IST|AJI|
AJI|PRN,|PRN|IST|AJI|
AJI|RIX,|RIX|IST|AJI|
AJI|ROV,|ROV|IST|AJI|
AJI|RTM,|RTM|IST|AJI|
AJI|RUH,|RUH|IST|AJI|
AJI|SAH,|SAH|IST|AJI|
AJI|SJJ,|SJJ|IST|AJI|
AJI|SKG,|SKG|IST|AJI|
AJI|SKP,|SKP|IST|AJI|
AJI|SSH,|SSH|IST|AJI|
AJI|STR,|STR|IST|AJI|
AJI|SVX,|SVX|IST|AJI|
AJI|SYZ,|SYZ|IST|AJI|
AJI|SZG,|SZG|IST|AJI|
AJI|TBZ,|TBZ|IST|AJI|
AJI|TGD,|TGD|IST|AJI|
AJI|TIA,|TIA|IST|AJI|
AJI|TIF,|TIF|IST|AJI|
AJI|TIP,|TIP|IST|AJI|
AJI|TLL,|TLL|IST|AJI|
AJI|TLS,|TLS|IST|AJI|
AJI|TRN,|TRN|IST|AJI|
AJI|TUN,|TUN|IST|AJI|
AJI|TXL,|TXL|IST|AJI|
AJI|UFA,|UFA|IST|AJI|
AJI|VAS,|VAS|SAW|ESB|AJI|
AJI|VCE,|VCE|IST|AJI|
AJI|YNB,|YNB|IST|AJI|
AJI|ZAG,|ZAG|IST|AJI|
