YXJ|DIY,|DIY|ESB|FRA|YYC|YXJ|
YXJ|ECN,|ECN|IST|FRA|YYC|YXJ|
YXJ|ERC,|ERC|ESB|FRA|YYC|YXJ|
YXJ|ERZ,|ERZ|ESB|FRA|YYC|YXJ|
YXJ|EZS,|EZS|ESB|FRA|YYC|YXJ|
YXJ|GNY,|GNY|ESB|FRA|YYC|YXJ|
YXJ|GZP,|GZP|ESB|FRA|YYC|YXJ|
YXJ|GZT,|GZT|ESB|FRA|YYC|YXJ|
YXJ|HTY,|HTY|SAW|FRA|YYC|YXJ|
YXJ|KCM,|KCM|ESB|FRA|YYC|YXJ|
YXJ|KSY,|KSY|ESB|FRA|YYC|YXJ|
YXJ|MLX,|MLX|ESB|FRA|YYC|YXJ|
YXJ|MQM,|MQM|ESB|FRA|YYC|YXJ|
YXJ|MSR,|MSR|ESB|FRA|YYC|YXJ|
YXJ|TEQ,|TEQ|ESB|FRA|YYC|YXJ|
YXJ|TZX,|TZX|ESB|FRA|YYC|YXJ|
YXJ|VAN,|VAN|ESB|FRA|YYC|YXJ|
YXJ|ULN,|ULN|FRU|URC|PEK|YVR|YXJ|
YXJ|HIJ,|HIJ|ICN|YVR|YXJ|
YXJ|VVO,|VVO|ICN|YVR|YXJ|
YXJ|ACC,|ACC|IST|FRA|YYC|YXJ|
YXJ|AER,|AER|IST|FRA|YYC|YXJ|
YXJ|AGP,|AGP|IST|FRA|YYC|YXJ|
YXJ|ALG,|ALG|IST|FRA|YYC|YXJ|
YXJ|AMM,|AMM|IST|FRA|YYC|YXJ|
YXJ|AQJ,|AQJ|IST|FRA|YYC|YXJ|
YXJ|ARN,|ARN|EWR|YYC|YXJ|
YXJ|ASR,|ASR|SAW|FRA|YYC|YXJ|
YXJ|ATH,|ATH|IST|FRA|YYC|YXJ|
YXJ|BAH,|BAH|IST|FRA|YYC|YXJ|
YXJ|BEG,|BEG|IST|FRA|YYC|YXJ|
YXJ|BEN,|BEN|IST|FRA|YYC|YXJ|
YXJ|BEY,|BEY|IST|FRA|YYC|YXJ|
YXJ|BHX,|BHX|EWR|YYC|YXJ|
YXJ|BIO,|BIO|IST|FRA|YYC|YXJ|
YXJ|BLQ,|BLQ|IST|FRA|YYC|YXJ|
YXJ|BOM,|BOM|IST|FRA|YYC|YXJ|
YXJ|BRE,|BRE|IST|FRA|YYC|YXJ|
YXJ|BSL,|BSL|IST|FRA|YYC|YXJ|
YXJ|BSR,|BSR|IST|FRA|YYC|YXJ|
YXJ|BUD,|BUD|IST|FRA|YYC|YXJ|
YXJ|BUS,|BUS|IST|FRA|YYC|YXJ|
YXJ|CAI,|CAI|IST|FRA|YYC|YXJ|
YXJ|CGN,|CGN|IST|FRA|YYC|YXJ|
YXJ|CMN,|CMN|IST|FRA|YYC|YXJ|
YXJ|CND,|CND|IST|FRA|YYC|YXJ|
YXJ|DAR,|DAR|IST|FRA|YYC|YXJ|
YXJ|DLM,|DLM|IST|FRA|YYC|YXJ|
YXJ|DMM,|DMM|IST|FRA|YYC|YXJ|
YXJ|DNK,|DNK|IST|FRA|YYC|YXJ|
YXJ|DNZ,|DNZ|IST|FRA|YYC|YXJ|
YXJ|DOK,|DOK|IST|FRA|YYC|YXJ|
YXJ|DUS,|DUS|ORD|YYC|YXJ|
YXJ|EDI,|EDI|EWR|YYC|YXJ|
YXJ|ELQ,|ELQ|IST|FRA|YYC|YXJ|
YXJ|FDH,|FDH|IST|FRA|YYC|YXJ|
YXJ|GOA,|GOA|IST|FRA|YYC|YXJ|
YXJ|GOT,|GOT|BRU|YUL|YYC|YXJ|
YXJ|HAJ,|HAJ|BRU|YUL|YYC|YXJ|
YXJ|HBE,|HBE|IST|FRA|YYC|YXJ|
YXJ|HEL,|HEL|IST|FRA|YYC|YXJ|
YXJ|HRG,|HRG|IST|FRA|YYC|YXJ|
YXJ|IFN,|IFN|IST|FRA|YYC|YXJ|
YXJ|ISE,|ISE|IST|FRA|YYC|YXJ|
YXJ|ISU,|ISU|IST|FRA|YYC|YXJ|
YXJ|JIB,|JIB|IST|FRA|YYC|YXJ|
YXJ|JRO,|JRO|IST|FRA|YYC|YXJ|
YXJ|KAN,|KAN|IST|FRA|YYC|YXJ|
YXJ|KBL,|KBL|IST|FRA|YYC|YXJ|
YXJ|KBP,|KBP|IST|FRA|YYC|YXJ|
YXJ|KFS,|KFS|IST|FRA|YYC|YXJ|
YXJ|KHI,|KHI|IST|FRA|YYC|YXJ|
YXJ|KIV,|KIV|IST|FRA|YYC|YXJ|
YXJ|KRT,|KRT|IST|FRA|YYC|YXJ|
YXJ|KSH,|KSH|IST|FRA|YYC|YXJ|
YXJ|KVD,|KVD|IST|FRA|YYC|YXJ|
YXJ|KWI,|KWI|SAW|FRA|YYC|YXJ|
YXJ|KYA,|KYA|IST|FRA|YYC|YXJ|
YXJ|KZN,|KZN|IST|FRA|YYC|YXJ|
YXJ|KZR,|KZR|IST|FRA|YYC|YXJ|
YXJ|LED,|LED|VIE|YYZ|YYC|YXJ|
YXJ|LEJ,|LEJ|IST|FRA|YYC|YXJ|
YXJ|LGW,|LGW|IST|FRA|YYC|YXJ|
YXJ|LHE,|LHE|IST|FRA|YYC|YXJ|
YXJ|LIS,|LIS|EWR|YYC|YXJ|
YXJ|LJU,|LJU|IST|FRA|YYC|YXJ|
YXJ|LOS,|LOS|FRA|YYC|YXJ|
YXJ|LUX,|LUX|IST|FRA|YYC|YXJ|
YXJ|LWO,|LWO|IST|FRA|YYC|YXJ|
YXJ|LYS,|LYS|IST|FRA|YYC|YXJ|
YXJ|MAD,|MAD|EWR|YYC|YXJ|
YXJ|MAN,|MAN|EWR|YYC|YXJ|
YXJ|MED,|MED|IST|FRA|YYC|YXJ|
YXJ|MHD,|MHD|IST|FRA|YYC|YXJ|
YXJ|MLA,|MLA|IST|FRA|YYC|YXJ|
YXJ|MRS,|MRS|IST|FRA|YYC|YXJ|
YXJ|MSQ,|MSQ|IST|FRA|YYC|YXJ|
YXJ|MXP,|MXP|EWR|YYC|YXJ|
