BSR|MSR,|MSR|IST|BSR|
BSR|TEQ,|TEQ|ESB|IST|BSR|
BSR|TZX,|TZX|IST|BSR|
BSR|VAN,|VAN|IST|BSR|
BSR|ULN,|ULN|FRU|IST|BSR|
BSR|HIJ,|HIJ|ICN|IST|BSR|
BSR|VVO,|VVO|ICN|IST|BSR|
BSR|ACC,|ACC|IST|BSR|
BSR|AER,|AER|IST|BSR|
BSR|AGP,|AGP|IST|BSR|
BSR|ALG,|ALG|IST|BSR|
BSR|AMM,|AMM|IST|BSR|
BSR|AQJ,|AQJ|IST|BSR|
BSR|ARN,|ARN|IST|BSR|
BSR|ASR,|ASR|IST|BSR|
BSR|ATH,|ATH|IST|BSR|
BSR|BAH,|BAH|IST|BSR|
BSR|BEG,|BEG|IST|BSR|
BSR|BEN,|BEN|IST|BSR|
BSR|BEY,|BEY|IST|BSR|
BSR|BHX,|BHX|IST|BSR|
BSR|BIO,|BIO|IST|BSR|
BSR|BLQ,|BLQ|IST|BSR|
BSR|BOM,|BOM|IST|BSR|
BSR|BRE,|BRE|IST|BSR|
BSR|BSL,|BSL|IST|BSR|
BSR|BUD,|BUD|IST|BSR|
BSR|BUS,|BUS|IST|BSR|
BSR|CAI,|CAI|IST|BSR|
BSR|CGN,|CGN|IST|BSR|
BSR|CMN,|CMN|IST|BSR|
BSR|CND,|CND|IST|BSR|
BSR|DAR,|DAR|IST|BSR|
BSR|DLM,|DLM|IST|BSR|
BSR|DMM,|DMM|IST|BSR|
BSR|DNK,|DNK|IST|BSR|
BSR|DNZ,|DNZ|IST|BSR|
BSR|DOK,|DOK|IST|BSR|
BSR|DUS,|DUS|IST|BSR|
BSR|EDI,|EDI|IST|BSR|
BSR|ELQ,|ELQ|IST|BSR|
BSR|FDH,|FDH|IST|BSR|
BSR|GOA,|GOA|IST|BSR|
BSR|GOT,|GOT|IST|BSR|
BSR|HAJ,|HAJ|IST|BSR|
BSR|HBE,|HBE|IST|BSR|
BSR|HEL,|HEL|IST|BSR|
BSR|HRG,|HRG|IST|BSR|
BSR|IFN,|IFN|IST|BSR|
BSR|ISE,|ISE|IST|BSR|
BSR|ISU,|ISU|IST|BSR|
BSR|JIB,|JIB|IST|BSR|
BSR|JRO,|JRO|IST|BSR|
BSR|KAN,|KAN|IST|BSR|
BSR|KBL,|KBL|IST|BSR|
BSR|KBP,|KBP|IST|BSR|
BSR|KFS,|KFS|IST|BSR|
BSR|KHI,|KHI|IST|BSR|
BSR|KIV,|KIV|IST|BSR|
BSR|KRT,|KRT|IST|BSR|
BSR|KSH,|KSH|IST|BSR|
BSR|KVD,|KVD|IST|BSR|
BSR|KWI,|KWI|IST|BSR|
BSR|KYA,|KYA|IST|BSR|
BSR|KZN,|KZN|IST|BSR|
BSR|KZR,|KZR|IST|BSR|
BSR|LED,|LED|IST|BSR|
BSR|LEJ,|LEJ|IST|BSR|
BSR|LGW,|LGW|IST|BSR|
BSR|LHE,|LHE|IST|BSR|
BSR|LIS,|LIS|IST|BSR|
BSR|LJU,|LJU|IST|BSR|
BSR|LOS,|LOS|IST|BSR|
BSR|LUX,|LUX|IST|BSR|
BSR|LWO,|LWO|IST|BSR|
BSR|LYS,|LYS|IST|BSR|
BSR|MAD,|MAD|IST|BSR|
BSR|MAN,|MAN|IST|BSR|
BSR|MED,|MED|IST|BSR|
BSR|MHD,|MHD|IST|BSR|
BSR|MLA,|MLA|IST|BSR|
BSR|MRS,|MRS|IST|BSR|
BSR|MSQ,|MSQ|IST|BSR|
BSR|MXP,|MXP|IST|BSR|
BSR|MZH,|MZH|IST|BSR|
BSR|MZR,|MZR|IST|BSR|
BSR|NAJ,|NAJ|IST|BSR|
BSR|NAV,|NAV|IST|BSR|
BSR|NCE,|NCE|IST|BSR|
BSR|NIM,|NIM|IST|BSR|
BSR|NJF,|NJF|IST|BSR|
BSR|NSI,|NSI|IST|BSR|
BSR|NUE,|NUE|IST|BSR|
BSR|ODS,|ODS|IST|BSR|
BSR|ORN,|ORN|IST|BSR|
BSR|OTP,|OTP|IST|BSR|
BSR|PRG,|PRG|IST|BSR|
BSR|PRN,|PRN|IST|BSR|
BSR|RIX,|RIX|IST|BSR|
BSR|ROV,|ROV|IST|BSR|
BSR|RTM,|RTM|IST|BSR|
BSR|RUH,|RUH|IST|BSR|
BSR|SAH,|SAH|IST|BSR|
BSR|SJJ,|SJJ|IST|BSR|
BSR|SKG,|SKG|IST|BSR|
BSR|SKP,|SKP|IST|BSR|
BSR|SSH,|SSH|IST|BSR|
BSR|STR,|STR|IST|BSR|
BSR|SVX,|SVX|IST|BSR|
BSR|SYZ,|SYZ|IST|BSR|
BSR|SZG,|SZG|IST|BSR|
BSR|TBZ,|TBZ|IST|BSR|
BSR|TGD,|TGD|IST|BSR|
BSR|TIA,|TIA|IST|BSR|
BSR|TIF,|TIF|IST|BSR|
BSR|TIP,|TIP|IST|BSR|
BSR|TLL,|TLL|IST|BSR|
BSR|TLS,|TLS|IST|BSR|
BSR|TRN,|TRN|IST|BSR|
BSR|TUN,|TUN|IST|BSR|
BSR|TXL,|TXL|IST|BSR|
BSR|UFA,|UFA|IST|BSR|
BSR|VAS,|VAS|IST|BSR|
BSR|VCE,|VCE|IST|BSR|
BSR|YNB,|YNB|IST|BSR|
BSR|ZAG,|ZAG|IST|BSR|
BSR|MGQ,|MGQ|JIB|IST|BSR|
BSR|CPT,|CPT|JNB|IST|BSR|
BSR|MBA,|MBA|JRO|IST|BSR|
BSR|NDJ,|NDJ|KAN|IST|BSR|
BSR|CMB,|CMB|MLE|IST|BSR|
BSR|ADE,|ADE|SAH|IST|BSR|
BSR|ASF,|ASF|SAW|ADB|IST|BSR|
BSR|STW,|STW|SAW|ADB|IST|BSR|
