PDX|TOY,|TOY|DLC|ICN|SEA|PDX|
PDX|MFM,|MFM|HGH|DLC|ICN|SEA|PDX|
PDX|TGO,|TGO|HET|DLC|ICN|SEA|PDX|
PDX|XIL,|XIL|HET|DLC|ICN|SEA|PDX|
PDX|HEK,|HEK|HRB|ICN|SEA|PDX|
PDX|KIJ,|KIJ|HRB|ICN|SEA|PDX|
PDX|LDS,|LDS|HRB|ICN|SEA|PDX|
PDX|OHE,|OHE|HRB|ICN|SEA|PDX|
PDX|HSN,|HSN|PEK|SEA|PDX|
PDX|DLU,|DLU|KMG|PEK|SEA|PDX|
PDX|SYM,|SYM|KMG|PEK|SEA|PDX|
PDX|ZAT,|ZAT|KMG|PEK|SEA|PDX|
PDX|LUN,|LUN|NBO|IST|FRA|SEA|PDX|
PDX|AOG,|AOG|PEK|SEA|PDX|
PDX|GMP,|GMP|PEK|SEA|PDX|
PDX|ISB,|ISB|PEK|SEA|PDX|
PDX|TAS,|TAS|PEK|SEA|PDX|
PDX|WUS,|WUS|PEK|SEA|PDX|
PDX|JMU,|JMU|PVG|ICN|SEA|PDX|
PDX|NDG,|NDG|PVG|ICN|SEA|PDX|
PDX|JXA,|JXA|SHE|ICN|SEA|PDX|
PDX|PUS,|PUS|SHE|ICN|SEA|PDX|
PDX|BKI,|BKI|SZX|PVG|ICN|SEA|PDX|
PDX|AKU,|AKU|URC|PEK|SEA|PDX|
PDX|ALA,|ALA|URC|PEK|SEA|PDX|
PDX|ASB,|ASB|GYD|FRA|SEA|PDX|
PDX|DNH,|DNH|XIY|PEK|SEA|PDX|
PDX|DYU,|DYU|URC|PEK|SEA|PDX|
PDX|FRU,|FRU|URC|PEK|SEA|PDX|
PDX|GYD,|GYD|FRA|SEA|PDX|
PDX|HTN,|HTN|URC|PEK|SEA|PDX|
PDX|IKA,|IKA|SAW|FRA|SEA|PDX|
PDX|KCA,|KCA|URC|PEK|SEA|PDX|
PDX|KHG,|KHG|URC|PEK|SEA|PDX|
PDX|KRL,|KRL|URC|PEK|SEA|PDX|
PDX|KRY,|KRY|URC|PEK|SEA|PDX|
PDX|LBD,|LBD|URC|PEK|SEA|PDX|
PDX|NLT,|NLT|URC|PEK|SEA|PDX|
PDX|OSS,|OSS|URC|PEK|SEA|PDX|
PDX|OVB,|OVB|URC|PEK|SEA|PDX|
PDX|TBS,|TBS|SAW|FRA|SEA|PDX|
PDX|TCG,|TCG|URC|PEK|SEA|PDX|
PDX|TSE,|TSE|FRA|SEA|PDX|
PDX|YIN,|YIN|URC|PEK|SEA|PDX|
PDX|ENH,|ENH|WUH|ICN|SEA|PDX|
PDX|ENY,|ENY|XIY|PEK|SEA|PDX|
PDX|WXN,|WXN|XIY|PEK|SEA|PDX|
