PHX|KCA,|KCA|URC|PEK|SEA|PHX|
PHX|KHG,|KHG|URC|PEK|SEA|PHX|
PHX|KRL,|KRL|URC|PEK|SEA|PHX|
PHX|KRY,|KRY|URC|PEK|SEA|PHX|
PHX|LBD,|LBD|URC|PEK|SEA|PHX|
PHX|NLT,|NLT|URC|PEK|SEA|PHX|
PHX|OSS,|OSS|URC|PEK|SEA|PHX|
PHX|OVB,|OVB|URC|PEK|SEA|PHX|
PHX|TBS,|TBS|SAW|FRA|DEN|PHX|
PHX|TCG,|TCG|URC|PEK|SEA|PHX|
PHX|TSE,|TSE|FRA|DEN|PHX|
PHX|YIN,|YIN|URC|PEK|SEA|PHX|
PHX|ENH,|ENH|WUH|ICN|SFO|PHX|
PHX|ENY,|ENY|XIY|PEK|SEA|PHX|
PHX|WXN,|WXN|XIY|PEK|SEA|PHX|
PHX|BLL,|BLL|IST|FRA|DEN|PHX|
PHX|ESB,|ESB|FRA|DEN|PHX|
PHX|SAW,|SAW|FRA|DEN|PHX|
PHX|HAM,|HAM|EWR|PHX|
PHX|HRE,|HRE|ADD|JED|FRA|DEN|PHX|
PHX|JUB,|JUB|CAI|IST|FRA|DEN|PHX|
PHX|SSG,|SSG|DLA|BRU|ORD|PHX|
PHX|BGW,|BGW|ESB|FRA|DEN|PHX|
PHX|EBL,|EBL|IST|FRA|DEN|PHX|
PHX|VKO,|VKO|IST|FRA|DEN|PHX|
PHX|MCT,|MCT|IST|FRA|DEN|PHX|
PHX|AYT,|AYT|IST|FRA|DEN|PHX|
PHX|SCQ,|SCQ|BIO|IST|FRA|DEN|PHX|
PHX|AAL,|AAL|IST|FRA|DEN|PHX|
PHX|AOE,|AOE|BRU|ORD|PHX|
PHX|JNB,|JNB|DKR|IAD|PHX|
PHX|LBV,|LBV|DLA|BRU|ORD|PHX|
PHX|ADA,|ADA|SAW|FRA|DEN|PHX|
PHX|ADB,|ADB|IST|FRA|DEN|PHX|
PHX|ADF,|ADF|ESB|FRA|DEN|PHX|
PHX|AJI,|AJI|ESB|FRA|DEN|PHX|
PHX|BAL,|BAL|ESB|FRA|DEN|PHX|
PHX|BJV,|BJV|IST|FRA|DEN|PHX|
PHX|CKZ,|CKZ|ESB|FRA|DEN|PHX|
PHX|DIY,|DIY|ESB|FRA|DEN|PHX|
PHX|ECN,|ECN|IST|FRA|DEN|PHX|
PHX|ERC,|ERC|ESB|FRA|DEN|PHX|
PHX|ERZ,|ERZ|ESB|FRA|DEN|PHX|
PHX|EZS,|EZS|ESB|FRA|DEN|PHX|
PHX|GNY,|GNY|ESB|FRA|DEN|PHX|
PHX|GZP,|GZP|ESB|FRA|DEN|PHX|
PHX|GZT,|GZT|ESB|FRA|DEN|PHX|
PHX|HTY,|HTY|SAW|FRA|DEN|PHX|
PHX|KCM,|KCM|ESB|FRA|DEN|PHX|
PHX|KSY,|KSY|ESB|FRA|DEN|PHX|
PHX|MLX,|MLX|ESB|FRA|DEN|PHX|
PHX|MQM,|MQM|ESB|FRA|DEN|PHX|
PHX|MSR,|MSR|ESB|FRA|DEN|PHX|
PHX|TEQ,|TEQ|ESB|FRA|DEN|PHX|
PHX|TZX,|TZX|ESB|FRA|DEN|PHX|
PHX|VAN,|VAN|ESB|FRA|DEN|PHX|
PHX|ULN,|ULN|FRU|URC|PEK|SEA|PHX|
PHX|HIJ,|HIJ|ICN|SFO|PHX|
PHX|VVO,|VVO|ICN|SFO|PHX|
PHX|ACC,|ACC|IST|FRA|DEN|PHX|
PHX|AER,|AER|IST|FRA|DEN|PHX|
PHX|AGP,|AGP|IST|FRA|DEN|PHX|
PHX|ALG,|ALG|IST|FRA|DEN|PHX|
PHX|AMM,|AMM|IST|FRA|DEN|PHX|
PHX|AQJ,|AQJ|IST|FRA|DEN|PHX|
PHX|ARN,|ARN|EWR|PHX|
PHX|ASR,|ASR|SAW|FRA|DEN|PHX|
PHX|ATH,|ATH|IST|FRA|DEN|PHX|
PHX|BAH,|BAH|IST|FRA|DEN|PHX|
PHX|BEG,|BEG|IST|FRA|DEN|PHX|
PHX|BEN,|BEN|IST|FRA|DEN|PHX|
PHX|BEY,|BEY|IST|FRA|DEN|PHX|
PHX|BHX,|BHX|EWR|PHX|
PHX|BIO,|BIO|IST|FRA|DEN|PHX|
PHX|BLQ,|BLQ|IST|FRA|DEN|PHX|
PHX|BOM,|BOM|IST|FRA|DEN|PHX|
PHX|BRE,|BRE|IST|FRA|DEN|PHX|
PHX|BSL,|BSL|IST|FRA|DEN|PHX|
PHX|BSR,|BSR|IST|FRA|DEN|PHX|
PHX|BUD,|BUD|IST|FRA|DEN|PHX|
PHX|BUS,|BUS|IST|FRA|DEN|PHX|
PHX|CAI,|CAI|IST|FRA|DEN|PHX|
PHX|CGN,|CGN|IST|FRA|DEN|PHX|
PHX|CMN,|CMN|IST|FRA|DEN|PHX|
PHX|CND,|CND|IST|FRA|DEN|PHX|
PHX|DAR,|DAR|NBO|ZRH|ORD|PHX|
PHX|DLM,|DLM|IST|FRA|DEN|PHX|
PHX|DMM,|DMM|IST|FRA|DEN|PHX|
PHX|DNK,|DNK|IST|FRA|DEN|PHX|
PHX|DNZ,|DNZ|IST|FRA|DEN|PHX|
PHX|DOK,|DOK|IST|FRA|DEN|PHX|
PHX|DUS,|DUS|ORD|PHX|
PHX|EDI,|EDI|EWR|PHX|
PHX|ELQ,|ELQ|IST|FRA|DEN|PHX|
PHX|FDH,|FDH|IST|FRA|DEN|PHX|
PHX|GOA,|GOA|IST|FRA|DEN|PHX|
PHX|GOT,|GOT|BRU|ORD|PHX|
PHX|HAJ,|HAJ|BRU|ORD|PHX|
PHX|HBE,|HBE|IST|FRA|DEN|PHX|
PHX|HEL,|HEL|IST|FRA|DEN|PHX|
PHX|HRG,|HRG|IST|FRA|DEN|PHX|
PHX|IFN,|IFN|IST|FRA|DEN|PHX|
PHX|ISE,|ISE|IST|FRA|DEN|PHX|
PHX|ISU,|ISU|IST|FRA|DEN|PHX|
PHX|JIB,|JIB|IST|FRA|DEN|PHX|
PHX|JRO,|JRO|IST|FRA|DEN|PHX|
PHX|KAN,|KAN|IST|FRA|DEN|PHX|
PHX|KBL,|KBL|IST|FRA|DEN|PHX|
PHX|KBP,|KBP|IST|FRA|DEN|PHX|
PHX|KFS,|KFS|IST|FRA|DEN|PHX|
PHX|KHI,|KHI|IST|FRA|DEN|PHX|
PHX|KIV,|KIV|IST|FRA|DEN|PHX|
PHX|KRT,|KRT|IST|FRA|DEN|PHX|
PHX|KSH,|KSH|IST|FRA|DEN|PHX|
PHX|KVD,|KVD|IST|FRA|DEN|PHX|
PHX|KWI,|KWI|SAW|FRA|DEN|PHX|
PHX|KYA,|KYA|IST|FRA|DEN|PHX|
PHX|KZN,|KZN|IST|FRA|DEN|PHX|
PHX|KZR,|KZR|IST|FRA|DEN|PHX|
PHX|LED,|LED|VIE|ORD|PHX|
PHX|LEJ,|LEJ|IST|FRA|DEN|PHX|
PHX|LGW,|LGW|IST|FRA|DEN|PHX|
PHX|LHE,|LHE|IST|FRA|DEN|PHX|
PHX|LIS,|LIS|EWR|PHX|
PHX|LJU,|LJU|IST|FRA|DEN|PHX|
PHX|LOS,|LOS|IAH|PHX|
PHX|LUX,|LUX|IST|FRA|DEN|PHX|
PHX|LWO,|LWO|IST|FRA|DEN|PHX|
PHX|LYS,|LYS|IST|FRA|DEN|PHX|
PHX|MAD,|MAD|EWR|PHX|
PHX|MAN,|MAN|EWR|PHX|
PHX|MED,|MED|IST|FRA|DEN|PHX|
PHX|MHD,|MHD|IST|FRA|DEN|PHX|
PHX|MLA,|MLA|IST|FRA|DEN|PHX|
PHX|MRS,|MRS|IST|FRA|DEN|PHX|
PHX|MSQ,|MSQ|IST|FRA|DEN|PHX|
PHX|MXP,|MXP|EWR|PHX|
PHX|MZH,|MZH|IST|FRA|DEN|PHX|
PHX|MZR,|MZR|IST|FRA|DEN|PHX|
PHX|NAJ,|NAJ|IST|FRA|DEN|PHX|
PHX|NAV,|NAV|IST|FRA|DEN|PHX|
PHX|NCE,|NCE|IST|FRA|DEN|PHX|
PHX|NIM,|NIM|IST|FRA|DEN|PHX|
PHX|NJF,|NJF|IST|FRA|DEN|PHX|
PHX|NSI,|NSI|BRU|ORD|PHX|
PHX|NUE,|NUE|IST|FRA|DEN|PHX|
PHX|ODS,|ODS|IST|FRA|DEN|PHX|
