BRE|WNZ,|WNZ|XIY|URC|IST|BRE|
BRE|WUX,|WUX|CAN|IST|BRE|
BRE|XFN,|XFN|CAN|IST|BRE|
BRE|XIY,|XIY|URC|IST|BRE|
BRE|XUZ,|XUZ|INC|URC|IST|BRE|
BRE|YIH,|YIH|CKG|URC|IST|BRE|
BRE|YIW,|YIW|URC|IST|BRE|
BRE|YNT,|YNT|SHE|PEK|IST|BRE|
BRE|YNZ,|YNZ|WUH|URC|IST|BRE|
BRE|YTY,|YTY|CGO|URC|IST|BRE|
BRE|ZHA,|ZHA|CAN|IST|BRE|
BRE|ZYI,|ZYI|CAN|IST|BRE|
BRE|BAV,|BAV|URC|IST|BRE|
BRE|CJU,|CJU|DLC|PEK|IST|BRE|
BRE|DSN,|DSN|CGO|URC|IST|BRE|
BRE|HMI,|HMI|URC|IST|BRE|
BRE|INC,|INC|URC|IST|BRE|
BRE|KHH,|KHH|WUH|URC|IST|BRE|
BRE|UYN,|UYN|XIY|URC|IST|BRE|
BRE|XNN,|XNN|URC|IST|BRE|
BRE|ZUH,|ZUH|KWE|URC|IST|BRE|
BRE|YNJ,|YNJ|PEK|IST|BRE|
BRE|DAT,|DAT|TYN|URC|IST|BRE|
BRE|JHG,|JHG|KMG|CTU|URC|IST|BRE|
BRE|LJG,|LJG|KMG|CTU|URC|IST|BRE|
BRE|LXA,|LXA|CKG|URC|IST|BRE|
BRE|YCU,|YCU|CKG|URC|IST|BRE|
BRE|LZO,|LZO|CSX|URC|IST|BRE|
BRE|MDG,|MDG|DLC|PEK|IST|BRE|
BRE|NGO,|NGO|ICN|IST|BRE|
BRE|TOY,|TOY|DLC|PEK|IST|BRE|
BRE|MFM,|MFM|XMN|CSX|URC|IST|BRE|
BRE|TGO,|TGO|HET|URC|IST|BRE|
BRE|XIL,|XIL|HET|URC|IST|BRE|
BRE|HEK,|HEK|HRB|PEK|IST|BRE|
BRE|KIJ,|KIJ|HRB|PEK|IST|BRE|
BRE|LDS,|LDS|HRB|PEK|IST|BRE|
BRE|OHE,|OHE|HRB|PEK|IST|BRE|
BRE|HSN,|HSN|LYG|XUZ|INC|URC|IST|BRE|
BRE|DLU,|DLU|KMG|CTU|URC|IST|BRE|
BRE|SYM,|SYM|KMG|CTU|URC|IST|BRE|
BRE|ZAT,|ZAT|KMG|CTU|URC|IST|BRE|
BRE|LUN,|LUN|NBO|IST|BRE|
BRE|AOG,|AOG|PEK|IST|BRE|
BRE|GMP,|GMP|PEK|IST|BRE|
BRE|ISB,|ISB|IST|BRE|
BRE|TAS,|TAS|IST|BRE|
BRE|WUS,|WUS|PEK|IST|BRE|
BRE|JMU,|JMU|PVG|IST|BRE|
BRE|NDG,|NDG|PVG|IST|BRE|
BRE|JXA,|JXA|SHE|PEK|IST|BRE|
BRE|PUS,|PUS|SHE|PEK|IST|BRE|
BRE|BKI,|BKI|SZX|CKG|URC|IST|BRE|
BRE|AKU,|AKU|URC|IST|BRE|
BRE|ALA,|ALA|IST|BRE|
BRE|ASB,|ASB|IST|BRE|
BRE|DNH,|DNH|URC|IST|BRE|
BRE|DYU,|DYU|IST|BRE|
BRE|FRU,|FRU|IST|BRE|
BRE|GYD,|GYD|IST|BRE|
BRE|HTN,|HTN|URC|IST|BRE|
BRE|IKA,|IKA|IST|BRE|
BRE|KCA,|KCA|URC|IST|BRE|
BRE|KHG,|KHG|URC|IST|BRE|
BRE|KRL,|KRL|URC|IST|BRE|
BRE|KRY,|KRY|URC|IST|BRE|
BRE|LBD,|LBD|URC|IST|BRE|
BRE|NLT,|NLT|URC|IST|BRE|
BRE|OSS,|OSS|IST|BRE|
BRE|OVB,|OVB|IST|BRE|
BRE|TBS,|TBS|IST|BRE|
BRE|TCG,|TCG|URC|IST|BRE|
BRE|TSE,|TSE|IST|BRE|
BRE|YIN,|YIN|URC|IST|BRE|
BRE|ENH,|ENH|WUH|URC|IST|BRE|
BRE|ENY,|ENY|XIY|URC|IST|BRE|
BRE|WXN,|WXN|XIY|URC|IST|BRE|
