BGM|BGW,|BGW|ESB|VIE|IAD|BGM|
BGM|EBL,|EBL|IST|IAD|BGM|
BGM|VKO,|VKO|IST|IAD|BGM|
BGM|MCT,|MCT|IST|IAD|BGM|
BGM|AYT,|AYT|IST|IAD|BGM|
BGM|SCQ,|SCQ|BIO|IST|IAD|BGM|
BGM|AAL,|AAL|IST|IAD|BGM|
BGM|AOE,|AOE|BRU|IAD|BGM|
BGM|JNB,|JNB|DKR|IAD|BGM|
BGM|LBV,|LBV|DLA|BRU|IAD|BGM|
BGM|ADA,|ADA|SAW|FRA|IAD|BGM|
BGM|ADB,|ADB|HAM|EWR|IAD|BGM|
BGM|ADF,|ADF|ESB|VIE|IAD|BGM|
BGM|AJI,|AJI|ESB|VIE|IAD|BGM|
BGM|BAL,|BAL|ESB|VIE|IAD|BGM|
BGM|BJV,|BJV|IST|IAD|BGM|
BGM|CKZ,|CKZ|ESB|VIE|IAD|BGM|
BGM|DIY,|DIY|ESB|VIE|IAD|BGM|
BGM|ECN,|ECN|IST|IAD|BGM|
BGM|ERC,|ERC|ESB|VIE|IAD|BGM|
BGM|ERZ,|ERZ|ESB|VIE|IAD|BGM|
BGM|EZS,|EZS|ESB|VIE|IAD|BGM|
BGM|GNY,|GNY|ESB|VIE|IAD|BGM|
BGM|GZP,|GZP|ESB|VIE|IAD|BGM|
BGM|GZT,|GZT|ESB|VIE|IAD|BGM|
BGM|HTY,|HTY|SAW|FRA|IAD|BGM|
BGM|KCM,|KCM|ESB|VIE|IAD|BGM|
BGM|KSY,|KSY|ESB|VIE|IAD|BGM|
BGM|MLX,|MLX|ESB|VIE|IAD|BGM|
BGM|MQM,|MQM|ESB|VIE|IAD|BGM|
BGM|MSR,|MSR|ESB|VIE|IAD|BGM|
BGM|TEQ,|TEQ|ESB|VIE|IAD|BGM|
BGM|TZX,|TZX|ESB|VIE|IAD|BGM|
BGM|VAN,|VAN|ESB|VIE|IAD|BGM|
BGM|ULN,|ULN|FRU|IST|IAD|BGM|
BGM|HIJ,|HIJ|ICN|JFK|IAD|BGM|
BGM|VVO,|VVO|ICN|JFK|IAD|BGM|
BGM|ACC,|ACC|IST|IAD|BGM|
BGM|AER,|AER|IST|IAD|BGM|
BGM|AGP,|AGP|IST|IAD|BGM|
BGM|ALG,|ALG|IST|IAD|BGM|
BGM|AMM,|AMM|IST|IAD|BGM|
BGM|AQJ,|AQJ|IST|IAD|BGM|
BGM|ARN,|ARN|EWR|IAD|BGM|
BGM|ASR,|ASR|SAW|FRA|IAD|BGM|
BGM|ATH,|ATH|IST|IAD|BGM|
BGM|BAH,|BAH|KWI|IAD|BGM|
BGM|BEG,|BEG|IST|IAD|BGM|
BGM|BEN,|BEN|IST|IAD|BGM|
BGM|BEY,|BEY|IST|IAD|BGM|
BGM|BHX,|BHX|EWR|IAD|BGM|
BGM|BIO,|BIO|IST|IAD|BGM|
BGM|BLQ,|BLQ|IST|IAD|BGM|
BGM|BOM,|BOM|EWR|IAD|BGM|
