CMX|XIY,|XIY|PEK|ORD|CMX|
CMX|XUZ,|XUZ|LYG|HSN|PEK|ORD|CMX|
CMX|YIH,|YIH|CKG|PEK|ORD|CMX|
CMX|YIW,|YIW|PEK|ORD|CMX|
CMX|YNT,|YNT|SHE|PEK|ORD|CMX|
CMX|YNZ,|YNZ|DLC|PEK|ORD|CMX|
CMX|YTY,|YTY|DLC|PEK|ORD|CMX|
CMX|ZHA,|ZHA|CAN|PEK|ORD|CMX|
CMX|ZYI,|ZYI|PEK|ORD|CMX|
CMX|BAV,|BAV|CGO|PEK|ORD|CMX|
CMX|CJU,|CJU|DLC|PEK|ORD|CMX|
CMX|DSN,|DSN|CGO|PEK|ORD|CMX|
CMX|HMI,|HMI|CGO|PEK|ORD|CMX|
CMX|INC,|INC|PEK|ORD|CMX|
CMX|KHH,|KHH|CGO|PEK|ORD|CMX|
CMX|UYN,|UYN|CGO|PEK|ORD|CMX|
CMX|XNN,|XNN|PEK|ORD|CMX|
CMX|ZUH,|ZUH|PEK|ORD|CMX|
CMX|YNJ,|YNJ|PEK|ORD|CMX|
CMX|DAT,|DAT|CIH|PEK|ORD|CMX|
CMX|JHG,|JHG|CKG|PEK|ORD|CMX|
CMX|LJG,|LJG|CKG|PEK|ORD|CMX|
CMX|LXA,|LXA|XIY|PEK|ORD|CMX|
CMX|YCU,|YCU|CSX|PEK|ORD|CMX|
CMX|LZO,|LZO|CSX|PEK|ORD|CMX|
CMX|MDG,|MDG|ICN|YVR|ORD|CMX|
CMX|NGO,|NGO|ICN|YVR|ORD|CMX|
CMX|TOY,|TOY|DLC|PEK|ORD|CMX|
CMX|MFM,|MFM|XMN|PEK|ORD|CMX|
CMX|TGO,|TGO|HET|DLC|PEK|ORD|CMX|
CMX|XIL,|XIL|HET|DLC|PEK|ORD|CMX|
CMX|HEK,|HEK|HRB|PEK|ORD|CMX|
CMX|KIJ,|KIJ|HRB|PEK|ORD|CMX|
CMX|LDS,|LDS|HRB|PEK|ORD|CMX|
CMX|OHE,|OHE|HRB|PEK|ORD|CMX|
CMX|HSN,|HSN|PEK|ORD|CMX|
CMX|DLU,|DLU|KMG|PEK|ORD|CMX|
CMX|SYM,|SYM|KMG|PEK|ORD|CMX|
CMX|ZAT,|ZAT|KMG|PEK|ORD|CMX|
CMX|LUN,|LUN|NBO|ZRH|ORD|CMX|
CMX|AOG,|AOG|PEK|ORD|CMX|
CMX|GMP,|GMP|PEK|ORD|CMX|
CMX|ISB,|ISB|IST|ORD|CMX|
CMX|TAS,|TAS|IST|ORD|CMX|
CMX|WUS,|WUS|PEK|ORD|CMX|
CMX|JMU,|JMU|PVG|ORD|CMX|
CMX|NDG,|NDG|PVG|ORD|CMX|
CMX|JXA,|JXA|SHE|PEK|ORD|CMX|
CMX|PUS,|PUS|SHE|PEK|ORD|CMX|
CMX|BKI,|BKI|SZX|PEK|ORD|CMX|
CMX|AKU,|AKU|URC|TSE|FRA|ORD|CMX|
CMX|ALA,|ALA|TSE|FRA|ORD|CMX|
CMX|ASB,|ASB|GYD|FRA|ORD|CMX|
CMX|DNH,|DNH|XIY|PEK|ORD|CMX|
CMX|DYU,|DYU|IST|ORD|CMX|
CMX|FRU,|FRU|IST|ORD|CMX|
CMX|GYD,|GYD|FRA|ORD|CMX|
CMX|HTN,|HTN|URC|TSE|FRA|ORD|CMX|
CMX|IKA,|IKA|SAW|VIE|ORD|CMX|
CMX|KCA,|KCA|URC|TSE|FRA|ORD|CMX|
CMX|KHG,|KHG|URC|TSE|FRA|ORD|CMX|
CMX|KRL,|KRL|URC|TSE|FRA|ORD|CMX|
CMX|KRY,|KRY|URC|TSE|FRA|ORD|CMX|
CMX|LBD,|LBD|URC|TSE|FRA|ORD|CMX|
CMX|NLT,|NLT|URC|TSE|FRA|ORD|CMX|
CMX|OSS,|OSS|IST|ORD|CMX|
CMX|OVB,|OVB|IST|ORD|CMX|
CMX|TBS,|TBS|SAW|VIE|ORD|CMX|
CMX|TCG,|TCG|URC|TSE|FRA|ORD|CMX|
CMX|TSE,|TSE|FRA|ORD|CMX|
CMX|YIN,|YIN|URC|TSE|FRA|ORD|CMX|
CMX|ENH,|ENH|WUH|PEK|ORD|CMX|
CMX|ENY,|ENY|XIY|PEK|ORD|CMX|
CMX|WXN,|WXN|XIY|PEK|ORD|CMX|
CMX|BLL,|BLL|IST|ORD|CMX|
CMX|ESB,|ESB|VIE|ORD|CMX|
CMX|SAW,|SAW|VIE|ORD|CMX|
CMX|HAM,|HAM|EWR|ORD|CMX|
CMX|HRE,|HRE|ADD|IST|ORD|CMX|
CMX|JUB,|JUB|CAI|IST|ORD|CMX|
CMX|SSG,|SSG|DLA|BRU|ORD|CMX|
CMX|BGW,|BGW|ESB|VIE|ORD|CMX|
CMX|EBL,|EBL|IST|ORD|CMX|
CMX|VKO,|VKO|IST|ORD|CMX|
CMX|MCT,|MCT|IST|ORD|CMX|
CMX|AYT,|AYT|IST|ORD|CMX|
CMX|SCQ,|SCQ|BIO|IST|ORD|CMX|
CMX|AAL,|AAL|IST|ORD|CMX|
CMX|AOE,|AOE|BRU|ORD|CMX|
CMX|JNB,|JNB|DKR|IAD|ORD|CMX|
CMX|LBV,|LBV|DLA|BRU|ORD|CMX|
CMX|ADA,|ADA|IST|ORD|CMX|
CMX|ADB,|ADB|IST|ORD|CMX|
CMX|ADF,|ADF|ESB|VIE|ORD|CMX|
CMX|AJI,|AJI|ESB|VIE|ORD|CMX|
CMX|BAL,|BAL|ESB|VIE|ORD|CMX|
CMX|BJV,|BJV|IST|ORD|CMX|
CMX|CKZ,|CKZ|ESB|VIE|ORD|CMX|
CMX|DIY,|DIY|ESB|VIE|ORD|CMX|
CMX|ECN,|ECN|IST|ORD|CMX|
CMX|ERC,|ERC|ESB|VIE|ORD|CMX|
CMX|ERZ,|ERZ|ESB|VIE|ORD|CMX|
CMX|EZS,|EZS|ESB|VIE|ORD|CMX|
CMX|GNY,|GNY|ESB|VIE|ORD|CMX|
CMX|GZP,|GZP|ESB|VIE|ORD|CMX|
CMX|GZT,|GZT|ESB|VIE|ORD|CMX|
CMX|HTY,|HTY|IST|ORD|CMX|
CMX|KCM,|KCM|ESB|VIE|ORD|CMX|
CMX|KSY,|KSY|ESB|VIE|ORD|CMX|
CMX|MLX,|MLX|ESB|VIE|ORD|CMX|
CMX|MQM,|MQM|ESB|VIE|ORD|CMX|
CMX|MSR,|MSR|ESB|VIE|ORD|CMX|
CMX|TEQ,|TEQ|ESB|VIE|ORD|CMX|
CMX|TZX,|TZX|ESB|VIE|ORD|CMX|
CMX|VAN,|VAN|ESB|VIE|ORD|CMX|
CMX|ULN,|ULN|FRU|IST|ORD|CMX|
CMX|HIJ,|HIJ|ICN|YVR|ORD|CMX|
CMX|VVO,|VVO|ICN|YVR|ORD|CMX|
CMX|ACC,|ACC|IST|ORD|CMX|
CMX|AER,|AER|IST|ORD|CMX|
CMX|AGP,|AGP|IST|ORD|CMX|
CMX|ALG,|ALG|IST|ORD|CMX|
CMX|AMM,|AMM|IST|ORD|CMX|
CMX|AQJ,|AQJ|IST|ORD|CMX|
CMX|ARN,|ARN|EWR|ORD|CMX|
CMX|ASR,|ASR|SAW|VIE|ORD|CMX|
CMX|ATH,|ATH|IST|ORD|CMX|
CMX|BAH,|BAH|IST|ORD|CMX|
CMX|BEG,|BEG|IST|ORD|CMX|
CMX|BEN,|BEN|IST|ORD|CMX|
CMX|BEY,|BEY|IST|ORD|CMX|
CMX|BHX,|BHX|EWR|ORD|CMX|
CMX|BIO,|BIO|IST|ORD|CMX|
CMX|BLQ,|BLQ|IST|ORD|CMX|
CMX|BOM,|BOM|IST|ORD|CMX|
CMX|BRE,|BRE|IST|ORD|CMX|
CMX|BSL,|BSL|IST|ORD|CMX|
CMX|BSR,|BSR|IST|ORD|CMX|
CMX|BUD,|BUD|IST|ORD|CMX|
CMX|BUS,|BUS|IST|ORD|CMX|
CMX|CAI,|CAI|IST|ORD|CMX|
CMX|CGN,|CGN|IST|ORD|CMX|
CMX|CMN,|CMN|IST|ORD|CMX|
CMX|CND,|CND|IST|ORD|CMX|
CMX|DAR,|DAR|NBO|ZRH|ORD|CMX|
CMX|DLM,|DLM|IST|ORD|CMX|
CMX|DMM,|DMM|IST|ORD|CMX|
CMX|DNK,|DNK|IST|ORD|CMX|
CMX|DNZ,|DNZ|IST|ORD|CMX|
CMX|DOK,|DOK|IST|ORD|CMX|
CMX|DUS,|DUS|ORD|CMX|
CMX|EDI,|EDI|EWR|ORD|CMX|
CMX|ELQ,|ELQ|IST|ORD|CMX|
CMX|FDH,|FDH|IST|ORD|CMX|
CMX|GOA,|GOA|IST|ORD|CMX|
CMX|GOT,|GOT|BRU|ORD|CMX|
CMX|HAJ,|HAJ|BRU|ORD|CMX|
CMX|HBE,|HBE|IST|ORD|CMX|
CMX|HEL,|HEL|IST|ORD|CMX|
CMX|HRG,|HRG|IST|ORD|CMX|
CMX|IFN,|IFN|IST|ORD|CMX|
CMX|ISE,|ISE|IST|ORD|CMX|
CMX|ISU,|ISU|IST|ORD|CMX|
CMX|JIB,|JIB|IST|ORD|CMX|
CMX|JRO,|JRO|IST|ORD|CMX|
CMX|KAN,|KAN|IST|ORD|CMX|
CMX|KBL,|KBL|IST|ORD|CMX|
CMX|KBP,|KBP|IST|ORD|CMX|
CMX|KFS,|KFS|IST|ORD|CMX|
CMX|KHI,|KHI|IST|ORD|CMX|
CMX|KIV,|KIV|IST|ORD|CMX|
CMX|KRT,|KRT|IST|ORD|CMX|
CMX|KSH,|KSH|IST|ORD|CMX|
CMX|KVD,|KVD|IST|ORD|CMX|
CMX|KWI,|KWI|SAW|VIE|ORD|CMX|
CMX|KYA,|KYA|IST|ORD|CMX|
