MDT|KIX,|KIX|SFO|ORD|MDT|
MDT|KOW,|KOW|PEK|YYZ|MDT|
MDT|KTM,|KTM|IST|IAD|MDT|
MDT|KUL,|KUL|CAN|PEK|YYZ|MDT|
MDT|KWE,|KWE|PEK|YYZ|MDT|
MDT|KWL,|KWL|PEK|YYZ|MDT|
MDT|LHW,|LHW|CGO|PEK|YYZ|MDT|
MDT|LYA,|LYA|KHN|DLC|PEK|YYZ|MDT|
MDT|LYG,|LYG|HSN|PEK|YYZ|MDT|
MDT|LZH,|LZH|CAN|PEK|YYZ|MDT|
MDT|MEL,|MEL|SYD|LAX|ORD|MDT|
MDT|MIG,|MIG|CSX|PEK|YYZ|MDT|
MDT|MLE,|MLE|IST|IAD|MDT|
MDT|MNL,|MNL|XMN|PEK|YYZ|MDT|
MDT|MXZ,|MXZ|CAN|PEK|YYZ|MDT|
MDT|NAO,|NAO|PEK|YYZ|MDT|
MDT|NGB,|NGB|PEK|YYZ|MDT|
MDT|NKG,|NKG|DLC|PEK|YYZ|MDT|
MDT|NNY,|NNY|CGO|PEK|YYZ|MDT|
MDT|PEN,|PEN|CAN|PEK|YYZ|MDT|
MDT|PER,|PER|CAN|PEK|YYZ|MDT|
MDT|PNH,|PNH|CAN|PEK|YYZ|MDT|
MDT|REP,|REP|CAN|PEK|YYZ|MDT|
MDT|RGN,|RGN|CAN|PEK|YYZ|MDT|
MDT|SGN,|SGN|CAN|PEK|YYZ|MDT|
MDT|SHA,|SHA|PEK|YYZ|MDT|
MDT|SIN,|SIN|CAN|PEK|YYZ|MDT|
MDT|SVO,|SVO|URC|TSE|FRA|IAD|MDT|
MDT|SYX,|SYX|PEK|YYZ|MDT|
MDT|TAO,|TAO|DLC|PEK|YYZ|MDT|
MDT|TEN,|TEN|PEK|YYZ|MDT|
MDT|TNA,|TNA|DLC|PEK|YYZ|MDT|
MDT|TPE,|TPE|PVG|YYZ|MDT|
MDT|TSN,|TSN|DLC|PEK|YYZ|MDT|
MDT|TXN,|TXN|DLC|PEK|YYZ|MDT|
MDT|TYN,|TYN|DAT|CIH|PEK|YYZ|MDT|
MDT|WNZ,|WNZ|CGO|PEK|YYZ|MDT|
MDT|WUX,|WUX|CAN|PEK|YYZ|MDT|
MDT|XFN,|XFN|XMN|PEK|YYZ|MDT|
MDT|XIY,|XIY|PEK|YYZ|MDT|
MDT|XUZ,|XUZ|LYG|HSN|PEK|YYZ|MDT|
MDT|YIH,|YIH|CKG|PEK|YYZ|MDT|
MDT|YIW,|YIW|PEK|YYZ|MDT|
MDT|YNT,|YNT|SHE|PEK|YYZ|MDT|
MDT|YNZ,|YNZ|DLC|PEK|YYZ|MDT|
MDT|YTY,|YTY|DLC|PEK|YYZ|MDT|
MDT|ZHA,|ZHA|CAN|PEK|YYZ|MDT|
MDT|ZYI,|ZYI|PEK|YYZ|MDT|
MDT|BAV,|BAV|CGO|PEK|YYZ|MDT|
MDT|CJU,|CJU|DLC|PEK|YYZ|MDT|
MDT|DSN,|DSN|CGO|PEK|YYZ|MDT|
MDT|HMI,|HMI|URC|TSE|FRA|IAD|MDT|
MDT|INC,|INC|PEK|YYZ|MDT|
MDT|KHH,|KHH|CGO|PEK|YYZ|MDT|
MDT|UYN,|UYN|CGO|PEK|YYZ|MDT|
MDT|XNN,|XNN|PEK|YYZ|MDT|
MDT|ZUH,|ZUH|PEK|YYZ|MDT|
MDT|YNJ,|YNJ|PEK|YYZ|MDT|
MDT|DAT,|DAT|CIH|PEK|YYZ|MDT|
MDT|JHG,|JHG|CKG|PEK|YYZ|MDT|
MDT|LJG,|LJG|CKG|PEK|YYZ|MDT|
MDT|LXA,|LXA|XIY|PEK|YYZ|MDT|
MDT|YCU,|YCU|CSX|PEK|YYZ|MDT|
MDT|LZO,|LZO|CSX|PEK|YYZ|MDT|
MDT|MDG,|MDG|DLC|PEK|YYZ|MDT|
MDT|NGO,|NGO|ICN|JFK|IAD|MDT|
MDT|TOY,|TOY|DLC|PEK|YYZ|MDT|
MDT|MFM,|MFM|XMN|PEK|YYZ|MDT|
MDT|TGO,|TGO|HET|DLC|PEK|YYZ|MDT|
MDT|XIL,|XIL|HET|DLC|PEK|YYZ|MDT|
MDT|HEK,|HEK|HRB|PEK|YYZ|MDT|
MDT|KIJ,|KIJ|HRB|PEK|YYZ|MDT|
MDT|LDS,|LDS|HRB|PEK|YYZ|MDT|
MDT|OHE,|OHE|HRB|PEK|YYZ|MDT|
MDT|HSN,|HSN|PEK|YYZ|MDT|
MDT|DLU,|DLU|KMG|PEK|YYZ|MDT|
MDT|SYM,|SYM|KMG|PEK|YYZ|MDT|
MDT|ZAT,|ZAT|KMG|PEK|YYZ|MDT|
MDT|LUN,|LUN|NBO|ZRH|IAD|MDT|
MDT|AOG,|AOG|PEK|YYZ|MDT|
MDT|GMP,|GMP|PEK|YYZ|MDT|
MDT|ISB,|ISB|IST|IAD|MDT|
MDT|TAS,|TAS|IST|IAD|MDT|
MDT|WUS,|WUS|PEK|YYZ|MDT|
MDT|JMU,|JMU|PVG|YYZ|MDT|
MDT|NDG,|NDG|PVG|YYZ|MDT|
MDT|JXA,|JXA|SHE|PEK|YYZ|MDT|
MDT|PUS,|PUS|SHE|PEK|YYZ|MDT|
MDT|BKI,|BKI|SZX|PEK|YYZ|MDT|
MDT|AKU,|AKU|URC|TSE|FRA|IAD|MDT|
MDT|ALA,|ALA|TSE|FRA|IAD|MDT|
MDT|ASB,|ASB|GYD|FRA|IAD|MDT|
MDT|DNH,|DNH|URC|TSE|FRA|IAD|MDT|
MDT|DYU,|DYU|IST|IAD|MDT|
MDT|FRU,|FRU|IST|IAD|MDT|
MDT|GYD,|GYD|FRA|IAD|MDT|
MDT|HTN,|HTN|URC|TSE|FRA|IAD|MDT|
MDT|IKA,|IKA|SAW|FRA|IAD|MDT|
MDT|KCA,|KCA|URC|TSE|FRA|IAD|MDT|
MDT|KHG,|KHG|URC|TSE|FRA|IAD|MDT|
MDT|KRL,|KRL|URC|TSE|FRA|IAD|MDT|
MDT|KRY,|KRY|URC|TSE|FRA|IAD|MDT|
MDT|LBD,|LBD|URC|TSE|FRA|IAD|MDT|
MDT|NLT,|NLT|URC|TSE|FRA|IAD|MDT|
MDT|OSS,|OSS|IST|IAD|MDT|
MDT|OVB,|OVB|IST|IAD|MDT|
MDT|TBS,|TBS|SAW|FRA|IAD|MDT|
MDT|TCG,|TCG|URC|TSE|FRA|IAD|MDT|
MDT|TSE,|TSE|FRA|IAD|MDT|
MDT|YIN,|YIN|URC|TSE|FRA|IAD|MDT|
MDT|ENH,|ENH|WUH|PEK|YYZ|MDT|
MDT|ENY,|ENY|XIY|PEK|YYZ|MDT|
MDT|WXN,|WXN|XIY|PEK|YYZ|MDT|
MDT|BLL,|BLL|IST|IAD|MDT|
MDT|ESB,|ESB|VIE|IAD|MDT|
MDT|SAW,|SAW|FRA|IAD|MDT|
MDT|HAM,|HAM|EWR|IAD|MDT|
MDT|HRE,|HRE|ADD|JED|FRA|IAD|MDT|
MDT|JUB,|JUB|CAI|JFK|IAD|MDT|
MDT|SSG,|SSG|DLA|BRU|IAD|MDT|
MDT|BGW,|BGW|ESB|VIE|IAD|MDT|
MDT|EBL,|EBL|IST|IAD|MDT|
MDT|VKO,|VKO|IST|IAD|MDT|
MDT|MCT,|MCT|IST|IAD|MDT|
MDT|AYT,|AYT|IST|IAD|MDT|
MDT|SCQ,|SCQ|BIO|IST|IAD|MDT|
MDT|AAL,|AAL|IST|IAD|MDT|
MDT|AOE,|AOE|BRU|IAD|MDT|
MDT|JNB,|JNB|DKR|IAD|MDT|
MDT|LBV,|LBV|DLA|BRU|IAD|MDT|
MDT|ADA,|ADA|SAW|FRA|IAD|MDT|
MDT|ADB,|ADB|HAM|EWR|IAD|MDT|
MDT|ADF,|ADF|ESB|VIE|IAD|MDT|
MDT|AJI,|AJI|ESB|VIE|IAD|MDT|
MDT|BAL,|BAL|ESB|VIE|IAD|MDT|
MDT|BJV,|BJV|IST|IAD|MDT|
MDT|CKZ,|CKZ|ESB|VIE|IAD|MDT|
MDT|DIY,|DIY|ESB|VIE|IAD|MDT|
MDT|ECN,|ECN|IST|IAD|MDT|
MDT|ERC,|ERC|ESB|VIE|IAD|MDT|
MDT|ERZ,|ERZ|ESB|VIE|IAD|MDT|
MDT|EZS,|EZS|ESB|VIE|IAD|MDT|
MDT|GNY,|GNY|ESB|VIE|IAD|MDT|
MDT|GZP,|GZP|ESB|VIE|IAD|MDT|
MDT|GZT,|GZT|ESB|VIE|IAD|MDT|
MDT|HTY,|HTY|SAW|FRA|IAD|MDT|
MDT|KCM,|KCM|ESB|VIE|IAD|MDT|
MDT|KSY,|KSY|ESB|VIE|IAD|MDT|
MDT|MLX,|MLX|ESB|VIE|IAD|MDT|
MDT|MQM,|MQM|ESB|VIE|IAD|MDT|
MDT|MSR,|MSR|ESB|VIE|IAD|MDT|
MDT|TEQ,|TEQ|ESB|VIE|IAD|MDT|
MDT|TZX,|TZX|ESB|VIE|IAD|MDT|
MDT|VAN,|VAN|ESB|VIE|IAD|MDT|
MDT|ULN,|ULN|FRU|IST|IAD|MDT|
MDT|HIJ,|HIJ|ICN|JFK|IAD|MDT|
MDT|VVO,|VVO|ICN|JFK|IAD|MDT|
MDT|ACC,|ACC|IST|IAD|MDT|
MDT|AER,|AER|IST|IAD|MDT|
MDT|AGP,|AGP|IST|IAD|MDT|
MDT|ALG,|ALG|IST|IAD|MDT|
MDT|AMM,|AMM|IST|IAD|MDT|
MDT|AQJ,|AQJ|IST|IAD|MDT|
MDT|ARN,|ARN|EWR|IAD|MDT|
MDT|ASR,|ASR|SAW|FRA|IAD|MDT|
MDT|ATH,|ATH|IST|IAD|MDT|
MDT|BAH,|BAH|KWI|IAD|MDT|
MDT|BEG,|BEG|IST|IAD|MDT|
MDT|BEN,|BEN|IST|IAD|MDT|
MDT|BEY,|BEY|IST|IAD|MDT|
MDT|BHX,|BHX|EWR|IAD|MDT|
MDT|BIO,|BIO|IST|IAD|MDT|
MDT|BLQ,|BLQ|IST|IAD|MDT|
MDT|BOM,|BOM|EWR|IAD|MDT|
MDT|BRE,|BRE|IST|IAD|MDT|
MDT|BSL,|BSL|IST|IAD|MDT|
MDT|BSR,|BSR|IST|IAD|MDT|
MDT|BUD,|BUD|IST|IAD|MDT|
MDT|BUS,|BUS|IST|IAD|MDT|
MDT|CAI,|CAI|JFK|IAD|MDT|
MDT|CGN,|CGN|IST|IAD|MDT|
MDT|CMN,|CMN|IST|IAD|MDT|
MDT|CND,|CND|IST|IAD|MDT|
MDT|DAR,|DAR|NBO|ZRH|IAD|MDT|
MDT|DLM,|DLM|IST|IAD|MDT|
MDT|DMM,|DMM|IST|IAD|MDT|
MDT|DNK,|DNK|IST|IAD|MDT|
MDT|DNZ,|DNZ|IST|IAD|MDT|
MDT|DOK,|DOK|IST|IAD|MDT|
MDT|DUS,|DUS|EWR|IAD|MDT|
MDT|EDI,|EDI|EWR|IAD|MDT|
MDT|ELQ,|ELQ|IST|IAD|MDT|
MDT|FDH,|FDH|IST|IAD|MDT|
MDT|GOA,|GOA|IST|IAD|MDT|
MDT|GOT,|GOT|BRU|IAD|MDT|
MDT|HAJ,|HAJ|BRU|IAD|MDT|
MDT|HBE,|HBE|IST|IAD|MDT|
MDT|HEL,|HEL|IST|IAD|MDT|
MDT|HRG,|HRG|IST|IAD|MDT|
MDT|IFN,|IFN|IST|IAD|MDT|
MDT|ISE,|ISE|IST|IAD|MDT|
MDT|ISU,|ISU|IST|IAD|MDT|
MDT|JIB,|JIB|IST|IAD|MDT|
MDT|JRO,|JRO|IST|IAD|MDT|
MDT|KAN,|KAN|IST|IAD|MDT|
MDT|KBL,|KBL|IST|IAD|MDT|
MDT|KBP,|KBP|IST|IAD|MDT|
MDT|KFS,|KFS|IST|IAD|MDT|
MDT|KHI,|KHI|IST|IAD|MDT|
MDT|KIV,|KIV|IST|IAD|MDT|
MDT|KRT,|KRT|IST|IAD|MDT|
MDT|KSH,|KSH|IST|IAD|MDT|
