BKI|AJI,|AJI|ESB|SAW|TBS|URC|CKG|SZX|BKI|
BKI|BAL,|BAL|ESB|SAW|TBS|URC|CKG|SZX|BKI|
BKI|BJV,|BJV|IST|URC|CKG|SZX|BKI|
BKI|CKZ,|CKZ|ESB|SAW|TBS|URC|CKG|SZX|BKI|
BKI|DIY,|DIY|SAW|TBS|URC|CKG|SZX|BKI|
BKI|ECN,|ECN|SAW|TBS|URC|CKG|SZX|BKI|
BKI|ERC,|ERC|ESB|SAW|TBS|URC|CKG|SZX|BKI|
BKI|ERZ,|ERZ|SAW|TBS|URC|CKG|SZX|BKI|
BKI|EZS,|EZS|SAW|TBS|URC|CKG|SZX|BKI|
BKI|GNY,|GNY|ESB|SAW|TBS|URC|CKG|SZX|BKI|
BKI|GZP,|GZP|ESB|SAW|TBS|URC|CKG|SZX|BKI|
BKI|GZT,|GZT|SAW|TBS|URC|CKG|SZX|BKI|
BKI|HTY,|HTY|SAW|TBS|URC|CKG|SZX|BKI|
BKI|KCM,|KCM|ESB|SAW|TBS|URC|CKG|SZX|BKI|
BKI|KSY,|KSY|SAW|TBS|URC|CKG|SZX|BKI|
BKI|MLX,|MLX|ESB|SAW|TBS|URC|CKG|SZX|BKI|
BKI|MQM,|MQM|SAW|TBS|URC|CKG|SZX|BKI|
BKI|MSR,|MSR|ESB|SAW|TBS|URC|CKG|SZX|BKI|
BKI|TEQ,|TEQ|ESB|SAW|TBS|URC|CKG|SZX|BKI|
BKI|TZX,|TZX|SAW|TBS|URC|CKG|SZX|BKI|
BKI|VAN,|VAN|SAW|TBS|URC|CKG|SZX|BKI|
BKI|ULN,|ULN|FRU|URC|CKG|SZX|BKI|
BKI|HIJ,|HIJ|ICN|PVG|SZX|BKI|
BKI|VVO,|VVO|ICN|PVG|SZX|BKI|
BKI|ACC,|ACC|IST|URC|CKG|SZX|BKI|
BKI|AER,|AER|IST|URC|CKG|SZX|BKI|
BKI|AGP,|AGP|IST|URC|CKG|SZX|BKI|
BKI|ALG,|ALG|IST|URC|CKG|SZX|BKI|
BKI|AMM,|AMM|IST|URC|CKG|SZX|BKI|
BKI|AQJ,|AQJ|IST|URC|CKG|SZX|BKI|
BKI|ARN,|ARN|IST|URC|CKG|SZX|BKI|
BKI|ASR,|ASR|SAW|TBS|URC|CKG|SZX|BKI|
BKI|ATH,|ATH|IST|URC|CKG|SZX|BKI|
BKI|BAH,|BAH|KWI|SAW|TBS|URC|CKG|SZX|BKI|
BKI|BEG,|BEG|IST|URC|CKG|SZX|BKI|
BKI|BEN,|BEN|IST|URC|CKG|SZX|BKI|
BKI|BEY,|BEY|IST|URC|CKG|SZX|BKI|
BKI|BHX,|BHX|IST|URC|CKG|SZX|BKI|
BKI|BIO,|BIO|IST|URC|CKG|SZX|BKI|
BKI|BLQ,|BLQ|IST|URC|CKG|SZX|BKI|
BKI|BOM,|BOM|IST|URC|CKG|SZX|BKI|
BKI|BRE,|BRE|IST|URC|CKG|SZX|BKI|
BKI|BSL,|BSL|IST|URC|CKG|SZX|BKI|
BKI|BSR,|BSR|IST|URC|CKG|SZX|BKI|
BKI|BUD,|BUD|IST|URC|CKG|SZX|BKI|
BKI|BUS,|BUS|IST|URC|CKG|SZX|BKI|
BKI|CAI,|CAI|IST|URC|CKG|SZX|BKI|
BKI|CGN,|CGN|IST|URC|CKG|SZX|BKI|
BKI|CMN,|CMN|IST|URC|CKG|SZX|BKI|
BKI|CND,|CND|IST|URC|CKG|SZX|BKI|
BKI|DAR,|DAR|NBO|BKK|NNG|SZX|BKI|
BKI|DLM,|DLM|IST|URC|CKG|SZX|BKI|
BKI|DMM,|DMM|IST|URC|CKG|SZX|BKI|
BKI|DNK,|DNK|IST|URC|CKG|SZX|BKI|
BKI|DNZ,|DNZ|IST|URC|CKG|SZX|BKI|
BKI|DOK,|DOK|IST|URC|CKG|SZX|BKI|
BKI|DUS,|DUS|IST|URC|CKG|SZX|BKI|
BKI|EDI,|EDI|IST|URC|CKG|SZX|BKI|
BKI|ELQ,|ELQ|IST|URC|CKG|SZX|BKI|
BKI|FDH,|FDH|IST|URC|CKG|SZX|BKI|
BKI|GOA,|GOA|IST|URC|CKG|SZX|BKI|
BKI|GOT,|GOT|IST|URC|CKG|SZX|BKI|
BKI|HAJ,|HAJ|IST|URC|CKG|SZX|BKI|
BKI|HBE,|HBE|IST|URC|CKG|SZX|BKI|
BKI|HEL,|HEL|IST|URC|CKG|SZX|BKI|
BKI|HRG,|HRG|IST|URC|CKG|SZX|BKI|
BKI|IFN,|IFN|IST|URC|CKG|SZX|BKI|
BKI|ISE,|ISE|IST|URC|CKG|SZX|BKI|
BKI|ISU,|ISU|IST|URC|CKG|SZX|BKI|
BKI|JIB,|JIB|IST|URC|CKG|SZX|BKI|
BKI|JRO,|JRO|IST|URC|CKG|SZX|BKI|
BKI|KAN,|KAN|IST|URC|CKG|SZX|BKI|
BKI|KBL,|KBL|IST|URC|CKG|SZX|BKI|
BKI|KBP,|KBP|IST|URC|CKG|SZX|BKI|
BKI|KFS,|KFS|IST|URC|CKG|SZX|BKI|
BKI|KHI,|KHI|IST|URC|CKG|SZX|BKI|
BKI|KIV,|KIV|IST|URC|CKG|SZX|BKI|
BKI|KRT,|KRT|IST|URC|CKG|SZX|BKI|
BKI|KSH,|KSH|IST|URC|CKG|SZX|BKI|
BKI|KVD,|KVD|IST|URC|CKG|SZX|BKI|
BKI|KWI,|KWI|SAW|TBS|URC|CKG|SZX|BKI|
BKI|KYA,|KYA|SAW|TBS|URC|CKG|SZX|BKI|
BKI|KZN,|KZN|IST|URC|CKG|SZX|BKI|
BKI|KZR,|KZR|IST|URC|CKG|SZX|BKI|
