PBI|AJI,|AJI|ESB|FRA|EWR|PBI|
PBI|BAL,|BAL|ESB|FRA|EWR|PBI|
PBI|BJV,|BJV|IST|BHX|EWR|PBI|
PBI|CKZ,|CKZ|ESB|FRA|EWR|PBI|
PBI|DIY,|DIY|ESB|FRA|EWR|PBI|
PBI|ECN,|ECN|IST|BHX|EWR|PBI|
PBI|ERC,|ERC|ESB|FRA|EWR|PBI|
PBI|ERZ,|ERZ|ESB|FRA|EWR|PBI|
PBI|EZS,|EZS|ESB|FRA|EWR|PBI|
PBI|GNY,|GNY|ESB|FRA|EWR|PBI|
PBI|GZP,|GZP|ESB|FRA|EWR|PBI|
PBI|GZT,|GZT|ESB|FRA|EWR|PBI|
PBI|HTY,|HTY|SAW|FRA|EWR|PBI|
PBI|KCM,|KCM|ESB|FRA|EWR|PBI|
PBI|KSY,|KSY|ESB|FRA|EWR|PBI|
PBI|MLX,|MLX|ESB|FRA|EWR|PBI|
PBI|MQM,|MQM|ESB|FRA|EWR|PBI|
PBI|MSR,|MSR|ESB|FRA|EWR|PBI|
PBI|TEQ,|TEQ|ESB|FRA|EWR|PBI|
PBI|TZX,|TZX|ESB|FRA|EWR|PBI|
PBI|VAN,|VAN|ESB|FRA|EWR|PBI|
PBI|ULN,|ULN|FRU|IST|BHX|EWR|PBI|
PBI|HIJ,|HIJ|ICN|YVR|DEN|TPA|PBI|
PBI|VVO,|VVO|ICN|YVR|DEN|TPA|PBI|
PBI|ACC,|ACC|IST|BHX|EWR|PBI|
PBI|AER,|AER|IST|BHX|EWR|PBI|
PBI|AGP,|AGP|IST|BHX|EWR|PBI|
PBI|ALG,|ALG|IST|BHX|EWR|PBI|
PBI|AMM,|AMM|IST|BHX|EWR|PBI|
PBI|AQJ,|AQJ|IST|BHX|EWR|PBI|
PBI|ARN,|ARN|EWR|PBI|
PBI|ASR,|ASR|SAW|FRA|EWR|PBI|
PBI|ATH,|ATH|IST|BHX|EWR|PBI|
PBI|BAH,|BAH|IST|BHX|EWR|PBI|
PBI|BEG,|BEG|IST|BHX|EWR|PBI|
PBI|BEN,|BEN|IST|BHX|EWR|PBI|
PBI|BEY,|BEY|IST|BHX|EWR|PBI|
PBI|BHX,|BHX|EWR|PBI|
PBI|BIO,|BIO|IST|BHX|EWR|PBI|
PBI|BLQ,|BLQ|IST|BHX|EWR|PBI|
PBI|BOM,|BOM|EWR|PBI|
PBI|BRE,|BRE|IST|BHX|EWR|PBI|
PBI|BSL,|BSL|IST|BHX|EWR|PBI|
PBI|BSR,|BSR|IST|BHX|EWR|PBI|
PBI|BUD,|BUD|IST|BHX|EWR|PBI|
PBI|BUS,|BUS|IST|BHX|EWR|PBI|
PBI|CAI,|CAI|IST|BHX|EWR|PBI|
PBI|CGN,|CGN|IST|BHX|EWR|PBI|
PBI|CMN,|CMN|IST|BHX|EWR|PBI|
PBI|CND,|CND|IST|BHX|EWR|PBI|
PBI|DAR,|DAR|NBO|ZRH|EWR|PBI|
PBI|DLM,|DLM|IST|BHX|EWR|PBI|
PBI|DMM,|DMM|IST|BHX|EWR|PBI|
PBI|DNK,|DNK|IST|BHX|EWR|PBI|
PBI|DNZ,|DNZ|IST|BHX|EWR|PBI|
PBI|DOK,|DOK|IST|BHX|EWR|PBI|
PBI|DUS,|DUS|EWR|PBI|
PBI|EDI,|EDI|EWR|PBI|
PBI|ELQ,|ELQ|IST|BHX|EWR|PBI|
PBI|FDH,|FDH|IST|BHX|EWR|PBI|
PBI|GOA,|GOA|IST|BHX|EWR|PBI|
PBI|GOT,|GOT|BRU|EWR|PBI|
PBI|HAJ,|HAJ|BRU|EWR|PBI|
PBI|HBE,|HBE|IST|BHX|EWR|PBI|
PBI|HEL,|HEL|IST|BHX|EWR|PBI|
PBI|HRG,|HRG|IST|BHX|EWR|PBI|
PBI|IFN,|IFN|IST|BHX|EWR|PBI|
PBI|ISE,|ISE|IST|BHX|EWR|PBI|
PBI|ISU,|ISU|IST|BHX|EWR|PBI|
PBI|JIB,|JIB|IST|BHX|EWR|PBI|
PBI|JRO,|JRO|IST|BHX|EWR|PBI|
PBI|KAN,|KAN|IST|BHX|EWR|PBI|
PBI|KBL,|KBL|IST|BHX|EWR|PBI|
PBI|KBP,|KBP|IST|BHX|EWR|PBI|
PBI|KFS,|KFS|IST|BHX|EWR|PBI|
PBI|KHI,|KHI|IST|BHX|EWR|PBI|
PBI|KIV,|KIV|IST|BHX|EWR|PBI|
PBI|KRT,|KRT|IST|BHX|EWR|PBI|
PBI|KSH,|KSH|IST|BHX|EWR|PBI|
PBI|KVD,|KVD|IST|BHX|EWR|PBI|
PBI|KWI,|KWI|SAW|FRA|EWR|PBI|
PBI|KYA,|KYA|IST|BHX|EWR|PBI|
PBI|KZN,|KZN|IST|BHX|EWR|PBI|
PBI|KZR,|KZR|IST|BHX|EWR|PBI|
PBI|LED,|LED|VIE|IAD|TPA|PBI|
PBI|LEJ,|LEJ|IST|BHX|EWR|PBI|
PBI|LGW,|LGW|IST|BHX|EWR|PBI|
PBI|LHE,|LHE|IST|BHX|EWR|PBI|
PBI|LIS,|LIS|EWR|PBI|
PBI|LJU,|LJU|IST|BHX|EWR|PBI|
PBI|LOS,|LOS|IAH|PBI|
PBI|LUX,|LUX|IST|BHX|EWR|PBI|
PBI|LWO,|LWO|IST|BHX|EWR|PBI|
PBI|LYS,|LYS|IST|BHX|EWR|PBI|
PBI|MAD,|MAD|EWR|PBI|
PBI|MAN,|MAN|EWR|PBI|
PBI|MED,|MED|IST|BHX|EWR|PBI|
PBI|MHD,|MHD|IST|BHX|EWR|PBI|
PBI|MLA,|MLA|IST|BHX|EWR|PBI|
PBI|MRS,|MRS|IST|BHX|EWR|PBI|
PBI|MSQ,|MSQ|IST|BHX|EWR|PBI|
PBI|MXP,|MXP|EWR|PBI|
PBI|MZH,|MZH|IST|BHX|EWR|PBI|
PBI|MZR,|MZR|IST|BHX|EWR|PBI|
PBI|NAJ,|NAJ|IST|BHX|EWR|PBI|
PBI|NAV,|NAV|IST|BHX|EWR|PBI|
PBI|NCE,|NCE|IST|BHX|EWR|PBI|
PBI|NIM,|NIM|IST|BHX|EWR|PBI|
PBI|NJF,|NJF|IST|BHX|EWR|PBI|
PBI|NSI,|NSI|BRU|EWR|PBI|
PBI|NUE,|NUE|IST|BHX|EWR|PBI|
