CLD|KWL,|KWL|WUH|ICN|LAX|CLD|
CLD|LHW,|LHW|CGO|PEK|LAX|CLD|
CLD|LYA,|LYA|KHN|DLC|ICN|LAX|CLD|
CLD|LYG,|LYG|HSN|PEK|LAX|CLD|
CLD|LZH,|LZH|CAN|LAX|CLD|
CLD|MEL,|MEL|SYD|LAX|CLD|
CLD|MIG,|MIG|CSX|ICN|LAX|CLD|
CLD|MLE,|MLE|CAN|LAX|CLD|
CLD|MNL,|MNL|GUM|HNL|LAX|CLD|
CLD|MXZ,|MXZ|CAN|LAX|CLD|
CLD|NAO,|NAO|PEK|LAX|CLD|
CLD|NGB,|NGB|DLC|ICN|LAX|CLD|
CLD|NKG,|NKG|DLC|ICN|LAX|CLD|
CLD|NNY,|NNY|CGO|PEK|LAX|CLD|
CLD|PEN,|PEN|CAN|LAX|CLD|
CLD|PER,|PER|CAN|LAX|CLD|
CLD|PNH,|PNH|CAN|LAX|CLD|
CLD|REP,|REP|CAN|LAX|CLD|
CLD|RGN,|RGN|CAN|LAX|CLD|
CLD|SGN,|SGN|HKG|SFO|LAX|CLD|
CLD|SHA,|SHA|PEK|LAX|CLD|
CLD|SIN,|SIN|NRT|LAX|CLD|
CLD|SVO,|SVO|URC|PEK|LAX|CLD|
CLD|SYX,|SYX|PVG|LAX|CLD|
CLD|TAO,|TAO|DLC|ICN|LAX|CLD|
CLD|TEN,|TEN|PEK|LAX|CLD|
CLD|TNA,|TNA|DLC|ICN|LAX|CLD|
CLD|TPE,|TPE|SFO|LAX|CLD|
CLD|TSN,|TSN|DLC|ICN|LAX|CLD|
CLD|TXN,|TXN|DLC|ICN|LAX|CLD|
CLD|TYN,|TYN|DLC|ICN|LAX|CLD|
CLD|WNZ,|WNZ|WUH|ICN|LAX|CLD|
CLD|WUX,|WUX|CAN|LAX|CLD|
CLD|XFN,|XFN|CAN|LAX|CLD|
CLD|XIY,|XIY|PEK|LAX|CLD|
CLD|XUZ,|XUZ|LYG|HSN|PEK|LAX|CLD|
CLD|YIH,|YIH|CKG|PEK|LAX|CLD|
CLD|YIW,|YIW|PEK|LAX|CLD|
CLD|YNT,|YNT|SHE|ICN|LAX|CLD|
CLD|YNZ,|YNZ|DLC|ICN|LAX|CLD|
CLD|YTY,|YTY|DLC|ICN|LAX|CLD|
CLD|ZHA,|ZHA|CAN|LAX|CLD|
CLD|ZYI,|ZYI|PEK|LAX|CLD|
CLD|BAV,|BAV|SJW|DLC|ICN|LAX|CLD|
CLD|CJU,|CJU|DLC|ICN|LAX|CLD|
CLD|DSN,|DSN|CGO|PEK|LAX|CLD|
CLD|HMI,|HMI|CGO|PEK|LAX|CLD|
CLD|INC,|INC|PEK|LAX|CLD|
CLD|KHH,|KHH|WUH|ICN|LAX|CLD|
CLD|UYN,|UYN|CGO|PEK|LAX|CLD|
CLD|XNN,|XNN|PEK|LAX|CLD|
CLD|ZUH,|ZUH|PVG|LAX|CLD|
CLD|YNJ,|YNJ|ICN|LAX|CLD|
CLD|DAT,|DAT|CIH|PEK|LAX|CLD|
CLD|JHG,|JHG|CKG|PEK|LAX|CLD|
CLD|LJG,|LJG|CKG|PEK|LAX|CLD|
CLD|LXA,|LXA|XIY|PEK|LAX|CLD|
