SCL|ZAT,|ZAT|KMG|CTU|URC|IST|GRU|EZE|SCL|
SCL|LUN,|LUN|NBO|IST|GRU|EZE|SCL|
SCL|AOG,|AOG|PEK|YYZ|SCL|
SCL|GMP,|GMP|PEK|YYZ|SCL|
SCL|ISB,|ISB|IST|GRU|EZE|SCL|
SCL|TAS,|TAS|IST|GRU|EZE|SCL|
SCL|WUS,|WUS|PEK|YYZ|SCL|
SCL|JMU,|JMU|PVG|YYZ|SCL|
SCL|NDG,|NDG|PVG|YYZ|SCL|
SCL|JXA,|JXA|SHE|PEK|YYZ|SCL|
SCL|PUS,|PUS|SHE|PEK|YYZ|SCL|
SCL|BKI,|BKI|SZX|PEK|YYZ|SCL|
SCL|AKU,|AKU|URC|IST|GRU|EZE|SCL|
SCL|ALA,|ALA|IST|GRU|EZE|SCL|
SCL|ASB,|ASB|IST|GRU|EZE|SCL|
SCL|DNH,|DNH|URC|IST|GRU|EZE|SCL|
SCL|DYU,|DYU|IST|GRU|EZE|SCL|
SCL|FRU,|FRU|IST|GRU|EZE|SCL|
SCL|GYD,|GYD|IST|GRU|EZE|SCL|
SCL|HTN,|HTN|URC|IST|GRU|EZE|SCL|
SCL|IKA,|IKA|IST|GRU|EZE|SCL|
SCL|KCA,|KCA|URC|IST|GRU|EZE|SCL|
SCL|KHG,|KHG|URC|IST|GRU|EZE|SCL|
SCL|KRL,|KRL|URC|IST|GRU|EZE|SCL|
SCL|KRY,|KRY|URC|IST|GRU|EZE|SCL|
SCL|LBD,|LBD|URC|IST|GRU|EZE|SCL|
SCL|NLT,|NLT|URC|IST|GRU|EZE|SCL|
SCL|OSS,|OSS|IST|GRU|EZE|SCL|
SCL|OVB,|OVB|IST|GRU|EZE|SCL|
SCL|TBS,|TBS|IST|GRU|EZE|SCL|
SCL|TCG,|TCG|URC|IST|GRU|EZE|SCL|
SCL|TSE,|TSE|IST|GRU|EZE|SCL|
SCL|YIN,|YIN|URC|IST|GRU|EZE|SCL|
SCL|ENH,|ENH|WUH|PEK|YYZ|SCL|
SCL|ENY,|ENY|XIY|PEK|YYZ|SCL|
SCL|WXN,|WXN|XIY|PEK|YYZ|SCL|
SCL|BLL,|BLL|IST|GRU|EZE|SCL|
SCL|ESB,|ESB|IST|GRU|EZE|SCL|
SCL|SAW,|SAW|ADB|IST|GRU|EZE|SCL|
SCL|HAM,|HAM|EWR|YYZ|SCL|
SCL|HRE,|HRE|ADD|IST|GRU|EZE|SCL|
SCL|JUB,|JUB|CAI|IST|GRU|EZE|SCL|
SCL|SSG,|SSG|DLA|IST|GRU|EZE|SCL|
SCL|BGW,|BGW|IST|GRU|EZE|SCL|
SCL|EBL,|EBL|IST|GRU|EZE|SCL|
SCL|VKO,|VKO|IST|GRU|EZE|SCL|
SCL|MCT,|MCT|IST|GRU|EZE|SCL|
SCL|AYT,|AYT|IST|GRU|EZE|SCL|
SCL|SCQ,|SCQ|BIO|IST|GRU|EZE|SCL|
SCL|AAL,|AAL|IST|GRU|EZE|SCL|
SCL|AOE,|AOE|BRU|YUL|YYZ|SCL|
SCL|JNB,|JNB|IST|GRU|EZE|SCL|
SCL|LBV,|LBV|DLA|IST|GRU|EZE|SCL|
SCL|ADA,|ADA|IST|GRU|EZE|SCL|
SCL|ADB,|ADB|IST|GRU|EZE|SCL|
SCL|ADF,|ADF|IST|GRU|EZE|SCL|
SCL|AJI,|AJI|IST|GRU|EZE|SCL|
SCL|BAL,|BAL|IST|GRU|EZE|SCL|
SCL|BJV,|BJV|IST|GRU|EZE|SCL|
SCL|CKZ,|CKZ|ESB|IST|GRU|EZE|SCL|
SCL|DIY,|DIY|IST|GRU|EZE|SCL|
SCL|ECN,|ECN|IST|GRU|EZE|SCL|
SCL|ERC,|ERC|IST|GRU|EZE|SCL|
SCL|ERZ,|ERZ|IST|GRU|EZE|SCL|
SCL|EZS,|EZS|IST|GRU|EZE|SCL|
SCL|GNY,|GNY|IST|GRU|EZE|SCL|
SCL|GZP,|GZP|ESB|IST|GRU|EZE|SCL|
SCL|GZT,|GZT|IST|GRU|EZE|SCL|
SCL|HTY,|HTY|IST|GRU|EZE|SCL|
SCL|KCM,|KCM|IST|GRU|EZE|SCL|
SCL|KSY,|KSY|IST|GRU|EZE|SCL|
SCL|MLX,|MLX|IST|GRU|EZE|SCL|
SCL|MQM,|MQM|IST|GRU|EZE|SCL|
SCL|MSR,|MSR|IST|GRU|EZE|SCL|
SCL|TEQ,|TEQ|ESB|IST|GRU|EZE|SCL|
SCL|TZX,|TZX|IST|GRU|EZE|SCL|
SCL|VAN,|VAN|IST|GRU|EZE|SCL|
SCL|ULN,|ULN|FRU|IST|GRU|EZE|SCL|
SCL|HIJ,|HIJ|ICN|PEK|YYZ|SCL|
SCL|VVO,|VVO|ICN|PEK|YYZ|SCL|
SCL|ACC,|ACC|IST|GRU|EZE|SCL|
SCL|AER,|AER|IST|GRU|EZE|SCL|
SCL|AGP,|AGP|IST|GRU|EZE|SCL|
SCL|ALG,|ALG|IST|GRU|EZE|SCL|
SCL|AMM,|AMM|IST|GRU|EZE|SCL|
SCL|AQJ,|AQJ|IST|GRU|EZE|SCL|
SCL|ARN,|ARN|EWR|YYZ|SCL|
SCL|ASR,|ASR|IST|GRU|EZE|SCL|
SCL|ATH,|ATH|IST|GRU|EZE|SCL|
SCL|BAH,|BAH|IST|GRU|EZE|SCL|
SCL|BEG,|BEG|IST|GRU|EZE|SCL|
SCL|BEN,|BEN|IST|GRU|EZE|SCL|
SCL|BEY,|BEY|IST|GRU|EZE|SCL|
SCL|BHX,|BHX|EWR|YYZ|SCL|
SCL|BIO,|BIO|IST|GRU|EZE|SCL|
SCL|BLQ,|BLQ|IST|GRU|EZE|SCL|
SCL|BOM,|BOM|IST|GRU|EZE|SCL|
SCL|BRE,|BRE|IST|GRU|EZE|SCL|
SCL|BSL,|BSL|IST|GRU|EZE|SCL|
SCL|BSR,|BSR|IST|GRU|EZE|SCL|
SCL|BUD,|BUD|IST|GRU|EZE|SCL|
SCL|BUS,|BUS|IST|GRU|EZE|SCL|
SCL|CAI,|CAI|IST|GRU|EZE|SCL|
SCL|CGN,|CGN|IST|GRU|EZE|SCL|
SCL|CMN,|CMN|IST|GRU|EZE|SCL|
SCL|CND,|CND|IST|GRU|EZE|SCL|
SCL|DAR,|DAR|IST|GRU|EZE|SCL|
SCL|DLM,|DLM|IST|GRU|EZE|SCL|
SCL|DMM,|DMM|IST|GRU|EZE|SCL|
SCL|DNK,|DNK|IST|GRU|EZE|SCL|
SCL|DNZ,|DNZ|IST|GRU|EZE|SCL|
SCL|DOK,|DOK|IST|GRU|EZE|SCL|
SCL|DUS,|DUS|EWR|YYZ|SCL|
SCL|EDI,|EDI|EWR|YYZ|SCL|
SCL|ELQ,|ELQ|IST|GRU|EZE|SCL|
SCL|FDH,|FDH|IST|GRU|EZE|SCL|
SCL|GOA,|GOA|IST|GRU|EZE|SCL|
SCL|GOT,|GOT|BRU|YUL|YYZ|SCL|
SCL|HAJ,|HAJ|BRU|YUL|YYZ|SCL|
SCL|HBE,|HBE|IST|GRU|EZE|SCL|
SCL|HEL,|HEL|IST|GRU|EZE|SCL|
SCL|HRG,|HRG|IST|GRU|EZE|SCL|
SCL|IFN,|IFN|IST|GRU|EZE|SCL|
SCL|ISE,|ISE|IST|GRU|EZE|SCL|
SCL|ISU,|ISU|IST|GRU|EZE|SCL|
SCL|JIB,|JIB|IST|GRU|EZE|SCL|
SCL|JRO,|JRO|IST|GRU|EZE|SCL|
SCL|KAN,|KAN|IST|GRU|EZE|SCL|
SCL|KBL,|KBL|IST|GRU|EZE|SCL|
SCL|KBP,|KBP|IST|GRU|EZE|SCL|
SCL|KFS,|KFS|IST|GRU|EZE|SCL|
SCL|KHI,|KHI|IST|GRU|EZE|SCL|
SCL|KIV,|KIV|IST|GRU|EZE|SCL|
SCL|KRT,|KRT|IST|GRU|EZE|SCL|
SCL|KSH,|KSH|IST|GRU|EZE|SCL|
SCL|KVD,|KVD|IST|GRU|EZE|SCL|
SCL|KWI,|KWI|IST|GRU|EZE|SCL|
SCL|KYA,|KYA|IST|GRU|EZE|SCL|
SCL|KZN,|KZN|IST|GRU|EZE|SCL|
SCL|KZR,|KZR|IST|GRU|EZE|SCL|
SCL|LED,|LED|IST|GRU|EZE|SCL|
SCL|LEJ,|LEJ|IST|GRU|EZE|SCL|
SCL|LGW,|LGW|IST|GRU|EZE|SCL|
